"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Dalvin Cook","RB","MIN",24.1,0.832,4.32,23,24.9,13.6,13.9,13.4,1,1,1,1,"1",NA,NA,60
"2","Travis Kelce","TE","KC",18.9,1.55,2.45,17.4,20.6,11.3,10.8,11.9,2,2,2,1,"1",NA,NA,94
"3","Alvin Kamara","RB","NO",19.7,0.708,1.59,18.9,23,9.23,9.86,11.6,3,3,3,2,"2",NA,NA,54
"4","Darren Waller","TE","LVR",16.5,2.57,2.96,13.1,19.5,8.9,6.49,10.7,4,16,5,2,"2",NA,NA,97
"5","Davante Adams","WR","GB",21,2.43,1.01,18.8,23.9,8.56,8,10.3,5,7,6,1,"1",NA,NA,92
"6","Aaron Jones","RB","GB",18.2,0.294,0.155,17.6,18.5,7.64,8.55,7.07,6,5,23,3,"2",NA,NA,11
"7","Tyreek Hill","WR","KC",20,1.08,0.104,18.5,22.9,7.55,7.77,9.32,7,9,8,2,"1",NA,NA,44
"8","James Robinson","RB","JAC",18,0.319,0.025,17.8,18.2,7.49,8.71,6.73,8,4,25,4,"2",NA,NA,17
"9","Josh Jacobs","RB","LVR",18,0.472,0.394,16.9,20.2,7.47,7.83,8.72,9,8,9,5,"3",NA,NA,27
"10","Calvin Ridley","WR","ATL",19.9,2.03,0.0725,18,22.2,7.45,7.25,8.57,10,10,11,3,"1",NA,NA,82
"11","Keenan Allen","WR","LAC",19.8,2.3,0.0613,17.8,24.5,7.37,6.98,10.9,11,12,4,4,"1",NA,NA,90
"12","Stefon Diggs","WR","BUF",19.8,2.48,0.0153,17.7,23.8,7.31,6.97,10.2,12,13,7,5,"1",NA,NA,94
"13","DeAndre Hopkins","WR","ARI",19.8,2.48,1.19,17.1,22.1,7.3,6.34,8.49,13,19,12,6,"2",NA,NA,93
"14","Austin Ekeler","RB","LAC",17.6,0.304,0.0482,17.3,17.9,7.07,8.23,6.44,14,6,26,6,"3",NA,NA,13
"15","Ezekiel Elliott","RB","DAL",17.5,0.469,0.911,16.3,19.1,7.02,7.18,7.61,15,11,17,7,"4",NA,NA,26
