"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Russell Wilson","SEA","QB","2532975","robust",290.07,6.22691999999998,2.65,0.252042000000001,0.6,0,26.35,0.518909999999999,0.102671715600255,0.014826,0.0833333333333333,0.012355,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Aaron Rodgers","GB","QB","2506363","robust",275,3.78063000000002,2.23,0.14826,0.35,0.029652,10.088,1.275036,0.095239772106521,0.007413,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Matt Ryan","ATL","QB","310","robust",288.8,6.89409000000001,1.815,0.14826,0.7,0.103782,3.938,1.349166,0.015,0.0152048866666667,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tom Brady","TB","QB","2504211","robust",272.57,12.89862,2.01,0.0741300000000004,0.5,0.081543,2.404,0.88956,0.096,0.007413,0.133333333333333,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Patrick Mahomes","KC","QB","2558125","robust",285.1,10.97124,2.445,0.29652,0.46,0.088956,22.9,0.59304,0.2,0.0457899071603783,0.0833333333333333,0.012355,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Joe Burrow","CIN","QB","2563722","robust",270.9525,17.932047,1.61,0.311346,0.895,0.14826,17.845,1.188551,0.147885796761999,0.0663356784804405,0.35,0.037065,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Justin Herbert","LAC","QB","2565045","robust",275.8075,13.617681,1.6775,0.22239,0.8,0.037065,19.42,1.215732,0.163071965628357,0.0587386691729323,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Kirk Cousins","MIN","QB","2532820","robust",248.0625,21.57183,1.675,0.185325,0.89,0.22239,4.3875,0.42007,0.0142932489451477,0.014127447257384,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Josh Allen","BUF","QB","2560955","robust",249.02,3.795456,1.7,0.29652,0.895,0.14826,36.74,2.757636,0.276609024904081,0.069358919354418,0.35,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Teddy Bridgewater","CAR","QB","2543465","robust",276.05,5.42631600000004,1.86,0.14826,0.8,0.0148259999999999,12.99,2.0637792,0.1,0.00692461994859778,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Matthew Stafford","DET","QB","79860","robust",269.8,3.70650000000004,1.65,0.22239,0.6,0.022239,8.5,0.290589600000001,0.05,0.0240624766858544,0.166666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Derek Carr","LVR","QB","2543499","robust",275.695,1.994097,1.8,0.22239,0.7,0.044478,7.5,0.741300000000001,0.1,0.00505283806394357,0.266666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Jimmy Garoppolo","SF","QB","2543801","robust",273.5,3.85476000000003,1.8,0.014826,0.9,0.14826,4.20625,0.426247499999999,0.06,0.059304,0.166666666666667,0.04942,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Ben Roethlisberger","PIT","QB","2506109","robust",265.44,13.04688,1.7,0.14826,0.9,0.014826,2.6425,0.9748095,0.00625,0,0.07,0.044478,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Jared Goff","LAR","QB","2555334","robust",268.195,0.0148259999999865,1.7,0.44478,0.85,0.0593040000000001,7.44375,0.29652,0.0910810773172906,0.0264463895387701,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Philip Rivers","IND","QB","2506121","robust",264,8.8956,1.74,0.0889560000000001,0.85,0.207564,1.7725,1.4418285,0.00625,0,0.09,0.014826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Ryan Tannehill","TEN","QB","2532956","robust",260.2,10.97124,2,0.0741300000000001,0.7,0.044478,15.66,1.1386368,0.106442491315462,0.051891,0.166666666666667,0.02471,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Carson Wentz","PHI","QB","2555259","robust",250.1,8.59908000000002,1.895,0,0.84,0.14826,20.26625,0.192737999999999,0.2,0.118608,0.3,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Baker Mayfield","CLE","QB","2560800","robust",241.735,5.78214000000001,1.73,0.103782,1,0,6.05,0.326172,0.035550891242573,0.0527077513562387,0.08,0.029652,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Drew Brees","NO","QB","2504775","robust",255.75,2.07563999999997,1.74,0.326172,0.49,0.029652,1.63,0.385476,0.065,0.051891,0.15,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Ben DiNucci","DAL","QB","2563839","robust",244.1,17.7912,1.125,0.14826,0.975,0,6.7,5.48562,0.0411057692307692,0.0477568269230769,0.25,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Nick Foles","CHI","QB","2532842","robust",240.25,8.21360400000001,1.2025,0.214977,1,0,5.525,2.94049,0.0783648758648759,0.0510361566951567,0.14,0.044478,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Tua Tagovailoa","MIA","QB","2564499","robust",231.0225,14.536893,1.2175,0.0741300000000002,0.9,0.07413,15.41,1.947148,0.122364758904707,0.0962353277014128,0.13,0.051891,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Drew Lock","DEN","QB","2562305","robust",225.575,7.48713000000002,1.075,0.14826,0.9,0.07413,9.36,1.551788,0.0680906829488919,0.0389521689733153,0.2,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Sam Darnold","NYJ","QB","2561036","robust",198.875,27.902532,1,0.103782,1.0575,0.126021,11.365,0.464548,0.0768778683972054,0.0302669148762022,0.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Lamar Jackson","BAL","QB","2560757","robust",205.85,5.48561999999998,1.37,0.504084,0.7,0.103782,53.93625,1.5900885,0.535449600458537,0.105115155279654,0.25,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Daniel Jones","NYG","QB","2562299","robust",219.685,5.94522600000003,1.1,0.0444779999999999,1,0.0741300000000001,24.9775,1.307159,0.0998713204217911,0.0594311868951016,0.6,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Jarrett Stidham","NE","QB","2562746","robust",116.9,140.99526,0.25,0.37065,0.6,0.59304,1.1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Cam Newton","NE","QB","2495455","robust",202.025,6.234333,0.985,0.014826,1,0.081543,35.9,2.14977,0.617753183373547,0.205343246446414,0.09,0.007413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Mitchell Trubisky","CHI","QB","2558008","robust",29.55,28.31766,0.2,0.14826,0.2,0.29652,0.7,1.03782,0,0,0.01,0.014826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Nick Mullens","SF","QB","2558979","robust",31.85,37.36152,0.125,0.14826,0.275,0.29652,0,0,0,0,0.05,0.07413,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Ryan Fitzpatrick","MIA","QB","2506581","robust",29.85,35.13762,0.175,0.14826,0.175,0.14826,0.7,1.03782,0,0,0.02,0.029652,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Matt Barkley","BUF","QB","2539308","robust",19.05,11.26776,0.04,0.044478,0.15,0,0.1,0.14826,0,0,0.1,0.14826,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Jacoby Brissett","IND","QB","2555261","robust",20.1,28.46592,0.05,0,0.065,0.029652,0.45,0.66717,0,0,0.03,0.044478,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","C.J. Beathard","SF","QB","2557922","robust",17.65,26.16789,0.05,0.07413,0.2,0.29652,0.35,0.51891,0,0,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"O","Coach's Decision",8,2020
"36","Derrick Henry","TEN","RB","2556075","robust",NA,NA,NA,NA,NA,NA,106.305,1.09860659999998,1,0.0105873077177771,0.09875,0.00185325,0,NA,0,NA,1.9,0.274281,16.2,3.736152,0.075,0.00741300000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Kareem Hunt","CLE","RB","2557917","robust",NA,NA,NA,NA,NA,NA,87.705,3.55972259999999,0.8,0.0613353804872189,0.10375,0.00555975,0,NA,0,NA,3.1,0.014826,26.52,1.141602,0.24,0.07413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Dalvin Cook","MIN","RB","2557991","robust",NA,NA,NA,NA,NA,NA,83.6,0.3795456,0.789323322080997,0.0741300000000001,0.1875,0.0185325,0,NA,0,NA,3.3,0.22239,26.8,2.090466,0.085,0.014826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Jonathan Taylor","IND","RB","2564148","robust",NA,NA,NA,NA,NA,NA,81.12,3.40009599999999,0.857636262586269,0.108589318059732,0.06,0.029652,0,NA,0,NA,2.3025,0.170499,21.0175,2.023749,0.05,0.07413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Todd Gurley","ATL","RB","2552475","robust",NA,NA,NA,NA,NA,NA,71.35,2.18238719999999,0.8,0.0248947761427142,0.10625,0.00926625000000001,0,NA,0,NA,2.65,0.37065,18.47,2.52042,0.095,0.00741300000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Ezekiel Elliott","DAL","RB","2555224","robust",NA,NA,NA,NA,NA,NA,73.94,1.26021,0.6,0.0930800236923373,0.225,0.037065,0,NA,0,NA,3.5,0.37065,24.7,4.4478,0.085,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Josh Jacobs","LVR","RB","2562377","robust",NA,NA,NA,NA,NA,NA,74.1,3.7065,0.7,0.0345322913819567,0.1125,0.0185325,0,NA,0,NA,2.5,0.155673,19.31,1.03782,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
