"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Alvin Kamara","RB","NO",25.7,3.42,3.94,23.3,32.2,16.6,16,22,1,1,1,1,"1",NA,NA,99
"2","Ezekiel Elliott","RB","DAL",21.7,0.801,1.81,20.2,22.9,12.7,12.9,12.7,2,2,2,2,"2",NA,NA,43
"3","Clyde Edwards-Helaire","RB","KC",19.9,0.769,0.351,19.3,21,10.9,12,10.7,4,3,7,3,"3",NA,NA,37
"4","Travis Kelce","TE","KC",17.9,1.27,0.349,16.2,19.4,10.9,10.9,10.4,3,5,12,1,"1",NA,NA,66
"5","George Kittle","TE","SF",17.6,1.77,2.24,15.7,21.3,10.6,10.4,12.3,5,7,3,2,"2",NA,NA,83
"6","Mike Davis","RB","CAR",19.6,1.12,0.55,17.1,22,10.5,9.79,11.8,6,9,4,4,"3",NA,NA,70
"7","Dalvin Cook","RB","MIN",19,0.652,0.54,18.6,21.5,9.99,11.3,11.3,7,4,5,5,"4",NA,NA,29
"8","Kareem Hunt","RB","CLE",18.5,0.919,0.635,17.7,21.3,9.45,10.4,11,8,6,6,6,"5",NA,NA,53
"9","DeAndre Hopkins","WR","ARI",20.5,1.73,0.425,18.2,23.2,9.25,8.49,10.6,9,14,8,1,"1",NA,NA,68
"10","Josh Jacobs","RB","LVR",17.8,0.15,0.343,17.1,19.9,8.82,9.81,9.67,11,8,14,7,"5",NA,NA,6
"11","Calvin Ridley","WR","ATL",20.1,2.05,0.772,18.2,22.2,8.82,8.45,9.64,10,15,15,2,"1",NA,NA,78
"12","James Conner","RB","PIT",17.5,0.266,0.0455,16.7,18.7,8.47,9.36,8.48,12,10,23,8,"5",NA,NA,9
"13","Derrick Henry","RB","TEN",17.5,0.8,0.0687,16.3,18.2,8.43,9.03,7.99,13,11,32,9,"5",NA,NA,41
"14","Miles Sanders","RB","PHI",17.4,2.01,0.0437,14.8,20.7,8.36,7.46,10.5,14,21,11,10,"5",NA,NA,93
"15","Darren Waller","TE","LVR",15.3,1.76,1.02,10.9,18.6,8.36,5.59,9.55,15,37,16,3,"3",NA,NA,80
"16","James Robinson","RB","JAC",17.3,2.04,0.304,16,18.6,8.32,8.66,8.41,16,13,24,11,"6",NA,NA,94
"17","Tyreek Hill","WR","KC",19.3,1.89,0.512,17.7,21.5,8.05,8,8.93,17,16,17,3,"2",NA,NA,69
"18","Chris Carson","RB","SEA",17,0.148,0.936,16.2,18.3,8.01,8.93,8.02,18,12,30,12,"7",NA,NA,4
"19","Amari Cooper","WR","DAL",18.8,1.27,0.256,17.4,23.2,7.54,7.67,10.6,19,19,9,4,"2",NA,NA,57
"20","Mark Andrews","TE","BAL",14.3,0.735,0.44,12.9,17.6,7.33,7.54,8.61,20,20,20,4,"4",NA,NA,43
"21","Tyler Lockett","WR","SEA",18.6,1.32,0.126,16.5,23.1,7.28,6.83,10.5,21,26,10,5,"2",NA,NA,60
"22","Keenan Allen","WR","LAC",18.4,1.35,0.62,16.9,22.3,7.16,7.24,9.73,22,23,13,6,"3",NA,NA,62
"23","David Johnson","RB","HOU",16.1,0.858,0.105,15.2,17,7.08,7.9,6.75,23,17,44,13,"7",NA,NA,46
"24","Jonathan Taylor","RB","IND",16,1.17,0.0125,15,16.8,6.97,7.69,6.57,24,18,45,14,"7",NA,NA,76
"25","Joe Mixon","RB","CIN",16,0.934,0.0575,14.6,17.7,6.96,7.31,7.45,25,22,35,15,"7",NA,NA,54
"26","Jerick McKinnon","RB","SF",15.9,1.36,0.186,14.3,17.6,6.9,7.03,7.35,26,24,37,16,"7",NA,NA,84
"27","Hunter Henry","TE","LAC",13.9,1.4,0.69,11.5,17,6.89,6.19,8.01,27,30,31,5,"5",NA,NA,71
"28","Ronald Jones","RB","TB",15.7,1.25,0.215,13.3,18.5,6.72,6.01,8.27,28,31,26,17,"7",NA,NA,80
"29","Adam Thielen","WR","MIN",17.8,1.61,0.387,15.7,21.2,6.54,6,8.61,29,32,19,7,"3",NA,NA,67
"30","Todd Gurley","RB","ATL",15.5,0.593,0.261,13.8,17,6.5,6.5,6.8,30,29,43,18,"8",NA,NA,24
"31","Devin Singletary","RB","BUF",15.3,1.12,1.8,14.2,16.4,6.24,6.92,6.16,31,25,49,19,"9",NA,NA,71
"32","Zach Ertz","TE","PHI",13.2,2.05,0.763,12.1,17.1,6.2,6.77,8.09,32,27,29,6,"6",NA,NA,89
"33","Stefon Diggs","WR","BUF",17.4,1.09,0.194,15.3,21.1,6.15,5.6,8.51,33,36,22,8,"3",NA,NA,53
"34","DK Metcalf","WR","SEA",17.2,0.47,0.281,16.5,19.5,5.96,6.75,6.93,34,28,40,9,"3",NA,NA,19
"35","Odell Beckham","WR","CLE",17,0.984,0.03,15.3,20,5.67,5.63,7.41,35,35,36,10,"3",NA,NA,43
"36","Robby Anderson","WR","CAR",17,3.16,0,14,19.5,5.67,4.34,6.89,35,48,41,10,"3",NA,NA,94
"37","Cooper Kupp","WR","LAR",16.9,2.67,0.0151,14.8,21.1,5.64,5.07,8.53,36,41,21,11,"3",NA,NA,89
"38","Allen Robinson","WR","CHI",16.9,1.07,0.457,15,20.9,5.63,5.31,8.36,37,39,25,12,"4",NA,NA,49
"39","Patrick Mahomes","QB","KC",24.7,1.65,0.051,23.1,27.6,5.46,5.03,7.59,38,42,34,1,"1",NA,NA,84
"40","Jonnu Smith","TE","TEN",12.4,0.213,0.625,11,14.7,5.44,5.64,5.67,39,34,53,7,"6",NA,NA,11
"41","Russell Wilson","QB","SEA",24.6,0.731,0.751,22,26.5,5.41,3.91,6.45,40,53,46,2,"1",NA,NA,31
"42","Will Fuller","WR","HOU",16.5,2.59,0.154,14.2,19,5.17,4.49,6.4,41,47,48,13,"4",NA,NA,86
"43","Terry McLaurin","WR","WAS",16.3,0.98,0.042,13.3,18,5.02,3.54,5.43,42,56,57,14,"4",NA,NA,42
"44","Mike Evans","WR","TB",16.3,0.237,0.158,15.4,20.8,4.98,5.73,8.18,43,33,27,15,"4",NA,NA,3
"45","D.J. Moore","WR","CAR",16.1,0.746,0.025,13.5,19,4.82,3.8,6.44,44,54,47,16,"4",NA,NA,31
"46","Evan Engram","TE","NYG",11.8,0.208,1.54,10.3,12.4,4.81,4.94,3.4,45,43,71,8,"7",NA,NA,9
"47","Robert Woods","WR","LAR",16.1,1.26,0.515,14.4,21.2,4.79,4.67,8.63,46,45,18,17,"5",NA,NA,56
"48","Dak Prescott","QB","DAL",23.9,1.29,0.953,22.3,25.3,4.66,4.26,5.24,47,50,59,3,"2",NA,NA,69
"49","Antonio Gibson","RB","WAS",13.5,0.388,0.24,12.4,14.7,4.44,5.11,4.46,48,40,64,20,"9",NA,NA,16
"50","Jamison Crowder","WR","NYJ",15.6,0.313,0.295,15.1,18.6,4.28,5.39,6.07,49,38,50,18,"5",NA,NA,6
"51","Raheem Mostert","RB","SF",13.2,1.27,0.336,6.33,15.7,4.2,-0.961,5.46,50,133,56,21,"9",NA,NA,81
"52","Tyler Boyd","WR","CIN",15.3,1.91,0.17,13.8,19.9,3.98,4.06,7.28,51,52,38,19,"5",NA,NA,71
"53","Kenyan Drake","RB","ARI",12.9,0.318,0.736,8.9,14.6,3.87,1.6,4.34,52,77,66,22,"10",NA,NA,11
"54","DeVante Parker","WR","MIA",15.1,0.993,0.00183,14,18.1,3.81,4.31,5.53,53,49,55,20,"5",NA,NA,46
"55","JuJu Smith-Schuster","WR","PIT",15.1,2.33,0.118,12.6,20.7,3.81,2.85,8.13,54,64,28,21,"5",NA,NA,85
"56","Kyler Murray","QB","ARI",22.9,0.855,0.0827,19.9,24,3.7,1.81,3.89,55,76,68,4,"2",NA,NA,44
"57","D.J. Chark","WR","JAC",15,0.623,0.16,14.3,20.2,3.69,4.6,7.65,56,46,33,22,"5",NA,NA,26
"58","Josh Allen","QB","BUF",22.8,2.22,0.417,20.6,24.4,3.62,2.56,4.39,57,68,65,5,"3",NA,NA,99
"59","Darius Slayton","WR","NYG",14.8,0.993,0.135,13.4,18.1,3.53,3.68,5.55,58,55,54,23,"6",NA,NA,44
"60","Justin Jefferson","WR","MIN",14.7,2.31,0.482,12.2,18.4,3.4,2.51,5.87,59,69,51,24,"6",NA,NA,83
"61","Hayden Hurst","TE","ATL",10.3,0.993,0.0075,8.53,11.3,3.28,3.19,2.31,60,59,77,9,"7",NA,NA,49
"62","Tyler Higbee","TE","LAR",10.3,0.0593,0.916,10.1,11,3.27,4.76,2.01,61,44,79,10,"8",NA,NA,1
"63","Deshaun Watson","QB","HOU",22.4,1.65,0.439,20,23.9,3.2,1.92,3.88,62,74,69,6,"3",NA,NA,88
"64","LeVeon Bell","RB","NYJ",12.2,0.549,0.319,10.8,12.8,3.13,3.49,2.61,63,57,75,23,"10",NA,NA,23
"65","Marquise Brown","WR","BAL",14.2,0.415,0.0928,13.8,17.7,2.92,4.12,5.09,64,51,61,25,"6",NA,NA,11
"66","CeeDee Lamb","WR","DAL",14.1,0.423,0.0217,12.6,18.4,2.82,2.9,5.82,65,63,52,26,"6",NA,NA,14
"67","David Montgomery","RB","CHI",11.8,0.964,0.128,10.7,13.1,2.81,3.4,2.84,66,58,74,24,"11",NA,NA,60
"68","Diontae Johnson","WR","PIT",14.1,0.917,0.00283,12.3,19.4,2.8,2.6,6.83,67,67,42,27,"6",NA,NA,35
"69","A.J. Brown","WR","TEN",14.1,1.52,0.169,12.3,17.8,2.8,2.64,5.22,68,66,60,28,"6",NA,NA,65
"70","Lamar Jackson","QB","BAL",22,1.04,1.97,4.39,25.5,2.76,-13.7,5.41,69,301,58,7,"4",NA,NA,47
"71","Myles Gaskin","RB","MIA",11.7,1.56,0.246,10.3,13.3,2.68,3.01,3.02,70,61,73,25,"11",NA,NA,87
"72","Emmanuel Sanders","WR","NO",13.9,1.07,1.45,11.9,19.6,2.63,2.17,7.05,71,70,39,29,"7",NA,NA,50
"73","Mark Ingram","RB","BAL",11.5,0.52,0.177,10.5,12,2.44,3.16,1.76,72,60,81,26,"11",NA,NA,21
"74","Mike Gesicki","TE","MIA",9.35,0.652,0.271,8.05,10.4,2.35,2.71,1.35,73,65,85,11,"9",NA,NA,37
"75","Joshua Kelley","RB","LAC",11.3,1.31,0.832,8.27,14,2.26,0.975,3.77,74,83,70,27,"12",NA,NA,83
"76","Eric Ebron","TE","PIT",9.08,0.563,0.065,8.26,9.91,2.08,2.92,0.89,75,62,90,12,"9",NA,NA,31
"77","Dalton Schultz","TE","DAL",9.01,1.1,0.07,7.34,11,2.02,2,1.98,76,73,80,13,"9",NA,NA,54
"78","Mo Alie-Cox","TE","IND",8.94,1.54,0.045,7.5,13.5,1.95,2.16,4.52,77,71,63,14,"9",NA,NA,74
"79","Rob Gronkowski","TE","TB",8.9,0.267,0.349,7.16,9.42,1.9,1.82,0.4,78,75,96,15,"9",NA,NA,14
"80","Jimmy Graham","TE","CHI",8.55,0.534,0.324,6.94,9.08,1.55,1.6,0.0566,79,78,104,16,"10",NA,NA,29
"81","Devonta Freeman","RB","FA",10.5,0.949,1.31,8.13,12.7,1.43,0.834,2.47,80,89,76,28,"13",NA,NA,57
"82","Steelers","DST","PIT",6.82,1.09,0.52,5.6,8.22,1.36,0.893,2.2,81,87,78,1,"1",NA,NA,97
"83","Austin Hooper","TE","CLE",8.22,2.21,0.371,6.25,10,1.23,0.911,1,82,85,89,17,"10",NA,NA,97
"84","T.Y. Hilton","WR","IND",12.5,0.215,0.035,10.2,12.7,1.18,0.528,0.082,83,95,103,30,"7",NA,NA,1
