Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Cooper Kupp,LAR,WR,8,SF,6,22,21.85,2.28,8,DraftKings,9600
2,Justin Jefferson,MIN,WR,8,ARI,24,9,24.05,2.64,14,DraftKings,9100
3,Christian McCaffrey,SF,RB,8,LAR,5,4,18.34,2.11,8,DraftKings,8700
4,Davante Adams,LV,WR,8,NO,22,28,19.3,2.24,10,DraftKings,8600
5,Tyreek Hill,MIA,WR,8,DET,32,20,20.77,2.44,21,DraftKings,8500
6,Derrick Henry,TEN,RB,8,HOU,23,32,22.72,2.7,12,DraftKings,8400
7,Jalen Hurts,PHI,QB,8,PIT,27,24,23.45,2.83,9,DraftKings,8300
8,Saquon Barkley,NYG,RB,8,SEA,29,28,19.57,2.42,13,DraftKings,8100
9,Jonathan Taylor,IND,RB,8,WAS,17,24,16.57,2.07,8,DraftKings,8000
10,A.J. Brown,PHI,WR,8,PIT,27,31,16.14,2.1,7,DraftKings,7700
11,Dalvin Cook,MIN,RB,8,ARI,24,10,15.8,2.08,5,DraftKings,7600
12,Kyler Murray,ARI,QB,8,MIN,18,20,20.94,2.79,5,DraftKings,7500
12,Josh Jacobs,LV,RB,8,NO,22,18,18.27,2.44,19,DraftKings,7500
12,Deebo Samuel,SF,WR,8,LAR,5,23,0,0,0,DraftKings,7500
15,DeAndre Hopkins,ARI,WR,8,MIN,18,17,19.75,2.67,12,DraftKings,7400
16,Michael Pittman Jr.,IND,WR,8,WAS,17,26,13.95,1.94,5,DraftKings,7200
17,Alvin Kamara,NO,RB,8,LV,28,13,17.94,2.53,14,DraftKings,7100
18,CeeDee Lamb,DAL,WR,8,CHI,7,4,16.52,2.36,8,DraftKings,7000
19,Amon-Ra St. Brown,DET,WR,8,MIA,20,25,15.51,2.25,18,DraftKings,6900
20,D'Andre Swift,DET,RB,8,MIA,20,14,14.52,2.14,6,DraftKings,6800
21,Jaylen Waddle,MIA,WR,8,DET,32,20,16.38,2.44,14,DraftKings,6700
22,Dak Prescott,DAL,QB,8,CHI,7,8,18.53,2.81,4,DraftKings,6600
22,Miles Sanders,PHI,RB,8,PIT,27,22,13.95,2.11,3,DraftKings,6600
22,DK Metcalf,SEA,WR,8,NYG,12,3,12.17,1.84,2,DraftKings,6600
25,Kenneth Walker III,SEA,RB,8,NYG,12,18,15.35,2.36,21,DraftKings,6500
25,Tyler Lockett,SEA,WR,8,NYG,12,3,14.06,2.16,7,DraftKings,6500
27,Rhamondre Stevenson,NE,RB,8,NYJ,10,12,15.15,2.37,16,DraftKings,6400
27,Marquise Brown,ARI,WR,8,MIN,18,17,0,0,0,DraftKings,6400
29,Dameon Pierce,HOU,RB,8,TEN,25,6,15.66,2.49,15,DraftKings,6300
29,DeVonta Smith,PHI,WR,8,PIT,27,31,13.72,2.18,7,DraftKings,6300
29,David Montgomery,CHI,RB,8,DAL,4,3,12.05,1.91,2,DraftKings,6300
32,Tua Tagovailoa,MIA,QB,8,DET,32,29,19.47,3.14,17,DraftKings,6200
32,Adam Thielen,MIN,WR,8,ARI,24,9,12.55,2.02,8,DraftKings,6200
32,Breece Hall,NYJ,RB,8,NE,14,7,0,0,0,DraftKings,6200
32,Ezekiel Elliott,DAL,RB,8,CHI,7,27,0,0,0,DraftKings,6200
36,Kirk Cousins,MIN,QB,8,ARI,24,27,18.85,3.09,8,DraftKings,6100
36,Tony Pollard,DAL,RB,8,CHI,7,27,15.99,2.62,38,DraftKings,6100
36,Brandon Aiyuk,SF,WR,8,LAR,5,23,14.09,2.31,7,DraftKings,6100
36,James Conner,ARI,RB,8,MIN,18,17,0,0,0,DraftKings,6100
40,Matthew Stafford,LAR,QB,8,SF,6,11,16.62,2.77,3,DraftKings,6000
40,Chris Olave,NO,WR,8,LV,28,24,15.64,2.61,18,DraftKings,6000
40,Eno Benjamin,ARI,RB,8,MIN,18,17,13.27,2.21,9,DraftKings,6000
40,Terry McLaurin,WAS,WR,8,IND,11,2,12.61,2.1,4,DraftKings,6000
40,Jamaal Williams,DET,RB,8,MIA,20,14,8.8,1.47,1,DraftKings,6000
45,Derek Carr,LV,QB,8,NO,22,21,18.1,3.07,7,DraftKings,5900
45,Raheem Mostert,MIA,RB,8,DET,32,31,13.96,2.37,13,DraftKings,5900
45,Brandin Cooks,HOU,WR,8,TEN,25,30,12.99,2.2,8,DraftKings,5900
45,Michael Carter,NYJ,RB,8,NE,14,7,12.11,2.05,2,DraftKings,5900
49,Geno Smith,SEA,QB,8,NYG,12,15,17.9,3.09,4,DraftKings,5800
49,Damien Harris,NE,RB,8,NYJ,10,12,8.27,1.43,1,DraftKings,5800
51,Daniel Jones,NYG,QB,8,SEA,29,22,17.89,3.14,4,DraftKings,5700
51,George Kittle,SF,TE,8,LAR,5,1,12.27,2.15,7,DraftKings,5700
51,Najee Harris,PIT,RB,8,PHI,3,16,11.94,2.09,3,DraftKings,5700
51,Khalil Herbert,CHI,RB,8,DAL,4,3,7.02,1.23,1,DraftKings,5700
51,James Robinson,NYJ,RB,8,NE,14,7,6,1.05,1,DraftKings,5700
51,Michael Thomas,NO,WR,8,LV,28,24,0,0,0,DraftKings,5700
57,Jimmy Garoppolo,SF,QB,8,LAR,5,9,15.42,2.75,2,DraftKings,5600
57,Jakobi Meyers,NE,WR,8,NYJ,10,12,12.28,2.19,8,DraftKings,5600
57,Diontae Johnson,PIT,WR,8,PHI,3,11,11.8,2.11,7,DraftKings,5600
57,Brian Robinson,WAS,RB,8,IND,11,20,9.65,1.72,1,DraftKings,5600
57,Alexander Mattison,MIN,RB,8,ARI,24,10,6.25,1.12,0,DraftKings,5600
62,Jared Goff,DET,QB,8,MIA,20,28,17.27,3.14,4,DraftKings,5500
62,Andy Dalton,NO,QB,8,LV,28,32,15.23,2.77,4,DraftKings,5500
62,Darrell Henderson Jr.,LAR,RB,8,SF,6,1,11.06,2.01,1,DraftKings,5500
65,Marcus Mariota,ATL,QB,8,CAR,16,12,16.21,3,3,DraftKings,5400
65,Robert Woods,TEN,WR,8,HOU,23,14,10.1,1.87,5,DraftKings,5400
65,Tyler Allgeier,ATL,RB,8,CAR,16,23,9.4,1.74,1,DraftKings,5400
65,Antonio Gibson,WAS,RB,8,IND,11,20,8.7,1.61,1,DraftKings,5400
65,Matt Ryan,IND,QB,8,WAS,17,23,0,0,0,DraftKings,5400
65,Darren Waller,LV,TE,8,NO,22,2,0,0,0,DraftKings,5400
65,Chuba Hubbard,CAR,RB,8,ATL,31,9,0,0,0,DraftKings,5400
72,Mac Jones,NE,QB,8,NYJ,10,10,14.65,2.76,1,DraftKings,5300
72,DJ Moore,CAR,WR,8,ATL,31,32,14.09,2.66,20,DraftKings,5300
72,D'Onta Foreman,CAR,RB,8,ATL,31,9,12.58,2.37,12,DraftKings,5300
72,Curtis Samuel,WAS,WR,8,IND,11,2,12.13,2.29,6,DraftKings,5300
72,Bailey Zappe,NE,QB,8,NYJ,10,10,1.85,0.35,0,DraftKings,5300
72,Jameis Winston,NO,QB,8,LV,28,32,1.67,0.32,0,DraftKings,5300
72,Teddy Bridgewater,MIA,QB,8,DET,32,29,0.97,0.18,0,DraftKings,5300
72,Cordarrelle Patterson,ATL,RB,8,CAR,16,23,0,0,0,DraftKings,5300
72,Ryan Tannehill,TEN,QB,8,HOU,23,7,0,0,0,DraftKings,5300
81,Justin Fields,CHI,QB,8,DAL,4,4,14.75,2.84,3,DraftKings,5200
81,Davis Mills,HOU,QB,8,TEN,25,26,14.61,2.81,2,DraftKings,5200
81,Taylor Heinicke,WAS,QB,8,IND,11,13,14.57,2.8,1,DraftKings,5200
81,PJ Walker,CAR,QB,8,ATL,31,31,13.58,2.61,1,DraftKings,5200
81,Allen Robinson II,LAR,WR,8,SF,6,22,9.33,1.79,2,DraftKings,5200
81,Nyheim Hines,IND,RB,8,WAS,17,24,7.23,1.39,0,DraftKings,5200
81,Baker Mayfield,CAR,QB,8,ATL,31,31,0.37,0.07,0,DraftKings,5200
81,Carson Wentz,WAS,QB,8,IND,11,13,0,0,0,DraftKings,5200
81,Jameson Williams,DET,WR,8,MIA,20,25,0,0,0,DraftKings,5200
90,Zach Wilson,NYJ,QB,8,NE,14,19,14.21,2.79,1,DraftKings,5100
90,Kenny Pickett,PIT,QB,8,PHI,3,2,13.9,2.73,2,DraftKings,5100
90,Zach Ertz,ARI,TE,8,MIN,18,28,10.79,2.12,3,DraftKings,5100
90,Drake London,ATL,WR,8,CAR,16,21,10.48,2.05,7,DraftKings,5100
90,Rondale Moore,ARI,WR,8,MIN,18,17,8.83,1.73,5,DraftKings,5100
90,Chase Edmonds,MIA,RB,8,DET,32,31,6.73,1.32,1,DraftKings,5100
90,Jeff Wilson Jr.,SF,RB,8,LAR,5,4,4.9,0.96,0,DraftKings,5100
90,Mitch Trubisky,PIT,QB,8,PHI,3,2,0.4,0.08,0,DraftKings,5100
98,Malik Willis,TEN,QB,8,HOU,23,7,15.29,3.06,4,DraftKings,5000
98,Dallas Goedert,PHI,TE,8,PIT,27,7,11.75,2.35,6,DraftKings,5000
98,Michael Gallup,DAL,WR,8,CHI,7,4,10.94,2.19,3,DraftKings,5000
98,Josh Reynolds,DET,WR,8,MIA,20,25,9.99,2,3,DraftKings,5000
98,Taysom Hill,NO,TE,8,LV,28,30,7.26,1.45,0,DraftKings,5000
98,Caleb Huntley,ATL,RB,8,CAR,16,23,4.93,0.99,1,DraftKings,5000
98,Keaontay Ingram,ARI,RB,8,MIN,18,17,3.23,0.65,0,DraftKings,5000
98,Cooper Rush,DAL,QB,8,CHI,7,8,0.54,0.11,0,DraftKings,5000
98,Sam Darnold,CAR,QB,8,ATL,31,31,0.54,0.11,0,DraftKings,5000
98,Colt McCoy,ARI,QB,8,MIN,18,20,0.53,0.11,0,DraftKings,5000
98,Gardner Minshew,PHI,QB,8,PIT,27,24,0.4,0.08,0,DraftKings,5000
98,Nick Foles,IND,QB,8,WAS,17,23,0.39,0.08,0,DraftKings,5000
98,Drew Lock,SEA,QB,8,NYG,12,15,0.39,0.08,0,DraftKings,5000
98,Nick Mullens,MIN,QB,8,ARI,24,27,0.28,0.06,0,DraftKings,5000
98,Cam Akers,LAR,RB,8,SF,6,1,0,0,0,DraftKings,5000
98,Jacob Eason,CAR,QB,8,ATL,31,31,0,0,0,DraftKings,5000
114,T.J. Hockenson,DET,TE,8,MIA,20,21,11.24,2.29,5,DraftKings,4900
114,Hunter Renfrow,LV,WR,8,NO,22,28,10.84,2.21,4,DraftKings,4900
114,Matt Breida,NYG,RB,8,SEA,29,28,3.33,0.68,0,DraftKings,4900
114,Deon Jackson,IND,RB,8,WAS,17,24,2.44,0.5,0,DraftKings,4900
114,Sam Howell,WAS,QB,8,IND,11,13,0.45,0.09,0,DraftKings,4900
114,Tyrod Taylor,NYG,QB,8,SEA,29,22,0.43,0.09,0,DraftKings,4900
120,Chase Claypool,PIT,WR,8,PHI,3,11,9.47,1.97,3,DraftKings,4800
120,Darnell Mooney,CHI,WR,8,DAL,4,15,8.91,1.86,7,DraftKings,4800
120,Mark Ingram II,NO,RB,8,LV,28,13,5.65,1.18,1,DraftKings,4800
120,Ty Johnson,NYJ,RB,8,NE,14,7,2.89,0.6,0,DraftKings,4800
120,Trestan Ebner,CHI,RB,8,DAL,4,3,0.83,0.17,0,DraftKings,4800
120,Brock Purdy,SF,QB,8,LAR,5,9,0.39,0.08,0,DraftKings,4800
120,Trevor Siemian,CHI,QB,8,DAL,4,4,0.37,0.08,0,DraftKings,4800
120,John Wolford,LAR,QB,8,SF,6,11,0.37,0.08,0,DraftKings,4800
120,Kyle Allen,HOU,QB,8,TEN,25,26,0.36,0.08,0,DraftKings,4800
120,Joe Flacco,NYJ,QB,8,NE,14,19,0,0,0,DraftKings,4800
120,Tim Boyle,DET,QB,8,MIA,20,28,0,0,0,DraftKings,4800
131,Wan'Dale Robinson,NYG,WR,8,SEA,29,5,11.09,2.36,10,DraftKings,4700
131,George Pickens,PIT,WR,8,PHI,3,11,10.36,2.2,6,DraftKings,4700
