Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Tyreek Hill,MIA,WR,12,HOU,21,5,24.34,2.77,24,DraftKings,8800
1,Christian McCaffrey,SF,RB,12,NO,17,13,19.28,2.19,8,DraftKings,8800
3,Davante Adams,LV,WR,12,SEA,22,6,20.65,2.4,15,DraftKings,8600
4,Austin Ekeler,LAC,RB,12,ARI,30,21,21.03,2.47,13,DraftKings,8500
5,Derrick Henry,TEN,RB,12,CIN,11,15,18.51,2.23,10,DraftKings,8300
6,Patrick Mahomes,KC,QB,12,LAR,12,11,27.06,3.3,9,DraftKings,8200
7,Lamar Jackson,BAL,QB,12,JAX,19,23,21.31,2.66,7,DraftKings,8000
7,Cooper Kupp,LAR,WR,12,KC,27,29,0,0,0,DraftKings,8000
9,Nick Chubb,CLE,RB,12,TB,9,4,14.92,1.91,3,DraftKings,7800
10,Travis Kelce,KC,TE,12,LAR,12,11,19.45,2.53,13,DraftKings,7700
10,DeAndre Hopkins,ARI,WR,12,LAC,25,10,18.53,2.41,17,DraftKings,7700
10,Josh Jacobs,LV,RB,12,SEA,22,24,17.14,2.23,10,DraftKings,7700
13,Ja'Marr Chase,CIN,WR,12,TEN,18,30,0,0,0,DraftKings,7600
14,Justin Fields,CHI,QB,12,NYJ,5,9,0,0,0,DraftKings,7400
15,Jaylen Waddle,MIA,WR,12,HOU,21,5,16.36,2.24,12,DraftKings,7300
15,Alvin Kamara,NO,RB,12,SF,1,2,15.72,2.15,3,DraftKings,7300
17,Justin Herbert,LAC,QB,12,ARI,30,29,19.8,2.83,9,DraftKings,7000
17,Joe Mixon,CIN,RB,12,TEN,18,3,0,0,0,DraftKings,7000
19,Tua Tagovailoa,MIA,QB,12,HOU,21,3,19.95,2.89,17,DraftKings,6900
19,Kenneth Walker III,SEA,RB,12,LV,26,27,17.53,2.54,21,DraftKings,6900
19,Tee Higgins,CIN,WR,12,TEN,18,30,16.89,2.45,19,DraftKings,6900
22,Kyler Murray,ARI,QB,12,LAC,25,17,19.95,2.93,5,DraftKings,6800
22,Deebo Samuel,SF,WR,12,NO,17,22,15.05,2.21,6,DraftKings,6800
24,Joe Burrow,CIN,QB,12,TEN,18,26,19.84,2.96,7,DraftKings,6700
24,Travis Etienne Jr.,JAX,RB,12,BAL,15,5,15.8,2.36,11,DraftKings,6700
24,Mike Evans,TB,WR,12,CLE,24,21,15.41,2.3,7,DraftKings,6700
27,James Conner,ARI,RB,12,LAC,25,30,15.57,2.36,13,DraftKings,6600
27,Chris Olave,NO,WR,12,SF,1,19,13.24,2.01,3,DraftKings,6600
29,Mark Andrews,BAL,TE,12,JAX,19,14,16.76,2.58,14,DraftKings,6500
29,DK Metcalf,SEA,WR,12,LV,26,14,14.9,2.29,13,DraftKings,6500
29,Christian Kirk,JAX,WR,12,BAL,15,24,13.49,2.08,6,DraftKings,6500
32,Amari Cooper,CLE,WR,12,TB,9,15,14.47,2.26,3,DraftKings,6400
32,David Montgomery,CHI,RB,12,NYJ,5,9,13.12,2.05,5,DraftKings,6400
32,Brandon Aiyuk,SF,WR,12,NO,17,22,12.88,2.01,2,DraftKings,6400
35,Mike Williams,LAC,WR,12,ARI,30,13,0,0,0,DraftKings,6300
36,Tyler Lockett,SEA,WR,12,LV,26,14,14.88,2.4,13,DraftKings,6200
37,Keenan Allen,LAC,WR,12,ARI,30,13,15.18,2.49,23,DraftKings,6100
37,Dameon Pierce,HOU,RB,12,MIA,23,11,13.86,2.27,9,DraftKings,6100
39,Geno Smith,SEA,QB,12,LV,26,30,19.25,3.21,15,DraftKings,6000
39,Chris Godwin,TB,WR,12,CLE,24,21,14.91,2.48,14,DraftKings,6000
39,Cordarrelle Patterson,ATL,RB,12,WAS,10,6,10.37,1.73,1,DraftKings,6000
42,Jeff Wilson Jr.,MIA,RB,12,HOU,21,32,15.59,2.64,34,DraftKings,5900
42,Tyler Boyd,CIN,WR,12,TEN,18,30,13.22,2.24,4,DraftKings,5900
44,Tom Brady,TB,QB,12,CLE,24,13,18.36,3.17,6,DraftKings,5800
44,Terry McLaurin,WAS,WR,12,ATL,29,31,15.01,2.59,18,DraftKings,5800
44,Leonard Fournette,TB,RB,12,CLE,24,31,0,0,0,DraftKings,5800
47,Derek Carr,LV,QB,12,SEA,22,21,15.79,2.77,4,DraftKings,5700
47,JuJu Smith-Schuster,KC,WR,12,LAR,12,20,13.99,2.45,8,DraftKings,5700
47,Kenyan Drake,BAL,RB,12,JAX,19,16,6.53,1.15,1,DraftKings,5700
