Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Davante Adams,LV,WR,15,NE,6,7,20.32,2.26,12,DraftKings,9000
2,Austin Ekeler,LAC,RB,15,TEN,27,3,19.88,2.34,13,DraftKings,8500
3,Ja'Marr Chase,CIN,WR,15,TB,11,13,18.84,2.27,17,DraftKings,8300
4,Jalen Hurts,PHI,QB,15,CHI,18,18,24.97,3.05,13,DraftKings,8200
5,Patrick Mahomes,KC,QB,15,HOU,17,2,27.18,3.36,15,DraftKings,8100
5,Josh Jacobs,LV,RB,15,NE,6,2,18.23,2.25,20,DraftKings,8100
7,Derrick Henry,TEN,RB,15,LAC,23,28,18.66,2.33,23,DraftKings,8000
7,A.J. Brown,PHI,WR,15,CHI,18,16,18.56,2.32,6,DraftKings,8000
9,Travis Kelce,KC,TE,15,HOU,17,19,18.86,2.42,17,DraftKings,7800
9,Amon-Ra St. Brown,DET,WR,15,NYJ,3,2,17.42,2.23,13,DraftKings,7800
11,DeAndre Hopkins,ARI,WR,15,DEN,4,1,15.5,2.01,5,DraftKings,7700
12,Justin Fields,CHI,QB,15,PHI,2,1,19.75,2.67,5,DraftKings,7400
13,CeeDee Lamb,DAL,WR,15,JAX,22,26,17.74,2.43,14,DraftKings,7300
14,Justin Herbert,LAC,QB,15,TEN,27,31,20.93,2.91,11,DraftKings,7200
14,Joe Mixon,CIN,RB,15,TB,11,7,15.07,2.09,5,DraftKings,7200
16,Tony Pollard,DAL,RB,15,JAX,22,19,15.06,2.12,6,DraftKings,7100
17,Joe Burrow,CIN,QB,15,TB,11,13,20.42,2.92,8,DraftKings,7000
17,Rhamondre Stevenson,NE,RB,15,LV,28,24,13.57,1.94,11,DraftKings,7000
19,James Conner,ARI,RB,15,DEN,4,12,15.35,2.22,17,DraftKings,6900
19,Tee Higgins,CIN,WR,15,TB,11,13,13.73,1.99,8,DraftKings,6900
19,Kyler Murray,ARI,QB,15,DEN,4,4,0,0,0,DraftKings,6900
22,Alvin Kamara,NO,RB,15,ATL,29,23,16.74,2.46,21,DraftKings,6800
22,Keenan Allen,LAC,WR,15,TEN,27,32,16.06,2.36,18,DraftKings,6800
24,Chris Godwin,TB,WR,15,CIN,9,6,15.04,2.24,12,DraftKings,6700
25,Christian Kirk,JAX,WR,15,DAL,5,20,13.86,2.1,11,DraftKings,6600
26,Miles Sanders,PHI,RB,15,CHI,18,29,14.67,2.26,11,DraftKings,6500
26,Chris Olave,NO,WR,15,ATL,29,27,13.84,2.13,13,DraftKings,6500
28,DeVonta Smith,PHI,WR,15,CHI,18,16,14.05,2.2,9,DraftKings,6400
29,David Montgomery,CHI,RB,15,PHI,2,15,13.86,2.2,10,DraftKings,6300
29,Mike Williams,LAC,WR,15,TEN,27,32,13.57,2.15,13,DraftKings,6300
31,Dak Prescott,DAL,QB,15,JAX,22,25,19.35,3.12,8,DraftKings,6200
31,Mike Evans,TB,WR,15,CIN,9,6,13.54,2.18,8,DraftKings,6200
31,Ezekiel Elliott,DAL,RB,15,JAX,22,19,11.9,1.92,4,DraftKings,6200
34,Jerry Jeudy,DEN,WR,15,ARI,30,11,13.82,2.27,10,DraftKings,6100
35,Trevor Lawrence,JAX,QB,15,DAL,5,3,17.49,2.92,5,DraftKings,6000
35,Garrett Wilson,NYJ,WR,15,DET,32,31,13.98,2.33,18,DraftKings,6000
35,Travis Etienne Jr.,JAX,RB,15,DAL,5,5,13.25,2.21,12,DraftKings,6000
38,Isiah Pacheco,KC,RB,15,HOU,17,32,12.26,2.08,11,DraftKings,5900
38,Cordarrelle Patterson,ATL,RB,15,NO,13,10,10.66,1.81,3,DraftKings,5900
40,JuJu Smith-Schuster,KC,WR,15,HOU,17,4,14.32,2.47,10,DraftKings,5800
40,Dameon Pierce,HOU,RB,15,KC,25,16,0,0,0,DraftKings,5800
40,Damien Harris,NE,RB,15,LV,28,24,0,0,0,DraftKings,5800
43,Jared Goff,DET,QB,15,NYJ,3,8,15.34,2.69,3,DraftKings,5700
43,Najee Harris,PIT,RB,15,CAR,15,21,12.41,2.18,5,DraftKings,5700
