Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FantasyPointsDraftKings,FantasyPointsPerDollarRatioDraftKings,ProjectedOwnershipPercentage,Operator,OperatorSalary
1,Cooper Kupp,LAR,WR,9,TB,13,14,21.41,2.41,10,DraftKings,8900
2,Austin Ekeler,LAC,RB,9,ATL,31,20,23.36,2.65,15,DraftKings,8800
3,Justin Jefferson,MIN,WR,9,WAS,17,26,24.95,2.9,9,DraftKings,8600
4,Josh Allen,BUF,QB,9,NYJ,8,8,26.01,3.06,14,DraftKings,8500
4,Tyreek Hill,MIA,WR,9,CHI,10,6,20.73,2.44,15,DraftKings,8500
6,Stefon Diggs,BUF,WR,9,NYJ,8,8,20.55,2.45,13,DraftKings,8400
7,Davante Adams,LV,WR,9,JAX,14,19,17.68,2.18,9,DraftKings,8100
8,DeAndre Hopkins,ARI,WR,9,SEA,25,3,19.11,2.42,19,DraftKings,7900
9,Dalvin Cook,MIN,RB,9,WAS,17,22,16.24,2.08,6,DraftKings,7800
10,Ja'Marr Chase,CIN,WR,9,CAR,20,20,0,0,0,DraftKings,7700
10,Jonathan Taylor,IND,RB,9,NE,15,2,0,0,0,DraftKings,7700
12,Kyler Murray,ARI,QB,9,SEA,25,21,21.95,2.97,7,DraftKings,7400
12,Aaron Jones,GB,RB,9,DET,32,30,17.97,2.43,17,DraftKings,7400
12,Jaylen Waddle,MIA,WR,9,CHI,10,6,16.62,2.25,5,DraftKings,7400
15,Josh Jacobs,LV,RB,9,JAX,14,26,17.97,2.46,15,DraftKings,7300
15,Tee Higgins,CIN,WR,9,CAR,20,20,17.39,2.38,10,DraftKings,7300
17,Justin Herbert,LAC,QB,9,ATL,31,29,21.32,2.96,6,DraftKings,7200
17,Mike Evans,TB,WR,9,LAR,7,16,15.37,2.13,5,DraftKings,7200
19,Gabe Davis,BUF,WR,9,NYJ,8,8,11.46,1.66,5,DraftKings,6900
20,Michael Pittman Jr.,IND,WR,9,NE,15,10,12.49,1.84,3,DraftKings,6800
21,Tua Tagovailoa,MIA,QB,9,CHI,10,11,19.14,2.86,5,DraftKings,6700
21,Mike Williams,LAC,WR,9,ATL,31,31,0,0,0,DraftKings,6700
23,Joe Burrow,CIN,QB,9,CAR,20,13,20.52,3.11,6,DraftKings,6600
23,Amon-Ra St. Brown,DET,WR,9,GB,6,9,17.31,2.62,20,DraftKings,6600
23,Leonard Fournette,TB,RB,9,LAR,7,11,15.46,2.34,6,DraftKings,6600
26,Joe Mixon,CIN,RB,9,CAR,20,25,17.32,2.66,16,DraftKings,6500
26,Keenan Allen,LAC,WR,9,ATL,31,31,0,0,0,DraftKings,6500
28,DK Metcalf,SEA,WR,9,ARI,26,12,13.66,2.13,10,DraftKings,6400
28,D'Andre Swift,DET,RB,9,GB,6,23,12.94,2.02,2,DraftKings,6400
30,Travis Etienne Jr.,JAX,RB,9,LV,28,24,17.7,2.81,31,DraftKings,6300
