"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Maxx Williams","76","252","104","27","59","21","1","9","0.23","89","0.98","67.6","4","Amani Hooker","71","210","336","7","0.12","79","0.64","70.6"
"Kyle Pitts","78","240","","","","","","","","","","","24","K'Von Wallace","71","205","102","9","0.13","78","0.58","52.4"
"Mark Andrews","77","256","350","1","27","63","9","25","0.49","66","2","81.8","-3","K.J. Wright","76","246","527","15","0.23","74","0.91","74.8"
"Dawson Knox","76","254","256","15","43","28","7","18","0.28","53","1.12","62.6","4","Joe Schobert","73","245","516","14","0.26","79","1.19","54.2"
"Dan Arnold","78","220","298","2","40","46","9","14","0.33","74","1.47","60.7","2","C.J. Mosley","74","250","","","","","",""
"Cole Kmet","78","258","258","20","50","32","16","16","0.25","67","0.94","59.6","8","Kenny Young","73","234","249","15","0.31","84","1.11","42"
"C.J. Uzomah","78","265","65","6","62","25","13","17","0.35","73","1.34","58.8","-20","Eric Kendricks","72","232","381","11","0.15","74","0.71","81.5"
"Austin Hooper","76","254","304","14","66","24","8","21","0.37","71","1.43","68.3","14","Anthony Hitchens","72","235","245","13","0.2","78","0.95","51.3"
"Dalton Schultz","77","244","553","8","39","50","10","15","0.27","74","1.11","63.9","14","Devin White","72","237","541","18","0.34","88","1.38","43.5"
"Noah Fant","76","249","410","7","79","15","6","22","0.36","70","1.64","71.2","8","Reggie Ragland","74","252","158","13","0.25","75","1.15","48.7"
"T.J. Hockenson","77","247","460","8","45","40","15","21","0.38","70","1.57","75.5","8","Dre Greenlaw","72","227","328","16","0.26","85","1.11","60.3"
"Robert Tonyan","77","237","370","7","47","37","17","16","0.48","90","1.58","68","12","Demario Davis","74","248","485","11","0.18","73","0.51","78.2"
"Pharaoh Brown","78","258","110","17","59","14","14","14","0.38","93","1.48","85.1","12","Rayshawn Jenkins","73","220","474","12","0.2","71","0.76","70.3"
"Jack Doyle","78","262","221","6","56","35","8","15","0.3","70","1.14","67.1","11","Jordyn Brooks","73","245","153","22","0.35","71","1.57","48.2"
"James O'Shaughnessy","76","245","218","15","63","27","9","17","0.25","74","1.2","57.6","1","Eric Murray","71","199","479","15","0.31","81","1.29","53.7"
"Travis Kelce","77","260","566","7","36","24","38","25","0.55","76","2.5","93.5","65","Jeremiah Owusu-Koramoah","74","215","","","","","",""
"Tyler Higbee","78","255","322","21","73","15","12","18","0.39","75","1.62","69.5","10","Roquan Smith","73","225","534","16","0.2","70","0.79","67.4"
"Jared Cook","77","254","321","1","16","56","28","18","0.4","63","1.57","71.9","27","Jon Bostic","73","245","486","13","0.22","75","0.94","52.8"
"Darren Waller","78","255","524","11","56","20","24","27","0.54","76","2.28","86.5","27","Chuck Clark","72","205","600","7","0.11","65","0.47","69.2"
"Mike Gesicki","78","245","439","2","13","68","19","19","0.36","65","1.6","78.1","7","Adrian Phillips","71","210","362","11","0.19","78","0.88","67.5"
"Chris Herndon","76","253","329","23","64","18","14","13","0.24","70","0.87","58","-23","Vonn Bell","71","205","549","10","0.22","65","0.87","71.7"
"Jonnu Smith","75","248","300","15","53","30","13","21","0.45","65","1.49","75.3","8","Eric Rowe","73","205","519","14","0.2","64","0.98","58.9"
"Adam Trautman","78","253","146","16","50","31","17","11","0.26","94","1.17","79.9","25","De'Vondre Campbell","76","232","444","13","0.2","72","0.93","49.5"
"Kyle Rudolph","78","265","247","15","89","6","2","14","0.27","80","1.35","66.9","-7","Josey Jewell","73","234","519","13","0.22","76","0.98","68.1"
"Tyler Kroft","78","252","143","13","41","28","10","12","0.29","71","0.83","63.9","1","Shaq Thompson","72","230","541","15","0.23","78","0.95","50.5"
"Zach Ertz","77","250","364","10","36","49","15","19","0.21","53","0.92","57.2","-33","Deion Jones","73","227","569","10","0.18","76","0.67","68.8"
"Eric Ebron","76","253","472","5","54","35","11","18","0.3","66","1.18","55.7","1","Matt Milano","72","223","171","20","0.28","65","1.21","56"
"Gerald Everett","75","240","286","17","54","18","27","21","0.31","69","1.46","62.8","9","Bobby Okereke","73","239","406","16","0.32","82","1.39","49.8"
"George Kittle","76","250","223","13","59","32","7","28","0.55","76","2.84","84.9","38","Will Harris","74","207","164","14","0.27","70","0.96","52.9"
"Rob Gronkowski","78","268","396","15","82","12","6","19","0.38","60","1.57","72.4","46","Micah Parsons","75","240","","","","","",""
"Anthony Firkser","74","246","232","1","11","71","18","22","0.36","78","1.67","78.1","4","Jalen Thompson","72","190","144","7","0.09","70","0.43","71.1"
"Logan Thomas","78","250","609","5","20","65","13","17","0.29","69","1.1","64.6","6","Kyzir White","74","218","288","16","0.3","78","1.16","51.6"
