player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Connor Williams,46216,G,DAL,9,100.0,0,9,70.3,70.8,67.2,1,13,430,100.0,100.0,97.9,1,16,2,680,0,680,0,680,448,448,0,0,232,0
Chris Lindstrom,46692,G,ATL,9,100.0,0,2,76.5,71.5,74.7,5,8,383,100.0,100.0,97.5,0,16,3,653,0,0,0,653,404,404,653,0,249,0
Jake Matthews,8641,T,ATL,9,100.0,0,2,71.5,80.2,58.1,4,13,383,100.0,100.0,97.5,3,18,1,653,0,0,652,653,404,404,0,0,249,1
Alex Mack,4944,C,ATL,9,100.0,0,2,66.6,62.5,68.8,4,8,382,100.0,100.0,98.2,2,13,1,652,652,0,0,652,403,403,0,0,249,0
Charles Leno Jr.,8880,T,CHI,9,100.0,0,6,66.0,66.0,62.0,6,22,401,100.0,100.0,96.0,3,30,2,613,0,0,612,613,417,417,0,0,196,1
Germain Ifedi,10665,G,CHI,9,100.0,0,6,63.8,60.8,61.3,3,14,401,100.0,100.0,97.6,2,18,1,613,0,0,0,613,417,417,613,0,196,0
Dan Feeney,11826,C,LAC,8,100.0,0,27,50.7,57.8,49.9,2,10,332,100.0,100.0,97.6,2,14,2,606,606,0,0,606,358,358,0,0,248,0
Forrest Lamp,11793,G,LAC,8,100.0,0,27,51.3,68.0,43.1,5,7,332,100.0,100.0,98.2,0,12,0,606,0,606,0,606,358,358,0,0,248,0
Laken Tomlinson,9461,G,SF,9,99.8,0,28,76.0,61.8,76.6,9,8,337,100.0,99.7,96.6,0,20,3,604,0,603,0,605,355,356,0,0,249,0
Tristan Wirfs,64818,T,TB,9,100.0,0,30,75.0,78.7,66.5,6,9,362,100.0,100.0,97.7,3,16,1,602,0,0,0,602,390,390,0,602,212,0
Alex Cappa,66578,G,TB,9,100.0,2,30,62.5,72.1,52.8,6,9,362,100.0,100.0,97.9,2,15,0,602,0,0,0,602,390,390,602,0,212,0
Sam Tevi,11945,T,LAC,8,100.0,0,27,58.7,61.0,52.7,6,10,328,100.0,100.0,97.3,4,17,1,600,0,0,593,600,353,353,0,0,247,7
Mike McGlinchey,46275,T,SF,9,100.0,0,28,80.9,63.2,89.4,7,8,336,100.0,100.0,97.2,3,17,2,600,0,0,0,600,355,355,0,598,245,0
Eric Fisher,7783,T,KC,9,99.8,0,16,80.9,75.7,75.8,4,17,375,99.7,99.7,96.9,1,22,1,600,0,0,599,601,398,399,0,0,202,2
Daniel Brunskill,34807,C,SF,9,100.0,0,28,59.0,51.4,60.6,4,10,335,100.0,100.0,97.0,2,17,3,596,57,0,0,596,354,354,537,0,242,0
Daryl Williams,9535,T,BUF,9,100.0,0,4,79.7,77.2,82.4,1,13,357,100.0,100.0,97.5,5,16,2,595,0,0,0,595,380,380,0,595,215,0
Ryan Jensen,7985,C,TB,9,100.0,0,30,66.2,63.0,70.1,4,6,360,100.0,100.0,98.1,3,12,2,593,593,0,0,593,388,388,0,0,205,0
Donovan Smith,9467,T,TB,9,100.0,1,30,68.4,67.2,69.8,7,13,360,100.0,100.0,96.1,9,24,4,592,0,0,592,592,388,388,0,0,204,0
Taylor Moton,11819,T,CAR,9,100.0,1,5,78.4,75.9,73.3,0,9,351,100.0,100.0,98.1,2,11,2,583,0,0,0,583,376,376,0,583,207,0
Matt Paradis,8841,C,CAR,9,100.0,0,5,70.0,75.6,64.6,1,4,349,100.0,100.0,99.0,0,6,1,581,581,0,0,581,374,374,0,0,207,0
Nick Gates,29476,C,NYG,9,100.0,1,21,55.0,56.4,57.4,0,12,348,100.0,100.0,98.3,6,12,0,581,580,0,0,581,377,377,0,0,204,0
Kevin Zeitler,7032,G,NYG,9,100.0,0,21,59.6,63.1,55.7,0,20,348,100.0,100.0,97.1,2,20,0,581,0,0,2,581,377,377,578,0,204,0
Dion Dawkins,11818,T,BUF,9,100.0,0,4,78.2,77.5,71.7,2,12,348,100.0,100.0,97.1,1,17,3,580,0,0,580,580,369,369,0,0,211,0
Terence Steele,39461,T,DAL,9,100.0,1,9,46.8,46.2,51.6,4,22,350,100.0,100.0,94.3,5,33,7,579,0,0,1,579,365,365,0,578,214,0
James Carpenter,6177,G,ATL,9,100.0,0,2,54.9,68.4,47.7,1,12,335,100.0,100.0,97.5,0,15,2,578,0,578,0,578,354,354,0,0,224,0
Kelvin Beachum,7229,T,ARZ,8,100.0,0,1,71.9,76.5,68.3,2,11,310,100.0,100.0,97.9,3,13,0,571,0,0,1,571,339,339,1,567,232,2
D.J. Humphries,9457,T,ARZ,8,100.0,0,1,80.1,72.2,84.7,2,10,310,100.0,100.0,97.4,4,14,2,570,0,0,569,570,339,339,0,0,231,1
Nate Herbig,28844,G,PHI,8,100.0,0,24,64.0,64.1,63.7,0,15,357,100.0,100.0,97.3,3,17,2,569,2,346,0,569,383,383,221,0,186,0
Jason Kelce,6343,C,PHI,8,100.0,0,24,75.5,64.5,79.7,1,7,357,100.0,100.0,98.0,2,11,3,569,567,0,0,569,383,383,0,0,186,0
Austin Blythe,10882,C,LA,8,100.0,0,26,68.0,57.0,69.2,4,6,301,100.0,100.0,98.0,0,11,1,564,564,0,0,564,316,316,0,0,248,0
Austin Corbett,46290,G,LA,8,100.0,0,26,69.0,57.5,70.6,1,10,301,100.0,100.0,97.8,1,12,1,564,0,0,0,564,316,316,564,0,248,0
Rob Havenstein,9490,T,LA,8,100.0,0,26,80.8,68.3,84.1,2,9,301,100.0,100.0,97.5,1,13,2,564,0,0,0,564,316,316,0,564,248,0
Andrew Whitworth,3000,T,LA,8,100.0,0,26,86.3,89.8,80.3,0,6,301,100.0,100.0,99.0,5,6,0,564,0,0,564,564,316,316,0,0,248,0
Greg Van Roten,7746,G,NYJ,9,100.0,0,22,67.6,72.4,60.5,1,15,338,100.0,100.0,97.3,0,17,1,562,0,0,0,562,367,367,562,0,195,0
Ali Marpet,9494,G,TB,8,100.0,0,30,84.7,78.9,81.6,4,3,321,100.0,100.0,98.9,0,7,0,552,0,552,0,552,346,346,0,0,206,0
Erik McCoy,37347,C,NO,8,100.0,0,20,69.2,56.3,71.2,2,7,305,100.0,100.0,98.5,1,9,0,552,552,0,0,552,318,318,0,0,234,0
Alejandro Villanueva,9091,T,PIT,8,99.8,0,25,76.4,77.5,66.5,5,13,306,99.7,99.7,96.4,1,20,2,549,0,0,544,550,332,333,0,0,217,6
