player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Forrest Lamp,11793,G,LAC,10,100.0,0,27,51.7,68.1,42.8,7,11,422,100.0,100.0,97.6,0,19,1,751,0,751,0,751,453,453,0,0,298,0
Dan Feeney,11826,C,LAC,10,100.0,0,27,46.7,54.4,45.4,2,13,422,100.0,100.0,97.5,2,18,3,751,751,0,0,751,453,453,0,0,298,0
Tristan Wirfs,64818,T,TB,11,100.0,0,30,78.6,78.9,72.8,7,11,452,100.0,100.0,97.8,3,19,1,751,0,0,0,751,485,485,0,751,266,0
Alex Cappa,66578,G,TB,11,100.0,2,30,63.9,65.9,58.3,10,11,452,100.0,100.0,97.7,2,21,0,748,0,0,0,748,485,485,748,0,263,0
Connor Williams,46216,G,DAL,10,100.0,0,9,71.4,71.6,68.2,1,14,464,100.0,100.0,98.0,1,17,2,746,0,746,0,746,483,483,0,0,263,0
Sam Tevi,11945,T,LAC,10,100.0,0,27,57.6,61.4,49.5,7,12,418,100.0,100.0,97.2,4,21,2,745,0,0,737,745,448,448,0,0,297,8
Ryan Jensen,7985,C,TB,11,100.0,0,30,63.5,60.3,68.2,4,9,450,100.0,100.0,97.9,4,16,3,739,595,144,0,739,483,483,0,0,256,0
Donovan Smith,9467,T,TB,11,100.0,1,30,68.2,66.3,68.9,7,20,447,100.0,100.0,95.9,9,32,5,733,0,0,733,733,480,480,0,0,253,0
Jake Matthews,8641,T,ATL,10,100.0,0,2,72.5,81.7,57.1,4,14,428,100.0,100.0,97.4,3,20,2,715,0,0,714,715,452,452,0,0,263,1
Chris Lindstrom,46692,G,ATL,10,100.0,0,2,75.7,74.3,73.6,5,9,428,100.0,100.0,97.7,1,17,3,715,0,0,0,715,452,452,715,0,263,0
Alex Mack,4944,C,ATL,10,100.0,0,2,65.4,59.5,68.2,6,9,427,100.0,100.0,98.0,2,16,1,714,714,0,0,714,451,451,0,0,263,0
Kelvin Beachum,7229,T,ARZ,10,100.0,0,1,71.1,76.5,66.6,3,13,396,100.0,100.0,97.7,4,17,1,711,0,0,1,711,429,429,1,707,282,2
D.J. Humphries,9457,T,ARZ,10,100.0,0,1,82.2,76.4,86.4,2,12,396,100.0,100.0,97.7,6,16,2,710,0,0,708,710,429,429,0,0,281,2
Austin Blythe,10882,C,LA,10,100.0,0,26,69.9,59.0,71.2,4,8,393,100.0,100.0,98.2,0,13,1,706,706,0,0,706,410,410,0,0,296,0
Austin Corbett,46290,G,LA,10,100.0,0,26,74.4,59.9,76.7,1,12,393,100.0,100.0,98.1,1,14,1,706,0,0,0,706,410,410,706,0,296,0
Rob Havenstein,9490,T,LA,10,100.0,0,26,81.4,71.0,82.9,2,13,393,100.0,100.0,97.6,2,17,2,706,0,0,0,706,410,410,0,706,296,0
Taylor Moton,11819,T,CAR,11,100.0,1,5,80.9,78.7,74.7,0,9,420,100.0,100.0,98.5,2,11,2,702,0,0,0,702,448,448,0,702,254,0
Matt Paradis,8841,C,CAR,11,100.0,0,5,70.3,76.1,64.7,1,5,418,100.0,100.0,99.0,0,7,1,700,700,0,0,700,446,446,0,0,254,0
Jason Kelce,6343,C,PHI,10,100.0,0,24,76.0,61.5,81.5,2,7,435,100.0,100.0,98.0,3,13,4,700,698,0,0,700,466,466,0,0,234,0
Alejandro Villanueva,9091,T,PIT,10,99.9,0,25,75.4,79.1,61.5,9,15,398,99.7,99.8,96.5,1,26,2,697,0,0,692,698,431,432,0,0,266,6
Mark Glowinski,9567,G,IND,10,100.0,1,14,71.6,69.7,67.5,5,14,363,100.0,100.0,97.1,2,20,1,696,0,0,0,696,390,390,696,0,306,0
Matt Feiler,9289,G,PIT,10,100.0,0,25,65.5,73.4,59.1,1,8,399,100.0,100.0,98.4,2,11,2,695,0,695,0,695,432,432,0,0,263,0
Quenton Nelson,12954,G,IND,10,100.0,2,14,79.0,81.2,74.8,0,6,363,100.0,100.0,99.2,7,6,0,690,0,690,0,690,390,390,0,0,300,0
Ryan Kelly,10652,C,IND,10,100.0,0,14,71.1,70.1,68.3,2,4,362,100.0,100.0,98.9,0,7,1,689,689,0,0,689,389,389,0,0,300,0
