player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Stefon Diggs,9579,WR,BUF,1,16,0,4,5.0,1,100.0,,0,0,0.0,0,1,0,68.3,65.6,0,16,0.0,0,10,2,90.0,9,114.6,2,22.2,0,23,13,6.5,11.5,2.56,0,6.0,1,70.0,100.0,1,1,0.0,0,2,0,75.6,69.2,0,18,0.0,0,32,7,96.9,31,84.2,10,32.3,0,57,22,3.1,8.1,1.84
CeeDee Lamb,61570,WR,DAL,1,15,0,9,15.5,0,50.0,0.0,0,1,0.0,0,1,0,64.7,69.6,0,30,0.0,0,12,1,91.7,11,95.8,2,18.2,0,30,8,8.0,30.0,2.73,0,10.0,0,72.7,50.0,1,2,11.1,1,5,0,54.5,75.2,1,35,0.0,0,25,8,96.0,24,94.1,11,45.8,1,103,28,3.5,12.9,4.29
Justin Jefferson,61398,WR,MIN,1,15,0,18,17.0,2,66.7,66.7,2,3,0.0,0,2,0,68.3,91.2,0,46,0.0,0,12,2,100.0,12,149.3,3,25.0,1,68,28,14.0,34.0,5.67,0,14.8,0,66.7,80.0,4,5,14.3,1,5,0,49.7,89.0,1,32,0.0,0,36,6,94.4,34,67.1,9,26.5,0,106,4,0.7,17.7,3.12
DeAndre Hopkins,7808,WR,ARZ,1,14,0,1,,0,,,0,0,,0,0,0,,54.4,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,7.0,1,70.0,100.0,3,3,0.0,0,3,0,75.6,70.0,0,25,0.0,0,29,7,100.0,29,90.4,10,34.5,0,72,26,3.7,10.3,2.48
Rondale Moore,62890,WR,ARZ,1,13,0,1,25.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,91.2,0,26,0.0,0,5,1,80.0,4,118.8,1,25.0,0,26,1,1.0,26.0,6.5,0,6.4,1,63.6,0.0,0,1,12.5,1,2,0,52.1,64.8,0,14,0.0,0,30,7,96.7,29,78.6,11,37.9,0,62,38,5.4,8.9,2.14
Davante Adams,8688,WR,LV,1,13,0,23,7.0,3,33.3,0.0,0,2,0.0,0,1,0,64.7,73.4,0,12,0.0,0,9,1,100.0,9,46.5,3,33.3,0,12,17,17.0,12.0,1.33,0,10.0,1,71.4,0.0,0,1,0.0,0,3,0,74.6,78.2,0,16,0.0,0,21,5,95.2,20,92.6,7,35.0,0,52,28,5.6,10.4,2.6
Amon-Ra St. Brown,84470,WR,DET,1,12,0,11,5.0,0,66.7,,0,0,0.0,0,2,0,68.3,71.3,0,5,0.0,0,13,2,76.9,10,71.5,3,30.0,0,10,8,4.0,5.0,1.0,0,5.1,0,100.0,,0,0,0.0,0,5,0,75.6,90.7,0,22,0.0,0,16,7,100.0,16,118.8,7,43.8,0,95,59,8.4,13.6,5.94
Terry McLaurin,48229,WR,WAS,1,11,0,32,11.5,0,100.0,,0,0,0.0,0,1,0,68.3,62.8,0,18,0.0,0,14,2,85.7,12,118.8,2,16.7,0,27,4,2.0,13.5,2.25,0,17.2,0,66.7,60.0,3,5,0.0,0,4,0,74.6,90.7,1,41,0.0,0,15,6,100.0,15,64.8,9,60.0,0,101,27,4.5,16.8,6.73
Austin Ekeler,12164,HB,LAC,1,11,0,27,5.0,0,100.0,,0,0,0.0,0,1,0,64.7,77.2,0,14,0.0,0,3,1,100.0,3,118.8,1,33.3,0,14,9,9.0,14.0,4.67,0,-1.1,0,42.9,0.0,0,1,25.0,1,0,0,36.8,39.6,0,8,0.0,0,25,3,96.0,24,50.3,7,29.2,0,15,15,5.0,5.0,0.63
Courtland Sutton,48164,WR,DEN,1,10,0,10,14.0,0,33.3,0.0,0,1,0.0,0,0,0,64.7,56.3,1,7,0.0,0,13,1,84.6,11,2.8,3,27.3,0,7,3,3.0,7.0,0.64,0,10.3,0,71.4,50.0,1,2,16.7,1,3,0,46.3,62.3,0,17,0.0,0,39,5,92.3,36,96.7,7,19.4,0,59,2,0.4,11.8,1.64
