player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Stefon Diggs,9579,WR,BUF,1,8.2,2,75.0,50.0,1,2,0,7.7,1,6,4,0,62.1,71.9,75.2,,76.0,0.0,0,0,25,0.0,0,51,1,12,96.1,49,33.3,17,97.9,16,0,66.7,34,128,47,3.9,10.7,2.61
CeeDee Lamb,61570,WR,DAL,1,10.1,3,73.3,33.3,1,3,0,8.3,1,8,9,0,60.2,71.5,77.3,,77.2,2.1,1,1,35,0.0,0,48,0,11,95.8,46,56.3,27,116.7,15,2,37.5,18,150,42,3.8,13.6,3.26
Justin Jefferson,61398,WR,MIN,1,14.5,2,66.7,77.8,7,9,0,9.1,1,8,18,0,58.9,71.1,91.1,,90.8,0.0,0,1,46,0.0,0,60,0,10,93.3,56,16.7,10,104.2,15,1,83.3,50,193,33,3.3,19.3,3.45
DeAndre Hopkins,7808,WR,ARZ,1,6.5,1,71.4,100.0,3,3,0,0.0,0,4,1,0,78.0,71.1,70.6,,69.7,0.0,0,0,25,0.0,0,41,0,10,97.6,40,24.4,10,90.8,14,0,75.6,31,98,33,3.3,9.8,2.45
Rondale Moore,62890,WR,ARZ,1,7.7,1,69.2,50.0,1,2,0,10.0,1,4,1,0,56.7,70.6,75.0,,73.8,0.0,0,0,26,0.0,0,40,0,9,95.0,38,45.0,18,89.9,13,0,50.0,20,94,40,4.4,10.4,2.47
Davante Adams,8688,WR,LV,1,9.5,5,69.2,0.0,0,3,0,0.0,0,5,23,0,78.7,71.5,90.6,,90.0,0.0,0,0,48,0.0,0,43,0,9,90.7,39,34.9,15,125.8,13,1,65.1,28,126,74,8.2,14.0,3.23
Amon-Ra St. Brown,84470,WR,DET,1,8.4,0,83.3,,0,0,0,0.0,0,8,11,0,78.0,71.7,88.8,,90.2,0.0,0,0,22,0.0,0,32,0,10,90.6,29,46.9,15,108.0,12,0,50.0,16,119,79,7.9,11.9,4.1
Terry McLaurin,48229,WR,WAS,1,16.2,0,72.7,60.0,3,5,0,0.0,0,5,32,0,76.5,70.1,82.3,,81.4,0.0,0,1,41,0.0,0,34,0,8,94.1,32,26.5,9,73.3,11,0,73.5,25,128,31,3.9,16.0,4.0
Austin Ekeler,12164,HB,LAC,1,-0.7,0,63.6,0.0,0,1,0,12.5,1,1,27,0,52.5,73.9,56.8,,50.0,0.0,0,0,14,0.0,0,32,0,7,96.9,31,15.6,5,69.9,11,0,3.1,1,39,39,5.6,5.6,1.26
Courtland Sutton,48164,WR,DEN,1,11.4,0,60.0,33.3,1,3,0,14.3,1,3,10,0,49.7,68.8,62.3,,60.4,0.0,0,1,17,0.0,0,53,0,6,90.6,48,1.9,1,40.0,10,0,98.1,52,66,5,0.8,11.0,1.38
Gabriel Davis,55410,WR,BUF,1,15.7,0,60.0,100.0,2,2,0,14.3,1,5,4,0,49.7,68.8,62.2,,60.5,0.0,0,1,22,0.0,0,51,0,6,96.1,49,17.6,9,84.6,10,1,82.4,42,93,-1,-0.2,15.5,1.9
Christian Kirk,47546,WR,JAX,1,11.0,1,90.0,0.0,0,1,0,10.0,1,7,15,0,56.7,70.6,80.4,,77.9,0.0,0,0,24,0.0,0,48,0,9,95.8,46,89.6,43,150.0,10,2,10.4,5,105,29,3.2,11.7,2.28
T.J. Hockenson,40912,TE,MIN,1,6.0,0,70.0,33.3,1,3,0,12.5,1,2,18,0,52.1,69.5,64.3,47.8,54.8,47.4,27,0,16,8.8,5,57,1,7,86.0,49,43.9,25,79.2,10,0,8.8,5,45,15,2.1,6.4,0.92
D.K. Metcalf,47864,WR,SEA,1,11.1,0,66.7,33.3,1,3,0,0.0,0,5,29,0,74.6,68.8,75.6,,77.4,0.0,0,0,16,0.0,0,38,1,6,94.7,36,18.4,7,90.5,9,0,81.6,31,71,15,2.5,11.8,1.97
Donovan Peoples-Jones,61439,WR,CLV,1,17.1,0,55.6,0.0,0,3,0,0.0,0,4,8,0,73.4,68.0,73.1,,72.6,0.0,0,0,38,0.0,0,41,0,5,90.2,37,31.7,13,94.2,9,0,68.3,28,99,25,5.0,19.8,2.68
Parris Campbell,47940,WR,IND,1,2.9,3,77.8,0.0,0,1,0,12.5,1,2,14,0,52.5,69.5,61.6,,61.6,0.0,0,0,35,0.0,0,30,0,7,90.0,27,73.3,22,138.9,9,1,26.7,8,76,50,7.1,10.9,2.81
Michael Pittman Jr.,29049,WR,IND,1,7.8,1,77.8,33.3,1,3,0,0.0,0,3,14,1,77.3,19.4,65.6,,66.7,0.0,0,0,18,0.0,0,34,0,7,88.2,30,23.5,8,91.2,9,0,76.5,26,53,9,1.3,7.6,1.77
Zay Jones,11792,WR,JAX,1,8.7,0,88.9,66.7,2,3,0,0.0,0,4,15,0,76.5,70.1,62.3,,62.3,0.0,0,0,14,0.0,0,49,0,8,95.9,47,30.6,15,98.1,9,0,69.4,34,68,23,2.9,8.5,1.45
Nico Collins,61441,WR,HST,1,9.8,0,55.6,0.0,0,1,0,0.0,0,3,13,0,73.4,68.0,70.4,,70.8,0.0,0,0,13,0.0,0,37,0,5,89.2,33,13.5,5,108.1,9,1,86.5,32,49,15,3.0,9.8,1.48
Dalton Schultz,47304,TE,DAL,1,7.3,1,75.0,100.0,1,1,0,14.3,1,2,9,0,49.2,68.8,71.5,39.6,65.9,43.9,18,1,16,9.8,4,41,0,6,85.4,35,48.8,20,92.7,8,1,7.3,3,54,15,2.5,9.0,1.54
Josh Jacobs,45953,HB,LV,1,0.6,0,75.0,,0,0,0,14.3,1,1,23,0,49.2,78.7,66.9,71.1,49.4,0.0,0,0,9,6.5,2,31,0,6,83.9,26,0.0,0,79.2,8,0,9.7,3,28,24,4.0,4.7,1.08
K.J. Osborn,23503,WR,MIN,1,9.4,0,50.0,0.0,0,1,0,0.0,0,1,18,0,73.4,69.1,58.9,,58.1,0.0,0,1,20,0.0,0,54,0,4,94.4,51,59.3,32,22.4,8,0,40.7,22,35,16,4.0,8.8,0.69
Jerick McKinnon,8731,HB,KC,1,2.9,0,75.0,0.0,0,1,0,14.3,1,3,16,0,49.2,69.8,57.2,77.4,57.7,0.0,0,1,19,9.5,2,21,0,6,85.7,18,0.0,0,54.2,8,0,0.0,0,56,47,7.8,9.3,3.11
Kyle Pitts,83964,TE,ATL,1,15.8,0,25.0,,0,0,0,0.0,0,2,2,0,70.5,65.8,62.3,39.7,66.8,19.4,7,1,18,2.8,1,36,0,2,91.7,33,55.6,20,2.1,8,0,25.0,9,28,2,1.0,14.0,0.85
Christian Watson,66581,WR,GB,1,21.0,0,50.0,66.7,2,3,0,33.3,2,4,12,0,28.6,67.0,65.7,,69.6,0.0,0,0,58,0.0,0,22,0,4,95.5,21,36.4,8,135.4,8,3,63.6,14,107,26,6.5,26.8,5.1
Kenneth Walker III,97199,HB,SEA,1,-2.3,1,75.0,,0,0,0,14.3,1,2,29,0,49.2,74.9,48.5,33.3,63.6,0.0,0,0,23,11.4,4,35,0,6,82.9,29,8.6,3,93.2,8,0,11.4,4,55,69,11.5,9.2,1.9
Tyler Higbee,10744,TE,LA,1,2.5,0,100.0,,0,0,0,0.0,0,2,26,0,76.5,70.1,65.1,73.8,71.1,77.4,24,0,25,16.1,5,31,0,8,83.9,26,12.9,4,104.7,8,0,9.7,3,73,53,6.6,9.1,2.81
DeVonta Smith,61100,WR,PHI,1,6.0,1,75.0,0.0,0,1,0,0.0,0,3,24,1,74.6,68.8,76.7,,75.6,0.0,0,0,15,0.0,0,24,0,6,95.8,23,25.0,6,124.5,8,1,75.0,18,39,9,1.5,6.5,1.7
Chris Godwin,11839,WR,TB,1,8.3,0,75.0,100.0,2,2,0,14.3,1,5,30,0,49.7,68.8,74.2,65.8,73.3,0.0,0,0,19,3.4,1,29,0,6,93.1,27,69.0,20,141.1,8,1,27.6,8,71,21,3.5,11.8,2.63
Austin Hooper,10715,TE,TEN,1,7.4,2,71.4,60.0,3,5,0,0.0,0,2,31,0,73.4,68.0,71.9,66.4,76.0,28.6,8,0,17,3.6,1,28,1,5,89.3,25,60.7,17,86.0,7,0,10.7,3,41,16,3.2,8.2,1.64
Travis Kelce,7844,TE,KC,1,7.0,0,85.7,,0,0,0,0.0,0,5,16,0,74.6,68.8,83.0,55.6,84.0,35.3,12,0,46,11.8,4,34,0,6,85.3,29,44.1,15,154.5,7,1,20.6,7,81,38,6.3,13.5,2.79
Nick Westbrook-Ikhine,47861,WR,TEN,1,13.3,1,71.4,50.0,2,4,0,0.0,0,5,31,0,73.4,68.0,86.1,,84.3,0.0,0,0,63,0.0,0,30,0,5,96.7,29,63.3,19,153.3,7,2,36.7,11,119,51,10.2,23.8,4.1
Michael Gallup,26075,WR,DAL,1,8.9,0,57.1,0.0,0,1,0,0.0,0,2,9,0,72.1,67.0,62.8,,62.1,0.0,0,0,23,0.0,0,44,0,4,95.5,42,2.3,1,70.5,7,0,97.7,43,35,17,4.3,8.8,0.83
