player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
DeAndre Hopkins,7808,WR,ARZ,1,9.2,0,71.4,66.7,2,3,0,9.1,1,4,1,1,58.5,20.1,64.0,,64.2,0.0,0,0,18,0.0,0,33,0,10,87.9,29,42.4,14,92.3,14,0,57.6,19,103,17,1.7,10.3,3.55
Tyreek Hill,10799,WR,MIA,1,13.2,0,53.8,33.3,1,3,0,0.0,0,3,17,0,75.6,69.5,71.8,,71.6,0.0,0,0,21,0.0,0,35,0,7,100.0,35,42.9,15,70.0,13,0,54.3,19,72,14,2.0,10.3,2.06
Mike Evans,8642,WR,TB,1,16.0,0,69.2,100.0,3,3,0,10.0,1,5,30,0,56.7,70.6,69.7,,69.0,0.0,0,0,20,0.0,0,47,0,9,97.9,46,27.7,13,90.5,13,0,72.3,34,96,5,0.6,10.7,2.09
Chris Godwin,11839,WR,TB,1,6.0,0,58.3,100.0,1,1,0,12.5,1,2,30,0,54.5,70.8,59.6,,59.0,0.0,0,0,10,0.0,0,48,0,7,97.9,47,64.6,31,65.6,12,0,35.4,17,43,35,5.0,6.1,0.91
Chris Olave,84355,WR,NO,1,14.3,1,58.3,0.0,0,2,0,0.0,0,4,20,0,75.6,69.5,70.5,,69.3,0.0,0,1,41,0.0,0,50,0,7,98.0,49,34.0,17,52.8,12,0,66.0,33,106,34,4.9,15.1,2.16
Austin Ekeler,12164,HB,LAC,1,0.5,1,100.0,100.0,1,1,0,0.0,0,7,27,1,80.0,25.5,64.0,57.9,68.4,0.0,0,0,23,6.5,3,46,0,12,89.1,41,8.7,4,127.8,12,1,4.3,2,96,90,7.5,8.0,2.34
Jerry Jeudy,61103,WR,DEN,1,11.3,2,63.6,66.7,2,3,0,12.5,1,4,10,0,52.1,69.5,71.0,,69.4,0.0,0,0,45,0.0,0,45,0,7,95.6,43,64.4,29,91.5,11,0,35.6,16,96,33,4.7,13.7,2.23
Parris Campbell,47940,WR,IND,1,4.7,1,90.9,,0,0,0,0.0,0,5,14,0,78.0,71.1,75.5,,74.4,0.0,0,1,11,0.0,0,47,0,10,100.0,47,91.5,43,85.6,11,1,8.5,4,70,29,2.9,7.0,1.49
D.J. Moore,48267,WR,CAR,1,9.9,0,70.0,100.0,1,1,0,0.0,0,4,5,0,75.6,70.3,77.3,,79.7,4.2,1,0,21,0.0,0,24,0,7,100.0,24,45.8,11,122.5,10,1,50.0,12,69,14,2.0,9.9,2.88
Ja'Marr Chase,84270,WR,CIN,1,11.1,0,80.0,50.0,1,2,0,0.0,0,6,7,0,76.5,70.1,83.3,,81.7,0.0,0,0,41,0.0,0,46,0,8,95.7,44,37.0,17,158.3,10,2,63.0,29,130,36,4.5,16.3,2.95
Christian Kirk,47546,WR,JAX,1,12.7,1,70.0,33.3,1,3,0,0.0,0,5,15,0,76.5,71.3,77.3,,77.4,2.1,1,0,34,0.0,0,47,0,7,91.5,43,74.5,35,100.4,10,0,23.4,11,96,26,3.7,13.7,2.23
Diontae Johnson,33441,WR,PIT,1,9.4,1,50.0,100.0,1,1,0,16.7,1,3,25,0,52.5,70.3,54.7,,55.0,0.0,0,2,14,0.0,0,51,1,5,92.2,47,9.8,5,21.7,10,0,90.2,46,42,22,4.4,8.4,0.89
Brandon Aiyuk,84109,WR,SF,1,5.8,2,70.0,0.0,0,2,0,0.0,0,4,28,0,76.5,70.1,75.0,,73.1,0.0,0,0,21,0.0,0,52,0,7,92.3,48,28.8,15,94.6,10,0,71.2,37,82,44,6.3,11.7,1.71
Aaron Jones,11937,HB,GB,1,-0.8,0,90.0,100.0,1,1,0,10.0,1,3,12,0,56.7,75.2,67.5,73.7,65.7,9.7,3,0,21,6.5,2,31,0,9,83.9,26,6.5,2,128.3,10,2,6.5,2,53,58,6.4,5.9,2.04
Tyler Boyd,10689,WR,CIN,1,14.8,1,88.9,100.0,1,1,0,0.0,0,6,7,0,76.5,70.1,90.3,,88.7,2.4,1,0,60,0.0,0,42,0,8,95.2,40,90.5,38,155.8,9,1,7.1,3,155,37,4.6,19.4,3.88
Zay Jones,11792,WR,JAX,1,17.7,0,44.4,0.0,0,1,0,0.0,0,4,15,0,72.1,68.3,67.4,,66.0,0.0,0,0,20,0.0,0,47,0,4,93.6,44,48.9,23,64.1,9,0,51.1,24,54,12,3.0,13.5,1.23
George Kittle,11901,TE,SF,1,11.4,0,66.7,66.7,2,3,0,0.0,0,5,28,0,75.6,69.5,79.6,70.2,81.0,52.1,25,1,34,2.1,1,48,0,6,91.7,44,39.6,19,100.5,9,1,8.3,4,98,35,5.8,16.3,2.23
Pat Freiermuth,84085,TE,PIT,1,8.3,1,88.9,100.0,1,1,0,0.0,0,4,25,0,77.3,70.6,69.3,,74.9,90.0,36,0,21,0.0,0,40,0,8,92.5,37,10.0,4,101.4,9,0,0.0,0,75,19,2.4,9.4,2.03
Greg Dulcich,84068,TE,DEN,1,8.4,0,66.7,,0,0,0,14.3,1,2,10,0,49.2,68.8,65.5,69.6,70.8,37.8,14,1,16,2.7,1,37,0,6,91.9,34,59.5,22,41.7,9,0,2.7,1,51,20,3.3,8.5,1.5
Michael Pittman Jr.,29049,WR,IND,1,7.6,0,66.7,100.0,1,1,0,14.3,1,2,14,1,49.7,16.9,51.6,,52.9,0.0,0,1,14,0.0,0,48,0,6,100.0,48,20.8,10,44.9,9,0,79.2,38,58,13,2.2,9.7,1.21
Courtland Sutton,48164,WR,DEN,1,15.7,0,33.3,16.7,1,6,0,0.0,0,1,10,0,70.5,65.8,52.4,,55.0,0.0,0,0,11,0.0,0,46,0,3,95.7,44,21.7,10,42.4,9,0,78.3,36,23,8,2.7,7.7,0.52
Mike Williams,11762,WR,LAC,1,10.7,0,77.8,100.0,2,2,0,0.0,0,5,27,0,75.6,69.5,73.1,,71.9,0.0,0,0,21,0.0,0,43,0,7,100.0,43,9.3,4,143.5,9,1,90.7,39,86,50,7.1,12.3,2.0
Gerald Everett,11799,TE,LAC,1,10.0,3,62.5,50.0,1,2,0,16.7,1,3,27,0,45.8,68.0,67.0,72.3,68.8,45.7,16,0,24,5.7,2,35,0,5,94.3,33,45.7,16,87.0,8,0,8.6,3,63,31,6.2,12.6,1.91
Tyler Lockett,9502,WR,SEA,1,5.1,1,87.5,50.0,1,2,0,0.0,0,3,29,0,75.6,69.5,70.2,,69.8,6.5,2,1,14,0.0,0,31,0,7,87.1,27,51.6,16,50.5,8,0,41.9,13,45,9,1.3,6.4,1.67
Rhamondre Stevenson,98689,HB,NE,1,0.5,4,100.0,,0,0,0,0.0,0,2,19,0,76.5,75.7,77.8,80.2,89.4,0.0,0,0,20,10.7,3,28,0,8,78.6,22,10.7,3,97.4,8,0,3.6,1,59,55,6.9,7.4,2.68
Curtis Samuel,11795,WR,WAS,1,5.1,1,62.5,0.0,0,3,0,0.0,0,3,32,0,73.4,72.2,69.1,,68.8,0.0,0,0,26,0.0,0,29,0,5,96.6,28,55.2,16,81.8,8,0,44.8,13,53,27,5.4,10.6,1.89
Davante Adams,8688,WR,LV,1,7.8,3,100.0,,0,0,0,0.0,0,5,23,0,76.5,70.1,83.0,,82.8,0.0,0,0,16,0.0,0,29,1,8,96.6,28,24.1,7,116.1,8,0,75.9,22,95,33,4.1,11.9,3.39
Marvin Jones Jr.,7158,WR,JAX,1,16.4,0,50.0,0.0,0,1,0,0.0,0,2,15,0,72.1,67.0,67.7,67.4,66.7,0.0,0,0,28,3.0,1,33,0,4,87.9,29,12.1,4,73.4,8,0,87.9,29,57,8,2.0,14.3,1.97
Terry McLaurin,48229,WR,WAS,1,13.3,0,62.5,66.7,2,3,0,0.0,0,4,32,0,73.4,68.0,78.1,,78.4,0.0,0,0,37,0.0,0,35,0,5,97.1,34,34.3,12,131.8,8,1,62.9,22,73,19,3.8,14.6,2.15
Alvin Kamara,11822,HB,NO,1,1.6,0,87.5,,0,0,0,0.0,0,3,20,0,75.6,75.5,76.8,57.7,81.5,0.0,0,0,12,21.6,8,37,0,7,75.7,28,0.0,0,95.8,8,0,8.1,3,56,48,6.9,8.0,2.0
Chase Claypool,42312,WR,PIT,1,9.9,0,62.5,,0,0,0,0.0,0,2,25,0,73.4,69.1,57.7,,58.5,2.2,1,1,12,0.0,0,46,0,5,91.3,42,78.3,36,35.9,8,0,19.6,9,41,22,4.4,8.2,0.98
Wan'Dale Robinson,101735,WR,NYG,1,1.9,2,85.7,66.7,2,3,0,0.0,0,2,21,0,49.2,68.8,62.7,,62.0,0.0,0,0,17,0.0,0,35,0,6,82.9,29,80.0,28,96.4,7,0,20.0,7,50,41,6.8,8.3,1.72
David Njoku,11784,TE,CLV,1,3.1,0,100.0,,0,0,0,0.0,0,3,8,0,75.6,69.5,80.7,69.3,81.6,40.9,9,0,22,4.5,1,22,0,7,81.8,18,50.0,11,108.9,7,0,9.1,2,71,49,7.0,10.1,3.94
Deebo Samuel,48274,WR,SF,1,4.3,1,71.4,66.7,2,3,0,16.7,1,1,28,0,45.8,70.0,57.9,,59.8,2.2,1,0,22,0.0,0,46,1,5,93.5,43,23.9,11,86.6,7,0,56.5,26,42,23,4.6,8.4,0.98
Travis Kelce,7844,TE,KC,1,6.7,4,85.7,100.0,1,1,0,14.3,1,4,16,0,52.5,69.5,90.9,73.4,90.6,25.0,9,0,27,8.3,3,36,0,6,83.3,30,58.3,21,118.8,7,0,16.7,6,98,51,8.5,16.3,3.27
Evan Engram,11778,TE,JAX,1,9.3,2,57.1,0.0,0,1,0,0.0,0,3,15,0,72.1,67.0,71.2,77.8,71.2,28.6,12,0,28,16.7,7,42,0,4,78.6,33,40.5,17,89.6,7,0,31.0,13,67,35,8.8,16.8,2.03
Mike Gesicki,47153,TE,MIA,1,9.3,1,42.9,33.3,1,3,0,25.0,1,1,17,0,36.2,65.8,47.6,51.1,49.4,24.1,7,0,18,10.3,3,29,0,3,89.7,26,62.1,18,53.9,7,0,13.8,4,27,12,4.0,9.0,1.04
Dare Ogunbowale,12329,HB,HST,1,0.7,0,71.4,,0,0,0,0.0,0,2,13,0,73.4,69.1,77.0,,84.4,0.0,0,0,23,0.0,0,7,0,5,100.0,7,0.0,0,93.8,7,0,28.6,2,54,58,11.6,10.8,7.71
Tee Higgins,61211,WR,CIN,1,11.0,0,71.4,0.0,0,1,0,0.0,0,5,7,0,73.4,68.0,69.8,,65.9,2.2,1,0,25,0.0,0,46,0,5,95.7,44,30.4,14,113.7,7,0,67.4,31,93,34,6.8,18.6,2.11
Hayden Hurst,47294,TE,CIN,1,7.4,0,85.7,,0,0,0,0.0,0,4,7,0,74.6,68.8,64.5,72.1,66.5,32.4,12,0,14,5.4,2,37,1,6,89.2,33,40.5,15,95.2,7,0,24.3,9,48,15,2.5,8.0,1.45
JuJu Smith-Schuster,11817,WR,KC,1,8.6,1,100.0,100.0,2,2,0,0.0,0,6,16,0,76.5,70.1,91.0,61.5,90.1,0.0,0,0,45,3.6,1,28,0,7,89.3,25,39.3,11,158.3,7,1,60.7,17,124,64,9.1,17.7,4.96
Allen Lazard,48135,WR,GB,1,3.9,0,85.7,100.0,1,1,0,14.3,1,4,12,0,49.2,68.8,67.1,,71.2,0.0,0,0,17,0.0,0,22,1,6,86.4,19,59.1,13,99.4,7,0,40.9,9,55,32,5.3,9.2,2.89
