player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Najee Harris,57121,HB,PIT,1,22,9,0,0.0,0,0,62,0,2,9,52,104.0,2,5,25,0,11,78.2,62.3,77.1,,76.9,57.6,63.2,59.3,13,0,16,3,24,29,0,0,3,25,1,62,52,2.36,2.8,0.67,11
Carlos Hyde,8692,HB,JAX,1,21,1,1,22.4,15,0,67,1,0,1,47,10.2,1,3,15,1,11,26.8,41.1,77.0,,65.3,35.8,46.7,60.0,15,0,6,1,13,27,0,0,2,22,0,67,47,2.24,3.2,0.46,9
James Conner,11860,HB,ARZ,1,21,4,1,36.5,35,0,96,0,5,4,94,154.9,2,5,1,1,10,27.2,64.9,81.7,,79.9,90.1,54.5,60.0,35,0,77,5,20,26,0,0,5,26,2,96,94,4.48,4.6,3.85,8
Devontae Booker,10770,HB,NYG,1,21,1,2,36.4,36,0,99,0,0,1,53,10.5,2,5,21,0,17,77.8,68.4,0.0,,26.9,64.7,71.0,60.0,20,1,23,3,18,22,0,0,3,24,0,99,53,2.52,4.7,1.28,4
Lamar Jackson,46416,QB,BLT,1,12,5,0,0.0,0,0,72,0,0,4,39,108.3,3,7,3,0,7,45.6,59.3,0.3,61.0,,,58.5,60.0,12,1,0,0,0,41,48,9,0,12,0,120,57,2.71,5.7,,0
Melvin Gordon III,9448,HB,DEN,1,21,4,0,0.0,0,0,80,0,0,4,50,41.4,4,6,10,0,6,78.2,74.6,75.1,,19.0,59.3,76.2,,14,0,15,2,15,23,0,0,2,23,1,80,50,2.38,3.8,1.0,14
Myles Gaskin,45914,HB,MIA,1,20,0,0,0.0,0,0,34,0,2,0,34,13.1,0,3,17,1,13,27.5,56.3,78.2,,41.2,66.6,52.4,,6,0,23,6,31,21,0,0,6,26,1,34,34,1.7,1.7,0.74,7
Darrel Williams,13014,HB,KC,1,19,2,0,0.0,0,0,70,0,0,2,38,18.2,1,4,16,0,8,77.3,58.7,76.6,,,60.3,58.4,,11,1,7,3,16,19,0,0,4,22,0,70,38,2.0,3.7,0.44,11
Jonathan Taylor,57488,HB,IND,1,19,4,2,57.6,99,0,172,0,1,4,45,56.4,5,5,14,1,6,26.1,66.7,76.2,,78.3,31.9,71.3,60.0,78,0,28,2,16,23,0,0,2,21,2,172,45,2.37,9.1,1.75,13
Austin Ekeler,12164,HB,LAC,1,17,3,1,27.1,16,0,59,0,1,3,56,65.9,3,6,27,0,4,77.3,63.5,76.5,,77.5,67.1,61.3,60.0,16,0,23,3,19,21,0,0,3,20,0,59,56,3.29,3.5,1.21,12
Jordan Howard,10784,HB,PHI,1,17,3,1,25.4,18,0,71,0,0,3,41,42.6,1,4,24,0,2,76.2,66.8,74.3,,,54.4,66.8,,18,0,0,0,6,17,0,0,0,17,1,71,41,2.41,4.2,0.0,15
Javonte Williams,77803,HB,DEN,1,17,7,3,60.4,67,0,111,0,0,7,64,155.0,5,5,10,0,6,76.2,65.5,74.8,,73.4,52.0,66.5,60.0,30,0,0,0,14,20,0,0,0,17,0,111,64,3.76,6.5,0.0,11
Dalvin Cook,11796,HB,MIN,1,17,3,3,95.5,105,0,110,0,0,3,37,32.6,3,3,18,0,7,77.0,62.2,75.0,,43.1,58.5,63.6,60.0,66,0,12,3,16,20,0,0,3,20,0,110,37,2.18,6.5,0.75,9
Damien Harris,35134,HB,NE,1,15,2,0,0.0,0,0,30,0,0,2,30,25.0,0,1,19,0,11,75.7,56.1,74.1,,73.3,58.9,56.3,60.0,8,0,3,1,4,18,0,0,1,16,1,30,30,2.0,2.0,0.75,1
Christian McCaffrey,11763,HB,CAR,1,14,0,0,0.0,0,0,52,0,0,0,34,0.0,1,3,5,1,5,25.2,55.4,74.1,,72.4,89.1,47.8,,10,0,54,4,12,15,0,0,4,18,0,52,34,2.43,3.7,4.5,9
Nick Chubb,45783,HB,CLV,1,14,6,2,67.2,92,0,137,0,1,6,122,381.3,5,6,8,1,13,23.7,75.5,73.1,,76.4,76.8,70.4,60.0,70,0,26,2,10,15,0,0,2,16,2,137,122,8.71,9.8,2.6,1
David Montgomery,45719,HB,CHI,1,13,0,1,33.3,21,0,63,0,0,0,31,0.0,3,4,6,0,2,75.4,59.0,79.1,,83.0,55.7,58.0,60.0,21,0,17,2,25,17,0,0,2,15,0,63,31,2.38,4.8,0.68,11
Michael Carter,57337,HB,NYJ,1,13,2,1,32.7,16,0,49,0,0,2,32,35.2,1,2,22,0,6,74.9,60.4,77.8,,79.7,59.6,59.2,,16,0,37,1,25,13,0,0,2,14,0,49,32,2.46,3.8,1.48,7
Devonta Freeman,8738,HB,BLT,1,13,1,1,24.1,19,0,79,0,1,1,40,41.0,1,4,3,0,10,75.9,62.3,79.6,,21.6,62.4,65.7,53.8,19,0,4,2,29,20,0,0,3,15,0,79,40,3.08,6.1,0.14,3
Josh Jacobs,45953,HB,LV,1,13,5,0,0.0,0,0,76,0,1,5,45,122.2,4,4,23,0,3,76.0,79.3,74.6,,76.5,71.6,77.8,60.0,14,0,19,4,16,15,0,0,4,17,0,76,45,3.46,5.8,1.19,10
Joe Mixon,11803,HB,CIN,1,13,1,1,32.8,21,0,64,0,1,1,38,32.5,2,4,7,0,5,76.5,73.5,77.3,,9.9,81.4,70.1,60.0,21,0,46,5,25,18,0,0,5,18,2,64,38,2.92,4.9,1.84,8
Alvin Kamara,11822,HB,NO,1,13,1,0,0.0,0,0,50,1,3,1,32,57.9,1,3,20,0,2,76.3,61.3,78.0,,8.8,64.2,63.6,60.0,14,0,54,4,29,16,0,0,6,17,1,50,32,2.46,3.8,1.86,11
Aaron Jones,11937,HB,GB,1,12,3,0,0.0,0,0,53,0,0,3,35,72.9,0,4,12,0,4,74.7,69.2,78.7,,29.3,52.4,75.5,60.0,9,0,0,0,18,15,0,0,2,12,0,53,35,2.92,4.4,0.0,8
Darrell Henderson,41193,HB,LA,1,11,2,0,0.0,0,0,55,0,0,2,34,44.2,2,2,26,0,2,75.0,65.4,76.7,,80.3,53.9,70.2,60.0,14,0,3,3,27,13,0,0,4,14,0,55,34,3.09,5.0,0.11,9
Le'Veon Bell,7829,HB,BLT,1,11,2,0,0.0,0,0,48,0,0,2,29,47.9,1,6,3,0,11,74.3,70.4,72.9,,76.7,55.1,70.4,59.7,12,0,0,0,5,16,0,0,0,11,1,48,29,2.64,4.4,0.0,0
Boston Scott,39462,HB,PHI,1,10,2,0,0.0,0,0,40,0,0,2,26,52.0,1,2,24,0,4,73.3,66.4,73.7,,27.7,52.2,69.9,60.0,10,0,0,0,8,14,0,0,0,10,0,40,26,2.6,4.0,0.0,6
Ezekiel Elliott,10638,HB,DAL,1,10,1,0,0.0,0,0,51,0,1,1,35,53.8,2,2,9,0,3,74.6,69.8,78.0,,74.6,66.7,69.1,,11,0,25,3,20,11,0,0,3,13,0,51,35,3.5,5.1,1.25,7
Rhamondre Stevenson,98689,HB,NE,1,10,3,0,0.0,0,0,62,0,2,3,33,137.5,3,3,19,0,6,73.9,78.9,71.3,,,81.6,74.4,,13,0,44,2,7,10,0,0,2,12,0,62,33,3.3,6.2,6.29,1
Jalen Hurts,40291,QB,PHI,1,4,0,0,0.0,0,0,22,0,0,0,4,0.0,3,6,24,0,0,77.3,75.3,78.5,74.1,,,66.1,60.0,12,0,0,0,0,33,40,6,0,4,0,62,28,2.8,6.2,,2
Adrian Peterson,3623,HB,TEN,1,10,1,0,0.0,0,0,21,0,0,1,20,18.2,0,1,31,0,6,73.6,67.4,71.8,,75.8,60.2,66.5,60.0,6,0,5,1,6,11,0,0,1,11,1,21,20,2.0,2.1,0.83,4
Eno Benjamin,57136,HB,ARZ,1,9,1,1,53.8,21,0,39,0,0,1,32,39.5,1,1,1,0,0,74.9,53.3,74.2,,,53.1,55.6,60.0,21,0,0,0,6,11,0,0,0,9,1,39,32,3.56,4.3,0.0,9
Cordarrelle Patterson,7810,HB,ATL,1,9,1,0,0.0,0,0,10,0,2,1,18,40.0,0,0,2,0,3,24.5,83.8,79.0,,77.0,95.5,43.5,60.0,4,0,126,6,20,10,0,0,6,15,0,10,18,2.0,1.1,6.3,5
Mike Davis,9559,HB,ATL,1,9,0,0,0.0,0,0,13,0,0,0,13,0.0,0,0,2,1,3,18.8,32.9,75.9,,26.6,54.9,33.7,60.0,5,0,5,1,11,14,0,0,1,10,0,13,13,1.44,1.4,0.45,6
Mark Ingram II,6180,HB,NO,1,9,1,0,0.0,0,0,43,0,2,1,32,76.2,1,1,20,0,3,74.7,62.2,73.3,,51.6,75.2,58.4,60.0,11,0,21,5,11,12,0,0,5,14,0,43,32,3.56,4.8,1.91,6
D'Ernest Johnson,45734,HB,CLV,1,8,3,0,0.0,0,0,16,0,0,3,18,84.4,0,0,8,0,3,72.7,60.5,0.0,,75.6,56.3,65.4,,7,1,0,0,4,9,0,0,0,8,0,16,18,2.25,2.0,0.0,5
Elijah Mitchell,57272,HB,SF,1,8,2,0,0.0,0,0,36,0,3,2,26,125.0,2,2,28,0,2,73.8,67.0,79.5,,72.4,73.9,62.4,,14,0,43,5,28,8,0,0,5,13,0,36,26,3.25,4.5,1.54,6
