player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Alvin Kamara,11822,HB,NO,1,30,7,1,18.5,27,0,146,0,0,7,114,83.1,5,7,20,0,16,79.7,76.8,76.5,,45.3,55.3,78.2,59.6,27,0,16,2,18,36,0,0,2,32,0,146,114,3.8,4.9,0.89,14
Josh Jacobs,45953,HB,LV,1,26,12,2,34.8,46,0,132,0,0,12,109,179.7,5,7,23,0,3,78.9,80.0,76.4,,80.2,61.4,82.6,49.5,28,0,12,2,17,30,0,0,2,28,1,132,109,4.19,5.1,0.71,22
Duke Johnson Jr.,9510,HB,MIA,1,25,1,1,23.1,27,0,117,0,0,1,87,13.4,3,5,17,0,17,78.5,65.2,74.7,,76.4,61.1,67.2,43.6,27,0,5,1,15,27,0,0,1,26,1,117,87,3.48,4.7,0.33,7
D'Ernest Johnson,45734,HB,CLV,1,25,4,0,0.0,0,0,123,0,0,4,72,44.3,3,8,8,0,11,78.5,69.1,74.5,,75.0,60.2,68.6,60.0,13,0,10,1,17,29,0,0,1,26,1,123,72,2.88,4.9,0.59,13
Rashaad Penny,27414,HB,SEA,1,23,4,3,58.4,111,0,190,0,0,4,137,103.6,4,7,29,0,3,77.9,80.8,75.5,,79.2,52.6,80.2,60.0,62,0,0,0,13,27,0,0,0,23,1,190,137,5.96,8.3,0.0,19
Sony Michel,27589,HB,LA,1,21,1,0,0.0,0,0,43,0,1,1,42,18.2,1,3,26,0,8,77.5,47.1,76.0,,72.8,54.7,46.6,60.0,14,0,6,1,27,22,0,0,3,22,0,43,42,2.0,2.0,0.22,13
D'Onta Foreman,11844,HB,TEN,1,21,4,1,23.2,16,0,69,0,0,4,59,51.1,2,2,31,1,3,77.8,51.8,72.5,,60.5,70.1,51.2,,16,0,15,1,8,23,0,0,1,22,0,69,59,2.81,3.3,1.88,18
Antonio Gibson,78050,HB,WAS,1,21,3,3,42.5,62,0,146,0,0,3,73,47.4,5,6,32,0,2,77.5,69.3,0.0,,,51.7,72.5,60.0,27,1,5,1,9,22,0,0,3,22,1,146,73,3.48,7.0,0.56,18
Elijah Mitchell,57272,HB,SF,1,21,8,0,0.0,0,0,85,0,0,8,68,123.4,2,3,28,0,7,77.7,69.2,76.6,,73.4,52.5,70.0,60.0,13,0,0,0,12,24,0,0,0,21,0,85,68,3.24,4.0,0.0,14
David Montgomery,45719,HB,CHI,1,20,2,0,0.0,0,0,72,1,0,2,49,22.3,1,4,6,0,4,77.4,60.2,76.7,,39.5,42.0,66.9,,11,0,7,2,21,20,0,0,3,22,0,72,49,2.45,3.6,0.33,16
Devin Singletary,40485,HB,BUF,1,19,2,1,45.5,40,0,88,0,2,2,49,49.1,2,4,4,0,13,77.4,73.8,78.4,,57.2,72.5,72.4,,40,0,24,2,31,20,0,0,2,21,1,88,49,2.58,4.6,0.77,6
Ezekiel Elliott,10638,HB,DAL,1,18,0,1,29.9,26,0,87,0,1,0,48,14.0,1,4,9,0,8,76.7,77.3,76.6,,82.8,53.8,77.2,,26,0,3,1,13,18,0,0,2,19,0,87,48,2.67,4.8,0.23,10
Austin Ekeler,12164,HB,LAC,1,16,2,0,0.0,0,0,64,1,2,2,48,57.1,2,4,27,0,6,77.2,58.5,77.7,,74.1,57.9,58.2,60.0,14,0,35,5,56,18,0,0,9,21,1,64,48,3.0,4.0,0.63,9
Latavius Murray,7962,HB,BLT,1,16,6,3,63.3,95,0,150,0,0,6,125,293.0,5,7,3,0,8,75.8,84.8,78.4,,80.4,52.2,87.2,60.0,46,0,0,0,14,21,0,0,0,16,1,150,125,7.81,9.4,0.0,8
Jonathan Taylor,57488,HB,IND,1,15,5,1,29.9,23,0,77,0,0,5,59,109.3,2,3,14,0,6,76.1,66.4,77.2,,77.7,60.9,66.9,,23,0,18,3,32,15,0,0,3,18,0,77,59,3.93,5.1,0.56,9
James Conner,11860,HB,ARZ,1,15,3,1,36.5,19,0,52,0,1,3,36,45.7,1,5,1,0,6,76.9,75.7,78.0,,55.5,89.1,68.5,,19,0,41,6,26,16,0,0,6,21,1,52,36,2.4,3.5,1.58,7
Dalvin Cook,11796,HB,MIN,1,14,1,2,68.4,54,0,79,0,0,1,26,12.4,2,3,18,0,4,74.9,66.7,73.6,,43.4,57.3,67.9,,29,0,3,1,11,13,0,0,1,15,0,79,26,1.86,5.6,0.27,8
A.J. Dillon,57165,HB,GB,1,14,4,0,0.0,0,0,63,0,0,4,50,95.2,0,3,12,0,3,75.3,68.1,74.5,,77.8,54.7,68.7,60.0,9,0,4,1,16,15,0,0,1,15,0,63,50,3.57,4.5,0.25,11
Jason Huntley,45693,HB,PHI,1,13,1,1,35.3,18,0,51,0,0,1,35,20.7,2,2,24,0,3,76.7,52.4,75.3,,67.1,53.1,53.6,59.7,18,0,0,0,13,17,0,0,1,13,0,51,35,2.69,3.9,0.0,10
Jamaal Williams,11889,HB,DET,1,13,4,0,0.0,0,0,43,0,0,4,37,81.3,0,4,11,0,4,75.3,68.3,73.6,,76.7,74.6,64.8,60.0,9,0,9,1,5,17,0,0,1,14,0,43,37,2.85,3.3,1.8,9
Rex Burkhead,7971,HB,HST,1,12,2,0,0.0,0,0,24,0,1,2,22,36.7,0,5,13,0,9,75.0,76.1,77.5,,80.4,76.4,69.9,60.0,6,0,42,3,23,13,0,0,3,15,0,24,22,1.83,2.0,1.83,2
Melvin Gordon III,9448,HB,DEN,1,12,7,2,69.1,76,0,110,0,0,7,98,439.7,2,2,10,1,2,22.4,87.1,74.8,,79.7,66.6,85.4,,47,0,6,1,11,12,0,0,1,13,1,110,98,8.17,9.2,0.55,10
Kenneth Gainwell,77737,HB,PHI,1,12,2,1,23.1,18,0,78,1,0,2,47,49.0,2,6,24,0,1,75.2,74.0,78.2,,,61.6,77.7,60.0,18,0,9,4,23,13,0,0,6,16,1,78,47,3.92,6.5,0.39,11
Tyler Huntley,46448,QB,BLT,1,4,1,0,0.0,0,0,10,0,0,0,10,0.0,2,6,3,1,2,29.9,53.5,79.3,50.1,,,62.9,60.0,21,0,0,0,0,28,62,8,0,4,0,72,34,2.83,6.0,,0
