"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","77","250","71","1","36","54","10","28","0.31","70","1.17","51.8","-39","Fred Warner","75","230","130","12","0.18","75","0.88","75.7"
"Kyle Pitts","78","246","97","","11","60","29","16","0.2","56","1.03","61.8","-24","Foyesade Oluokun","74","230","110","10","0.15","82","0.64","71.1"
"Mark Andrews","77","247","66","4","16","80","3","20","0.35","69","1.21","60.2","-45","Grant Delpit","75","208","89","12","0.11","73","0.25","91.4"
"Dawson Knox","76","254","87","8","36","48","14","13","0.2","64","0.53","46.6","-8","David Long Jr.","71","227","54","11","0.29","100","1.81","75.8"
"Hayden Hurst","76","245","91","","33","45","22","14","0.24","69","0.79","52.3","-41","Ivan Pace Jr.","70","231","42","7","0.12","100","0.48","82.3"
"Cole Kmet","78","260","85","11","33","53","11","18","0.25","73","1.22","63.7","-40","Josey Jewell","74","236","69","9","0.13","67","0.75","75.7"
"Drew Sample","77","255","24","23","74","3","3","4","0.07","100","0.29","55.5","-36","Jack Gibbens","75","242","67","3","0.04","100","0.12","81.3"
"David Njoku","76","246","95","10","56","35","8","12","0.2","91","0.97","51.9","-43","Patrick Queen","72","230","114","16","0.29","78","1.13","76.2"
"Jake Ferguson","77","244","62","10","74","19","7","27","0.37","59","1.13","73.9","17","Ja'Whaun Bentley","74","250","86","7","0.1","67","0.5","67.1"
"Adam Trautman","77","253","88","11","42","38","19","9","0.1","62","0.39","45.3","-23","Tremaine Edmunds","77","250","97","15","0.31","93","1.03","58.4"
"Sam LaPorta","75","245","83","11","45","19","35","27","0.51","82","2.24","80.6","5","Quay Walker","76","241","90","16","0.27","93","1.29","72.9"
"Luke Musgrave","78","253","89","8","42","51","7","17","0.26","73","1.39","62","2","Alex Anzalone","75","238","123","12","0.18","80","0.83","59.5"
"Dalton Schultz","77","244","109","4","40","45","10","12","0.11","54","0.43","44.9","-22","Cole Holcomb","73","240","100","9","0.17","78","1.04","65.3"
"Kylen Granson","74","242","91","2","39","54","6","15","0.24","64","0.7","50.3","-29","Ernest Jones","74","230","86","13","0.16","64","0.79","72.3"
"Evan Engram","75","240","109","1","26","47","26","19","0.32","86","1.59","72.3","0","Nate Landman","75","235","19","","","","","76.6"
"Travis Kelce","77","250","54","7","29","53","16","31","0.6","65","1.76","69.8","34","C.J. Mosley","74","231","113","11","0.16","75","0.85","67.2"
"Tyler Higbee","78","255","119","8","46","32","22","12","0.2","79","1.11","65.8","2","Zaire Franklin","72","235","113","16","0.24","83","1.1","68.4"
"Gerald Everett","75","250","63","11","52","32","11","19","0.33","92","1.56","71.7","24","Divine Deablo","75","223","81","12","0.24","80","0.7","68.4"
"Austin Hooper","76","254","61","5","53","34","12","5","0.11","100","0.66","54.8","-8","Nick Niemann","75","244","56","11","0.12","67","0.5","64.7"
"Durham Smythe","78","246","81","8","36","49","12","12","0.19","70","1.01","58.8","-32","Terrel Bernard","73","224","74","16","0.25","75","1.32","73.1"
"T.J. Hockenson","77","248","123","4","59","33","8","22","0.43","85","1.46","68.5","4","Frankie Luvu","75","235","66","23","0.41","80","1.39","74.7"
"Hunter Henry","77","258","107","1","33","59","7","17","0.35","72","1.17","68","20","Jayron Kearse","76","215","88","8","0.14","86","0.7","53"
"Juwan Johnson","76","231","86","3","19","61","18","14","0.15","58","0.71","51.6","-5","Lavonte David","73","233","107","16","0.24","88","0.95","62.2"
"Darren Waller","78","245","89","8","32","42","25","21","0.28","63","1.48","69.7","4","Jordyn Brooks","73","245","87","17","0.24","87","0.9","65.6"
"Tyler Conklin","75","254","76","4","38","51","11","14","0.22","82","1.03","60.3","-5","Willie Gay","74","243","43","14","0.18","50","1.07","57.9"
"Dallas Goedert","77","256","99","5","42","46","12","15","0.17","73","0.64","67","-3","Jamin Davis","75","234","59","17","0.25","80","1.17","72.5"
"Pat Freiermuth","77","258","77","6","72","26","2","12","0.28","56","0.6","60.1","31","Christian Harris","73","226","56","16","0.26","78","1.38","38.7"
"Noah Fant","76","249","52","9","56","28","12","17","0.34","89","1.87","71.5","0","Isaiah Simmons","76","238","24","25","0.36","83","1.5","68"
"George Kittle","76","250","83","12","56","31","12","22","0.32","72","1.67","77.9","59","Josh Woods","73","230","20","10","0.38","50","0.35","26.1"
"Cade Otton","77","247","80","17","42","36","16","14","0.21","82","0.95","52.2","-20","Tyrann Mathieu","69","190","127","9","0.14","64","0.81","68"
"Chigoziem Okonkwo","75","238","69","16","35","44","15","14","0.16","70","0.61","53.4","-9","Logan Wilson","74","245","94","19","0.21","61","0.98","60.3"
"John Bates","78","259","42","12","50","42","8","14","0.26","83","1.38","57","-46","Zach Cunningham","75","230","106","18","0.2","74","0.71","65.4"
