"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Trey McBride","75","246","175","3","48","42","8","27","0.48","75","2.39","81.9","3","Blake Cashman","73","237","191","17","0.24","72","0.91","86.1"
"Mark Andrews","77","247","274","2","11","80","9","21","0.48","74","1.9","78.9","22","Logan Wilson","74","245","320","14","0.26","76","1.14","57.8"
"Dalton Kincaid","75","240","268","","22","56","20","19","0.36","90","1.46","67","-3","C.J. Mosley","74","231","320","12","0.17","78","0.84","89.4"
"Hayden Hurst","76","245","224","2","37","45","18","13","0.19","60","0.82","44","-16","Donovan Wilson","72","204","168","8","0.19","85","0.52","52.1"
"Cole Kmet","78","260","273","13","40","50","8","21","0.43","82","1.53","71.8","-21","Alex Anzalone","75","238","323","12","0.17","72","0.79","74.3"
"Tanner Hudson","77","239","79","","24","47","29","23","0.34","78","1.59","68.2","3","Patrick Queen","72","230","361","12","0.2","79","0.89","67.6"
"David Njoku","76","246","278","10","51","40","8","19","0.32","73","1.36","71.1","-6","Mark Robinson","71","235","23","4","0.13","100","0.87","69.2"
"Jake Ferguson","77","244","255","6","50","39","10","19","0.37","73","1.39","71.9","32","Deion Jones","73","227","69","12","0.19","88","0.88","55.1"
"Adam Trautman","77","253","223","12","44","37","19","9","0.12","65","0.38","45.8","-48","Ivan Pace Jr.","70","231","129","12","0.13","80","0.36","73.3"
"Sam LaPorta","75","245","271","8","46","28","26","24","0.44","73","1.75","74.4","20","Jack Sanborn","74","234","143","17","0.31","92","1.55","69.5"
"Luke Musgrave","78","253","237","9","50","41","9","16","0.28","74","1.32","63.4","6","Eric Kendricks","72","232","222","15","0.27","82","1.41","66.8"
"Dalton Schultz","77","244","261","7","47","39","11","20","0.4","70","1.61","71.6","33","Josh Woods","73","230","145","10","0.19","73","0.72","46"
"Evan Engram","75","240","309","2","19","54","25","21","0.32","85","1.47","68.4","7","Jack Gibbens","75","242","185","7","0.12","77","0.64","73"
"Travis Kelce","77","250","246","3","27","50","21","28","0.57","81","2.43","84.2","41","Nicholas Morrow","72","216","238","8","0.11","89","0.47","84.1"
"Tyler Higbee","78","255","298","7","55","28","17","13","0.18","65","0.96","58.5","2","Jordyn Brooks","73","245","251","17","0.25","83","1.06","68.2"
"Gerald Everett","75","250","156","10","51","32","14","17","0.32","78","1.07","62.2","20","Isaiah McDuffie","73","227","147","12","0.19","89","0.86","64.2"
"Michael Mayer","76","265","172","15","61","27","11","13","0.23","70","1.03","59.1","-13","David Long Jr.","71","227","189","10","0.26","89","1.34","77.7"
"Durham Smythe","78","246","234","17","38","43","16","9","0.14","85","0.72","52.6","-33","Robert Spillane","73","229","324","10","0.17","76","0.86","79"
"T.J. Hockenson","77","248","352","5","53","36","12","26","0.46","77","1.94","79.1","23","Josey Jewell","74","236","187","10","0.18","83","0.96","64.9"
"Daniel Bellinger","77","253","141","25","59","23","9","8","0.13","82","0.7","46.5","-18","Jamin Davis","75","234","298","13","0.26","72","1.22","67.6"
"Tyler Conklin","75","254","247","7","34","57","9","17","0.28","80","1.47","63.6","-8","Terrel Bernard","73","224","317","15","0.26","81","1.26","68.5"
"Jack Stoll","76","247","62","19","82","14","4","5","0.05","67","0.16","42","-36","Drue Tranquill","74","234","202","16","0.23","78","1.05","57.2"
"Pat Freiermuth","77","258","97","5","68","28","4","13","0.26","62","0.55","53.8","-15","Grant Delpit","75","208","257","8","0.1","81","0.36","74.7"
"Noah Fant","76","249","157","11","52","30","11","13","0.25","80","1.48","69.2","29","Christian Rozeboom","74","230","179","15","0.26","81","1.08","47"
"George Kittle","76","250","248","8","61","30","7","19","0.46","76","2.25","87.1","30","Lavonte David","73","233","334","15","0.21","78","0.86","69.3"
"Cade Otton","77","247","297","11","42","40","16","14","0.25","73","0.86","54.3","-30","Fred Warner","75","230","336","14","0.23","83","1.12","85.5"
"Chigoziem Okonkwo","75","238","223","10","29","51","12","18","0.21","68","0.9","53.1","-35","Foyesade Oluokun","74","230","348","15","0.21","86","0.87","85.1"
"Logan Thomas","78","250","317","6","20","51","28","16","0.29","76","1.11","64.3","-13","Xavier McKinney","72","201","335","7","0.08","61","0.38","70.8"
