"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"T.J. Hockenson","77","248","490","5","51","37","12","24","0.43","76","1.84","78.8","32","Alex Anzalone","75","238","439","13","0.19","75","0.9","67.6"
"Hunter Henry","77","258","370","6","43","49","8","17","0.32","68","1.13","69.2","13","Josey Jewell","74","236","315","11","0.21","85","1","66.4"
"Juwan Johnson","76","231","237","7","27","59","14","16","0.22","59","0.8","48.9","9","Troy Reeder","75","245","62","16","0.39","80","1.66","54"
"Darren Waller","78","245","272","6","27","51","21","20","0.32","73","1.56","69.2","16","Shaquille Leonard","74","230","224","11","0.17","83","0.79","59"
"Tyler Conklin","75","254","377","8","35","55","10","18","0.27","74","1.39","66.7","6","Khaleke Hudson","72","220","80","21","0.46","76","1.51","59.5"
"Dallas Goedert","77","256","367","3","37","51","12","17","0.29","72","1.28","72.1","14","Isaiah Simmons","76","238","162","12","0.19","80","0.9","70.3"
"Pat Freiermuth","77","258","215","7","50","44","7","18","0.29","69","1.13","68.1","22","Logan Wilson","74","245","506","14","0.26","80","1.18","61.4"
"Noah Fant","76","249","273","10","46","36","12","13","0.23","75","1.3","62.6","-9","Jack Gibbens","75","242","272","8","0.12","74","0.62","73"
"George Kittle","76","250","387","8","62","29","8","19","0.46","73","2.24","88.8","25","Patrick Queen","72","230","516","11","0.19","83","0.82","77.3"
"Cade Otton","77","247","463","9","40","43","15","12","0.23","74","0.88","55.1","-19","Foyesade Oluokun","74","230","509","14","0.24","84","0.91","79.3"
"Chigoziem Okonkwo","75","238","329","9","27","57","11","19","0.25","70","1.2","59.9","-5","Jordyn Brooks","73","245","375","17","0.26","84","1.22","63.7"
"Logan Thomas","78","250","444","5","19","54","26","14","0.24","72","0.97","59","-33","C.J. Mosley","74","231","470","10","0.17","79","0.78","82.1"
"Trey McBride","75","246","310","3","43","48","7","27","0.48","79","2.3","81.8","28","Tremaine Edmunds","77","250","413","12","0.25","84","0.91","57.3"
"Kyle Pitts","78","246","377","2","15","57","28","20","0.31","62","1.55","68.8","7","E.J. Speed","75","227","276","16","0.18","67","0.73","64.3"
"Isaiah Likely","76","241","213","2","40","55","5","13","0.3","82","1.32","59.2","-14","Dre Greenlaw","72","230","465","17","0.27","68","0.99","68.8"
"Dawson Knox","76","254","202","9","41","41","14","15","0.19","60","0.68","54.4","18","Eric Kendricks","72","232","365","13","0.22","80","1.12","68.3"
"Tommy Tremble","76","250","184","9","50","37","13","11","0.25","80","0.64","55.2","-8","Quay Walker","76","241","330","14","0.26","82","1.14","57.5"
"Cole Kmet","78","260","391","13","40","49","10","20","0.41","84","1.46","72.8","21","Josh Woods","73","230","262","11","0.26","79","0.77","32.7"
"Tanner Hudson","77","239","151","1","27","51","22","25","0.46","87","1.97","80","30","Mykal Walker","75","230","107","19","0.48","70","1.24","47.9"
"David Njoku","76","246","466","9","54","36","10","22","0.36","66","1.51","66.9","12","Christian Harris","73","226","303","16","0.25","81","1.03","60.8"
"Jake Ferguson","77","244","423","4","45","45","9","18","0.35","73","1.45","73","4","Duke Riley","73","227","123","13","0.17","69","0.76","80.2"
"Adam Trautman","77","253","310","13","47","35","18","10","0.18","67","0.56","52.1","-21","Ja'Whaun Bentley","74","250","362","10","0.18","80","0.86","71.8"
"Sam LaPorta","75","245","427","8","44","27","28","23","0.47","73","1.78","76.1","10","Ivan Pace Jr.","70","231","264","12","0.15","84","0.52","78.5"
"Tucker Kraft","77","259","213","12","66","24","10","11","0.24","78","1.01","63.7","20","Kamu Grugier-Hill","74","220","124","12","0.24","80","0.92","51"
"Dalton Schultz","77","244","351","7","49","37","11","18","0.36","70","1.46","74.4","9","D'Anthony Bell","73","211","55","11","0.12","67","0.49","70.1"
"Andrew Ogletree","77","260","128","11","62","32","5","15","0.28","47","1.15","69.4","-22","Nate Landman","75","235","274","14","0.25","79","0.98","73.9"
"Evan Engram","75","240","499","3","25","54","21","21","0.36","83","1.46","70.6","1","K.J. Britt","72","235","68","9","0.13","83","0.59","76.2"
"Travis Kelce","77","250","439","3","28","51","20","24","0.47","80","2.1","81.7","46","Robert Spillane","73","229","465","12","0.21","81","1","75.5"
"Tyler Higbee","78","255","398","8","56","28","16","14","0.23","68","1.01","58","-7","Tyrann Mathieu","69","190","506","6","0.12","58","0.47","75.1"
"Gerald Everett","75","250","264","9","51","35","12","20","0.34","75","1.27","64.7","20","Terrel Bernard","73","224","449","13","0.23","78","1.01","65.8"
"Michael Mayer","76","265","273","17","59","31","10","14","0.25","73","1.11","59.2","-3","Nick Bolton","71","237","178","12","0.17","76","0.83","68.1"
"Durham Smythe","78","246","320","16","35","45","18","9","0.15","80","0.71","50.5","-44","Markquese Bell","75","205","279","13","0.18","72","0.86","83.4"
