"offPlayer","offHeightInches","offWeight","offRoutes","offBlockPct","offInline","offSlot","offWide","offTr","offFr","offCPct","offYprr","offGrade","adv","defPlayer","defHeightInches","defWeight","defRoutes","defTr","defFr","defCPct","defYprr","defGrade"
"Zach Ertz","77","250","375","2","26","57","14","18","0.3","71","1.08","63.1","-13","Jamin Davis","75","234","396","14","0.22","76","0.96","62.9"
"Kyle Pitts","78","246","211","6","26","44","28","27","0.36","50","1.69","72.7","-7","Frankie Luvu","75","235","389","14","0.32","89","1.28","74.5"
"Mark Andrews","77","247","434","","12","66","21","25","0.43","66","1.95","80.3","-2","Denzel Perryman","71","240","250","11","0.2","71","0.73","74.1"
"Dawson Knox","76","254","472","7","33","47","12","14","0.29","74","1.1","65.1","28","Quincy Williams","71","225","395","18","0.3","86","1.17","55.3"
"Hayden Hurst","76","245","388","3","51","28","19","17","0.27","80","1.07","65.4","-24","Kaden Elliss","75","238","222","14","0.21","77","1.07","82.7"
"Cole Kmet","78","260","428","11","43","43","13","16","0.34","72","1.27","67.9","-15","Quay Walker","76","241","388","12","0.17","67","0.78","52.4"
"Irv Smith Jr.","74","240","178","9","59","21","19","19","0.31","74","1.02","56.6","-2","Jeremiah Owusu-Koramoah","74","221","251","14","0.27","74","0.95","65.1"
"David Njoku","76","246","405","9","52","36","11","20","0.36","73","1.55","73.7","-17","Logan Wilson","74","245","517","13","0.24","83","1.04","72.2"
"Jake Ferguson","77","244","105","29","74","17","7","21","0.46","86","1.66","66.9","16","Jason Pinnock","72","205","224","5","0.14","75","0.72","59.1"
"Greg Dulcich","76","245","316","4","34","58","9","16","0.27","65","1.3","60.4","2","Divine Deablo","75","223","237","16","0.35","86","1.35","58.2"
"Sam LaPorta","75","245","","","","","","","","","","","-9","Willie Gay","74","243","289","17","0.3","92","1.19","69.8"
"Luke Musgrave","78","253","","","","","","","","","","","-20","Tremaine Edmunds","77","250","427","13","0.18","71","0.69","78.4"
"Dalton Schultz","77","244","418","8","46","40","12","21","0.35","66","1.38","67.8","-11","Roquan Smith","73","236","495","13","0.22","79","1","70.7"
"Andrew Ogletree","77","260","","","","","","","","","","","-19","Devin Lloyd","75","235","484","18","0.35","83","1.49","48.9"
"Evan Engram","75","240","523","5","35","40","24","19","0.33","75","1.46","65.3","14","Zaire Franklin","72","235","570","12","0.2","76","0.98","56.7"
"Noah Gray","75","240","283","11","67","22","11","12","0.23","82","1.06","67.2","31","Alex Anzalone","75","238","532","8","0.12","80","0.62","59.3"
"Tyler Higbee","78","255","434","17","67","14","20","24","0.35","69","1.43","63","11","Jordyn Brooks","73","245","517","14","0.28","75","1.21","52.8"
"Gerald Everett","75","250","446","6","45","40","14","18","0.31","71","1.24","67.1","17","DeShon Elliott","73","210","484","4","0.08","81","0.48","67.9"
"Austin Hooper","76","254","320","4","33","53","14","17","0.3","73","1.39","69.2","-1","Josey Jewell","74","236","401","18","0.32","78","1.48","72"
"Durham Smythe","78","246","160","34","74","16","7","12","0.21","79","0.81","59.9","0","Kenneth Murray Jr.","74","241","352","13","0.22","79","0.95","47.9"
"T.J. Hockenson","77","248","573","10","49","35","16","21","0.37","70","1.6","70.2","-2","Lavonte David","73","233","571","13","0.2","80","0.85","84.6"
"Hunter Henry","77","258","419","9","44","42","11","14","0.25","72","1.21","58.7","4","Zach Cunningham","75","230","103","18","0.38","79","1.17","60.2"
"Juwan Johnson","76","231","365","6","35","50","15","17","0.37","69","1.39","66.4","14","Jack Gibbens","75","242","111","14","0.2","80","0.96","61.1"
"Darren Waller","78","245","246","1","18","61","20","17","0.34","67","1.58","72.4","-3","Leighton Vander Esch","76","256","358","8","0.12","83","0.49","70.4"
"Tyler Conklin","75","254","487","11","61","30","9","17","0.27","70","1.13","57.8","13","Tyrel Dodson","72","237","126","10","0.17","77","0.93","43.5"
"Dallas Goedert","77","256","385","4","45","43","11","17","0.37","82","1.82","76.5","-2","Ja'Whaun Bentley","74","250","394","10","0.13","73","0.55","81.5"
"Pat Freiermuth","77","258","435","6","58","36","5","22","0.34","66","1.68","75.6","-2","Dre Greenlaw","72","230","494","19","0.29","78","1.25","81.4"
"Noah Fant","76","249","350","9","40","40","15","18","0.35","79","1.39","66","2","Ernest Jones","74","230","365","16","0.28","85","1.21","62.7"
"George Kittle","76","250","443","7","57","30","11","18","0.46","75","1.73","81.9","22","Cole Holcomb","73","240","233","8","0.21","79","0.67","66.6"
"Cade Otton","77","247","465","5","41","48","10","14","0.2","67","0.84","57.8","-13","Brian Asamoah II","72","226","60","5","0.12","100","0.75","71.5"
"Chigoziem Okonkwo","75","238","172","7","43","35","15","26","0.55","71","2.61","79","-5","Demario Davis","74","248","551","8","0.13","74","0.5","82.8"
"Logan Thomas","78","250","366","8","25","64","11","16","0.21","68","0.88","52","-31","Kyzir White","74","234","494","14","0.19","74","0.88","65.1"
