,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Jalen Hurts,,0,QB,QB1,8100,PHI,vs MIA,24,26.75,11.5,26.7,23.8,1,32.57,257.71,1.43,0.79,0.4189,12.85,61.35,1,12.85,0,0,0,0,0,0,0,0,0,0,0,27.37,27.37,0,10.12,50.37,27.37,27.37,0,100,,42,3.4,3,1,1,7,1,1,25.06,15.78,188.96,0.52,1.8,1.02,80.19,8.62,43.04,0.62,0.04,0.02,0.06,,,,,,,,
Tyreek Hill,,0,WR,WR1,9400,MIA,@ PHI,26,24.75,11.9,21.3,28.8,0,0,0,0,0,0,0,0,0,12.65,0.3488,12.65,8.61,127.74,0.96,0,0,0,0,0,0,27.14,27.14,0,9.29,50.94,27.14,27.14,0,100,,38,2.9,2,1,1,2,2,2,0.01,,,0.01,,,,0.9,6.79,0.06,8.23,5.61,79.67,0.6,,,,,,,
Patrick Mahomes,,0,QB,QB1,8300,KC,vs LAC,7,26.25,8.4,27,21.2,1,38.31,303.04,2.19,0.67,0.1962,4.53,24.67,0.18,4.53,0,0,0,0,0,0,0,0,0,0,0,23.76,23.76,0,11.16,40.56,23.76,23.76,0,100,,67,2.9,1,2,2,5,3,3,37.4,24.83,300.39,0.63,1.48,2.39,106.28,3.97,20.91,0.16,0.03,0.01,0.07,,,,,,,,
Josh Allen,!,0,QB,QB1,8200,BUF,@ NE,17,24.25,9.4,27,24.2,1,33.19,251.44,1.94,0.79,0.2351,6.31,36.38,0.49,6.31,0,0,0,0,0,0,0,0,0,0,0,23.61,23.61,0,9.51,42.41,23.61,23.61,0,100,,61,2.9,2,3,3,6,4,4,33.54,21.13,240.92,0.79,1.94,1.8,91.79,6.87,39.4,0.49,0.04,0.02,0.33,0.02,,,,,,,
Raheem Mostert,,0,RB,RB1,7600,MIA,@ PHI,13,24.75,10.8,11,24.4,0,0,0,0,0,0.7267,16.58,93.22,0.96,20.78,0.1159,4.2,3.42,26.82,0.3,0,0,0,0,0,0,22.98,22.98,0,6.78,44.58,22.98,22.98,0,100,,8,3,4,1,1,11,5,5,,,,,,,,9.88,54.43,0.47,1.88,1.47,11.93,0.12,,,,,,,
Christian McCaffrey,!,0,RB,RB1,9400,SF,@ MIN,22,25.5,11,21.8,26.3,0,0,0,0,0,0.5508,15.92,74.46,0.69,21.87,0.1862,5.95,4.84,41.7,0.35,0,0,0,0,0,0,22.7,22.7,0,6.2,44.7,22.7,22.7,0,100,,53,2.4,1,2,2,2,6,6,0.05,0.02,1.02,,,0.02,9.63,13.91,64.57,0.55,7.1,5.74,49.2,0.3,,,,,,,
Keenan Allen,,0,WR,WR1,8600,LAC,@ KC,6,21.25,9.7,17.1,26.1,0,0,0,0,0,0,0,0,0,12.55,0.3171,12.55,8.91,103.12,0.58,0,0,0,0,0,0,22.7,22.7,0,8.15,42.1,22.7,22.7,0,100,,47,2.6,4,2,2,4,6,6,0.03,0.01,0.49,,0.01,0.01,6.95,0.18,1.12,,9.78,6.82,78.76,0.44,,,,,,,
Russell Wilson,,0,QB,QB1,5400,DEN,vs GB,5,22,8.3,16.1,19.2,1,35.37,274.61,2.09,0.71,0.1901,5.33,29.13,0.14,5.33,0,0,0,0,0,0,0,0,0,0,0,22.39,22.39,0,9.94,38.99,22.39,22.39,0,100,,59,4.1,18,4,4,33,7,7,31.57,20.49,243.3,0.59,2.91,1.88,101.62,4.7,24.99,0.11,0.03,0.03,0.03,0.01,,,,,,,
Joshua Dobbs,,0,QB,QB1,5300,ARI,@ SEA,22,18.75,8.6,12.4,15.4,1,39.08,264.99,1.36,0.77,0.3786,9.74,54.75,0.23,9.74,0,0,0,0,0,0,0,0,0,0,0,22.12,22.12,0,9.22,39.32,22.12,22.12,0,100,,1,4.2,19,5,5,34,8,8,20.07,12.36,119.36,0.43,1.21,0.57,69.11,3.43,18.86,0.07,,,,,,,,,,,
Travis Kelce,,0,TE,TE1,8000,KC,vs LAC,12,26.25,8.9,19.7,18.3,0,0,0,0,0,0,0,0,0,10.73,0.2801,10.73,7.73,94.45,0.72,0,0,0,0,0,0,21.5,21.5,0,8.15,39.3,21.5,21.5,0,100,,49,2.7,1,1,1,8,9,9,0.02,0.01,0.03,0.01,,,0.88,0.06,0.12,0.01,8.34,5.94,74.31,0.52,,,,,,,
Lamar Jackson,,0,QB,QB1,7600,BAL,vs DET,15,22.25,11.1,21.2,20.5,1,24.32,181.83,1.15,0.53,0.392,11.89,70.75,0.49,11.89,0,0,0,0,0,0,0,0,0,0,0,21.36,21.36,0,4.71,43.56,21.36,21.36,0,100,,48,2.8,6,6,6,11,10,10,24.49,15.68,179.64,0.56,1.99,1.4,92.25,10.35,63.13,0.36,0.03,,,,,,,,,,
Sam Howell,,0,QB,QB1,5500,WAS,@ NYG,10,20.75,6.8,19.3,18.4,1,35.42,259.41,1.65,1.02,0.1671,5.78,31.82,0.37,5.78,0,0,0,0,0,0,0,0,0,0,0,21.36,21.36,0,11.16,34.96,21.36,21.36,0,100,,63,3.9,17,6,6,32,10,10,33.29,22.29,238.43,1,4.86,1.43,75.9,3.43,19.86,0.29,,,,,,,,,,,
