,,,,,,Game and Vegas,,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Amon-Ra St. Brown,,0,WR,WR1,8800,DET,vs CHI,6,27.25,10.4,17.5,23.7,17.87,17.87,0,2.27,38.67,17.87,17.87,100,,41,2
Marquise Brown,,0,WR,WR1,5300,ARI,@ HOU,13,21.75,7.7,13.3,11.7,17.68,17.68,0,6.13,33.08,17.68,17.68,100,,39,3.3
Stefon Diggs,,0,WR,WR1,9100,BUF,vs NYJ,25,23.5,9.9,21.1,21.8,17.4,17.4,0,2.55,37.2,17.4,17.4,100,,43,1.9
Garrett Wilson,!,0,WR,WR1,6400,NYJ,@ BUF,4,16.5,7.6,13.3,14.9,17.32,17.32,0,5.92,32.52,17.32,17.32,100,,45,2.7
Jordan Love,,0,QB,QB1,5600,GB,vs LAC,19,20.25,8.5,2.9,17.8,16.97,16.97,0,4.22,33.97,16.97,16.97,100,,18,3
Tyler Lockett,!,0,WR,WR2,6500,SEA,@ LAR,18,22.75,9.8,15.5,13.5,16.35,16.35,0,1.65,35.95,16.35,16.35,100,,26,2.5
Travis Etienne,,0,RB,RB1,7200,JAC,vs TEN,12,22.75,9.6,13.1,19.3,16.29,16.29,0,1.89,35.49,16.29,16.29,100,,37,2.3
Chris Godwin,,0,WR,WR2,6600,TB,@ SF,29,14.75,9.3,15.4,12.1,16.21,16.21,0,2.26,34.81,16.21,16.21,100,,36,2.5
Tank Dell,,0,WR,WR2,5900,HOU,vs ARI,1,26.75,10.3,0,15.6,16.16,16.16,0,0.71,36.76,16.16,16.16,100,,34,2.7
Saquon Barkley,,0,RB,RB1,7100,NYG,@ WAS,18,14.25,9.8,18.5,15.8,16.08,16.08,0,1.38,35.68,16.08,16.08,100,,47,2.3
Josh Jacobs,,0,RB,RB1,6800,LV,@ MIA,17,16.25,9.1,20.4,14.9,16.08,16.08,0,2.43,34.28,16.08,16.08,100,,46,2.4
Tommy DeVito,,0,QB,QB1,5000,NYG,@ WAS,32,14.25,3,0,10.8,15.99,15.99,0,11.49,21.99,15.99,15.99,100,,72,3.2
Nico Collins,,0,WR,WR1,6700,HOU,vs ARI,1,26.75,7.6,9.7,16.1,15.89,15.89,0,4.49,31.09,15.89,15.89,100,,22,2.4
Brian Robinson,,0,RB,RB1,5800,WAS,vs NYG,27,23.25,7.3,9.6,14.6,15.86,15.86,0,4.91,30.46,15.86,15.86,100,,39,2.7
Puka Nacua,,0,WR,WR2,7100,LAR,vs SEA,28,23.75,10.7,0,19,15.58,15.58,0,0,36.98,15.58,15.58,100,,44,2.2
DeVonta Smith,,0,WR,WR2,7000,PHI,@ KC,16,21.75,8.5,15.9,13.6,15.52,15.52,0,2.77,32.52,15.52,15.52,100,,38,2.2
Courtland Sutton,,0,WR,WR1,5200,DEN,vs MIN,21,22,6.7,10.8,13.7,15.43,15.43,0,5.38,28.83,15.43,15.43,100,,39,3
D'Andre Swift,,0,RB,RB1,6700,PHI,@ KC,9,21.75,7.6,13.9,15.2,15.37,15.37,0,3.97,30.57,15.37,15.37,100,,50,2.3
Terry McLaurin,,0,WR,WR1,5800,WAS,vs NYG,24,23.25,7.6,14.2,12.3,15.28,15.28,0,3.88,30.48,15.28,15.28,100,,46,2.6
Javonte Williams,,0,RB,RB1,5500,DEN,vs MIN,8,22,6.5,10.7,11.2,15.21,15.21,0,5.46,28.21,15.21,15.21,100,,45,2.8
Jaylen Waddle,,0,WR,WR2,7600,MIA,vs LV,19,29.25,8.9,16.4,14.3,15.2,15.2,0,1.85,33,15.2,15.2,100,,43,2
DJ Moore,,0,WR,WR1,5600,CHI,@ DET,11,20.25,8.8,12.2,16.9,15.15,15.15,0,1.95,32.75,15.15,15.15,100,,37,2.7
Devin Singletary,,0,RB,RB1,5300,HOU,vs ARI,26,26.75,6.5,11.5,7.2,15.12,15.12,0,5.37,28.12,15.12,15.12,100,,40,2.9
DK Metcalf,,0,WR,WR1,6900,SEA,@ LAR,18,22.75,8.2,13.8,13.1,15.03,15.03,0,2.73,31.43,15.03,15.03,100,,44,2.2
David Montgomery,,0,RB,RB1,6500,DET,vs CHI,6,27.25,8.3,11.4,18.8,15,15,0,2.55,31.6,15,15,100,,42,2.3
Jerry Jeudy,,0,WR,WR2,5100,DEN,vs MIN,21,22,7.6,14.2,9.1,14.85,14.85,0,3.45,30.05,14.85,14.85,100,,30,2.9
Brandon Aiyuk,,0,WR,WR2,7200,SF,vs TB,30,26.75,7.7,13.6,16.6,14.82,14.82,0,3.27,30.22,14.82,14.82,100,,43,2.1
Zach Wilson,,0,QB,QB1,4800,NYJ,@ BUF,16,16.5,6.2,12.5,11.8,14.7,14.7,0,5.4,27.1,14.7,14.7,100,,50,3.1
Derrick Henry,,0,RB,RB1,6300,TEN,@ JAC,4,16.75,11.9,20.8,14.6,14.65,14.65,0,0,38.45,14.65,14.65,100,,28,2.3
Kenneth Walker III,,0,RB,RB1,6700,SEA,@ LAR,24,22.75,8.2,14.7,15.3,14.62,14.62,0,2.32,31.02,14.62,14.62,100,,45,2.2
Rachaad White,,0,RB,RB1,6000,TB,@ SF,7,14.75,6.8,9.1,14.8,14.25,14.25,0,4.05,27.85,14.25,14.25,100,,39,2.4
Breece Hall,,0,RB,RB1,6400,NYJ,@ BUF,19,16.5,8.2,17.4,14.1,14.23,14.23,0,1.93,30.63,14.23,14.23,100,,47,2.2
Aaron Jones,,0,RB,RB1,6200,GB,vs LAC,23,20.25,10.7,15.7,12.5,14.2,14.2,0,0,35.6,14.2,14.2,100,,34,2.3
Mark Andrews,,0,TE,TE1,6700,BAL,vs CIN,7,24.75,8.9,13.3,14.6,14.19,14.19,0,0.84,31.99,14.19,14.19,100,,33,2.1
Dalton Schultz,,0,TE,TE1,5000,HOU,vs ARI,1,26.75,7.2,9.6,11.7,13.9,13.9,0,3.1,28.3,13.9,13.9,100,,23,2.8
Deebo Samuel,,0,WR,WR1,6300,SF,vs TB,30,26.75,8.8,13.3,12.9,13.7,13.7,0,0.5,31.3,13.7,13.7,100,,42,2.2
Dorian Thompson-Robinson,,0,QB,QB1,4500,CLE,vs PIT,31,17.25,1.9,0,2.3,13.69,13.69,0,10.84,17.49,13.69,13.69,100,,0,3
T.J. Hockenson,,0,TE,TE1,5600,MIN,@ DEN,10,19,8.4,13.1,16.5,13.52,13.52,0,0.92,30.32,13.52,13.52,100,,29,2.4
Christian Kirk,,0,WR,WR2,6000,JAC,vs TEN,31,22.75,7.8,14.8,14.9,13.5,13.5,0,1.8,29.1,13.5,13.5,100,,39,2.3
Davante Adams,,0,WR,WR1,7900,LV,@ MIA,20,16.25,11.2,21.1,14.4,13.43,13.43,0,0,35.83,13.43,13.43,100,,42,1.7
Amari Cooper,,0,WR,WR1,6200,CLE,vs PIT,27,17.25,10.7,15.4,14.8,13.32,13.32,0,0,34.72,13.32,13.32,100,,27,2.1
Isiah Pacheco,,0,RB,RB1,6300,KC,vs PHI,2,23.75,6.2,8.2,13.3,13.29,13.29,0,3.99,25.69,13.29,13.29,100,,38,2.1
Darrell Henderson,,0,RB,RB1,5000,LAR,vs SEA,15,23.75,6.9,7.3,10.2,13.29,13.29,0,2.94,27.09,13.29,13.29,100,,20,2.7
Jerome Ford,,0,RB,RB1,5200,CLE,vs PIT,16,17.25,8,0.6,13.3,13.09,13.09,0,1.09,29.09,13.09,13.09,100,,27,2.5
Tyler Boyd,,0,WR,WR2,5000,CIN,@ BAL,3,21.75,8,10.8,11.3,12.97,12.97,0,0.97,28.97,12.97,12.97,100,,32,2.6
George Kittle,,0,TE,TE1,6400,SF,vs TB,30,26.75,9.7,13.6,13.5,12.95,12.95,0,0,32.35,12.95,12.95,100,,29,2
Will Levis,,0,QB,QB1,5200,TEN,@ JAC,30,16.75,8.7,0,14.4,12.72,12.72,0,0,30.12,12.72,12.72,100,,40,2.4
Michael Wilson,!,0,WR,WR2,3400,ARI,@ HOU,13,21.75,6.6,0,9.3,12.61,12.61,0,2.71,25.81,12.61,12.61,100,,29,3.7
Sam LaPorta,,0,TE,TE1,5800,DET,vs CHI,6,27.25,5.4,0,13.2,12.55,12.55,0,4.45,23.35,12.55,12.55,100,,59,2.2
Brandin Cooks,,0,WR,WR2,4700,DAL,@ CAR,5,25.75,9.2,11.4,10.4,12.51,12.51,0,0,30.91,12.51,12.51,100,,36,2.7
DeAndre Hopkins,,0,WR,WR1,6100,TEN,@ JAC,15,16.75,9,17.6,13.5,12.5,12.5,0,0,30.5,12.5,12.5,100,,51,2
Jordan Addison,,0,WR,WR1,5900,MIN,@ DEN,10,19,8.5,0,15,12.49,12.49,0,0,29.49,12.49,12.49,100,,43,2.1
Najee Harris,,0,RB,RB1,5100,PIT,@ CLE,5,15.25,7.1,13.5,10.4,12.49,12.49,0,1.84,26.69,12.49,12.49,100,,52,2.4
Trey McBride,,0,TE,TE1,4400,ARI,@ HOU,13,21.75,7.2,6.8,8.7,12.28,12.28,0,1.48,26.68,12.28,12.28,100,,8,2.8
Robert Woods,,0,WR,WR4,3700,HOU,vs ARI,1,26.75,8.3,6.9,7.6,12.26,12.26,0,0,28.86,12.26,12.26,100,,35,3.3
Jahan Dotson,,0,WR,WR2,5100,WAS,vs NYG,24,23.25,7.9,11.1,9.1,12.22,12.22,0,0.37,28.02,12.22,12.22,100,,23,2.4
Calvin Ridley,,0,WR,WR1,5400,JAC,vs TEN,31,22.75,9.6,0,11.2,12.2,12.2,0,0,31.4,12.2,12.2,100,,38,2.3
