,,,,,,Game and Vegas,,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Exp.,Used,Con.,Value
Odell Beckham Jr.,,0,WR,WR3,3600,BAL,vs CIN,7,24.75,9.9,0,7.1,7.11,7.11,0,0,26.91,7.11,7.11,100,,37,2
D'Onta Foreman,!,0,RB,RB2,5600,CHI,@ DET,11,20.25,8.9,9.1,12.5,7.07,7.07,0,0,24.87,7.07,7.07,100,,3,1.3
Elijah Moore,,0,WR,WR2,3500,CLE,vs PIT,27,17.25,7.1,6.3,7.9,6.97,6.97,0,0,21.17,6.97,6.97,100,,19,2
Ravens,,0,DST,DST1,3400,BAL,vs CIN,13,21.75,6.7,7.8,10.5,6.89,6.89,0,0,20.29,6.89,6.89,100,,16,2
Lions,,0,DST,DST1,3800,DET,vs CHI,22,20.25,5.3,5.4,6.7,6.82,6.82,0,0,17.42,6.82,6.82,100,,4,1.8
Darnell Mooney,,0,WR,WR2,3300,CHI,@ DET,11,20.25,6.5,9.2,6.7,6.81,6.81,0,0,19.81,6.81,6.81,100,,37,2.1
Vikings,,0,DST,DST1,3300,MIN,@ DEN,14,22,5.9,6,8,6.77,6.77,0,0,18.57,6.77,6.77,100,,20,2.1
Chiefs,,0,DST,DST1,2600,KC,vs PHI,8,21.75,6.7,7,9.1,6.73,6.73,0,0,20.13,6.73,6.73,100,,20,2.6
Isaiah Hodgins,,0,WR,WR2,3000,NYG,@ WAS,32,14.25,6.4,11.2,3.6,6.72,6.72,0,0,19.52,6.72,6.72,100,,17,2.2
Kenneth Gainwell,,0,RB,RB2,4500,PHI,@ KC,9,21.75,5.4,5.2,6.6,6.66,6.66,0,0,17.46,6.66,6.66,100,,17,1.5
Buccaneers,,0,DST,DST1,2700,TB,@ SF,7,26.75,6,6.1,8.2,6.37,6.37,0,0,18.37,6.37,6.37,100,,13,2.4
Kalif Raymond,,0,WR,WR4,3100,DET,vs CHI,6,27.25,5.5,6.5,6.5,6.32,6.32,0,0,17.32,6.32,6.32,100,,0,2
Marquez Valdes-Scantling,,0,WR,WR2,3100,KC,vs PHI,26,23.75,7.1,7.4,4.9,6.23,6.23,0,0,20.43,6.23,6.23,100,,3,2
Trey Palmer,,0,WR,WR3,3000,TB,@ SF,29,14.75,2.7,0,5.3,6.2,6.2,0,2.15,11.6,6.2,6.2,100,,49,2.1
Eagles,,0,DST,DST1,2800,PHI,@ KC,15,23.75,6.3,8.8,7.7,6.18,6.18,0,0,18.78,6.18,6.18,100,,19,2.2
Nick Westbrook,,0,WR,WR2,3100,TEN,@ JAC,15,16.75,6.4,5.7,7.5,6.17,6.17,0,0,18.97,6.17,6.17,100,,0,2
Jake Bobo,,0,WR,WR4,3200,SEA,@ LAR,18,22.75,5.2,0,6.4,6.14,6.14,0,0,16.54,6.14,6.14,100,,19,1.9
Chris Moore,,0,WR,WR3,3000,TEN,@ JAC,15,16.75,4.8,7.9,3.9,6.14,6.14,0,0,15.74,6.14,6.14,100,,0,2
Olamide Zaccheaus,,0,WR,WR3,3000,PHI,@ KC,16,21.75,5.5,6.9,3.5,6.06,6.06,0,0,17.06,6.06,6.06,100,,7,2
Chigoziem Okonkwo,,0,TE,TE1,3200,TEN,@ JAC,15,16.75,4.3,6.3,5.3,5.97,5.97,0,0,14.57,5.97,5.97,100,,27,1.9
Texans,,0,DST,DST1,3000,HOU,vs ARI,24,21.75,6.1,5.8,6.8,5.84,5.84,0,0,18.04,5.84,5.84,100,,2,1.9
D.J. Chark,,0,WR,WR2,3300,CAR,vs DAL,9,15.75,8.7,9.2,8.3,5.75,5.75,0,0,23.15,5.75,5.75,100,,17,1.7
Zach Charbonnet,,0,RB,RB2,4600,SEA,@ LAR,24,22.75,2.8,0,5.2,5.62,5.62,0,1.42,11.22,5.62,5.62,100,,46,1.2
Noah Fant,,0,TE,TE1,2900,SEA,@ LAR,18,22.75,5.8,7.2,4.9,5.52,5.52,0,0,17.12,5.52,5.52,100,,30,1.9
Cedrick Wilson,,0,WR,WR3,3000,MIA,vs LV,19,29.25,7.3,2,7.2,5.33,5.33,0,0,19.93,5.33,5.33,100,,0,1.8
Marvin Mims Jr.,,0,WR,WR3,3500,DEN,vs MIN,21,22,7.5,0,4.8,5.29,5.29,0,0,20.29,5.29,5.29,100,,0,1.5
Cardinals,,0,DST,DST1,2900,ARI,@ HOU,6,26.75,6.2,5.9,5,5.23,5.23,0,0,17.63,5.23,5.23,100,,9,1.8
Jauan Jennings,,0,WR,WR3,3600,SF,vs TB,30,26.75,5.3,5.2,4.6,5.2,5.2,0,0,15.8,5.2,5.2,100,,4,1.4
Dontayvion Wicks,,0,WR,WR4,3300,GB,vs LAC,17,20.25,4,0,5.2,5.17,5.17,0,0,13.17,5.17,5.17,100,,23,1.6
Royce Freeman,,0,RB,RB2,4500,LAR,vs SEA,15,23.75,4.4,5,4,5.1,5.1,0,0,13.9,5.1,5.1,100,,23,1.1
Nelson Agholor,,0,WR,WR4,3000,BAL,vs CIN,7,24.75,7.2,5.7,5.8,5.04,5.04,0,0,19.44,5.04,5.04,100,,14,1.7
Matt Breida,,0,RB,RB2,4300,NYG,@ WAS,18,14.25,6.6,3.5,3.7,5.01,5.01,0,0,18.21,5.01,5.01,100,,0,1.2
Jalen Nailor,,0,WR,WR4,3000,MIN,@ DEN,10,19,6.1,6.6,1.3,5.01,5.01,0,0,17.21,5.01,5.01,100,,0,1.7
Pat Freiermuth,!,0,TE,TE1,2500,PIT,@ CLE,8,15.25,4.8,9.9,6.3,5,5,0,0,14.6,5,5,100,,48,2
Justin Watson,,0,WR,WR3,3000,KC,vs PHI,26,23.75,4.4,3.4,5.1,4.99,4.99,0,0,13.79,4.99,4.99,100,,0,1.7
Isaiah Likely,,0,TE,TE2,2500,BAL,vs CIN,7,24.75,5.8,6.7,3,4.98,4.98,0,0,16.58,4.98,4.98,100,,0,2
Panthers,,0,DST,DST1,2200,CAR,vs DAL,2,25.75,6.1,5.9,5,4.96,4.96,0,0,17.16,4.96,4.96,100,,12,2.3
Durham Smythe,!,0,TE,TE1,2600,MIA,vs LV,19,29.25,2.9,3.1,4.2,4.87,4.87,0,0.52,10.67,4.87,4.87,100,,15,1.9
Noah Gray,,0,TE,TE2,2500,KC,vs PHI,26,23.75,2.6,4.1,5.1,4.87,4.87,0,0.97,10.07,4.87,4.87,100,,35,1.9
Lil'Jordan Humphrey,,0,WR,WR4,3000,DEN,vs MIN,21,22,3.9,1.3,3.8,4.75,4.75,0,0,12.55,4.75,4.75,100,,15,1.6
Jalin Hyatt,,0,WR,WR4,3000,NYG,@ WAS,32,14.25,4,0,4.6,4.74,4.74,0,0,12.74,4.74,4.74,100,,13,1.6
Adam Trautman,,0,TE,TE1,2600,DEN,vs MIN,21,22,3.9,3.7,3.4,4.59,4.59,0,0,12.39,4.59,4.59,100,,9,1.8
Rashod Bateman,,0,WR,WR2,3100,BAL,vs CIN,7,24.75,5.7,9.6,4.6,4.54,4.54,0,0,15.94,4.54,4.54,100,,25,1.5
Brock Wright,,0,TE,TE2,2600,DET,vs CHI,6,27.25,3.2,0,4.4,4.53,4.53,0,0,10.93,4.53,4.53,100,,3,1.7
Khalil Shakir,,0,WR,WR3,3200,BUF,vs NYJ,25,23.5,4.8,3.2,5.5,4.48,4.48,0,0,14.08,4.48,4.48,100,,0,1.4
Jalen Tolbert,,0,WR,WR4,3200,DAL,@ CAR,5,25.75,4.7,1.6,4.2,4.43,4.43,0,0,13.83,4.43,4.43,100,,0,1.4
Packers,,0,DST,DST1,2300,GB,vs LAC,5,23.25,5.3,6.8,6.7,4.43,4.43,0,0,15.03,4.43,4.43,100,,17,1.9
Giants,,0,DST,DST1,3000,NYG,@ WAS,19,23.25,5.9,6.3,4.4,4.34,4.34,0,0,16.14,4.34,4.34,100,,2,1.4
Kyle Philips,,0,WR,WR4,3000,TEN,@ JAC,15,16.75,4.6,3.5,5.2,4.33,4.33,0,0,13.53,4.33,4.33,100,,0,1.4
Jonathan Mingo,,0,WR,WR3,3400,CAR,vs DAL,9,15.75,2.8,0,5.6,4.29,4.29,0,0.09,9.89,4.29,4.29,100,,50,1.3
Hunter Renfrow,,0,WR,WR3,3000,LV,@ MIA,20,16.25,7.2,8,2.9,4.23,4.23,0,0,18.63,4.23,4.23,100,,28,1.4
Julio Jones,,0,WR,WR4,3000,PHI,@ KC,16,21.75,11.4,7,4.6,4.21,4.21,0,0,27.01,4.21,4.21,100,,37,1.4
Robert Tonyan,,0,TE,TE2,2500,CHI,@ DET,11,20.25,6.2,6.6,1.8,4.15,4.15,0,0,16.55,4.15,4.15,100,,5,1.7
Brandon Powell,,0,WR,WR3,3300,MIN,@ DEN,10,19,4,2.8,4.5,4.14,4.14,0,0,12.14,4.14,4.14,100,,0,1.3
Titans,,0,DST,DST1,2500,TEN,@ JAC,16,22.75,5.3,5.4,5.6,4.13,4.13,0,0,14.73,4.13,4.13,100,,15,1.7
Rico Dowdle,!,0,RB,RB2,4600,DAL,@ CAR,29,25.75,4.4,0,5.1,4.12,4.12,0,0,12.92,4.12,4.12,100,,0,0.9
Skyy Moore,,0,WR,WR4,3000,KC,vs PHI,26,23.75,3.9,3.1,4.9,4.1,4.1,0,0,11.9,4.1,4.1,100,,0,1.4
Michael Mayer,,0,TE,TE1,2700,LV,@ MIA,20,16.25,4,0,5.2,4.1,4.1,0,0,12.1,4.1,4.1,100,,23,1.5
Braxton Berrios,!,0,WR,WR4,3000,MIA,vs LV,19,29.25,5.6,3.4,5.2,4.09,4.09,0,0,15.29,4.09,4.09,100,,0,1.4
Will Dissly,,0,TE,TE2,2500,SEA,@ LAR,18,22.75,5.3,5.8,3.2,4.04,4.04,0,0,14.64,4.04,4.04,100,,5,1.6
Raiders,,0,DST,DST1,2900,LV,@ MIA,1,29.25,4.6,4.4,7.1,4,4,0,0,13.2,4,4,100,,0,1.4
Austin Hooper,,0,TE,TE2,2500,LV,@ MIA,20,16.25,6.1,5.7,3.1,3.91,3.91,0,0,16.11,3.91,3.91,100,,22,1.6
Joshua Kelley,,0,RB,RB2,4600,LAC,@ GB,25,23.25,4.2,5.4,5.6,3.89,3.89,0,0,12.29,3.89,3.89,100,,18,0.8
Daniel Bellinger,,0,TE,TE1,3000,NYG,@ WAS,32,14.25,3.9,6.7,2.4,3.86,3.86,0,0,11.66,3.86,3.86,100,,20,1.3
Ben Skowronek,,0,WR,WR4,3000,LAR,vs SEA,28,23.75,4.5,6,2.2,3.82,3.82,0,0,12.82,3.82,3.82,100,,0,1.3
C.J. Uzomah,,0,TE,TE2,2500,NYJ,@ BUF,4,16.5,5,4,2.8,3.81,3.81,0,0,13.81,3.81,3.81,100,,9,1.5
Deven Thompkins,,0,WR,WR4,3000,TB,@ SF,29,14.75,4.2,3.6,3.3,3.8,3.8,0,0,12.2,3.8,3.8,100,,0,1.3
Rams,,0,DST,DST1,2800,LAR,vs SEA,18,22.75,6.1,5.7,4.4,3.8,3.8,0,0,16,3.8,3.8,100,,20,1.4
Allen Robinson,,0,WR,WR3,3000,PIT,@ CLE,8,15.25,9,8.5,4.3,3.66,3.66,0,0,21.66,3.66,3.66,100,,32,1.2
John Bates,,0,TE,TE2,2500,WAS,vs NYG,24,23.25,3.2,3.4,3.1,3.5,3.5,0,0,9.9,3.5,3.5,100,,16,1.4
Trent Sherfield,!,0,WR,WR4,3000,BUF,vs NYJ,25,23.5,3.9,5.2,2,3.4,3.4,0,0,11.2,3.4,3.4,100,,0,1.1
Connor Heyward,,0,TE,TE2,3000,PIT,@ CLE,8,15.25,2.5,4.8,4.4,3.37,3.37,0,0,8.37,3.37,3.37,100,,46,1.1
Greg Dortch,,0,WR,WR4,3000,ARI,@ HOU,13,21.75,6.7,7.3,0.1,3.34,3.34,0,0,16.74,3.34,3.34,100,,0,1.1
Brenton Strange,,0,TE,TE2,2500,JAC,vs TEN,31,22.75,4.4,0,3.3,3.3,3.3,0,0,12.1,3.3,3.3,100,,0,1.3
Jameson Williams,,0,WR,WR3,3300,DET,vs CHI,6,27.25,4.4,2.5,4.6,3.28,3.28,0,0,12.08,3.28,3.28,100,,0,1
Tommy Tremble,,0,TE,TE1,2500,CAR,vs DAL,9,15.75,3.3,3.8,3.8,3.28,3.28,0,0,9.88,3.28,3.28,100,,11,1.3
Josh Oliver,,0,TE,TE2,2700,MIN,@ DEN,10,19,3.5,3.4,4,3.24,3.24,0,0,10.24,3.24,3.24,100,,0,1.2
Eli Mitchell,,0,RB,RB2,4300,SF,vs TB,1,26.75,8.6,8.7,1.8,3.22,3.22,0,0,20.42,3.22,3.22,100,,19,0.7
Dyami Brown,,0,WR,WR4,3000,WAS,vs NYG,24,23.25,5.5,4,3.2,3.03,3.03,0,0,14.03,3.03,3.03,100,,0,1
Laviska Shenault Jr.,!,0,WR,WR4,3000,CAR,vs DAL,9,15.75,5.4,5.6,2.5,2.95,2.95,0,0,13.75,2.95,2.95,100,,30,1
Chris Rodriguez Jr.,,0,RB,RB2,4000,WAS,vs NYG,27,23.25,1.3,0,1.8,2.9,2.9,0,0.95,5.5,2.9,2.9,100,,28,0.7
Josh Whyle,,0,TE,TE2,2500,TEN,@ JAC,15,16.75,3.7,0,3.6,2.81,2.81,0,0,10.21,2.81,2.81,100,,0,1.1
Calvin Austin III,,0,WR,WR4,3000,PIT,@ CLE,8,15.25,4.8,0,4.5,2.76,2.76,0,0,12.36,2.76,2.76,100,,0,0.9
Equanimeous St. Brown,,0,WR,WR4,3000,CHI,@ DET,11,20.25,3.5,4,1.5,2.73,2.73,0,0,9.73,2.73,2.73,100,,0,0.9
Ronnie Bell,,0,WR,WR4,3000,SF,vs TB,30,26.75,3.9,0,3,2.67,2.67,0,0,10.47,2.67,2.67,100,,0,0.9
Derius Davis,,0,WR,WR4,3000,LAC,@ GB,12,23.25,2.4,0,2.4,2.65,2.65,0,0,7.45,2.65,2.65,100,,0,0.9
Cedric Tillman,,0,WR,WR3,3000,CLE,vs PIT,27,17.25,0.7,0,0.9,2.62,2.62,0,1.57,4.02,2.62,2.62,100,,22,0.9
Brycen Hopkins,,0,TE,TE2,2500,LAR,vs SEA,28,23.75,2.2,2.6,2,2.6,2.6,0,0,7,2.6,2.6,100,,8,1
Bears,,0,DST,DST1,2400,CHI,@ DET,3,27.25,6,3.2,4.8,2.6,2.6,0,0,14.6,2.6,2.6,100,,6,1.1
Chase Edmonds,,0,RB,RB2,4300,TB,@ SF,7,14.75,7.4,5.7,1.6,2.53,2.53,0,0,17.33,2.53,2.53,100,,3,0.6
David Bell,,0,WR,WR4,3000,CLE,vs PIT,27,17.25,2.1,1.4,2.4,2.53,2.53,0,0,6.73,2.53,2.53,100,,0,0.8
Tre Tucker,,0,WR,WR4,3000,LV,@ MIA,20,16.25,2.7,0,4.2,2.5,2.5,0,0,7.9,2.5,2.5,100,,36,0.8
Grant Calcaterra,,0,TE,TE2,2500,PHI,@ KC,16,21.75,2,2.6,0,2.41,2.41,0,0,6.41,2.41,2.41,100,,9,1
Tyler Scott,,0,WR,WR3,3000,CHI,@ DET,11,20.25,1.7,0,2.6,2.35,2.35,0,0,5.75,2.35,2.35,100,,35,0.8
Harrison Bryant,,0,TE,TE2,2500,CLE,vs PIT,27,17.25,3.9,4.4,1.3,2.31,2.31,0,0,10.11,2.31,2.31,100,,7,0.9
Ameer Abdullah,,0,RB,RB2,4400,LV,@ MIA,17,16.25,5,3.4,2.2,2.3,2.3,0,0,12.3,2.3,2.3,100,,0,0.5
Ian Thomas,!,0,TE,TE2,2500,CAR,vs DAL,9,15.75,4,3.1,1.9,2.28,2.28,0,0,10.28,2.28,2.28,100,,0,0.9
Tim Jones,,0,WR,WR4,3000,JAC,vs TEN,31,22.75,1.6,0,1.9,2.16,2.16,0,0,5.36,2.16,2.16,100,,16,0.7
Tank Bigsby,,0,RB,RB2,4200,JAC,vs TEN,12,22.75,2.6,0,2.2,1.85,1.85,0,0,7.05,1.85,1.85,100,,0,0.4
Ty Chandler,,0,RB,RB2,4800,MIN,@ DEN,32,19,2.9,2,2.7,1.8,1.8,0,0,7.6,1.8,1.8,100,,0,0.4
Mike Boone,,0,RB,RB2,4000,HOU,vs ARI,26,26.75,5.1,3.6,1.5,1.31,1.31,0,0,11.51,1.31,1.31,100,,0,0.3
Xavier Gipson,,0,WR,WR3,3000,NYJ,@ BUF,4,16.5,1.9,0,1.4,1.14,1.14,0,0,4.94,1.14,1.14,100,,0,0.4
Keaontay Ingram,,0,RB,RB2,4200,ARI,@ HOU,20,21.75,3,1.8,2,1.09,1.09,0,0,7.09,1.09,1.09,100,,0,0.3
Charlie Jones,,0,WR,WR4,3000,CIN,@ BAL,3,21.75,0.8,0,0.5,0.93,0.93,0,0,2.53,0.93,0.93,100,,0,0.3
Trayveon Williams,,0,RB,RB2,4400,CIN,@ BAL,3,21.75,2.4,1.1,1.1,0.42,0.42,0,0,5.22,0.42,0.42,100,,0,0.1
Carson Wentz,,0,QB,QB2,5100,LAR,vs SEA,20,23.75,7.3,16.5,0,0,0,0,0,0,0,0,100,,60,0
Tyson Bagent,,0,QB,QB2,5000,CHI,@ DET,26,20.25,4.5,0,12.3,0,0,0,0,0,0,0,100,,63,0
Phillip Walker,,0,QB,QB2,4900,CLE,vs PIT,31,17.25,5.9,7.5,6.5,0,0,0,0,0,0,0,100,,0,0
Kyle Allen,,0,QB,QB2,4900,BUF,vs NYJ,1,23.5,8.3,10.5,-0.2,0,0,0,0,0,0,0,100,,30,0
Jake Browning,,0,QB,QB2,4800,CIN,@ BAL,4,21.75,0,0,-0.1,0,0,0,0,0,0,0,100,,0,0
Jimmy Garoppolo,,0,QB,QB2,4800,LV,@ MIA,21,16.25,8.1,15.8,12.7,0,0,0,0,0,0,0,100,,42,0
Jarrett Stidham,,0,QB,QB2,4700,DEN,vs MIN,9,22,9.1,16.5,0,0,0,0,0,0,0,0,100,,0,0
Teddy Bridgewater,,0,QB,QB2,4700,DET,vs CHI,28,27.25,8.6,9,-0.2,0,0,0,0,0,0,0,100,,33,0
Easton Stick,,0,QB,QB2,4700,LAC,@ GB,3,23.25,0,0,0,0,0,0,0,0,0,0,100,,0,0
Clayton Tune,,0,QB,QB2,4700,ARI,@ HOU,24,21.75,2.5,0,2.8,0,0,0,0,0,0,0,100,,11,0
Ryan Tannehill,,0,QB,QB2,4700,TEN,@ JAC,30,16.75,7.5,14.4,9.5,0,0,0,0,0,0,0,100,,56,0
Matt Barkley,,0,QB,QB2,4700,NYG,@ WAS,32,14.25,8.1,0,0,0,0,0,0,0,0,0,100,,16,0
Blaine Gabbert,,0,QB,QB2,4600,KC,vs PHI,23,23.75,8.2,5.2,-0.9,0,0,0,0,0,0,0,100,,9,0
Tyler Huntley,,0,QB,QB2,4600,BAL,vs CIN,25,24.75,8.7,10.6,1.8,0,0,0,0,0,0,0,100,,0,0
Mitchell Trubisky,,0,QB,QB2,4600,PIT,@ CLE,5,15.25,9.6,11.3,5,0,0,0,0,0,0,0,100,,32,0
Craig Reynolds,,0,RB,RB3,4600,DET,vs CHI,6,27.25,4.5,5.1,4.7,0,0,0,0,0,0,0,100,,17,0
Sean Clifford,,0,QB,QB2,4600,GB,vs LAC,19,20.25,0,0,0,0,0,0,0,0,0,0,100,,0,0
Malik Willis,,0,QB,QB3,4600,TEN,@ JAC,30,16.75,4.1,3.5,2,0,0,0,0,0,0,0,100,,0,0
C.J. Beathard,,0,QB,QB2,4600,JAC,vs TEN,15,22.75,8.8,0,0.1,0,0,0,0,0,0,0,100,,5,0
Mike White,,0,QB,QB2,4600,MIA,vs LV,10,29.25,10.1,16.9,2.6,0,0,0,0,0,0,0,100,,21,0
Kyle Trask,,0,QB,QB2,4600,TB,@ SF,13,14.75,0.5,0.9,-0.1,0,0,0,0,0,0,0,100,,0,0
Jordan Mason,,0,RB,RB3,4600,SF,vs TB,1,26.75,3.7,4,3.2,0,0,0,0,0,0,0,100,,0,0
Drew Lock,,0,QB,QB2,4600,SEA,@ LAR,7,22.75,8.6,0,3.6,0,0,0,0,0,0,0,100,,37,0
Jacoby Brissett,,0,QB,QB2,4600,WAS,vs NYG,17,23.25,8.4,13,0,0,0,0,0,0,0,0,100,,20,0
Marcus Mariota,,0,QB,QB2,4500,PHI,@ KC,6,21.75,9.4,16,0,0,0,0,0,0,0,0,100,,38,0
Samaje Perine,,0,RB,RB3,4500,DEN,vs MIN,8,22,6.7,9.1,6.7,0,0,0,0,0,0,0,100,,3,0
Andy Dalton,,0,QB,QB2,4500,CAR,vs DAL,18,15.75,7.7,13.4,13.3,0,0,0,0,0,0,0,100,,52,0
Cooper Rush,,0,QB,QB2,4500,DAL,@ CAR,2,25.75,6.6,7.5,0.6,0,0,0,0,0,0,0,100,,0,0
Nathan Peterman,,0,QB,QB3,4500,CHI,@ DET,26,20.25,4.6,3.1,-0.4,0,0,0,0,0,0,0,100,,0,0
Davis Mills,,0,QB,QB2,4500,HOU,vs ARI,29,26.75,7.6,13.7,0,0,0,0,0,0,0,0,100,,45,0
Tim Boyle,,0,QB,QB2,4500,NYJ,@ BUF,16,16.5,5.1,-0.9,0,0,0,0,0,0,0,0,100,,0,0
Roschon Johnson,,0,RB,RB3,4400,CHI,@ DET,11,20.25,4.7,0,6.3,0,0,0,0,0,0,0,100,,25,0
Brian Hoyer,,0,QB,QB3,4400,LV,@ MIA,21,16.25,9.4,1.5,3.5,0,0,0,0,0,0,0,100,,0,0
Jeff Wilson,,0,RB,RB3,4400,MIA,vs LV,30,29.25,8.3,10.4,4.6,0,0,0,0,0,0,0,100,,11,0
Sam Darnold,,0,QB,QB2,4400,SF,vs TB,14,26.75,8.6,15.7,-0.1,0,0,0,0,0,0,0,100,,37,0
Chris Evans,,0,RB,RB3,4300,CIN,@ BAL,3,21.75,4.6,1.4,0.7,0,0,0,0,0,0,0,100,,0,0
Salvon Ahmed,,0,RB,RB4,4300,MIA,vs LV,30,29.25,5.6,2.4,5.1,0,0,0,0,0,0,0,100,,0,0
Ty Johnson,,0,RB,RB3,4300,BUF,vs NYJ,28,23.5,5.4,3.6,0.1,0,0,0,0,0,0,0,100,,0,0
Zamir White,,0,RB,RB3,4200,LV,@ MIA,17,16.25,1.5,0.6,1.9,0,0,0,0,0,0,0,100,,0,0
Justice Hill,,0,RB,RB3,4100,BAL,vs CIN,21,24.75,3.7,2.9,7.2,0,0,0,0,0,0,0,100,,0,0
Kene Nwangwu,,0,RB,RB3,4100,MIN,@ DEN,32,19,2.9,1.3,0.4,0,0,0,0,0,0,0,100,,0,0
John Wolford,,0,QB,QB3,4000,TB,@ SF,13,14.75,5.9,9.4,0,0,0,0,0,0,0,0,100,,6,0
Brandon Allen,,0,QB,QB3,4000,SF,vs TB,14,26.75,7.7,0.8,0,0,0,0,0,0,0,0,100,,0,0
Sean Tucker,,0,RB,RB3,4000,TB,@ SF,7,14.75,1.9,0,1.7,0,0,0,0,0,0,0,100,,0,0
Ke'Shawn Vaughn,,0,RB,RB4,4000,TB,@ SF,7,14.75,3.9,1.7,1.3,0,0,0,0,0,0,0,100,,0,0
Tyrion Davis-Price,,0,RB,RB4,4000,SF,vs TB,1,26.75,1.2,2,2.1,0,0,0,0,0,0,0,100,,40,0
Kyle Juszczyk,,0,RB,FB1,4000,SF,vs TB,1,26.75,3.9,4.1,4.5,0,0,0,0,0,0,0,100,,20,0
Michael Carter,,0,RB,RB3,4000,ARI,@ HOU,20,,6.6,7.9,2.8,0,0,0,0,0,0,0,100,,18,0
Israel Abanikanda,,0,RB,RB3,4000,NYJ,@ BUF,19,16.5,,,,0,0,0,0,,0,0,100,,0,0
Nick Bawden,,0,RB,FB1,4000,NYJ,@ BUF,19,16.5,1.7,0,3.9,0,0,0,0,0,0,0,100,,19,0
Reggie Gilliam,,0,RB,FB1,4000,BUF,vs NYJ,28,23.5,2.6,3.5,0.6,0,0,0,0,0,0,0,100,,0,0
Tanner McKee,,0,QB,QB3,4000,PHI,@ KC,6,21.75,,,,0,0,0,0,,0,0,100,,0,0
DeeJay Dallas,,0,RB,RB3,4000,SEA,@ LAR,24,22.75,4.8,3.1,0.6,0,0,0,0,0,0,0,100,,0,0
Boston Scott,,0,RB,RB3,4000,PHI,@ KC,9,21.75,7.2,3.1,2,0,0,0,0,0,0,0,100,,0,0
Kenny McIntosh,,0,RB,RB4,4000,SEA,@ LAR,24,22.75,,,,0,0,0,0,,0,0,100,,0,0
Rashaad Penny,,0,RB,RB4,4000,PHI,@ KC,9,21.75,9.9,11,1.6,0,0,0,0,0,0,0,100,,0,0
Zach Evans,,0,RB,RB3,4000,LAR,vs SEA,15,23.75,0,0,1,0,0,0,0,0,0,0,100,,0,0
Clyde Edwards-Helaire,,0,RB,RB3,4000,KC,vs PHI,2,23.75,7.4,9.8,3.3,0,0,0,0,0,0,0,100,,30,0
Derrick Gore,,0,RB,RB3,4000,WAS,vs NYG,27,23.25,5.6,0,0,0,0,0,0,0,0,0,100,,10,0
Patrick Ricard,,0,RB,FB1,4000,BAL,vs CIN,21,24.75,1.7,1.3,2.2,0,0,0,0,0,0,0,100,,0,0
Jashaun Corbin,,0,RB,RB3,4000,NYG,@ WAS,18,14.25,2.2,0,2.2,0,0,0,0,0,0,0,100,,0,0
Nick Mullens,!,0,QB,QB2,4000,MIN,@ DEN,27,19,7.8,3.2,0,0,0,0,0,0,0,0,100,,38,0
Deon Jackson,,0,RB,RB4,4000,NYG,@ WAS,18,14.25,7.5,7.1,3,0,0,0,0,0,0,0,100,,0,0
C.J. Ham,,0,RB,FB1,4000,MIN,@ DEN,32,19,2.3,2.8,0.9,0,0,0,0,0,0,0,100,,0,0
Dwayne Washington,,0,RB,RB4,4000,DEN,vs MIN,8,22,2.7,0.9,0,0,0,0,0,0,0,0,100,,0,0
Michael Burton,,0,RB,FB1,4000,DEN,vs MIN,8,22,1.9,0.3,0.6,0,0,0,0,0,0,0,100,,0,0
Trey Lance,,0,QB,QB3,4000,DAL,@ CAR,2,25.75,7.4,6.7,0,0,0,0,0,0,0,0,100,,26,0
Raheem Blackshear,,0,RB,RB3,4000,CAR,vs DAL,13,15.75,4.6,4.4,3,0,0,0,0,0,0,0,100,,0,0
Deuce Vaughn,,0,RB,RB3,4000,DAL,@ CAR,29,25.75,1.9,0,2.6,0,0,0,0,0,0,0,100,,27,0
Hunter Luepke,,0,RB,FB1,4000,DAL,@ CAR,29,25.75,2.4,0,1.7,0,0,0,0,0,0,0,100,,0,0
Mason Rudolph,,0,QB,QB3,4000,PIT,@ CLE,5,15.25,6.9,0,0,0,0,0,0,0,0,0,100,,31,0
Anthony McFarland,,0,RB,RB3,4000,PIT,@ CLE,5,15.25,1.9,6.1,1.5,0,0,0,0,0,0,0,100,,10,0
Godwin Igwebuike,,0,RB,RB4,4000,PIT,@ CLE,5,15.25,0.6,0.3,0,0,0,0,0,0,0,0,100,,0,0
Pierre Strong,,0,RB,RB3,4000,CLE,vs PIT,16,17.25,4.7,6.8,3,0,0,0,0,0,0,0,100,,0,0
Travis Homer,,0,RB,RB4,4000,CHI,@ DET,11,20.25,4.4,4.4,0,0,0,0,0,0,0,0,100,,0,0
Khari Blasingame,,0,RB,FB1,4000,CHI,@ DET,11,20.25,1.5,0,1,0,0,0,0,0,0,0,100,,0,0
Elijah Dotson,,0,RB,RB3,4000,LAC,@ GB,25,23.25,0,0,3.9,0,0,0,0,0,0,0,100,,0,0
Emanuel Wilson,,0,RB,RB3,4000,GB,vs LAC,23,20.25,1.7,0,2.9,0,0,0,0,0,0,0,100,,41,0
