,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Lamar Jackson,,0,QB,QB1,7700,BAL,@ TEN,25,23.75,11.2,21.2,20.9,1,32.11,239.87,1.5,0.67,0.3958,14.45,87.13,0.62,14.45,0,0,0,0,0,0,0,0,0,0,0,27.36,27.36,0,10.56,49.76,27.36,27.36,0,100,,47,3.6,5,1,1,13,1,1,24.42,15.61,179.08,0.56,2,1.4,92.3,10.31,63.14,0.36,0.03,,,,,,,,,,
Jalen Hurts,,0,QB,QB1,8200,PHI,@ NYJ,5,24.25,11.6,26.7,24,1,31.68,252.79,1.41,0.64,0.4274,13.17,62.54,0.98,13.17,0,0,0,0,0,0,0,0,0,0,0,27.25,27.25,0,9.85,50.45,27.25,27.25,0,100,,42,3.3,2,2,2,8,2,2,24.65,15.53,187.1,0.47,1.8,1.02,80.61,8.63,42.96,0.61,0.04,0.02,0.06,,,,,,,,
Josh Allen,,0,QB,QB1,8300,BUF,vs NYG,11,29.25,9.4,27,26.1,1,36.45,276.23,2.09,0.89,0.2605,7.58,43.98,0.6,7.58,0,0,0,0,0,0,0,0,0,0,0,26.52,26.52,0,12.42,45.32,26.52,26.52,0,100,,61,3.2,1,3,3,7,3,3,33.58,21.16,241.78,0.78,1.96,1.8,91.85,6.93,39.75,0.49,0.04,0.02,0.34,0.02,,,,,,,
Tyreek Hill,,0,WR,WR1,9300,MIA,vs CAR,31,30.75,11.9,21.3,28.3,0,0,0,0,0,0,0,0,0,12.02,0.3213,12.02,8.2,120.98,0.93,0,0,0,0,0,0,25.88,25.88,0,8.03,49.68,25.88,25.88,0,100,,38,2.8,1,1,1,2,4,4,0.01,,,0.01,,,,0.91,6.85,0.06,8.21,5.61,78.97,0.59,,,,,,,
Patrick Mahomes,,0,QB,QB1,8100,KC,vs DEN,32,28.75,8.4,27,21.2,1,40.37,316.79,2.41,0.72,0.205,4.78,26.32,0.2,4.78,0,0,0,0,0,0,0,0,0,0,0,25.42,25.42,0,12.82,42.22,25.42,25.42,0,100,,67,3.1,3,4,4,9,5,5,37.38,24.77,300.33,0.63,1.48,2.41,106.41,3.94,20.8,0.16,0.03,0.01,0.07,,,,,,,,
Travis Kelce,,0,TE,TE1,7700,KC,vs DEN,32,28.75,8.9,19.7,16.8,0,0,0,0,0,0,0,0,0,12.34,0.3057,12.34,8.77,107.25,0.79,0,0,0,0,0,0,24.24,24.24,0,10.89,42.04,24.24,24.24,0,100,,49,3.1,1,1,1,13,6,6,0.02,0.01,0.03,0.01,,,0.89,0.07,0.12,0.01,8.33,5.91,73.95,0.52,,,,,,,
Joshua Dobbs,,0,QB,QB1,5200,ARI,@ LAR,6,20.25,8.9,12.4,16.1,1,39.09,261.95,1.48,0.72,0.4285,11.08,58.69,0.31,11.08,0,0,0,0,0,0,0,0,0,0,0,23.41,23.41,0,10.06,41.21,23.41,23.41,0,100,,0,4.5,23,5,5,38,7,7,18.46,11.69,110.46,0.38,1.15,0.62,69.92,3.15,16.69,0.08,,,,,,,,,,,
Austin Ekeler,,0,RB,RB1,8400,LAC,vs DAL,15,24.75,10,22.5,29.4,0,0,0,0,0,0.4812,12.94,61.41,0.62,19.99,0.1843,7.05,5.73,49.6,0.34,0,0,0,0,0,0,22.59,22.59,0,7.59,42.59,22.59,22.59,0,100,,43,2.7,2,1,1,6,8,8,,,,,,,,9.37,43.7,0.4,5.53,4.46,39.87,0.33,,,,,,,
Raheem Mostert,,0,RB,RB1,6400,MIA,vs CAR,29,30.75,10.4,11,21.8,0,0,0,0,0,0.5721,17.51,95.84,0.95,21.46,0.1057,3.95,3.17,25.42,0.23,0,0,0,0,0,0,22.38,22.38,0,6.78,43.18,22.38,22.38,0,100,,9,3.5,15,2,2,26,9,9,,,,,,,,9.76,53.41,0.44,1.86,1.44,11.85,0.1,,,,,,,
Tony Pollard,,0,RB,RB1,7600,DAL,@ LAC,22,25.75,9,16.3,15.7,0,0,0,0,0,0.6205,20.49,97.63,0.63,25.96,0.151,5.47,4.26,30.97,0.18,0,0,0,0,0,0,21.98,21.98,0,8.48,39.98,21.98,21.98,0,100,,17,2.9,4,3,3,14,10,10,,,,,,,,8.95,44.79,0.29,2.77,2.12,16.71,0.08,,,,,,,
Justin Fields,,0,QB,QB1,7300,CHI,vs MIN,20,20.25,10.6,21.2,22.2,1,26.77,202.07,1.53,0.89,0.3402,9.91,64.11,0.37,9.91,0,0,0,0,0,0,0,0,0,0,0,21.94,21.94,0,6.04,43.14,21.94,21.94,0,100,,41,3,7,6,6,17,11,11,23.13,13.91,164.22,0.81,3.47,1.09,80.22,8.47,54.81,0.34,,,,,,,,,,,
Sam Howell,,0,QB,QB1,5500,WAS,@ ATL,18,20.75,7.3,19.3,18.4,1,35.27,257.8,1.44,1.09,0.1619,5.73,34.79,0.45,5.73,0,0,0,0,0,0,0,0,0,0,0,21.16,21.16,0,10.21,35.76,21.16,21.16,0,100,,61,3.8,20,7,7,35,12,12,35,23.67,253,1.17,4.83,1.17,67.95,3.33,22.67,0.33,,,,,,,,,,,
Keenan Allen,,0,WR,WR1,8400,LAC,vs DAL,32,24.75,9.8,17.1,27.2,0,0,0,0,0,0,0,0,0,11.79,0.3084,11.79,8.42,96.53,0.51,0,0,0,0,0,0,21.13,21.13,0,6.43,40.73,21.13,21.13,0,100,,46,2.5,5,2,2,6,13,13,0.03,0.01,0.49,,0.01,0.01,7.02,0.18,1.13,,9.77,6.82,78.7,0.43,,,,,,,
Justin Herbert,,0,QB,QB1,7900,LAC,vs DAL,22,24.75,8.2,18.2,25.7,1,38.23,278.9,1.85,0.58,0.1536,4.13,14.18,0.27,4.13,0,0,0,0,0,0,0,0,0,0,0,21.01,21.01,0,8.71,37.41,21.01,21.01,0,100,,64,2.7,4,8,8,11,14,14,39.83,26.77,286.68,0.68,2.08,1.91,98.33,3.62,13.94,0.21,0.04,0.04,-0.19,,,,,,,,
Tua Tagovailoa,,0,QB,QB1,7600,MIA,vs CAR,16,30.75,9,19.4,22.7,1,37.4,308.55,1.98,0.93,0.1095,3.35,9.03,0.11,3.35,0,0,0,0,0,0,0,0,0,0,0,20.9,20.9,0,7.4,38.9,20.9,20.9,0,100,,48,2.8,6,9,9,14,15,15,30.34,20.17,234.85,0.68,1.63,1.54,95.66,2.8,8,0.15,,,,,,,,,,,
JaMarr Chase,,0,WR,WR1,8300,CIN,vs SEA,5,23.75,13.1,21.4,23.2,0,0,0,0,0,0,0,0,0,11.22,0.3169,11.22,7.59,91.27,0.67,0,0,0,0,0,0,20.74,20.74,0,1.09,46.94,20.74,20.74,0,100,,36,2.5,6,3,3,7,16,16,,,,,0.03,,,0.38,0.91,,9.47,6.24,87.56,0.74,,,,,,,
Dak Prescott,,0,QB,QB1,6200,DAL,@ LAC,4,25.75,9,18.1,12.6,1,36.21,277.18,1.63,0.84,0.1434,4.74,21.27,0.26,4.74,0,0,0,0,0,0,0,0,0,0,0,20.45,20.45,0,6.95,38.45,20.45,20.45,0,100,,55,3.3,13,10,10,28,17,17,33.8,22.52,255.41,0.68,2.01,1.69,97.95,3.55,16.5,0.25,0.02,0.01,0.11,0.01,,,,,,,
Christian McCaffrey,,0,RB,RB1,9500,SF,@ CLE,23,22.25,11,21.8,28.8,0,0,0,0,0,0.5391,13.88,65.86,0.62,19.18,0.1871,5.3,4.27,38,0.28,0,0,0,0,0,0,20.06,20.06,0,3.56,42.06,20.06,20.06,0,100,,53,2.1,1,4,4,1,18,18,0.05,0.02,1.04,,,0.02,9.75,13.95,64.84,0.56,7.15,5.78,49.69,0.3,,,,,,,
Baker Mayfield,,0,QB,QB1,5400,TB,vs DET,19,19.75,6.6,11,18.1,1,38.87,281.68,2,0.98,0.1691,3.94,12.71,0.08,3.94,0,0,0,0,0,0,0,0,0,0,0,20.04,20.04,0,10.14,33.24,20.04,20.04,0,100,,58,3.7,21,11,11,36,19,19,31.37,19.38,225.92,0.87,2.29,1.43,88.2,2.79,9.49,0.08,0.03,0.01,0.22,,,,,,,,
