,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,pDepth,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2022 Avg,2023 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
JaMarr Chase,!,0,WR,WR1,8600,CIN,vs HOU,13,26,12.8,21.4,20.8,0,0,0,0,0,0,0,0,0,16.62,0.414,16.62,11.03,135.21,0.94,0,0,0,0,0,0,30.19,30.19,0,10.99,55.79,30.19,30.19,0,100,,36,3.5,4,1,1,5,1,1,,,,,0.03,,,0.41,0.62,,9.59,6.27,86.43,0.7,,,,,,,
Josh Allen,,0,QB,QB1,8300,BUF,vs DEN,28,26.75,9.3,27,25.4,1,33.13,253.4,1.73,0.8,0.2619,6.79,37.17,0.56,6.79,0,0,0,0,0,0,0,0,0,0,0,23.33,23.33,0,9.38,41.93,23.33,23.33,0,100,,61,2.8,1,1,1,8,2,2,33.75,21.37,242.34,0.79,1.92,1.79,91.87,6.89,39.22,0.51,0.03,0.02,0.32,0.02,,,,,,,
C.J. Stroud,,0,QB,QB1,6900,HOU,@ CIN,27,21,10.2,0,21.2,1,36.98,299.49,1.89,0.15,0.1699,4.78,19.05,0.32,4.78,0,0,0,0,0,0,0,0,0,0,0,23.21,23.21,0,7.91,43.61,23.21,23.21,0,100,,52,3.4,5,2,2,16,3,3,34.88,21.63,283.75,0.13,2.25,1.75,101.56,2.5,9.75,0.13,0.13,0.13,,,,,,,,,
Joshua Dobbs,,0,QB,QB1,5500,MIN,vs NO,11,19.25,9.7,12.4,17.8,1,40.8,262.46,1.93,0.85,0.2738,5.53,32.91,0.37,5.53,0,0,0,0,0,0,0,0,0,0,0,22.88,22.88,0,8.33,42.28,22.88,22.88,0,100,,13,4.2,14,3,3,30,4,4,22.41,13.94,128.41,0.47,1.53,0.71,71.48,4,23.47,0.24,,,,,,,,,,,
Christian McCaffrey,,0,RB,RB1,9200,SF,@ JAC,5,23.75,10.9,21.8,26.4,0,0,0,0,0,0.625,17.53,80.89,0.77,22.52,0.173,4.99,4.09,37.1,0.38,0,0,0,0,0,0,22.79,22.79,0,6.44,44.59,22.79,22.79,0,100,,53,2.5,1,1,1,1,5,5,0.05,0.02,1,,,0.02,9.4,13.9,64.21,0.56,7.05,5.71,49.39,0.32,,,,,,,
Dak Prescott,,0,QB,QB1,6700,DAL,vs NYG,7,27.75,9,18.1,18.9,1,35.4,278.13,1.8,0.75,0.1825,6.33,28.56,0.39,6.33,0,0,0,0,0,0,0,0,0,0,0,22.77,22.77,0,9.27,40.77,22.77,22.77,0,100,,56,3.4,7,4,4,18,6,6,33.83,22.59,257.14,0.67,2.08,1.72,98.62,3.61,16.73,0.25,0.02,0.01,0.1,0.01,,,,,,,
Joe Burrow,,0,QB,QB1,6800,CIN,vs HOU,14,26,8.9,23.8,16.2,1,40.14,291.48,2.28,0.69,0.1847,4.7,14.52,0.19,4.7,0,0,0,0,0,0,0,0,0,0,0,22.68,22.68,0,9.33,40.48,22.68,22.68,0,100,,58,3.3,6,5,5,17,7,7,36.76,25,272.7,0.7,2.84,1.88,99.1,3.54,11.56,0.2,,,,,,,,,,,
Sam Howell,,0,QB,QB1,5900,WAS,@ SEA,23,19.75,8.1,19.3,19.7,1,37.87,274.81,1.75,0.97,0.1785,5.33,28.97,0.27,5.33,0,0,0,0,0,0,0,0,0,0,0,21.54,21.54,0,9.39,37.74,21.54,21.54,0,100,,59,3.7,10,6,6,26,8,8,37.2,24.6,264,1,4.4,1.5,78.98,3.4,19.2,0.2,,,,,,,,,,,
James Conner,!,0,RB,RB1,5900,ARI,vs ATL,14,20.75,10.4,15.7,12.5,0,0,0,0,0,0.6627,19.41,86.15,0.86,24.31,0.1315,4.9,4,29.17,0.14,0,0,0,0,0,0,21.53,21.53,0,5.93,42.33,21.53,21.53,0,100,,27,3.6,18,2,2,26,9,9,,,,,,,,12.16,51.84,0.57,3.21,2.65,20.59,0.1,,,,,,,
Keenan Allen,,0,WR,WR1,8800,LAC,vs DET,11,23.25,9.6,17.1,21.3,0,0,0,0,0,0,0,0,0,11.96,0.3571,11.96,8.44,96.46,0.51,0,0,0,0,0,0,21.15,21.15,0,6.75,40.35,21.15,21.15,0,100,,47,2.4,3,2,2,4,10,10,0.03,0.01,0.47,,0.01,0.01,6.75,0.17,1.09,,9.77,6.82,78.42,0.42,,,,,,,
Russell Wilson,,0,QB,QB1,5200,DEN,@ BUF,16,19.75,8.2,16.1,18.5,1,33.75,262.51,2.1,0.64,0.1804,4.16,22.79,0.09,4.16,0,0,0,0,0,0,0,0,0,0,0,21.08,21.08,0,8.78,37.48,21.08,21.08,0,100,,59,4.1,17,7,7,33,11,11,31.46,20.42,242.02,0.58,2.92,1.88,101.82,4.69,24.99,0.11,0.03,0.03,0.03,0.01,,,,,,,
