player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Rhamondre Stevenson,98689,HB,NE,1,21,5,1,15.3,15,0,98,0,1,5,78,85.7,3,8,19,0,15,78.1,70.9,76.4,,50.0,60.3,73.0,60.0,15,0,9,5,23,22,0,0,5,26,1,98,78,3.71,4.7,0.39,5
Travis Etienne Jr.,57185,HB,JAX,1,20,4,1,35.7,20,0,56,1,1,4,45,46.9,1,2,15,0,11,77.5,61.3,77.8,,82.0,61.4,59.6,60.0,20,0,30,4,18,21,0,0,5,24,0,56,45,2.25,2.8,1.67,7
Raheem Mostert,9783,HB,MIA,1,20,5,1,36.2,34,0,94,0,0,5,54,67.5,2,4,17,0,7,77.3,70.9,78.4,,76.8,49.3,74.3,60.0,34,0,0,0,17,22,0,0,1,20,2,94,54,2.7,4.7,0.0,12
Josh Jacobs,45953,HB,LV,1,20,2,1,57.3,63,0,110,2,0,2,99,41.2,1,2,23,0,7,77.7,63.3,74.6,,63.0,28.8,72.8,60.0,63,0,15,4,19,21,0,0,6,24,1,110,99,4.95,5.5,0.79,12
Christian McCaffrey,11763,HB,SF,1,19,4,2,37.7,43,0,114,0,0,4,69,60.5,3,8,28,0,3,77.6,83.6,77.3,,,62.5,88.2,59.2,27,0,25,5,27,23,0,0,6,24,2,114,69,3.63,6.0,0.93,15
Javonte Williams,77803,HB,DEN,1,18,2,2,46.2,30,0,65,1,0,2,44,23.3,3,3,10,0,9,77.3,49.3,75.9,,25.9,36.9,55.1,60.0,15,0,6,3,13,28,0,0,5,21,0,65,44,2.44,3.6,0.46,8
Derrick Henry,10679,HB,TEN,1,18,8,2,43.4,33,0,76,0,0,8,81,189.5,3,6,31,0,8,76.7,82.3,74.0,,43.3,56.7,83.6,60.0,18,0,0,1,13,19,0,0,1,19,2,76,81,4.5,4.2,0.0,10
James Cook,83666,HB,BUF,1,16,1,0,0.0,0,0,43,1,1,1,24,13.6,2,2,4,0,10,76.9,52.1,76.1,,34.3,56.3,53.4,60.0,11,0,57,6,18,18,0,0,7,22,0,43,24,1.5,2.7,3.17,6
Kyren Williams,97118,HB,LA,1,16,3,2,55.9,80,0,143,0,0,3,104,88.6,2,6,26,0,6,77.2,84.3,76.2,,78.3,87.1,80.2,,56,0,61,6,21,17,0,0,6,22,0,143,104,6.5,8.9,2.9,10
Bijan Robinson,123126,HB,ATL,1,16,3,1,18.7,17,0,91,2,0,3,45,44.4,3,6,2,0,3,76.4,68.4,76.0,,81.8,30.0,75.9,58.4,17,0,32,3,14,20,0,0,6,19,1,91,45,2.81,5.7,2.29,13
