"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Alvin Kamara","NO","rb","6","NYG","22.4","0","0","0","0","0","0","16.1969","74.8114","0.7862","6.3269","5.1387","37.7413","0.2355","0.2034","0.1017","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Dalvin Cook","MIN","rb","7","CLV","20.3","0","0","0","0","0","0","18.9641","85.3678","0.7739","4.4754","3.7933","26.0906","0.132","0.2952","0.1476","0.0506","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Derrick Henry","TEN","rb","13","@NYJ","19.3","0","0","0","0","0","0","22.9954","104.8604","0.7861","2.6073","2.1754","15.4643","0.0762","0.2705","0.1353","0.0294","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Joe Mixon","CIN","rb","10","JAX","18.8","0","0","0","0","0","0","21.7378","93.7581","0.6301","3.3815","2.8363","19.8692","0.144","0.1479","0.0739","0.0088","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Travis Kelce","KC","te","12","@PHI","18.6","0","0","0","0","0","0","0","0","0","8.7377","6.298","80.4776","0.6987","0.0504","0.0252","0.0218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","David Montgomery","CHI","rb","10","DET","18.1","0","0","0","0","0","0","18.4001","79.9957","0.6432","3.75","2.9651","25.3066","0.131","0.1245","0.0622","0.0256","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Aaron Jones","GB","rb","13","PIT","17.8","0","0","0","0","0","0","16.0594","70.5569","0.6142","4.1692","3.4139","26.8603","0.1746","0.1666","0.0833","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Austin Ekeler","LAC","rb","7","LV","17.3","0","0","0","0","0","0","12.7309","58.7247","0.3134","5.479","4.6061","36.3547","0.2249","0.1368","0.0684","0.0249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Najee Harris","PIT","rb","7","@GB","17.1","0","0","0","0","0","0","16.4741","66.6946","0.4266","5.3062","4.1342","29.3514","0.1378","0.1724","0.0862","0.0198","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Cooper Kupp","LA","wr","11","ARZ","20.1","0","0","0","0","0","0","0.3791","1.9629","0.015","9.5531","7.5313","88.7374","0.5717","0.1421","0.071","0.012","14.0981","0.0229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Davante Adams","GB","wr","13","PIT","19.8","0","0","0","0","0","0","0.0259","0.1176","0.0011","9.942","7.3602","87.5766","0.6159","0.09","0.045","0.0104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Darren Waller","LV","te","8","@LAC","16.7","0","0","0","0","0","0","0","0","0","8.2868","6.2168","68.3583","0.6045","0.0817","0.0408","0.0238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Tyreek Hill","KC","wr","12","@PHI","19","0","0","0","0","0","0","0.4505","2.0339","0.0252","8.5594","5.9862","87.2074","0.6569","0.0489","0.0244","0.0089","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Stefon Diggs","BUF","wr","7","HST","18.9","0","0","0","0","0","0","0.1019","0.4639","0.0043","8.5488","6.3032","85.3654","0.6694","0.0782","0.0391","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Ja'Marr Chase","CIN","wr","10","JAX","18.9","0","0","0","0","0","0","0.2557","1.5706","0.0099","8.961","6.0276","89.7947","0.6125","0.0693","0.0346","0.0204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Calvin Ridley","ATL","wr","6","WAS","18.8","0","0","0","0","0","0","0.2488","1.3041","0.0098","8.8059","5.9989","90.0243","0.5928","0.0752","0.0376","0.022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","Mike Davis","ATL","rb","6","WAS","15.6","0","0","0","0","0","0","14.3071","54.8844","0.3679","4.9313","4.1339","28.1139","0.1738","0.1297","0.0648","0.0112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
