"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Christian McCaffrey","CAR","rb","13","NYJ","19.6","0","0","0","0","0","0","16.6685","72.9207","0.6338","5.1779","4.2341","32.275","0.1761","0.1443","0.0722","0.0265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Travis Kelce","KC","te","12","CLV","17.4","0","0","0","0","0","0","0","0","0","8.0316","5.7219","74.5258","0.6932","0.0489","0.0245","0.0222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Dalvin Cook","MIN","rb","7","@CIN","17.7","0","0","0","0","0","0","17.7911","79.7239","0.7193","3.6592","3.0378","19.8608","0.0768","0.2562","0.1281","0.0333","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","6","GB","17.6","0","0","0","0","0","0","10.6027","50.8526","0.4781","6.1856","5.0137","36.2304","0.1811","0.154","0.077","0.0023","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Calvin Ridley","ATL","wr","6","PHI","19.3","0","0","0","0","0","0","0.2509","1.3147","0.0107","8.7652","5.9127","92.6052","0.6594","0.0783","0.0392","0.0228","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Davante Adams","GB","wr","13","@NO","18.7","0","0","0","0","0","0","0.0235","0.1052","0.0008","9.4871","7.0776","82.9676","0.5616","0.0923","0.0462","0.0148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Tyreek Hill","KC","wr","12","CLV","18.4","0","0","0","0","0","0","0.4194","1.918","0.0288","8.2101","5.7213","84.2868","0.6494","0.0334","0.0167","0.0097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Darren Waller","LV","te","8","BLT","15.3","0","0","0","0","0","0","0","0","0","7.7768","5.7851","63.212","0.5341","0.0789","0.0394","0.0255","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","George Kittle","SF","te","6","@DET","15.1","0","0","0","0","0","0","0","0","0","7.5974","5.7631","68.0508","0.4309","0.0519","0.026","0.0103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","DeAndre Hopkins","ARZ","wr","12","@TEN","17.7","0","0","0","0","0","0","0.0449","0.1888","0.0017","9.4339","6.8214","79.1338","0.4859","0.1247","0.0623","0.0349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Joe Mixon","CIN","rb","10","MIN","14.8","0","0","0","0","0","0","15.0467","64.9418","0.4538","3.4981","2.9312","19.2093","0.1371","0.129","0.0645","0.0106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Derrick Henry","TEN","rb","13","ARZ","14.5","0","0","0","0","0","0","17.725","82.4963","0.6493","1.5211","1.2843","8.5994","0.0414","0.2236","0.1118","0.0227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Austin Ekeler","LAC","rb","7","@WAS","14.3","0","0","0","0","0","0","11.2242","48.5355","0.2233","4.9862","4.0747","30.7207","0.1658","0.1306","0.0653","0.0068","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Patrick Mahomes","KC","qb","12","CLV","24.7","25.3211","37.9147","305.9041","2.3304","0.6406","1.8472","3.6665","23.0752","0.2552","0","0","0","0","0.4579","0.2289","0.0876","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Aaron Jones","GB","rb","13","@NO","14.1","0","0","0","0","0","0","11.7375","48.6202","0.3926","4.2353","3.4482","25.6129","0.1595","0.1424","0.0712","0.0051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
