"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Najee Harris","PIT","rb","7","CHI","23.6","7800","0","0","0","0","0","0","21.0218","91.5015","0.6969","5.5829","4.4134","33.7909","0.2115","0.1704","0.0852","0.0189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Cooper Kupp","LA","wr","11","TEN","25.3","9400","0","0","0","0","0","0","0.3648","1.8789","0.0144","10.9829","8.5482","104.4318","0.7164","0.1404","0.0702","0.0121","12.555","0.0213","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Alvin Kamara","NO","rb","6","ATL","21.1","8200","0","0","0","0","0","0","15.5562","70.665","0.7127","5.5096","4.5039","33.796","0.214","0.1655","0.0828","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Jonathan Taylor","IND","rb","14","NYJ","20.6","0","0","0","0","0","0","0","18.3794","89.6077","0.8441","3.3731","2.8518","19.2587","0.1101","0.1683","0.0841","0.0048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Davante Adams","GB","wr","13","@KC","22.4","8200","0","0","0","0","0","0","0.0232","0.1048","0.0009","10.6318","7.6621","92.7332","0.6984","0.0868","0.0434","0.0137","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Tyreek Hill","KC","wr","12","GB","21.7","7900","0","0","0","0","0","0","0.4063","1.8636","0.0233","9.8943","6.8531","96.8696","0.5783","0.0474","0.0237","0.0094","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Austin Ekeler","LAC","rb","7","@PHI","18.9","7900","0","0","0","0","0","0","14.4846","67.8053","0.4139","5.4652","4.4401","34.5233","0.2007","0.1714","0.0857","0.0224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Darrell Henderson","LA","rb","11","TEN","18.9","6900","0","0","0","0","0","0","16.6116","72.4831","0.5963","4.1411","3.3535","27.353","0.2087","0.0889","0.0445","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Ezekiel Elliott","DAL","rb","7","DEN","18","7000","0","0","0","0","0","0","16.8175","77.9966","0.6589","3.3257","2.7603","19.9184","0.1369","0.2403","0.1201","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Aaron Jones","GB","rb","13","@KC","17.6","7200","0","0","0","0","0","0","12.0549","56.3077","0.56","5.1165","4.1211","30.48","0.1964","0.1816","0.0908","0.0036","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
