"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"1","Justin Jefferson","MIN","wr","7","PIT","24.5","0","0","0","0","0","0","0","0.2677","1.5765","0.0093","9.9728","7.1067","111.7951","0.6812","0.0893","0.0447","0.0196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","Austin Ekeler","LAC","rb","7","NYG","21.1","8300","0","0","0","0","0","0","15.3153","71.4083","0.5075","5.7667","4.8162","38.3656","0.2724","0.2063","0.1032","0.0188","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Cooper Kupp","LA","wr","11","@ARZ","24.1","9200","0","0","0","0","0","0","0.3371","1.7439","0.009","11.1269","8.5192","103.0139","0.5501","0.1352","0.0676","0.0313","15.8753","0.0195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Alvin Kamara","NO","rb","6","@NYJ","20.7","7900","0","0","0","0","0","0","17.0631","76.4378","0.7846","5.0569","3.8745","28.8712","0.1357","0.1719","0.0859","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","Najee Harris","PIT","rb","7","@MIN","20.6","0","0","0","0","0","0","0","17.8341","73.1544","0.5649","5.922","4.7526","32.3695","0.1953","0.1302","0.0651","0.0211","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","Antonio Gibson","WAS","rb","9","DAL","18.4","6000","0","0","0","0","0","0","15.949","74.0955","0.6393","4.5509","3.6272","23.8094","0.0862","0.2577","0.1289","0.0346","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Davante Adams","GB","wr","13","CHI","21.4","8600","0","0","0","0","0","0","0.0267","0.1223","0.0013","10.1122","7.2054","86.4144","0.7559","0.0752","0.0376","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","Saquon Barkley","NYG","rb","10","@LAC","18","6000","0","0","0","0","0","0","14.6487","63.762","0.3916","5.8493","4.6129","32.7424","0.155","0.1252","0.0626","0.0087","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","Josh Jacobs","LV","rb","8","@KC","17.9","6200","0","0","0","0","0","0","16.0236","66.3044","0.4815","5.4592","4.3412","29.8584","0.0953","0.107","0.0535","0.0045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","Dalvin Cook","MIN","rb","7","PIT","17.7","0","0","0","0","0","0","0","16.064","70.9562","0.5516","4.0213","3.4454","24.3633","0.1284","0.2547","0.1274","0.0352","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","Tyreek Hill","KC","wr","12","LV","20.8","8500","0","0","0","0","0","0","0.5897","2.6934","0.0405","9.526","6.4703","88.5356","0.6441","0.0599","0.03","0.0053","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","Joe Mixon","CIN","rb","10","SF","16.2","7700","0","0","0","0","0","0","17.9206","76.9856","0.5712","2.68","2.1964","14.9771","0.1004","0.1238","0.0619","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","Aaron Jones","GB","rb","13","CHI","16.1","6200","0","0","0","0","0","0","12.6122","57.6021","0.5851","3.7921","3.0166","24.2448","0.1804","0.1489","0.0744","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","Leonard Fournette","TB","rb","9","BUF","15.7","7400","0","0","0","0","0","0","14.9493","61.6753","0.4594","4.0913","3.3123","24.1947","0.1079","0.0395","0.0198","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","Javonte Williams","DEN","rb","11","DET","15.5","5900","0","0","0","0","0","0","14.1104","68.3633","0.4801","3.1389","2.521","19.7096","0.1214","0.1676","0.0838","0.0109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","Darrell Henderson","LA","rb","11","@ARZ","15.2","6100","0","0","0","0","0","0","14.0237","61.859","0.4138","3.7688","3.0148","22.1004","0.1443","0.0704","0.0352","0.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","James Conner","ARZ","rb","12","LA","14.9","6200","0","0","0","0","0","0","14.6106","54.0646","0.469","3.8908","3.2653","22.3877","0.1445","0.1798","0.0899","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","Nick Chubb","CLV","rb","13","BLT","14.9","7600","0","0","0","0","0","0","15.6508","78.1926","0.5799","1.7938","1.427","11.115","0.0478","0.1118","0.0559","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","Stefon Diggs","BUF","wr","7","@TB","18.1","8100","0","0","0","0","0","0","0.0221","0.1018","0.0006","9.0999","6.1745","81.9861","0.4795","0.0837","0.0418","0.0035","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","Ja'Marr Chase","CIN","wr","10","SF","18.1","6900","0","0","0","0","0","0","0.1204","0.7173","0.004","8.2075","5.3384","84.1311","0.5387","0.0846","0.0423","0.019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","Travis Kelce","KC","te","12","LV","15.9","7400","0","0","0","0","0","0","0","0","0","7.8249","5.4341","68.5622","0.5164","0.0518","0.0259","0.0163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","George Kittle","SF","te","6","@CIN","15.9","6900","0","0","0","0","0","0","0","0","0","8.1214","5.8309","69.4114","0.4283","0.0778","0.0389","0.0107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","D.K. Metcalf","SEA","wr","9","@HST","18","6500","0","0","0","0","0","0","0.0484","0.272","0.0016","7.8365","5.2621","81.5218","0.6108","0.1082","0.0541","0.0195","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","Jeff Wilson Jr.","SF","rb","6","@CIN","14.7","4400","0","0","0","0","0","0","13.6213","59.2801","0.54","2.9237","2.171","19.5475","0.1656","0.2037","0.1019","0.013","39.065","0.0197","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","D.J. Moore","CAR","wr","13","ATL","17.7","6200","0","0","0","0","0","0","0.671","4.2621","0.0204","9.2782","5.7259","81.8896","0.3941","0.0865","0.0432","0.0064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","Brandin Cooks","HST","wr","10","SEA","17.5","5700","0","0","0","0","0","0","0.4653","1.9792","0.0215","8.8931","6.0982","80.7685","0.3601","0.0407","0.0204","0.0098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","Tyler Lockett","SEA","wr","9","@HST","17.5","6700","0","0","0","0","0","0","0.1209","0.6072","0.0048","7.8365","6.0073","77.5305","0.4838","0.0565","0.0282","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
