player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,ED,ATL,3,1,0,,0,0,2,55.9,71.4,83.2,57.4,79.8,27.5,2,3,0,,30.0,3,0,0,0.0,0,0,0,0,4,125,125,0,8,87,30,0,0,71,50,0,6,6,0,5,0,0,0,
Brandon Graham,5538,ED,PHI,3,0,0,,0,0,24,72.9,77.5,80.8,66.6,69.6,73.1,1,0,0,,0.0,0,0,0,0.0,0,0,0,1,4,55,53,0,1,50,2,0,2,38,13,1,2,3,0,1,0,0,0,
Kareem Jackson,5545,S,DEN,3,3,0,100.0,0,0,10,65.5,57.1,0.0,,50.5,74.6,0,0,1,18,0.0,0,0,2,79.2,1,0,39,2,87,163,1,0,0,1,0,96,162,0,76,25,2,11,1,0,0,18,0,18.0
Jerry Hughes,5556,ED,HST,3,0,0,,0,0,13,60.0,45.8,25.2,53.9,49.7,27.2,0,5,0,,33.3,2,0,1,0.0,0,0,0,0,1,73,73,0,0,73,0,0,0,46,26,0,3,4,0,5,0,0,0,
Al Woods,5646,DI,NYJ,3,1,0,,0,0,22,,54.8,80.0,54.4,55.6,71.1,0,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,94,94,13,79,0,2,0,0,38,56,0,4,3,0,1,0,0,0,
Patrick Peterson,6157,CB,PIT,3,2,0,56.3,1,0,25,72.7,72.8,81.1,,66.0,50.6,0,0,1,29,15.4,2,2,1,94.3,9,0,24,161,140,223,0,0,0,0,0,3,223,0,83,35,2,9,16,0,2,122,36,13.6
Cameron Jordan,6176,ED,NO,3,3,2,,0,0,20,62.0,76.0,83.9,66.8,76.0,77.1,1,12,0,,11.1,1,0,0,0.0,0,1,0,0,2,168,168,0,5,150,13,0,0,117,49,0,3,5,0,14,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,0,,0,0,25,,56.9,72.7,62.2,54.5,,1,0,0,,,0,0,0,0.0,0,0,0,0,0,14,14,0,7,1,6,0,0,9,5,0,0,0,0,1,0,0,0,
Justin Houston,6222,ED,CAR,3,1,1,,0,0,5,76.0,63.7,29.5,68.4,51.8,30.5,2,6,0,,28.6,2,0,1,0.0,0,1,1,0,10,107,106,0,0,105,1,0,1,59,38,0,3,4,0,9,0,0,0,
Lawrence Guy Sr.,6385,DI,NE,3,4,0,,0,0,19,,42.0,80.1,47.9,45.1,72.2,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,99,99,1,43,6,49,0,0,50,49,0,3,3,0,2,0,0,0,
Stephon Gilmore,7016,CB,DAL,3,1,0,52.9,0,0,9,71.2,70.6,79.9,,61.1,68.2,0,0,1,68,7.1,1,3,1,101.8,9,0,19,131,103,161,0,0,0,0,0,0,161,0,58,11,2,12,17,0,2,167,66,18.6
Fletcher Cox,7018,DI,PHI,3,1,0,,0,0,24,,69.2,36.8,67.4,68.3,72.0,5,2,0,,0.0,0,0,1,0.0,0,1,0,0,0,126,126,4,61,8,53,0,0,94,32,0,2,4,0,8,0,0,0,
Bobby Wagner,7050,LB,SEA,3,5,0,90.0,0,0,29,57.1,76.9,79.6,55.3,91.6,83.9,0,2,0,21,3.0,1,0,0,115.0,9,0,212,1,126,226,2,0,0,2,0,0,224,21,79,11,15,27,10,2,0,116,55,12.9
Lavonte David,7060,LB,TB,3,4,0,88.2,0,0,30,61.3,62.2,79.9,57.0,62.4,58.1,0,1,0,25,12.5,3,0,0,91.7,15,1,152,0,110,193,30,0,0,30,0,0,163,15,68,11,11,17,17,2,0,102,48,6.8
Demario Davis,7079,LB,NO,3,3,0,37.5,0,0,20,63.9,78.0,81.3,64.8,89.1,88.0,1,4,0,11,0.0,0,0,0,45.8,3,1,169,4,118,202,21,0,0,21,0,0,181,22,62,8,8,16,8,6,0,18,5,6.0
Rodney McLeod,7271,S,CLV,3,1,0,40.0,0,0,8,54.0,54.7,79.2,,61.8,50.8,0,0,0,7,16.7,1,1,0,47.9,2,0,12,0,54,84,2,0,0,2,0,50,82,0,30,20,2,4,5,0,0,8,17,4.0
