player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,ED,ATL,5,2,0,,0,0,2,57.7,75.8,85.1,65.0,76.8,29.8,3,6,0,,21.1,4,0,0,0.0,0,0,1,0,6,195,193,0,12,131,50,0,2,107,82,1,12,13,0,9,0,0,0,
Matthew Slater,4467,WR,NE,1,0,0,,0,0,19,,60.0,67.5,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,5,0,0,,0,0,24,64.8,78.5,83.0,72.5,70.4,47.1,2,5,0,,25.0,1,0,0,0.0,0,0,0,1,6,101,99,0,6,91,2,0,2,65,30,1,2,3,0,7,0,0,0,
Kareem Jackson,5545,S,DEN,5,6,0,83.3,0,0,10,72.7,63.0,0.0,,44.4,60.2,0,0,2,18,11.4,4,1,3,97.9,5,0,69,8,158,287,2,0,0,2,0,166,285,0,129,42,5,25,6,0,1,45,1,9.0
Jerry Hughes,5556,ED,HST,5,0,0,,0,0,13,63.7,62.7,48.2,59.5,62.1,38.4,0,9,0,,18.2,2,0,1,0.0,0,1,0,0,1,131,131,0,0,131,0,0,0,76,54,0,7,9,0,10,0,0,0,
Al Woods,5646,DI,NYJ,4,2,0,,0,0,22,,56.6,80.4,56.5,56.4,71.5,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,107,107,13,92,0,2,0,0,45,62,0,4,3,0,2,0,0,0,
Von Miller,6154,ED,BUF,1,0,0,,0,0,4,60.0,60.0,75.1,49.5,70.9,69.9,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,1,20,20,0,0,20,0,0,0,13,6,0,1,1,0,0,0,0,0,
Patrick Peterson,6157,CB,PIT,5,4,0,57.1,1,0,25,59.9,58.7,82.9,55.0,51.6,27.0,0,1,1,52,26.1,6,2,1,109.8,16,0,38,258,217,357,1,0,0,1,0,5,356,2,138,55,3,13,28,1,4,238,107,14.9
Cameron Jordan,6176,ED,NO,5,7,2,,0,0,20,79.1,83.1,86.0,71.8,78.4,79.8,2,19,0,,6.3,1,0,0,0.0,0,2,0,0,3,265,265,0,5,239,21,0,0,180,82,0,4,8,0,23,0,0,0,
Cameron Heyward,6183,DI,PIT,1,0,0,,0,0,25,,56.9,72.7,62.2,54.5,,1,0,0,,,0,0,0,0.0,0,0,0,0,0,14,14,0,7,1,6,0,0,9,5,0,0,0,0,1,0,0,0,
Justin Houston,6222,ED,CAR,5,3,1,,0,0,5,76.4,57.9,39.2,64.1,45.4,38.8,2,6,0,,22.2,2,0,1,0.0,0,1,1,0,13,137,136,0,0,134,2,0,1,75,49,0,3,4,0,9,0,0,0,
Lawrence Guy Sr.,6385,DI,NE,5,5,0,,0,0,19,,31.0,82.6,47.8,30.3,48.7,0,3,0,,0.0,0,0,0,0.0,0,0,0,0,0,179,178,1,80,14,83,0,1,87,92,0,8,8,0,3,0,0,0,
Stephon Gilmore,7016,CB,DAL,5,2,0,47.8,1,0,9,70.4,71.3,82.4,,68.8,75.3,0,0,1,68,4.8,1,4,2,88.0,11,0,28,245,167,286,1,0,0,1,0,1,285,0,119,11,2,18,23,0,2,194,70,17.6
Fletcher Cox,7018,DI,PHI,4,2,0,,0,0,24,,70.7,50.2,67.3,69.6,73.5,7,3,0,,0.0,0,0,1,0.0,0,1,0,0,0,184,184,4,85,9,86,0,0,134,50,0,3,7,0,11,0,0,0,
Bobby Wagner,7050,LB,SEA,4,8,0,87.5,0,0,29,62.8,86.9,80.4,69.2,93.2,89.7,0,3,0,22,2.1,1,0,0,107.0,14,2,277,1,167,293,2,0,0,2,0,0,291,27,99,13,25,38,16,5,0,155,93,11.1
Lavonte David,7060,LB,TB,4,5,0,87.0,0,0,30,65.9,63.2,80.7,55.3,57.7,54.5,0,2,0,25,10.3,3,0,0,86.8,20,1,201,2,153,258,39,0,0,39,0,0,219,19,86,16,14,21,23,3,0,111,59,5.6
Demario Davis,7079,LB,NO,5,6,0,57.1,1,0,20,77.3,88.3,83.2,62.7,90.7,90.0,1,5,0,9,0.0,0,1,1,86.0,8,1,270,4,182,320,32,0,0,32,0,0,288,30,108,14,12,24,14,7,1,30,25,3.8
Rodney McLeod,7271,S,CLV,4,1,0,40.0,0,0,8,55.3,59.4,80.1,,71.1,54.9,0,0,0,7,14.3,1,1,0,47.9,2,0,12,0,63,103,3,0,0,3,0,55,100,0,40,33,3,5,5,0,0,8,17,4.0
Tashaun Gipson Sr.,7288,S,SF,5,9,0,28.6,0,0,28,76.5,77.2,84.2,53.7,64.2,67.2,0,2,1,4,10.0,2,0,0,0.0,2,0,41,6,211,286,3,0,0,3,0,179,283,4,71,57,4,9,7,2,0,6,1,3.0
Harrison Smith,7641,S,MIN,5,9,0,73.3,0,2,18,73.0,70.1,83.2,63.6,55.5,65.8,1,1,0,13,10.5,4,0,1,81.0,11,3,112,12,170,343,62,0,0,62,0,105,281,35,138,52,14,25,15,5,0,64,55,5.8
Justin Bethel,7654,CB,MIA,5,3,0,85.7,0,0,17,70.3,74.8,77.7,90.9,65.4,85.2,0,1,0,18,0.0,0,0,0,127.1,6,1,27,4,77,115,0,0,0,0,0,0,115,5,33,84,5,9,7,2,1,35,5,5.8
Darius Slay,7817,CB,PHI,5,1,0,71.1,0,0,24,50.6,52.3,83.5,,63.2,72.0,0,0,1,39,7.7,2,1,1,102.7,27,0,14,297,237,318,1,0,0,1,0,1,317,0,81,5,4,23,38,0,2,318,137,11.8
Johnathan Hankins,7830,DI,DAL,5,5,2,,0,0,9,75.4,46.6,37.5,69.9,37.9,31.9,0,1,0,,14.3,2,0,1,0.0,0,0,0,0,0,124,124,63,55,0,6,0,0,53,71,0,3,7,0,1,0,0,0,
Travis Kelce,7844,TE,KC,1,0,0,,1,0,16,60.0,60.0,62.9,,,,0,0,0,,,0,0,4,0.0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Tyrann Mathieu,7850,S,NO,5,7,0,64.3,1,0,20,71.8,74.0,82.2,55.5,70.9,65.0,0,1,1,46,9.5,2,1,1,60.1,9,0,121,6,209,320,25,0,0,25,0,126,295,3,108,42,5,12,14,1,0,115,77,12.8
John Jenkins,7863,DI,LV,5,5,1,,0,0,23,60.0,63.8,82.7,71.9,55.9,62.1,1,5,0,,5.9,1,0,0,0.0,0,0,0,0,0,176,176,14,161,0,1,0,0,72,104,0,10,11,0,6,0,0,0,
William Gholston,7908,DI,TB,4,0,0,,0,0,30,,57.5,78.8,64.3,52.5,71.0,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,68,68,0,37,6,25,0,0,33,35,0,3,5,0,2,0,0,0,
Micah Hyde,7941,S,BUF,5,5,0,90.0,0,0,4,78.0,77.2,84.4,60.0,56.8,69.3,0,0,2,32,12.0,3,0,0,100.8,9,0,62,5,180,284,3,0,0,3,0,172,281,1,103,42,3,17,10,0,1,97,19,10.8
Jordan Poyer,8000,S,BUF,4,4,0,66.7,0,0,4,56.1,54.3,13.6,52.2,60.6,76.1,0,1,0,30,5.6,1,0,1,97.2,4,0,68,1,130,223,14,0,0,14,0,96,209,7,86,44,5,13,6,1,0,57,13,14.3
Nick Williams,8006,DI,LAC,4,5,0,,0,0,27,66.0,50.1,81.5,59.8,42.2,40.0,0,1,0,,10.0,1,0,0,0.0,0,0,0,0,0,127,127,65,60,0,2,0,0,65,62,0,3,4,0,1,0,0,0,
Mike Purcell,8530,DI,DEN,4,3,1,,1,0,10,60.0,52.1,29.9,66.4,53.9,25.8,2,0,0,,37.5,3,0,1,0.0,0,0,0,0,0,102,102,84,18,0,0,0,0,42,60,0,2,2,0,2,0,0,0,
Jadeveon Clowney,8636,ED,BLT,5,2,0,100.0,0,0,3,49.1,73.7,86.8,68.5,72.6,28.0,4,14,0,10,28.6,4,0,0,108.3,1,2,1,0,8,219,218,0,1,209,8,0,1,159,52,0,6,8,1,20,0,10,0,10.0
Khalil Mack,8640,ED,LAC,4,2,2,,0,2,27,64.2,83.1,85.4,80.9,67.9,49.4,2,12,0,,16.7,2,0,0,0.0,0,7,0,1,14,238,230,0,0,230,0,0,8,142,82,7,13,8,0,21,0,0,0,
Aaron Donald,8648,DI,LA,5,4,0,,1,0,26,60.0,90.2,59.4,90.8,70.0,42.5,3,17,0,,11.8,2,0,1,0.0,0,3,1,0,0,271,270,11,93,18,148,0,1,170,101,0,13,11,0,23,0,0,0,
C.J. Mosley,8652,LB,NYJ,5,15,1,78.3,0,0,22,74.0,76.4,33.0,83.6,67.8,87.8,1,3,1,33,1.9,1,1,2,85.0,18,0,333,0,193,360,8,0,0,8,0,5,352,15,152,14,16,36,23,4,0,201,157,11.2
Jimmie Ward,8665,S,HST,3,6,0,80.0,0,1,13,66.4,67.0,77.0,56.1,63.3,62.8,0,0,0,28,13.6,3,1,1,95.4,8,0,66,1,117,197,2,0,0,2,0,82,195,3,77,46,4,13,10,0,0,69,53,8.6
Bradley Roby,8666,CB,PHI,1,0,0,40.0,0,0,24,55.4,59.5,73.8,66.9,61.7,75.8,0,1,0,5,0.0,0,0,0,47.9,2,0,1,3,14,25,1,0,0,1,0,0,24,4,7,20,1,1,5,1,0,-4,-7,-2.0
DeMarcus Lawrence,8669,ED,DAL,5,5,0,100.0,0,0,9,59.5,91.0,84.0,81.5,90.4,56.6,1,14,0,1,7.7,1,0,0,118.8,1,2,2,0,1,154,152,1,6,123,22,0,2,102,51,0,8,7,1,17,1,1,1,1.0
Kyle Van Noy,8675,ED,BLT,2,0,1,,0,0,3,60.9,65.4,77.8,68.0,53.2,28.8,1,4,0,,0.0,0,0,0,0.0,0,0,0,0,2,54,54,0,0,54,0,0,0,37,15,0,1,1,0,5,0,0,0,
Jerick McKinnon,8731,HB,KC,1,0,0,,0,0,16,,60.0,60.4,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
DaQuan Jones,8747,DI,BUF,5,3,0,,0,0,4,60.0,90.2,80.9,89.5,76.9,29.5,3,9,0,,27.3,3,0,0,0.0,0,3,0,0,0,113,113,11,85,0,17,0,0,80,33,0,7,5,0,15,0,0,0,
