player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,ED,ATL,12,9,0,100.0,0,1,2,59.1,75.8,89.0,66.0,75.7,30.0,7,14,0,13,20.0,8,0,0,118.8,1,3,5,0,9,498,488,10,34,337,107,0,10,289,200,5,23,23,1,24,0,13,1,13.0
Matthew Slater,4467,WR,NE,2,0,0,,0,0,19,60.0,60.0,99.9,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,12,0,0,,0,0,24,66.1,78.7,61.7,76.5,68.1,66.8,2,10,0,,14.3,1,0,1,0.0,0,4,1,1,11,240,234,1,9,216,8,0,6,151,78,4,6,6,0,16,0,0,0,
Jason Pierre-Paul,5540,ED,MIA,2,1,0,,0,0,17,,67.7,75.6,52.6,70.5,71.4,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,20,20,0,1,14,5,0,0,6,14,0,1,1,0,0,0,0,0,
Kareem Jackson,5545,S,DEN,8,8,0,75.0,0,0,10,76.1,67.5,0.0,62.8,49.6,68.1,0,0,2,19,9.1,5,2,4,74.7,12,0,121,9,273,480,4,0,0,4,0,271,476,1,206,75,6,42,16,0,1,111,41,9.3
Jerry Hughes,5556,ED,HST,12,2,0,,0,0,13,64.0,63.9,69.4,60.3,61.6,48.9,0,16,0,,16.7,4,0,1,0.0,0,1,0,0,6,289,289,0,2,287,0,0,0,166,117,0,15,18,0,17,0,0,0,
Linval Joseph,5571,DI,BUF,4,0,0,,0,0,4,,37.4,82.0,47.8,37.9,42.5,0,3,0,,16.7,1,0,0,0.0,0,1,0,0,0,95,95,68,27,0,0,0,0,53,42,0,4,5,0,4,0,0,0,
Al Woods,5646,DI,NYJ,6,2,0,,0,0,22,,54.0,81.4,53.0,55.4,71.5,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,140,140,16,122,0,2,0,0,66,74,0,4,3,0,2,0,0,0,
Von Miller,6154,ED,BUF,8,0,0,,0,0,4,63.5,47.9,47.0,51.9,49.3,27.5,1,7,0,,33.3,1,0,1,0.0,0,0,2,0,9,162,160,0,0,160,0,0,2,113,40,0,1,2,0,8,0,0,0,
Patrick Peterson,6157,CB,PIT,12,6,0,56.9,1,0,25,60.6,60.1,36.6,75.3,58.7,29.9,0,2,1,52,19.5,8,6,5,98.2,29,0,85,505,492,805,2,0,0,2,0,39,803,6,307,174,8,27,51,2,4,377,176,13.0
Cameron Jordan,6176,ED,NO,12,12,3,,0,0,20,83.2,76.6,89.0,67.4,71.5,59.8,3,36,0,,10.0,4,0,0,0.0,0,3,0,0,9,608,608,0,14,548,46,0,0,371,228,0,17,24,0,42,0,0,0,
Cameron Heyward,6183,DI,PIT,6,3,0,,0,0,25,67.0,72.4,82.7,58.3,72.4,76.7,1,6,0,,0.0,0,0,0,0.0,0,1,1,0,0,225,224,9,118,25,72,0,1,139,86,0,15,16,0,8,0,0,0,
Justin Houston,6222,ED,CAR,7,3,1,100.0,0,0,5,82.9,61.2,48.1,61.8,49.0,44.8,2,7,0,0,18.2,2,0,1,79.2,1,1,1,0,19,177,173,0,0,171,2,0,4,99,59,3,5,6,1,10,0,0,7,0.0
Lawrence Guy Sr.,6385,DI,NE,12,10,1,,0,0,19,63.5,39.9,85.5,45.3,40.2,62.6,0,5,0,,0.0,0,0,0,0.0,0,0,0,0,0,388,387,3,181,29,174,0,1,175,213,0,15,17,0,5,0,0,0,
Nick Bellore,6515,LB,SEA,4,0,0,0.0,0,0,29,63.6,78.0,70.2,58.3,73.5,71.7,0,0,0,,0.0,0,0,0,39.6,0,0,13,0,3,13,0,0,0,0,0,0,13,1,9,0,1,1,1,0,0,0,0,
Stephon Gilmore,7016,CB,DAL,12,5,0,50.0,2,0,9,69.0,70.9,86.4,,73.6,66.4,0,0,2,68,8.9,4,7,6,80.8,30,0,50,622,451,715,2,0,0,2,0,1,713,0,264,40,7,36,60,0,4,414,152,13.8
Fletcher Cox,7018,DI,PHI,11,4,1,,0,1,24,67.0,68.6,59.3,68.1,60.0,66.3,12,15,0,,10.0,2,0,2,0.0,0,5,0,0,0,501,501,15,248,22,216,0,0,364,137,0,10,14,0,32,0,0,0,
Bruce Irvin,7021,ED,DET,1,0,0,,0,0,11,60.0,54.3,0.0,68.3,,69.2,1,0,0,,,0,0,1,0.0,0,1,0,0,1,11,11,0,0,11,0,0,0,10,0,0,1,0,0,2,0,0,0,
Bobby Wagner,7050,LB,SEA,12,35,0,79.2,0,0,29,61.0,82.1,84.9,77.8,91.4,91.4,2,8,0,23,2.4,3,3,1,116.0,38,3,785,1,471,839,5,0,0,5,0,4,834,60,308,44,49,89,48,13,2,408,252,10.7
Lavonte David,7060,LB,TB,10,16,0,80.7,0,1,30,61.4,66.0,57.8,64.4,70.5,63.7,0,4,0,26,9.9,9,2,1,93.2,46,3,514,10,375,639,60,0,0,60,0,1,579,46,218,54,40,66,57,7,0,363,171,7.9
