player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Calais Campbell,4364,ED,ATL,15,11,1,100.0,0,1,2,61.8,79.6,89.9,67.7,79.2,33.1,8,19,0,13,18.0,9,0,0,118.8,1,6,12,0,9,623,606,24,52,397,133,0,17,362,252,5,31,30,1,33,0,13,1,13.0
Matthew Slater,4467,WR,NE,2,0,0,,0,0,19,60.0,60.0,99.9,60.0,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,
Brandon Graham,5538,ED,PHI,15,0,0,0.0,0,0,24,67.8,79.5,68.5,77.4,67.6,68.4,2,18,0,,11.1,1,0,1,39.6,0,4,3,1,19,328,318,5,14,280,19,0,10,198,111,6,8,8,1,24,0,0,0,
Jason Pierre-Paul,5540,ED,MIA,3,1,0,,0,0,17,,65.8,75.7,51.3,70.5,71.4,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,0,22,21,0,1,15,5,0,1,8,14,0,1,1,0,0,0,0,0,
Kareem Jackson,5545,S,DEN,8,8,0,75.0,0,0,10,76.1,67.5,0.0,62.8,49.6,68.1,0,0,2,19,9.1,5,2,4,74.7,12,0,121,9,273,480,4,0,0,4,0,271,476,1,206,75,6,42,16,0,1,111,41,9.3
Jerry Hughes,5556,ED,HST,15,2,0,,0,0,13,63.9,69.0,75.6,64.1,65.4,55.1,1,23,0,,13.8,4,0,1,0.0,0,2,1,0,7,407,406,0,3,400,3,0,1,240,160,0,21,23,0,26,0,0,0,
Linval Joseph,5571,DI,BUF,7,1,0,,0,0,4,75.2,38.8,84.0,53.2,31.0,52.8,1,4,0,,11.1,1,0,0,0.0,0,1,0,0,0,161,161,111,50,0,0,0,0,87,74,0,4,7,0,6,0,0,0,
Al Woods,5646,DI,NYJ,6,2,0,,0,0,22,,54.0,81.4,53.0,55.4,71.5,1,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,140,140,16,122,0,2,0,0,66,74,0,4,3,0,2,0,0,0,
Von Miller,6154,ED,BUF,11,0,0,100.0,0,0,4,65.1,44.4,58.4,48.7,43.4,27.0,3,9,0,8,40.0,2,0,1,100.0,1,0,2,0,14,242,240,0,0,240,0,0,2,168,60,0,1,3,1,12,0,8,4,8.0
Patrick Peterson,6157,CB,PIT,15,8,0,52.5,1,0,25,64.9,63.9,44.9,75.3,58.8,39.0,0,2,2,52,16.3,8,6,5,81.7,31,0,101,563,608,990,2,0,0,2,0,119,988,6,376,205,11,33,59,2,4,388,186,12.5
Cameron Jordan,6176,ED,NO,15,14,3,,0,0,20,83.2,74.7,80.5,65.7,71.9,62.5,3,39,0,,8.9,4,0,1,0.0,0,3,0,0,10,709,709,0,15,636,58,0,0,416,283,0,19,27,0,45,0,0,0,
Cameron Heyward,6183,DI,PIT,9,5,0,,0,0,25,67.0,70.5,84.4,60.3,68.5,70.3,1,9,0,,3.3,1,0,0,0.0,0,2,1,0,0,357,356,13,195,37,111,0,1,213,144,0,23,24,0,12,0,0,0,
Justin Houston,6222,ED,CAR,7,3,1,100.0,0,0,5,82.9,61.2,48.1,61.8,49.0,44.8,2,7,0,0,18.2,2,0,1,79.2,1,1,1,0,19,177,173,0,0,171,2,0,4,99,59,3,5,6,1,10,0,0,7,0.0
Lawrence Guy Sr.,6385,DI,NE,15,13,1,,0,0,19,63.5,42.6,86.3,45.3,43.5,58.8,0,6,0,,2.9,1,0,0,0.0,0,0,0,0,0,459,458,4,214,39,201,0,1,208,251,0,19,21,0,6,0,0,0,
Nick Bellore,6515,LB,SEA,5,0,0,0.0,0,0,29,63.6,76.6,70.0,58.3,72.9,71.7,0,0,0,,0.0,0,0,0,39.6,0,0,13,0,3,14,0,0,0,0,0,0,14,1,10,0,1,1,1,0,0,0,0,
Stephon Gilmore,7016,CB,DAL,15,6,0,55.0,2,1,9,70.3,73.1,87.5,,79.4,75.5,0,0,2,68,6.3,4,8,6,85.5,44,0,59,786,541,900,4,0,0,4,0,1,896,0,359,50,12,54,80,0,4,602,192,13.7
Fletcher Cox,7018,DI,PHI,14,5,2,,0,2,24,67.0,75.2,65.6,73.1,64.8,69.7,13,21,0,,7.4,2,0,2,0.0,0,7,0,0,0,638,638,31,323,33,251,0,0,457,181,0,17,20,0,41,0,0,0,
Bruce Irvin,7021,ED,DET,2,0,0,100.0,0,0,11,41.9,45.4,0.0,63.8,60.0,69.2,1,2,0,19,,0,0,1,118.8,1,1,0,0,4,24,24,0,0,24,0,0,0,19,1,0,1,0,1,4,0,19,9,19.0
Melvin Ingram III,7024,ED,MIA,1,0,0,,0,0,17,60.0,68.4,74.7,65.0,64.0,27.6,0,2,0,,33.3,1,0,0,0.0,0,0,0,0,1,21,21,0,0,21,0,0,0,12,8,0,1,2,0,2,0,0,0,
Bobby Wagner,7050,LB,SEA,15,39,0,82.1,0,0,29,56.6,77.4,85.6,76.1,90.5,90.2,2,9,0,30,4.4,7,3,1,115.3,46,4,957,1,565,1028,7,0,0,7,0,7,1021,72,391,56,59,112,56,15,2,493,303,10.7
Lavonte David,7060,LB,TB,13,18,0,78.5,0,1,30,68.9,72.2,64.2,68.8,72.4,71.5,0,9,0,33,8.0,9,4,1,98.2,62,5,663,14,502,837,78,0,0,78,0,2,759,68,267,80,51,85,79,14,1,518,295,8.4
Demario Davis,7079,LB,NO,15,32,0,61.0,1,1,20,87.1,90.1,88.0,75.5,82.0,81.1,3,12,0,26,7.5,8,2,1,85.0,25,7,813,8,500,964,74,0,0,74,0,8,890,74,390,61,44,67,41,22,2,156,95,6.2
Rodney McLeod,7271,S,CLV,10,6,0,50.0,0,0,8,52.5,54.1,83.0,52.5,61.4,50.3,0,1,0,17,17.2,5,1,0,63.3,5,0,48,12,169,280,15,0,0,15,0,136,265,5,106,69,11,18,10,1,0,47,31,9.4
Tashaun Gipson Sr.,7288,S,SF,15,16,0,43.5,1,0,28,71.6,72.2,43.5,55.6,78.8,71.4,0,6,1,33,10.9,7,2,4,38.3,10,1,155,15,640,934,14,0,0,14,0,560,920,13,281,190,12,41,23,7,0,100,43,10.0
Brandon Bolden,7469,HB,LV,1,0,0,,0,0,23,60.7,70.2,60.4,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Harrison Smith,7641,S,MIN,15,18,1,67.4,0,3,18,73.7,71.6,88.1,60.5,64.1,64.0,3,6,0,36,11.8,10,1,1,80.5,29,3,342,33,537,992,171,0,0,171,0,306,821,91,364,140,29,57,43,12,0,229,150,7.9
Josh Norman,7649,CB,BUF,1,0,0,,0,0,4,,47.5,70.1,,54.4,70.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,1,0,5,4,0,0,4,0,0,1,0,5,0,0,1,0,0,0,0,0,
Justin Bethel,7654,CB,MIA,9,3,0,87.5,0,0,17,69.3,73.7,80.0,90.9,65.6,85.2,0,1,0,24,0.0,0,0,0,137.0,7,1,29,5,85,124,0,0,0,0,0,0,124,5,34,88,5,9,8,2,2,59,18,8.4
Darius Slay,7817,CB,PHI,12,4,0,63.2,0,0,24,68.6,68.4,87.8,,58.8,64.3,0,0,2,39,11.1,7,7,3,82.3,48,0,30,742,574,809,5,0,0,5,0,1,804,0,235,31,14,52,76,0,2,543,220,11.3
Johnathan Hankins,7830,DI,DAL,13,9,2,,0,0,9,65.4,49.9,28.8,61.2,48.7,46.5,0,3,0,,10.3,3,0,3,0.0,0,3,0,0,2,337,337,117,204,0,16,0,0,167,168,0,12,17,0,6,0,0,0,
Travis Kelce,7844,TE,KC,2,0,0,,3,0,16,60.6,60.7,64.6,,,,0,0,0,,,0,0,10,0.0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,
Tyrann Mathieu,7850,S,NO,15,14,1,57.6,1,0,20,81.0,77.1,66.4,61.7,67.7,76.8,1,4,3,46,8.8,6,3,3,73.2,19,0,331,11,573,979,75,0,0,75,0,482,904,15,391,80,16,48,33,5,3,243,181,12.8
John Jenkins,7863,DI,LV,15,16,2,,0,0,23,59.1,64.5,86.9,69.0,58.4,60.4,1,13,0,,5.7,3,0,0,0.0,0,1,0,0,0,537,536,109,425,0,2,0,1,248,289,0,24,34,0,15,0,0,0,
Logan Ryan,7864,S,SF,1,0,0,,0,0,28,63.6,66.7,73.8,,60.0,77.2,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,11,12,0,0,0,0,0,8,12,0,1,3,0,1,0,0,0,0,0,
Duron Harmon,7872,S,CLV,4,0,0,66.7,0,0,8,58.5,53.9,77.9,63.3,41.7,85.5,0,1,1,18,0.0,0,0,0,80.6,4,0,60,3,107,161,4,0,0,4,0,72,157,5,49,22,3,10,6,1,1,33,8,8.3
William Gholston,7908,DI,TB,13,2,0,,0,0,30,62.1,62.3,55.4,59.2,60.6,59.6,1,4,1,,6.7,1,0,1,0.0,0,0,0,0,0,224,224,3,124,21,76,0,0,109,115,0,8,12,0,5,0,0,0,
Micah Hyde,7941,S,BUF,12,8,1,85.7,0,0,4,67.3,66.2,87.6,63.0,56.0,69.4,1,1,2,32,9.8,5,0,0,122.3,24,0,169,9,442,691,11,0,0,11,0,355,680,15,234,147,7,38,28,2,4,308,79,12.8
Jordan Poyer,8000,S,BUF,14,28,0,69.7,0,1,4,77.0,76.6,64.0,52.3,77.0,79.4,1,5,0,30,6.7,6,5,1,100.8,23,1,367,8,533,882,43,0,0,43,0,285,839,39,310,178,23,56,33,7,1,242,102,10.5
Nick Williams,8006,DI,LAC,14,9,0,,0,0,27,81.3,59.7,86.1,63.5,51.0,39.8,0,9,0,,10.0,3,0,0,0.0,0,1,0,0,0,399,399,200,187,0,12,0,0,195,204,0,12,18,0,10,0,0,0,
Mike Purcell,8530,DI,DEN,14,10,3,100.0,1,0,10,45.2,48.7,70.9,58.5,47.4,27.5,5,3,0,5,22.2,6,0,1,87.5,1,0,1,0,6,400,398,322,75,0,1,0,2,183,211,0,9,11,1,8,0,5,-2,5.0
Jadeveon Clowney,8636,ED,BLT,15,8,3,100.0,0,1,3,63.9,83.0,69.8,80.3,69.8,38.0,10,47,0,10,24.3,9,0,2,102.1,2,9,2,0,16,588,586,0,1,569,16,0,2,432,140,0,22,20,2,66,0,17,-1,8.5
Khalil Mack,8640,ED,LAC,15,11,4,100.0,0,6,27,82.5,91.5,90.0,84.0,90.9,71.7,6,52,0,0,8.2,4,0,0,79.2,1,16,2,1,49,832,816,0,0,815,1,0,16,478,305,13,44,34,1,74,0,0,0,0.0
Anthony Barr,8644,LB,MIN,2,0,0,100.0,0,0,18,85.2,73.6,77.5,48.8,61.8,70.5,0,0,0,5,0.0,0,0,0,87.5,1,0,9,0,11,25,14,0,0,14,0,0,11,11,3,2,1,1,1,0,0,5,3,5.0
Aaron Donald,8648,DI,LA,15,11,1,,1,0,26,49.8,90.3,68.6,91.3,68.3,52.5,14,57,0,,8.9,4,0,2,0.0,0,7,9,0,2,801,792,18,309,63,402,0,9,520,279,0,29,30,0,78,0,0,0,
C.J. Mosley,8652,LB,NYJ,15,45,2,79.6,0,1,22,87.9,79.7,24.3,72.7,64.7,78.7,1,4,1,33,7.2,11,4,4,96.5,43,1,943,1,533,1009,24,0,0,24,0,7,985,37,439,34,54,96,54,6,1,406,302,9.4
Jason Verrett,8660,CB,SF,1,0,0,100.0,0,0,28,45.5,45.1,68.9,,60.0,,0,0,0,6,,0,0,0,131.3,1,0,0,0,4,5,0,0,0,0,0,0,5,0,1,5,0,0,1,0,1,6,0,6.0
Jimmie Ward,8665,S,HST,10,14,0,77.4,0,1,13,67.8,68.4,13.1,50.7,73.9,83.9,0,0,1,53,5.5,3,2,3,93.1,24,0,124,3,314,506,9,0,0,9,0,199,497,5,187,171,11,38,31,0,0,297,127,12.4
Bradley Roby,8666,CB,PHI,8,2,0,57.6,0,1,24,59.7,60.8,82.6,68.2,58.7,46.0,1,1,0,26,19.2,5,0,0,67.4,19,0,22,15,210,314,8,0,0,8,0,1,306,6,98,268,11,19,33,2,0,137,76,7.2
