"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Justin Jefferson",MIN,"vs. NYG"," 4.4","A+","22.1","+1.7","50% (8/16)","20%","Poor"
"2","Tyreek Hill",MIA,"vs. GB"," 4.0","A+","21.8","+0.1","50% (8/16)","17%","Average"
"3","Davante Adams",LV,"at PIT"," 7.4","A+","19.5","+1.4","50% (8/16)","22%","Average"
"4","Ja'Marr Chase",CIN,"at NE"," 6.8","A+","19.3","+4.0","50% (6/12)","18%","Average"
"5","Stefon Diggs",BUF,"at CHI"," 6.6","A+","19.0","+0.2","50% (8/16)","20%","Average"
"6","Amon-Ra St. Brown",DET,"at CAR"," 6.6","A+","18.9","+2.4","46% (7/15)","12%","Average"
"7","DK Metcalf",SEA,"at KC"," 6.8","A+","18.1","+0.4","56% (9/16)","19%","Average"
"8","CeeDee Lamb",DAL,"vs. PHI"," 4.6","A","17.8","-1.1","43% (7/16)","11%","Average"
"9","A.J. Brown",PHI,"at DAL"," 8.2","A","17.8","+0.8","50% (8/16)","16%","Good"
"10","Jaylen Waddle",MIA,"vs. GB"," 4.0","A","16.1","+0.2","50% (8/16)","8%","Great"
"11","Chris Godwin",TB,"at ARI"," 8.6","A","15.9","-0.5","33% (4/12)","10%","Poor"
"12","Keenan Allen",LAC,"at IND"," 7.8","A","15.9","-2.9","40% (4/10)","13%","Bad"
"13","DeAndre Hopkins",ARI,"vs. TB"," 7.0","A","15.8","+0.4","37% (3/8)","12%","Poor"
"14","Tee Higgins",CIN,"at NE"," 6.6","A","15.7","-0.1","37% (6/16)","8%","Good"
"15","Mike Williams",LAC,"at IND"," 7.6","A","15.7","-0.8","54% (6/11)","11%","Poor"
"16","JuJu Smith-Schuster",KC,"vs. SEA"," 6.2","A","15.5","-1.5","35% (5/14)","10%","Bad"
"17","Christian Watson",GB,"at MIA"," 3.4","A-","15.5","+4.1","54% (6/11)","11%","Great"
"18","Mike Evans",TB,"at ARI"," 7.2","A-","15.4","-2.0","42% (6/14)","12%","Bad"
"19","Terry McLaurin",WAS,"at SF"," 5.6","A-","15.1","-1.2","37% (6/16)","12%","Bad"
"20","DJ Moore",CAR,"vs. DET"," 5.6","A-","15.0","-2.4","25% (4/16)","17%","Average"
"21","Michael Pittman Jr.",IND,"vs. LAC"," 4.2","A-","14.7","-1.5","33% (5/15)","8%","Bad"
"22","Garrett Wilson",NYJ,"vs. JAC"," 8.2","A-","14.6","+1.0","35% (5/14)","12%","Bad"
"23","DeVonta Smith",PHI,"at DAL"," 9.2","B+","14.4","+0.7","56% (9/16)","9%","Good"
"24","Diontae Johnson",PIT,"vs. LV"," 5.6","B","14.3","-2.2","18% (3/16)","16%","Bad"
"25","Christian Kirk",JAC,"at NYJ"," 5.0","B","13.4","-0.3","37% (6/16)","20%","Poor"
"26","Darius Slayton",NYG,"at MIN"," 5.4","B","13.1","+0.2","42% (6/14)","7%","Average"
"27","Jerry Jeudy",DEN,"at LAR"," 7.2","B","12.6","+0.5","46% (6/13)","10%","Good"
"28","Brandon Aiyuk",SF,"vs. WAS"," 6.4","B","12.2","+0.9","50% (8/16)","7%","Great"
"29","Zay Jones",JAC,"at NYJ"," 5.2","B-","12.1","+4.1","60% (9/15)","18%","Poor"
"30","Adam Thielen",MIN,"vs. NYG"," 4.6","B-","11.6","-0.4","40% (6/15)","11%","Poor"
"31","Drake London",ATL,"at BAL"," 7.0","C+","11.6","-1.4","42% (6/14)","13%","Average"
"32","Amari Cooper",CLE,"vs. NO"," 6.4","C+","11.2","+0.1","43% (7/16)","17%","Average"
"33","Allen Lazard",GB,"at MIA"," 4.0","C+","10.9","+0.1","50% (7/14)","18%","Poor"
"34","Gabe Davis",BUF,"at CHI"," 6.6","C+","10.6","-0.5","28% (4/14)","9%","Good"
"35","Marquise Brown",ARI,"vs. TB"," 6.6","C+","10.6","-1.4","27% (3/11)","13%","Poor"
"36","Jakobi Meyers",NE,"vs. CIN"," 5.8","C+","10.5","+0.3","30% (4/13)","8%","Average"
"37","Chris Moore",HOU,"at TEN"," 7.8","C","10.5","+0.9","57% (8/14)","10%","Bad"
"38","George Pickens",PIT,"vs. LV"," 5.8","C+","10.0","-0.5","57% (8/14)","8%","Average"
"39","Marquise Goodwin",SEA,"at KC"," 6.6","C+","9.8","+1.6","50% (7/14)","10%","Good"
"40","Richie James Jr.",NYG,"at MIN"," 7.0","C","9.6","-0.1","41% (5/12)","5%","Great"
"41","Joshua Palmer",LAC,"at IND"," 7.8","C","9.4","+0.2","37% (6/16)","5%","Average"
"42","Curtis Samuel",WAS,"at SF"," 5.6","C","9.2","+0.1","50% (7/14)","10%","Average"
"43","Jahan Dotson",WAS,"at SF"," 4.8","C","9.0","+3.0","55% (5/9)","9%","Great"
"44","Tyler Boyd",CIN,"at NE"," 6.6","C","8.9","+1.1","56% (9/16)","7%","Average"
"45","Isaiah Hodgins",NYG,"at MIN"," 6.0","C","8.9","+2.2","37% (3/8)","8%","Good"
"46","Michael Gallup",DAL,"vs. PHI"," 3.4","C","8.8","-1.3","30% (4/13)","8%","Average"
"47","K.J. Osborn",MIN,"vs. NYG"," 4.8","C","8.7","+2.1","50% (8/16)","8%","Average"
"48","DJ Chark Jr.",DET,"at CAR"," 6.8","C","8.7","+0.4","50% (4/8)","11%","Poor"
"49","Brandin Cooks",HOU,"at TEN","-","C-","8.7","-2.7","18% (2/11)","10%","Bad"
"50","Donovan Peoples-Jones",CLE,"vs. NO"," 6.0","C-","8.6","+1.1","75% (12/16)","12%","Bad"
"51","Demarcus Robinson",BAL,"vs. ATL"," 7.8","C-","8.5","+0.5","43% (7/16)","5%","Bad"
"52","Tutu Atwell",LAR,"vs. DEN"," 3.2","C-","8.5","+0.4","45% (5/11)","6%","Bad"
"53","Mack Hollins",LV,"at PIT"," 7.2","C-","8.4","+1.2","50% (8/16)","12%","Poor"
"54","Parris Campbell",IND,"vs. LAC"," 4.2","C-","8.2","+0.5","42% (6/14)","6%","Average"
"55","Courtland Sutton",DEN,"at LAR"," 7.0","C-","8.1","-3.3","21% (3/14)","14%","Bad"
"56","Van Jefferson",LAR,"vs. DEN"," 4.2","D+","8.1","-1.3","40% (4/10)","9%","Good"
"57","Terrace Marshall Jr.",CAR,"vs. DET"," 6.4","D+","8.0","-0.4","38% (5/13)","11%","Bad"
"58","Elijah Moore",NYJ,"vs. JAC"," 7.8","D","8.0","-1.9","15% (2/13)","9%","Bad"
