"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at LAC"," 6.0","A+","19.7","+0.5","60% (9/15)","23%","Average"
"2","Mark Andrews",BAL,"vs. CAR"," 5.4","A","15.1","+1.3","53% (8/15)","17%","Average"
"3","T.J. Hockenson",MIN,"vs. DAL"," 3.8","A","13.6","+0.9","50% (6/12)","11%","Great"
"4","George Kittle",SF,"at ARI"," 8.0","A","13.0","-0.8","28% (4/14)","7%","Poor"
"5","Dalton Schultz",DAL,"at MIN"," 8.8","A-","12.9","+0.1","57% (8/14)","8%","Bad"
"6","Pat Freiermuth",PIT,"vs. CIN"," 3.6","A-","12.6","0.0","57% (8/14)","14%","Bad"
"7","Greg Dulcich",DEN,"vs. LV"," 7.4","B+","11.9","+2.3","75% (3/4)","6%","Good"
"8","Kyle Pitts",ATL,"vs. CHI"," 5.2","B","9.9","-2.6","31% (5/16)","11%","Poor"
"9","Tyler Higbee",LAR,"at NO"," 1.6","B","9.8","-1.4","38% (5/13)","6%","Bad"
"10","Cole Kmet",CHI,"at ATL"," 5.6","B-","9.4","+0.8","35% (6/17)","7%","Great"
"11","Hayden Hurst",CIN,"at PIT"," 6.0","C+","9.2","+1.0","50% (6/12)","7%","Poor"
"12","Foster Moreau",LV,"at DEN"," 4.8","C","8.8","-0.5","46% (7/15)","8%","Bad"
"13","Tyler Conklin",NYJ,"at NE"," 5.8","C-","8.7","+0.3","50% (8/16)","6%","Great"
"14","Dawson Knox",BUF,"vs. CLE"," 7.6","C-","8.0","-0.6","40% (6/15)","7%","Average"
"15","Gerald Everett",LAC,"vs. KC"," 7.4","D+","7.9","-0.5","47% (8/17)","10%","Bad"
"16","Robert Tonyan",GB,"vs. TEN"," 7.2","D+","7.9","-1.2","30% (3/10)","7%","Bad"
"17","Juwan Johnson",NO,"vs. LAR"," 7.0","D+","7.4","+1.0","46% (7/15)","7%","Great"
"18","Taysom Hill",NO,"vs. LAR"," 6.8","D","6.3","+6.8","66% (6/9)","7%","Great"
"19","Trey McBride",ARI,"vs. SF"," 5.2","D","6.3","-0.6","22% (2/9)","0%","Bad"
"20","Hunter Henry",NE,"vs. NYJ"," 4.4","D-","6.3","-1.3","26% (4/15)","5%","Bad"
"21","Austin Hooper",TEN,"at GB"," 7.2","D-","6.1","-1.7","31% (5/16)","10%","Poor"
"22","Isaiah Likely",BAL,"vs. CAR"," 5.6","F","5.9","+0.5","44% (4/9)","4%","Great"
"23","Logan Thomas",WAS,"at HOU"," 6.6","F","5.6","-1.4","33% (3/9)","11%","Bad"
"24","Harrison Bryant",CLE,"at BUF"," 3.6","F","5.1","+0.5","57% (8/14)","7%","Poor"
"25","David Njoku",CLE,"at BUF"," 3.8","D-","5.1","+1.4","41% (5/12)","11%","Bad"
"26","Kylen Granson",IND,"vs. PHI"," 4.8","F","5.0","+0.1","37% (6/16)","2%","Bad"
"27","Jack Stoll",PHI,"at IND"," 8.6","F","4.7","-0.5","28% (4/14)","4%","Bad"
"28","Jordan Akins",HOU,"vs. WAS"," 2.8","F","4.6","-0.3","30% (4/13)","4%","Average"
"29","Brock Wright",DET,"at NYG"," 7.8","F","4.5","-0.6","31% (5/16)","4%","Good"
"30","Chigoziem Okonkwo",TEN,"at GB"," 7.2","F","4.4","+0.2","33% (3/9)","8%","Poor"
"31","Tommy Tremble",CAR,"at BAL"," 7.6","F","4.3","-0.5","35% (6/17)","6%","Great"
"32","Mo Alie-Cox",IND,"vs. PHI"," 4.4","F","4.2","-1.0","18% (3/16)","5%","Great"
"33","Jonnu Smith",NE,"vs. NYJ"," 4.6","F","3.6","-1.0","42% (6/14)","3%","Bad"
"34","Noah Gray",KC,"at LAC"," 5.0","F","3.4","+0.4","43% (7/16)","4%","Great"
