"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Philadelphia Eagles",PHI,"vs. WAS"," 8.6","A+","9.1","+2.4","53% (8/15)"
"2","Dallas Cowboys",DAL,"at GB"," 7.6","A","8.8","+6.0","75% (12/16)"
"3","New York Giants",NYG,"vs. HOU"," 8.6","B+","8.0","-1.2","26% (4/15)"
"4","Buffalo Bills",BUF,"vs. MIN"," 3.6","B+","7.8","+0.5","43% (7/16)"
"5","San Francisco 49ers",SF,"vs. LAC"," 4.2","A-","7.6","+2.0","62% (10/16)"
"6","Tennessee Titans",TEN,"vs. DEN"," 9.9","B","7.5","+0.9","53% (8/15)"
"7","Denver Broncos",DEN,"at TEN"," 5.8","B","7.3","+0.7","40% (6/15)"
"8","New Orleans Saints",NO,"at PIT"," 8.2","B","7.2","-0.4","17% (3/17)"
"9","Los Angeles Rams",LAR,"vs. ARI"," 6.4","B","7.1","0.0","53% (8/15)"
"10","Kansas City Chiefs",KC,"vs. JAC"," 4.4","B","7.0","+1.3","50% (8/16)"
"11","Arizona Cardinals",ARI,"at LAR"," 9.9","B-","6.8","+0.2","50% (8/16)"
"12","Las Vegas Raiders",LV,"vs. IND"," 9.9","B-","6.7","-3.0","18% (3/16)"
"13","Tampa Bay Buccaneers",TB,"vs. SEA"," 5.6","B-","6.6","+0.7","41% (7/17)"
"14","Pittsburgh Steelers",PIT,"vs. NO"," 9.6","C+","6.4","-1.1","25% (4/16)"
"15","Atlanta Falcons",ATL,"at CAR"," 7.4","C","6.4","+0.3","64% (11/17)"
"16","Miami Dolphins",MIA,"vs. CLE"," 4.2","C-","6.4","+1.4","50% (8/16)"
"17","Seattle Seahawks",SEA,"at TB"," 3.0","C","6.3","+1.1","64% (11/17)"
"18","Carolina Panthers",CAR,"vs. ATL"," 4.8","D+","6.0","-1.0","31% (5/16)"
"19","Chicago Bears",CHI,"vs. DET"," 4.6","D","5.9","-0.3","37% (6/16)"
"20","Minnesota Vikings",MIN,"at BUF"," 4.8","D","5.9","0.0","43% (7/16)"
"21","Indianapolis Colts",IND,"at LV"," 5.4","D-","5.9","+1.1","50% (8/16)"
"22","Houston Texans",HOU,"at NYG"," 4.8","F","5.8","+0.4","53% (8/15)"
"23","Detroit Lions",DET,"at CHI"," 8.2","F","5.7","-1.4","43% (7/16)"
"24","Los Angeles Chargers",LAC,"at SF"," 7.0","F","5.6","-1.5","35% (6/17)"
"25","Green Bay Packers",GB,"vs. DAL"," 2.4","F","5.5","+0.1","43% (7/16)"
"26","Cleveland Browns",CLE,"at MIA"," 3.6","F","5.4","-1.1","40% (6/15)"
"27","Washington Commanders",WAS,"at PHI"," 2.2","F","5.1","-1.1","23% (4/17)"
"28","Jacksonville Jaguars",JAC,"at KC"," 2.0","F","5.0","-1.9","23% (4/17)"
