"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Mark Andrews",BAL,"at NYJ"," 3.4","A+","17.2","+1.5","47% (8/17)","25%","Good"
"2","Travis Kelce",KC,"at ARI"," 6.2","A","16.6","-1.8","40% (6/15)","14%","Great"
"3","Kyle Pitts",ATL,"vs. NO"," 3.8","A","14.7","-1.5","31% (5/16)","17%","Awful"
"4","Darren Waller",LV,"at LAC"," 3.6","A-","14.0","-5.0","18% (2/11)","29%","Awful"
"5","Dalton Schultz",DAL,"vs. TB"," 5.8","A-","12.8","+1.7","56% (9/16)","11%","Great"
"6","Dallas Goedert",PHI,"at DET"," 7.6","B+","12.2","-0.2","53% (8/15)","6%","Average"
"7","T.J. Hockenson",DET,"vs. PHI"," 8.2","B","12.2","-1.0","50% (6/12)","7%","Good"
"8","Dawson Knox",BUF,"at LAR"," 4.0","B-","12.0","+2.0","57% (8/14)","9%","Great"
"9","Zach Ertz",ARI,"vs. KC"," 6.0","C+","10.7","+0.8","37% (6/16)","14%","Average"
"10","Pat Freiermuth",PIT,"at CIN"," 9.2","C+","10.0","+1.4","60% (9/15)","16%","Average"
"11","George Kittle",SF,"at CHI"," 8.4","C","9.3","-0.3","38% (5/13)","12%","Great"
"12","Cole Kmet",CHI,"vs. SF"," 6.8","C","8.8","-0.6","37% (6/16)","13%","Awful"
"13","David Njoku",CLE,"at CAR"," 6.6","C-","8.6","+1.1","40% (6/15)","15%","Average"
"14","Tyler Higbee",LAR,"vs. BUF"," 7.2","C-","8.5","-0.9","42% (6/14)","12%","Poor"
"15","Irv Smith Jr.",MIN,"vs. GB"," 6.6","C-","8.5","-","-","0%","N/A"
"16","Albert Okwuegbunam",DEN,"at SEA"," 9.2","C-","8.3","+0.4","38% (5/13)","7%","Poor"
"17","Hunter Henry",NE,"at MIA"," 3.8","D+","8.2","+0.7","50% (8/16)","11%","Good"
"18","Gerald Everett",LAC,"vs. LV"," 6.6","D+","8.0","+1.1","57% (8/14)","0%","N/A"
"19","Mike Gesicki",MIA,"vs. NE"," 5.0","D","7.8","-1.1","31% (5/16)","12%","Awful"
"20","Austin Hooper",TEN,"vs. NYG"," 4.0","D","7.6","-1.6","29% (5/17)","0%","N/A"
"21","Evan Engram",JAC,"at WAS"," 5.8","D","7.5","-0.4","42% (6/14)","0%","N/A"
"22","Noah Fant",SEA,"vs. DEN"," 4.4","D-","7.2","-0.1","46% (7/15)","0%","N/A"
"23","Robert Tonyan",GB,"at MIN"," 6.0","F","7.2","-1.9","28% (2/7)","9%","Poor"
"24","Hayden Hurst",CIN,"vs. PIT"," 4.0","F","6.5","-0.3","50% (6/12)","0%","N/A"
"25","Mo Alie-Cox",IND,"at HOU"," 8.8","F","5.7","+0.2","37% (6/16)","8%","Average"
"26","Brevin Jordan",HOU,"vs. IND"," 4.2","F","5.7","+1.2","40% (4/10)","9%","Great"
"27","Cameron Brate",TB,"at DAL"," 8.4","F","5.1","+0.2","50% (8/16)","9%","Poor"
"28","Tyler Conklin",NYJ,"vs. BAL"," 8.4","F","5.1","+0.3","56% (9/16)","0%","N/A"
"29","Logan Thomas",WAS,"vs. JAC"," 7.6","F","5.1","-0.9","50% (3/6)","13%","Great"
"30","Jonnu Smith",NE,"at MIA"," 3.8","F","4.9","-1.4","26% (4/15)","6%","Awful"
"31","Isaiah Likely",BAL,"at NYJ"," 3.2","F","4.6","-","-","0%","N/A"
