"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Christian McCaffrey",CAR,"at NYG"," 7.4","A+","21.4","-4.7","42% (3/7)","41%","Great"
"2","Jonathan Taylor",IND,"at JAC"," 8.6","A+","21.1","+4.8","68% (11/16)","20%","Average"
"3","Saquon Barkley",NYG,"vs. CAR"," 7.0","A+","18.7","-0.9","41% (5/12)","45%","Great"
"4","Austin Ekeler",LAC,"at KC"," 5.8","A","18.5","+1.4","53% (8/15)","7%","Awful"
"5","Dalvin Cook",MIN,"at PHI"," 4.2","A","17.8","-2.2","33% (4/12)","2%","Awful"
"6","D'Andre Swift",DET,"vs. WAS"," 4.8","A","17.7","-1.0","50% (6/12)","3%","Great"
"7","Joe Mixon",CIN,"at DAL"," 7.8","A","17.6","+1.7","50% (8/16)","16%","Awful"
"8","Leonard Fournette",TB,"at NO"," 4.4","A","16.9","+2.5","57% (8/14)","15%","Awful"
"9","Aaron Jones",GB,"vs. CHI"," 1.8","A-","16.9","-1.6","37% (6/16)","9%","Awful"
"10","Javonte Williams",DEN,"vs. HOU"," 6.8","A-","16.8","+0.9","50% (8/16)","19%","Awful"
"11","Derrick Henry",TEN,"at BUF"," 7.0","A-","16.3","+4.0","50% (4/8)","33%","Awful"
"12","Nick Chubb",CLE,"vs. NYJ"," 7.6","A-","16.2","-1.2","35% (5/14)","10%","Awful"
"13","Antonio Gibson",WAS,"at DET"," 5.0","B+","16.0","-0.1","53% (8/15)","19%","Awful"
"14","James Conner",ARI,"at LV"," 6.8","B+","15.9","+5.3","71% (10/14)","39%","Good"
"15","Alvin Kamara",NO,"vs. TB"," 6.6","B+","15.7","-2.8","41% (5/12)","1%","Awful"
"16","Najee Harris",PIT,"vs. NE"," 5.6","B","15.6","-0.2","50% (8/16)","35%","Poor"
"17","AJ Dillon",GB,"vs. CHI"," 1.8","B","15.1","+1.8","52% (9/17)","37%","Average"
"18","Darrell Henderson Jr.",LAR,"vs. ATL"," 6.8","B","14.8","-1.5","53% (7/13)","5%","Awful"
"19","Josh Jacobs",LV,"vs. ARI"," 5.2","B","14.1","-1.5","40% (6/15)","6%","Awful"
"20","Cordarrelle Patterson",ATL,"at LAR"," 9.4","B","13.7","+2.9","66% (10/15)","20%","Great"
"21","Clyde Edwards-Helaire",KC,"vs. LAC"," 3.2","B","13.2","+0.6","50% (5/10)","16%","Great"
"22","David Montgomery",CHI,"at GB"," 5.6","B","13.0","-0.2","41% (5/12)","1%","Awful"
"23","Kareem Hunt",CLE,"vs. NYJ"," 6.8","B-","12.7","+0.4","44% (4/9)","50%","Great"
"24","Ezekiel Elliott",DAL,"vs. CIN"," 7.2","B-","12.7","-0.7","50% (8/16)","1%","Awful"
"25","Chase Edmonds",MIA,"at BAL"," 6.8","B-","12.7","-1.3","25% (3/12)","5%","Awful"
"26","Miles Sanders",PHI,"vs. MIN"," 7.8","C+","12.5","-2.7","25% (3/12)","19%","Average"
"27","Jeff Wilson Jr.",SF,"vs. SEA"," 5.0","C+","12.3","-2.2","30% (3/10)","37%","Awful"
"28","Travis Etienne Jr.",JAC,"vs. IND"," 6.2","C","12.1","-4.2","0% (0/1)","22%","Awful"
"29","Devin Singletary",BUF,"vs. TEN"," 4.0","C","12.0","+1.3","50% (8/16)","12%","Awful"
"30","Rashaad Penny",SEA,"at SF"," 4.8","C","11.9","+3.1","40% (4/10)","29%","Awful"
"31","Michael Carter",NYJ,"at CLE"," 5.8","C","11.5","+1.1","61% (8/13)","9%","Awful"
"32","James Robinson",JAC,"vs. IND"," 6.4","C","10.6","-0.6","50% (7/14)","18%","Great"
"33","Rhamondre Stevenson",NE,"at PIT"," 6.6","C","10.3","+2.3","45% (5/11)","1%","Awful"
"34","Breece Hall",NYJ,"at CLE"," 5.8","C","10.1","-1.2","0% (0/1)","10%","Awful"
"35","Melvin Gordon III",DEN,"vs. HOU"," 6.8","C-","10.1","-0.5","33% (5/15)","19%","Awful"
"36","Damien Harris",NE,"at PIT"," 7.0","C","10.0","+1.5","50% (7/14)","25%","Awful"
"37","Nyheim Hines",IND,"at JAC"," 6.2","C-","9.5","-0.8","31% (5/16)","19%","Awful"
"38","Rex Burkhead",HOU,"at DEN"," 3.6","C-","9.0","+1.0","33% (5/15)","6%","Awful"
"39","Tony Pollard",DAL,"vs. CIN"," 7.0","D+","9.0","+1.5","46% (7/15)","1%","Awful"
"40","J.D. McKissic",WAS,"at DET"," 7.0","D+","8.8","+2.8","45% (5/11)","0%","N/A"
"41","Jamaal Williams",DET,"vs. WAS"," 3.8","D","8.6","+0.1","33% (4/12)","34%","Good"
