"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Patrick Mahomes II",KC,"at CIN"," 5.4","A+","25.1","+0.9","58% (10/17)","3%","Average"
"2","Jalen Hurts",PHI,"vs. TEN"," 5.2","A","23.2","+0.6","57% (8/14)","25%","Good"
"3","Josh Allen",BUF,"at NE"," 6.6","A","22.6","+1.4","50% (8/16)","10%","Average"
"4","Joe Burrow",CIN,"vs. KC"," 8.6","A","21.8","+4.9","62% (10/16)","8%","Good"
"5","Justin Herbert",LAC,"at LV"," 9.9","A","21.5","-2.1","47% (8/17)","1%","Bad"
"6","Lamar Jackson",BAL,"vs. DEN"," 3.6","B+","21.1","-2.6","23% (3/13)","7%","Poor"
"7","Trevor Lawrence",JAC,"at DET"," 8.6","B","20.4","-0.6","37% (6/16)","8%","Bad"
"8","Dak Prescott",DAL,"vs. IND"," 5.8","B","19.8","-1.6","45% (5/11)","2%","Good"
"9","Justin Fields",CHI,"vs. GB"," 5.8","B","19.1","+4.7","69% (9/13)","14%","Great"
"10","Tua Tagovailoa",MIA,"at SF"," 4.6","B","18.5","-0.3","38% (5/13)","2%","Great"
"11","Geno Smith",SEA,"at LAR"," 5.2","B","17.8","+1.1","53% (8/15)","2%","Good"
"12","Deshaun Watson",CLE,"at HOU"," 4.6","B","17.6","-","-","0%","N/A"
"13","Derek Carr",LV,"vs. LAC"," 7.4","B-","17.4","-2.1","31% (5/16)","1%","Poor"
"14","Tom Brady",TB,"vs. NO"," 8.0","C+","17.2","-1.6","31% (5/16)","2%","Bad"
"15","Jimmy Garoppolo",SF,"vs. MIA"," 7.2","C","17.1","+1.6","46% (7/15)","5%","Good"
"16","Kirk Cousins",MIN,"vs. NYJ"," 3.6","C","16.9","-0.7","40% (6/15)","4%","Bad"
"17","Jared Goff",DET,"vs. JAC"," 7.6","C-","16.7","+1.1","57% (8/14)","1%","Bad"
"18","Aaron Rodgers",GB,"at CHI"," 5.8","D+","16.5","-1.9","35% (6/17)","0%","Average"
"19","Mike White",NYJ,"at MIN"," 7.6","D+","16.3","+0.9","14% (1/7)","0%","Great"
"20","Kenny Pickett",PIT,"at ATL"," 8.0","D","16.1","+0.2","36% (4/11)","8%","Bad"
"21","Daniel Jones",NYG,"vs. WAS"," 7.8","D","15.6","+1.1","54% (6/11)","13%","Average"
"22","Marcus Mariota",ATL,"vs. PIT"," 7.0","D-","15.1","-0.2","46% (7/15)","11%","Good"
"23","Mac Jones",NE,"vs. BUF"," 5.8","F","14.6","-2.1","33% (4/12)","3%","Bad"
"24","Ryan Tannehill",TEN,"at PHI"," 2.6","F","14.2","-2.7","28% (4/14)","6%","Poor"
"25","Taylor Heinicke",WAS,"at NYG"," 4.8","F","13.7","-2.3","12% (2/16)","5%","Average"
"26","Kyle Allen",HOU,"vs. CLE"," 9.2","F","13.4","-0.1","15% (2/13)","1%","Average"
"27","Russell Wilson",DEN,"at BAL"," 4.6","F","13.1","-1.8","33% (5/15)","1%","Bad"
"28","Andy Dalton",NO,"at TB"," 7.0","F","12.8","+0.2","26% (4/15)","3%","Average"
"29","Matt Ryan",IND,"at DAL"," 3.0","F","12.5","-1.4","20% (3/15)","4%","Bad"
"30","John Wolford",LAR,"vs. SEA"," 7.6","F","12.3","-0.8","0% (0/13)","1%","Average"
"31","Bryce Perkins",LAR,"vs. SEA"," 7.2","F","2.3","-1.7","0% (0/2)","2%","Bad"
"32","Jordan Love",GB,"at CHI"," 6.0","F","1.2","-0.1","12% (2/16)","0%","Great"
"33","Davis Mills",HOU,"vs. CLE"," 6.6","F","1.1","-0.6","50% (8/16)","3%","Poor"
"34","Jacoby Brissett",CLE,"at HOU"," 4.8","F","1.1","+0.4","33% (5/15)","4%","Bad"
"35","Nathan Peterman",CHI,"vs. GB"," 6.8","F","1.0","-","-","0%","N/A"
"36","Tyler Huntley",BAL,"vs. DEN","-","F","1.0","+1.3","13% (2/15)","0%","N/A"
"37","Jameis Winston",NO,"at TB"," 7.2","F","1.0","-0.9","20% (2/10)","0%","Poor"
