"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"at KC"," 8.8","A+","27.7","+1.4","56% (9/16)","15%","Good"
"2","Lamar Jackson",BAL,"at NYG"," 6.6","A","24.6","-4.2","23% (3/13)","10%","Great"
"3","Patrick Mahomes II",KC,"vs. BUF"," 2.4","A","23.4","-1.6","37% (6/16)","1%","Average"
"4","Jalen Hurts",PHI,"vs. DAL"," 4.8","A","21.8","-0.8","53% (8/15)","28%","Poor"
"5","Kyler Murray",ARI,"at SEA"," 9.6","A","21.0","-0.4","38% (5/13)","5%","Bad"
"6","Tom Brady",TB,"at PIT"," 5.6","B+","20.1","-1.5","37% (6/16)","2%","Bad"
"7","Justin Herbert",LAC,"vs. DEN"," 3.2","B+","19.3","+0.1","56% (9/16)","2%","Average"
"8","Geno Smith",SEA,"vs. ARI"," 8.0","B","18.6","+1.2","33% (5/15)","3%","Great"
"9","Joe Burrow",CIN,"at NO"," 7.6","B","18.2","+2.5","62% (10/16)","4%","Bad"
"10","Aaron Rodgers",GB,"vs. NYJ"," 7.8","B","17.8","-0.4","43% (7/16)","0%","Poor"
"11","Kirk Cousins",MIN,"at MIA"," 7.0","B","17.4","+0.2","40% (6/15)","4%","Bad"
"12","Matthew Stafford",LAR,"vs. CAR"," 5.0","B-","17.0","-2.2","43% (7/16)","0%","Bad"
"13","Russell Wilson",DEN,"at LAC"," 7.0","B-","16.6","-2.5","38% (5/13)","2%","Bad"
"14","Daniel Jones",NYG,"vs. BAL"," 7.2","C+","16.3","-2.5","36% (4/11)","11%","Good"
"15","Jimmy Garoppolo",SF,"at ATL"," 7.2","C","16.0","+0.7","33% (5/15)","9%","Average"
"16","Trevor Lawrence",JAC,"at IND"," 7.0","C","15.7","-3.2","18% (3/16)","3%","Bad"
"17","Carson Wentz",WAS,"at CHI"," 5.8","C-","15.4","-0.1","50% (8/16)","2%","Average"
"18","Justin Fields",CHI,"vs. WAS"," 7.6","C-","15.3","-1.1","41% (5/12)","16%","Bad"
"19","Marcus Mariota",ATL,"vs. SF"," 2.4","D+","15.0","-0.4","20% (3/15)","15%","Good"
"20","Zach Wilson",NYJ,"at GB"," 7.8","D","14.7","+0.8","44% (4/9)","13%","Average"
"21","Kenny Pickett",PIT,"vs. TB"," 3.6","D","14.4","+2.3","40% (2/5)","19%","Bad"
"22","Jacoby Brissett",CLE,"vs. NE"," 7.8","D-","14.1","-1.3","18% (3/16)","4%","Bad"
"23","Matt Ryan",IND,"vs. JAC"," 2.6","D","13.8","-3.6","12% (2/16)","0%","Bad"
"24","Skylar Thompson",MIA,"vs. MIN","-","F","13.5","+2.9","100% (1/1)","0%","Bad"
"25","Andy Dalton",NO,"vs. CIN"," 4.0","F","13.4","+0.4","21% (3/14)","6%","Bad"
"26","Cooper Rush",DAL,"at PHI"," 3.6","F","13.0","+0.1","28% (4/14)","1%","Average"
"27","Bailey Zappe",NE,"at CLE"," 9.2","F","12.4","+1.4","50% (1/2)","2%","Great"
"28","PJ Walker",CAR,"at LAR"," 6.6","F","11.8","-1.0","30% (3/10)","0%","Bad"
"29","Teddy Bridgewater",MIA,"vs. MIN"," 3.2","F","10.7","-2.1","28% (4/14)","0%","Bad"
"30","Mac Jones",NE,"at CLE"," 9.2","F","3.8","-1.2","42% (6/14)","7%","Bad"
"31","Jameis Winston",NO,"vs. CIN"," 2.6","F","1.4","-0.9","60% (3/5)","0%","Poor"
"32","Sam Ehlinger",IND,"vs. JAC","-","F","1.1","-0.2","0% (0/3)","0%","N/A"
"33","Mitch Trubisky",PIT,"vs. TB"," 4.2","F","1.0","-1.8","6% (1/15)","5%","Bad"
"34","Taylor Heinicke",WAS,"at CHI","-","F","0.9","-2.2","13% (2/15)","0%","N/A"
"35","Dak Prescott",DAL,"at PHI"," 2.4","F","0.9","-2.6","45% (5/11)","0%","Bad"
