,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2020 Avg,2021 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Cooper Kupp,,0,WR,7900,LAR,@ NYG,24,28.00,10.7,14.4,25,0,0,0,0,0,0,0,0,0,15.22,0.35,15.22,11.03,134.38,1.06,0,0,0,0,0,0,30.83,30.83,0,14.78,52.23,30.83,30.83,2,0,100,,3,45,3.9,37.00,4.7,5,1,1,8,1,1,0.05,,,,,,1.53,0.2,1.08,,8.76,6.35,80.73,0.63,,,,,,,
Patrick Mahomes,,0,QB,8300,KC,@ WAS,13,30.00,9.4,27,28.8,1,38.62,329.92,2.55,0.59,0.2643,8.05,40.42,0.36,8.05,0,0,0,0,0,0,0,0,0,0,0,29.01,29.01,0,14.91,47.81,29.01,29.01,4,0,100,,11,63,3.5,27.98,3.4,1,1,1,4,2,2,36.58,24.29,297.48,0.56,1.56,2.43,107.4,3.82,19.18,0.17,,,,,,,,,,,
Josh Allen,,0,QB,8200,BUF,@ TEN,30,29.75,10.1,26.9,27.3,1,44.02,325.35,2.35,0.94,0.2752,7.46,42.6,0.51,7.46,0,0,0,0,0,0,0,0,0,0,0,28.79,28.79,0,13.64,48.99,28.79,28.79,1,0,100,,5,58,3.5,32.72,4,2,2,2,5,3,3,33.28,20.96,238.35,0.71,1.94,1.8,92.28,7.01,40.03,0.48,,,,,,,,,,,
Jalen Hurts,,0,QB,7000,PHI,vs TB,27,23.00,12,8.9,26.2,1,39.31,285.13,1.35,0.92,0.434,11.71,64.91,0.78,11.71,0,0,0,0,0,0,0,0,0,0,0,27.06,27.06,0,9.06,51.06,27.06,27.06,6,0,100,,14,28,3.9,26.00,3.7,9,3,3,15,4,4,21.44,12.78,157.47,0.5,1.38,0.75,69.48,7.47,41.41,0.5,,,,,,,,,,,
Lamar Jackson,,0,QB,7400,BAL,vs LAC,5,27.00,11.3,22.9,29.2,1,27.94,218.96,1.69,0.68,0.3967,12.96,79.47,0.43,12.96,0,0,0,0,0,0,0,0,0,0,0,25.37,25.37,0,8.42,47.97,25.37,25.37,21,0,100,,64,48,3.4,13.78,1.9,5,4,4,11,5,5,23.8,15.11,178.2,0.58,2,1.46,92.35,10.52,64.51,0.35,,,,,,,,,,,
Davante Adams,,0,WR,9000,GB,@ CHI,23,24.50,10.7,26.5,24.2,0,0,0,0,0,0,0,0,0,13.46,0.4395,13.46,9.01,105.6,0.93,0,0,0,0,0,0,25.15,25.15,0,9.1,46.55,25.15,25.15,28,0,100,,70,45,2.8,12.90,1.4,1,2,2,1,6,6,0.01,0.01,0.3,,0.01,,2.01,,,,9.46,6.33,77.13,0.72,,,,,,,
Tyreek Hill,,0,WR,8500,KC,@ WAS,19,30.00,11.8,22.9,24.4,0,0,0,0,0,0.081,2.47,19.27,0.17,13.19,0.2775,10.72,7.31,95.49,0.8,0,0,0,0,0,0,24.61,24.61,0,6.91,48.21,24.61,24.61,10,0,100,,26,36,2.9,22.60,2.7,2,3,3,3,7,7,0.01,,,0.01,,,,1,7.8,0.07,7.98,5.44,74.5,0.59,,,,,,,
Dak Prescott,!,0,QB,7100,DAL,@ NE,4,26.75,9.2,30.3,22.7,1,43.24,331.27,2.11,0.77,0.126,3.71,17.72,0.32,3.71,0,0,0,0,0,0,0,0,0,0,0,24.61,24.61,0,10.81,43.01,24.61,24.61,2,0,100,,6,55,3.5,31.80,4.5,8,5,5,14,7,7,33.79,22.32,256.16,0.6,2.08,1.65,97.74,3.55,16.96,0.31,,,,,,,,,,,
Justin Herbert,,0,QB,7300,LAC,@ BAL,17,24.00,8.5,24.5,27.2,1,39.05,308.37,2.17,0.77,0.166,5.05,21.93,0.33,5.05,0,0,0,0,0,0,0,0,0,0,0,24.42,24.42,0,11.67,41.42,24.42,24.42,22,0,100,,74,65,3.3,12.00,1.6,6,6,6,12,8,8,38.86,25.86,287.46,0.77,1.86,2.2,100.5,3.54,15.37,0.23,,,,,,,,,,,
Matthew Stafford,,0,QB,6700,LAR,@ NYG,19,28.00,7.3,17.5,23.8,1,43.49,345.39,2.31,0.92,0.137,4.11,14.05,0.08,4.11,0,0,0,0,0,0,0,0,0,0,0,24.02,24.02,0,13.07,38.62,24.02,24.02,5,0,100,,13,62,3.6,26.24,3.9,11,7,7,18,9,9,35.49,23.45,269.52,0.75,2.43,1.83,98.6,2.13,7.28,0.04,,,,,,,,,,,
Tom Brady,,0,QB,7800,TB,@ PHI,21,30.00,8.5,23.2,29.3,1,43.92,344.04,2.42,0.65,0.0836,2.33,3.11,0.15,2.33,0,0,0,0,0,0,0,0,0,0,0,24,24,0,11.25,41,24,24,14,0,100,,38,60,3.1,18.98,2.4,4,8,8,9,10,10,38.5,24.93,288.98,0.57,1.63,2.06,99.41,1.87,2.5,0.12,,,,,,,,,,,
Stefon Diggs,,0,WR,7400,BUF,@ TEN,32,29.75,10,22,14.9,0,0,0,0,0,0,0,0,0,12.81,0.291,12.81,8.77,106.97,0.74,0,0,0,0,0,0,23.91,23.91,0,8.91,43.91,23.91,23.91,8,0,100,,22,40,3.2,23.90,3.2,7,4,4,11,11,11,0.02,0.01,0.13,,0.02,,1.04,0.29,1.53,0.01,8.38,5.74,72.14,0.48,,,,,,,
Dalvin Cook,,0,RB,7700,MIN,@ CAR,6,23.75,10,26.1,15.9,0,0,0,0,0,0.7507,22.75,106,0.86,27.91,0.1522,5.16,4,31.19,0.07,0,0,0,0,0,0,23.3,23.3,0,8.3,43.3,23.3,23.3,5,0,100,,17,48,3,25.30,3.3,4,1,1,10,12,12,,,,,,,,17.52,81.63,0.66,4.18,3.24,25.76,0.06,,,,,,,
Najee Harris,,0,RB,7400,PIT,vs SEA,10,24.00,8.6,0,20.5,0,0,0,0,0,0.7311,14.89,56.15,0.3,25,0.2219,10.11,8.09,49.66,0.35,0,0,0,0,0,0,22.57,22.57,0,9.67,39.77,22.57,22.57,6,0,100,,19,48,3.1,24.70,3.3,5,2,2,11,13,13,,,,,,,,16.62,62.67,0.33,5,4,24.57,0.19,,,,,,,
