,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2020 Avg,2021 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Score,Val,FPs,Salary,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Deebo Samuel,,0,WR,8000,SF,@ CIN,26,25.50,8.8,12,22.4,0,0,0,0,0,0.2377,8.06,54.06,0.8,18.06,0.3183,10,6.7,96.33,0.38,0,0,0,0,0,0,28.82,28.82,0,15.62,46.42,28.82,28.82,0,100,,46,3.6,12.90,1.6,34,6,1,1,77,6,1,1,0.04,0.02,0.49,,,0.02,4.04,2.73,18.31,0.27,6.33,4.24,64.31,0.24,,,,,,,
Alvin Kamara,,0,RB,7900,NO,@ NYJ,32,23.00,10.9,24.5,20.5,0,0,0,0,0,0.6949,18.85,85.91,0.92,27.79,0.2698,8.94,6.88,58.96,0.26,0,0,0,0,0,0,28.45,28.45,0,12.1,50.25,28.45,28.45,0,100,,47,3.6,27.50,3.5,4,3,1,1,13,7,2,2,0.01,0.01,0.15,,,,1.66,12.27,55.92,0.6,6.43,4.95,42.61,0.25,,,,,,,
Patrick Mahomes,,0,QB,8000,KC,vs LV,30,28.50,9.4,27,22.4,1,38.17,320.82,2.51,0.59,0.2,4.8,24.45,0.2,4.8,0,0,0,0,0,0,0,0,0,0,0,25.93,25.93,0,11.83,44.73,25.93,25.93,0,100,,63,3.2,20.32,2.5,14,1,1,1,37,6,3,3,36.57,24.22,296.42,0.57,1.57,2.42,106.91,3.82,19.46,0.16,,,,,,,,,,,
Dak Prescott,,0,QB,6700,DAL,@ WAS,29,27.00,9.2,30.3,21.6,1,45.37,350.91,2.28,0.81,0.1159,3.12,14.91,0.27,3.12,0,0,0,0,0,0,0,0,0,0,0,25.46,25.46,0,11.66,43.86,25.46,25.46,0,100,,55,3.8,11.94,1.8,24,9,2,2,84,19,4,4,33.79,22.32,256.16,0.6,2.08,1.65,97.74,3.55,16.96,0.31,,,,,,,,,,,
Austin Ekeler,!,0,RB,8300,LAC,vs NYG,15,26.25,9.6,16.5,22.2,0,0,0,0,0,0.6598,14.63,66.03,0.52,22.98,0.2101,8.35,6.72,59.5,0.5,0,0,0,0,0,0,25.39,25.39,0,10.99,44.59,25.39,25.39,0,100,,41,3.1,16.40,2,13,1,2,2,55,4,5,5,,,,,,,,8.8,39.72,0.31,5.22,4.2,39.47,0.34,,,,,,,
Cooper Kupp,,0,WR,9200,LAR,@ ARI,17,24.00,10.6,14.4,27.1,0,0,0,0,0,0,0,0,0,12.71,0.3953,12.71,9.22,110.72,0.82,0,0,0,0,0,0,25.21,25.21,0,9.31,46.41,25.21,25.21,0,100,,45,2.7,34.30,3.7,2,1,2,2,4,1,6,6,0.05,,,,,,1.49,0.21,1.3,0.01,8.85,6.42,80.79,0.62,,,,,,,
Justin Herbert,,0,QB,7100,LAC,vs NYG,8,26.25,8.5,24.5,25.3,1,39.76,313.76,2.41,0.77,0.1883,4.17,17.43,0.26,4.17,0,0,0,0,0,0,0,0,0,0,0,24.72,24.72,0,11.97,41.72,24.72,24.72,0,100,,65,3.5,24.90,3.5,7,8,3,3,20,15,7,7,39.03,25.86,289.14,0.76,1.81,2.16,100.13,3.49,14.59,0.22,,,,,,,,,,,
Lamar Jackson,!,0,QB,7400,BAL,@ CLE,23,20.50,11.5,22.9,24.3,1,29.23,227.16,1.74,0.74,0.3971,11.38,70.47,0.39,11.38,0,0,0,0,0,0,0,0,0,0,0,24.69,24.69,0,7.44,47.69,24.69,24.69,0,100,,47,3.3,1.18,0.2,31,6,4,4,170,12,8,8,23.96,15.22,178.28,0.61,2.03,1.49,92.18,10.54,65.27,0.36,,,,,,,,,,,
Tyreek Hill,,0,WR,8500,KC,vs LV,10,28.50,11.8,22.9,20.3,0,0,0,0,0,0,0,0,0,11.91,0.312,11.91,8.11,107.69,0.87,0,0,0,0,0,0,24.1,24.1,0,6.4,47.7,24.1,24.1,0,100,,36,2.8,11.60,1.4,38,3,3,3,86,3,9,9,0.01,,,0.01,,,,0.99,7.65,0.06,8,5.45,74.91,0.58,,,,,,,
