,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2020 Avg,2021 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Deebo Samuel,,0,WR,7400,SF,vs LAR,8,23.75,8.8,12,22.4,0,0,0,0,0,0,0,0,0,15.86,0.42,15.86,10.62,155.77,0.64,0,0,0,0,0,0,30.04,30.04,0,16.84,47.64,30.04,30.04,2,0,100,,5,46,4.1,30.30,4.1,7,1,1,11,1,1,0.04,0.02,0.49,,,0.02,4.04,2.73,18.31,0.27,6.33,4.24,64.31,0.24,,,,,,,
Josh Allen,,0,QB,7900,BUF,@ NYJ,29,30.75,10,26.9,26.4,1,44.84,330.28,2.34,0.93,0.3088,7.96,45.59,0.54,7.96,0,0,0,0,0,0,0,0,0,0,0,29.44,29.44,0,14.44,49.44,29.44,29.44,3,0,100,,14,59,3.7,24.94,3.2,2,1,1,6,2,2,33.73,21.23,240.27,0.7,1.96,1.79,91.97,7.08,40.55,0.48,,,,,,,,,,,
Cooper Kupp,,0,WR,9500,LAR,@ SF,11,26.75,10.6,14.4,27.8,0,0,0,0,0,0,0,0,0,14.27,0.3722,14.27,10.35,126.5,0.93,0,0,0,0,0,0,28.58,28.58,0,12.68,49.78,28.58,28.58,5,0,100,,11,45,3,26.20,2.8,1,2,2,1,3,3,0.05,,,,,,1.49,0.21,1.3,0.01,8.85,6.42,80.79,0.62,,,,,,,
Justin Herbert,,0,QB,7300,LAC,vs MIN,9,28.25,8.5,24.5,24.8,1,44.8,353.04,2.46,0.87,0.1777,4.48,18.73,0.28,4.48,0,0,0,0,0,0,0,0,0,0,0,26.64,26.64,0,13.89,43.64,26.64,26.64,14,0,100,,62,65,3.6,13.00,1.8,5,2,2,12,4,4,39.03,25.86,289.14,0.76,1.81,2.16,100.13,3.49,14.59,0.22,,,,,,,,,,,
Austin Ekeler,,0,RB,7600,LAC,vs MIN,17,28.25,9.6,16.5,21.1,0,0,0,0,0,0.6013,15.15,68.38,0.53,23.26,0.181,8.11,6.53,57.85,0.54,0,0,0,0,0,0,25.57,25.57,0,11.17,44.77,25.57,25.57,18,0,100,,51,41,3.4,14.90,2,6,1,1,9,5,5,,,,,,,,8.8,39.72,0.31,5.22,4.2,39.47,0.34,,,,,,,
Tyreek Hill,,0,WR,7700,KC,@ LV,4,27.75,11.8,22.9,21.3,0,0,0,0,0,0,0,0,0,12.66,0.3354,12.66,8.62,113.45,0.92,0,0,0,0,0,0,25.49,25.49,0,7.79,49.09,25.49,25.49,4,0,100,,8,36,3.3,27.50,3.6,4,3,3,8,6,6,0.01,,,0.01,,,,0.99,7.65,0.06,8,5.45,74.91,0.58,,,,,,,
Patrick Mahomes,,0,QB,7200,KC,@ LV,14,27.75,9.4,27,23,1,37.74,320.31,2.5,0.59,0.162,3.81,19.41,0.16,3.81,0,0,0,0,0,0,0,0,0,0,0,25.12,25.12,0,11.02,43.92,25.12,25.12,1,0,100,,1,63,3.5,39.24,5.5,6,3,3,13,7,7,36.57,24.22,296.42,0.57,1.57,2.42,106.91,3.82,19.46,0.16,,,,,,,,,,,
Keenan Allen,,0,WR,7000,LAC,vs MIN,23,28.25,9.4,18.5,17.3,0,0,0,0,0,0,0,0,0,14.56,0.325,14.56,10,110.38,0.63,0,0,0,0,0,0,24.82,24.82,0,10.72,43.62,24.82,24.82,10,0,100,,36,47,3.5,17.80,2.5,9,4,4,15,8,8,0.02,,,,0.01,,0.88,0.17,1.1,,9.62,6.61,77.3,0.41,,,,,,,
Lamar Jackson,,0,QB,7800,BAL,@ MIA,22,27.25,11.5,22.9,27.3,1,30.08,233.79,1.76,0.77,0.3105,10.96,67.87,0.37,10.96,0,0,0,0,0,0,0,0,0,0,0,24.63,24.63,0,7.38,47.63,24.63,24.63,9,0,100,,41,47,3.2,16.42,2.1,3,4,4,7,9,9,23.96,15.22,178.28,0.61,2.03,1.49,92.18,10.54,65.27,0.36,,,,,,,,,,,
Christian McCaffrey,,0,RB,8400,CAR,@ ARI,6,17.25,11,30.1,18.3,0,0,0,0,0,0.6169,15.03,68.91,0.55,23.7,0.2808,8.67,7.04,56.25,0.25,0,0,0,0,0,0,24.36,24.36,0,7.86,46.36,24.36,24.36,5,0,100,,12,52,2.9,26.10,3.1,1,2,2,2,10,10,0.05,0.02,0.79,,,0.02,10.02,13.41,61.48,0.49,7.46,6.06,51.65,0.3,,,,,,,
Tom Brady,,0,QB,7600,TB,@ WAS,31,30.25,8.5,23.2,27.6,1,44.71,345.74,2.35,0.66,0.0882,2.31,3.07,0.15,2.31,0,0,0,0,0,0,0,0,0,0,0,23.78,23.78,0,11.03,40.78,23.78,23.78,13,0,100,,50,60,3.1,15.00,2,4,5,5,9,11,11,38.63,25.09,289.58,0.57,1.64,2.06,99.52,1.85,2.46,0.12,,,,,,,,,,,
Najee Harris,,0,RB,7900,PIT,vs DET,25,22.75,8.4,0,20.6,0,0,0,0,0,0.7924,16.1,60.94,0.34,26.63,0.2384,10.53,8.47,50.69,0.35,0,0,0,0,0,0,23.77,23.77,0,11.17,40.57,23.77,23.77,10,0,100,,23,47,3,20.30,2.6,5,3,3,6,12,12,,,,,,,,16.61,62.87,0.35,4.7,3.78,22.65,0.17,,,,,,,
D'Andre Swift,,0,RB,6800,DET,@ PIT,5,17.75,7.8,15,18.3,0,0,0,0,0,0.6916,14.29,66.99,0.68,22.4,0.2385,8.11,6.4,49.28,0.26,0,0,0,0,0,0,23.67,23.67,0,11.97,39.27,23.67,23.67,11,0,100,,26,51,3.5,19.50,2.9,11,4,4,17,13,13,0.03,,,,,,1.37,10.07,47.21,0.48,5.07,4,30.55,0.17,,,,,,,
Davante Adams,,0,WR,7900,GB,vs SEA,7,26.00,10.6,26.5,20.5,0,0,0,0,0,0,0,0,0,12.42,0.4005,12.42,8.29,98.71,0.9,0,0,0,0,0,0,23.56,23.56,0,7.66,44.76,23.56,23.56,16,0,100,,52,45,3,14.80,1.9,2,5,5,6,14,14,0.01,0.01,0.3,,0.01,,1.97,0.02,,,9.5,6.34,76.98,0.71,,,,,,,
Dak Prescott,,0,QB,6900,DAL,vs ATL,30,31.00,9.2,30.3,23.6,1,38.47,296.12,1.86,0.68,0.109,3.53,16.86,0.31,3.53,0,0,0,0,0,0,0,0,0,0,0,22.15,22.15,0,8.35,40.55,22.15,22.15,2,0,100,,10,55,3.2,26.34,3.8,9,6,6,16,15,15,33.79,22.32,256.16,0.6,2.08,1.65,97.74,3.55,16.96,0.31,,,,,,,,,,,
Aaron Jones,!,0,RB,6900,GB,vs SEA,16,26.00,11.2,18.3,16.9,0,0,0,0,0,0.5676,15.23,77.8,0.76,21.23,0.1934,6,4.43,34.57,0.27,0,0,0,0,0,0,21.85,21.85,0,5.05,44.25,21.85,21.85,19,0,100,,65,33,3.2,12.60,1.8,10,5,5,16,16,16,,,,,,,,12.3,62.83,0.61,3.83,2.83,22.5,0.18,,,,,,,
Chris Godwin,,0,WR,7100,TB,@ WAS,32,30.25,9.9,16,19.3,0,0,0,0,0,0,0,0,0,11.01,0.2462,11.01,7.72,101.48,0.64,0,0,0,0,0,0,21.71,21.71,0,6.86,41.51,21.71,21.71,27,0,100,,64,32,3.1,12.70,1.8,8,6,6,14,17,17,,,,,,,,0.08,0.46,0.01,6.87,4.82,65.26,0.39,,,,,,,
Stefon Diggs,,0,WR,7500,BUF,@ NYJ,13,30.75,9.9,22,16,0,0,0,0,0,0,0,0,0,11.48,0.256,11.48,7.86,95.59,0.65,0,0,0,0,0,0,21.32,21.32,0,6.47,41.12,21.32,21.32,1,0,100,,2,41,2.8,33.20,4.4,6,7,7,10,18,18,0.02,0.01,0.13,,0.02,,1.02,0.29,1.51,0.01,8.38,5.74,72.07,0.47,,,,,,,
Matthew Stafford,,0,QB,7000,LAR,@ SF,13,26.75,7.4,17.5,24.2,1,38.35,299.65,2.11,0.81,0.108,3.38,11.46,0.06,3.38,0,0,0,0,0,0,0,0,0,0,0,21.12,21.12,0,10.02,35.92,21.12,21.12,16,0,100,,72,61,3,11.82,1.7,8,7,7,15,19,19,35.51,23.47,269.2,0.75,2.46,1.8,98.41,2.13,7.22,0.04,,,,,,,,,,,
Kirk Cousins,,0,QB,6100,MIN,@ LAC,3,25.25,7.9,21.2,21.3,1,38.38,305.22,2.04,0.74,0.065,1.97,6.29,0.14,1.97,0,0,0,0,0,0,0,0,0,0,0,21.1,21.1,0,9.25,36.9,21.1,21.1,8,0,100,,31,60,3.5,18.46,3,13,8,8,24,20,20,34.26,23.1,263.19,0.66,2.08,1.81,101.34,2.1,6.7,0.15,,,,,,,,,,,
