,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2020 Avg,2021 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Score,Val,FPs,Salary,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Patrick Mahomes,,0,QB,8100,KC,@ PHI,21,30.50,9.4,27,29.7,1,41.17,347.25,2.78,0.63,0.1455,4.32,21.69,0.19,4.32,0,0,0,0,0,0,0,0,0,0,0,27.69,27.69,0,13.59,46.49,27.69,27.69,0,100,,63,3.4,32.72,4,2,1,1,1,7,4,1,1,36.58,24.29,297.48,0.56,1.56,2.43,107.4,3.82,19.18,0.17,,,,,,,,,,,
Jalen Hurts,,0,QB,6900,PHI,vs KC,27,23.50,12,8.9,25.4,1,39.1,285.24,1.39,0.91,0.3999,11.23,62.25,0.75,11.23,0,0,0,0,0,0,0,0,0,0,0,26.78,26.78,0,8.78,50.78,26.78,26.78,0,100,,28,3.9,31.18,4.5,3,8,2,2,9,15,2,2,21.44,12.78,157.47,0.5,1.38,0.75,69.48,7.47,41.41,0.5,,,,,,,,,,,
Davante Adams,,0,WR,7900,GB,vs PIT,9,25.50,10.7,26.5,22.6,0,0,0,0,0,0,0,0,0,14.41,0.4652,14.41,9.64,112.49,0.96,0,0,0,0,0,0,26.65,26.65,0,10.6,48.05,26.65,26.65,0,100,,45,3.4,12.40,1.6,31,2,1,1,79,6,3,3,0.01,0.01,0.3,,0.01,,2.01,,,,9.46,6.33,77.13,0.72,,,,,,,
Josh Allen,,0,QB,8000,BUF,vs HOU,30,32.00,10.1,26.9,25.4,1,41.01,305.15,2.19,0.87,0.2155,6.29,35.92,0.43,6.29,0,0,0,0,0,0,0,0,0,0,0,26.27,26.27,0,11.12,46.47,26.27,26.27,0,100,,58,3.3,21.02,2.6,14,2,3,3,36,5,4,4,33.28,20.96,238.35,0.71,1.94,1.8,92.28,7.01,40.03,0.48,,,,,,,,,,,
Austin Ekeler,,0,RB,7600,LAC,vs LV,32,27.25,9.5,16.5,19,0,0,0,0,0,0.6431,17.74,80.38,0.58,25.27,0.1652,7.53,6.04,54.43,0.48,0,0,0,0,0,0,25.88,25.88,0,11.63,44.88,25.88,25.88,0,100,,40,3.4,32.50,4.3,2,6,1,1,8,9,5,5,,,,,,,,8.81,39.92,0.29,5.15,4.13,39.22,0.33,,,,,,,
Justin Herbert,,0,QB,7000,LAC,vs LV,22,27.25,8.5,24.5,23,1,45.6,356.4,2.56,0.9,0.092,2.54,11.03,0.17,2.54,0,0,0,0,0,0,0,0,0,0,0,25.72,25.72,0,12.97,42.72,25.72,25.72,0,100,,65,3.7,21.28,3,13,7,4,4,34,14,6,6,38.86,25.86,287.46,0.77,1.86,2.2,100.5,3.54,15.37,0.23,,,,,,,,,,,
Dak Prescott,,0,QB,6700,DAL,vs CAR,15,27.75,9.2,30.3,20.3,1,42.29,325.41,2.11,0.75,0.16,4.76,22.74,0.42,4.76,0,0,0,0,0,0,0,0,0,0,0,25.5,25.5,0,11.7,43.9,25.5,25.5,0,100,,55,3.8,27.02,4,7,10,5,5,15,17,7,7,33.79,22.32,256.16,0.6,2.08,1.65,97.74,3.55,16.96,0.31,,,,,,,,,,,
Alvin Kamara,,0,RB,8400,NO,vs NYG,4,24.75,10.9,24.5,15.3,0,0,0,0,0,0.557,16.08,73.38,0.79,23.86,0.263,7.78,6.05,52.17,0.29,0,0,0,0,0,0,25.09,25.09,0,8.74,46.89,25.09,25.09,0,100,,47,3,15.00,1.8,17,3,2,2,68,3,8,8,0.01,0.01,0.16,,,,1.68,12.24,55.86,0.6,6.42,4.99,42.98,0.25,,,,,,,
Derrick Henry,,0,RB,8800,TEN,@ NYJ,18,24.75,12.3,22,27.9,0,0,0,0,0,0.7261,24.51,117.98,1.06,28.65,0.1389,4.14,3.17,28.85,0.09,0,0,0,0,0,0,24.75,24.75,0,6.3,49.35,24.75,24.75,0,100,,22,2.8,28.70,3.3,4,1,3,3,13,1,9,9,0.05,0.04,0.23,,,0.02,8.4,16.84,81.06,0.73,1.49,1.14,9.83,0.03,,,,,,,
Tyreek Hill,,0,WR,8000,KC,@ PHI,23,30.50,11.8,22.9,18.9,0,0,0,0,0,0.0428,1.27,9.91,0.09,12.72,0.2782,11.45,7.81,103.2,0.84,0,0,0,0,0,0,24.7,24.7,0,7,48.3,24.7,24.7,0,100,,36,3.1,50.60,6.3,1,1,2,2,1,5,10,10,0.01,,,0.01,,,,1,7.8,0.07,7.98,5.44,74.5,0.59,,,,,,,
Cooper Kupp,,0,WR,7800,LAR,vs ARI,6,29.00,10.7,14.4,32.4,0,0,0,0,0,0,0,0,0,11.79,0.3351,11.79,8.55,103.69,0.83,0,0,0,0,0,0,23.9,23.9,0,7.85,45.3,23.9,23.9,0,100,,45,3.1,11.40,1.5,35,3,3,3,86,7,11,11,0.05,,,,,,1.53,0.2,1.08,,8.76,6.35,80.73,0.63,,,,,,,
Najee Harris,,0,RB,6800,PIT,@ GB,2,19.50,8.6,0,18.7,0,0,0,0,0,1,19.61,73.94,0.39,28.63,0.2553,9.02,7.22,47.19,0.33,0,0,0,0,0,0,23.65,23.65,0,10.75,40.85,23.65,23.65,0,100,,48,3.5,21.10,3.1,9,8,4,4,35,16,12,12,,,,,,,,16.62,62.67,0.33,5,4,24.57,0.19,,,,,,,
Deebo Samuel,,0,WR,6500,SF,vs SEA,1,27.00,8.8,12,20.7,0,0,0,0,0,0.0708,1.78,12.47,0.18,12.67,0.2673,10.89,7.27,108.01,0.44,0,0,0,0,0,0,23.04,23.04,0,9.84,40.64,23.04,23.04,0,100,,45,3.5,38.70,6,2,14,4,4,2,19,13,13,0.04,0.02,0.51,,,0.02,4.21,2.7,18.91,0.28,6.28,4.19,63.04,0.23,,,,,,,
Lamar Jackson,,0,QB,7500,BAL,@ DEN,3,21.50,11.3,22.9,25.8,1,23.88,188.07,1.43,0.58,0.396,12.04,73.83,0.4,12.04,0,0,0,0,0,0,0,0,0,0,0,22.45,22.45,0,5.5,45.05,22.45,22.45,0,100,,48,3,22.44,3,12,4,6,6,29,10,14,14,23.8,15.11,178.2,0.58,2,1.46,92.35,10.52,64.51,0.35,,,,,,,,,,,
Travis Kelce,,0,TE,8100,KC,@ PHI,21,30.50,9.3,23.5,24.3,0,0,0,0,0,0,0,0,0,11.45,0.2782,11.45,8.16,100.07,0.7,0,0,0,0,0,0,22.37,22.37,0,8.42,40.97,22.37,22.37,0,100,,47,2.8,6.30,0.8,25,1,1,1,133,4,15,15,0.03,0.02,0.05,0.01,,0.01,1.9,0.06,0.09,0.02,8.25,5.88,74.68,0.51,,,,,,,
JaMarr Chase,,0,WR,5900,CIN,vs JAC,19,26.50,12.2,0,19.9,0,0,0,0,0,0,0,0,0,10.45,0.2924,10.45,6.73,108.51,0.77,0,0,0,0,0,0,22.2,22.2,0,3.9,46.6,22.2,22.2,0,100,,36,3.8,13.70,2.3,27,20,5,5,73,25,16,16,,,,,,,,0.61,2.48,,8.17,5.26,87.22,0.65,,,,,,,
Keenan Allen,,0,WR,6800,LAC,vs LV,26,27.25,9.4,18.5,19.6,0,0,0,0,0,0,0,0,0,12.83,0.2813,12.83,8.82,97.85,0.56,0,0,0,0,0,0,21.97,21.97,0,7.87,40.77,21.97,21.97,0,100,,47,3.2,10.60,1.6,41,11,6,6,96,16,17,17,0.02,,,,0.01,,0.88,0.17,1.1,,9.62,6.61,77.3,0.41,,,,,,,
DK Metcalf,,0,WR,7200,SEA,@ SF,7,25.00,8.8,18.5,17.7,0,0,0,0,0,0,0,0,0,11.5,0.3613,11.5,7.06,97.12,0.85,0,0,0,0,0,0,21.87,21.87,0,8.67,39.47,21.87,21.87,0,100,,42,3,16.50,2.3,21,7,7,7,62,12,18,18,,,,,,,,0.06,0.31,,7.33,4.5,65.85,0.59,,,,,,,
Mike Williams,,0,WR,7200,LAC,vs LV,26,27.25,9.2,11.4,26.8,0,0,0,0,0,0,0,0,0,11.87,0.2604,11.87,6.87,103.06,0.75,0,0,0,0,0,0,21.68,21.68,0,7.88,40.08,21.68,21.68,0,100,,19,3,2.10,0.3,83,7,8,8,169,12,19,19,,,,,,,,0.11,0.38,0.01,5.75,3.33,52.6,0.36,,,,,,,
Russell Wilson,,0,QB,7100,SEA,@ SF,4,25.00,8.5,24.2,23.3,1,31.83,264.26,2.16,0.58,0.205,4.4,23.42,0.1,4.4,0,0,0,0,0,0,0,0,0,0,0,21.57,21.57,0,8.82,38.57,21.57,21.57,0,100,,59,3,22.56,3.2,11,6,7,7,28,13,20,20,31.23,20.32,242.74,0.57,2.8,1.92,102.48,4.72,25.12,0.11,,,,,,,,,,,
Tom Brady,,0,QB,7200,TB,@ NE,1,28.00,8.5,23.2,31.5,1,41.06,325.01,2.26,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,21.43,0,8.68,38.43,21.43,21.43,0,100,,60,3,11.06,1.5,28,5,8,8,91,12,21,21,38.5,24.93,288.98,0.57,1.63,2.06,99.41,1.87,2.5,0.12,,,,,,,,,,,
