,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Actual Data,,Position Rankings,,,,Overall Rankings,,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2020 Avg,2021 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Score,Val,FPs,Salary,FC Proj,My Proj,FPs,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Patrick Mahomes,,0,QB,8400,KC,@ TEN,28,31.50,9.4,27,28.6,1,39.92,337.47,2.64,0.61,0.325,9.95,49.96,0.44,9.95,0,0,0,0,0,0,0,0,0,0,0,31.08,31.08,0,16.98,49.88,31.08,31.08,0,100,,63,3.7,9.74,1.2,21,2,1,1,93,5,1,1,36.58,24.29,297.48,0.56,1.56,2.43,107.4,3.82,19.18,0.17,,,,,,,,,,,
Deebo Samuel,,0,WR,7300,SF,vs IND,31,22.25,8.8,12,23.4,0,0,0,0,0,0,0,0,0,14.73,0.4098,14.73,9.83,147.52,0.58,0,0,0,0,0,0,28.06,28.06,0,14.86,45.66,28.06,28.06,0,100,,45,3.8,25.00,3.4,7,5,1,1,16,10,2,2,0.04,0.02,0.51,,,0.02,4.21,2.7,18.91,0.28,6.28,4.19,63.04,0.23,,,,,,,
Cooper Kupp,,0,WR,8400,LAR,vs DET,25,33.75,10.7,14.4,27,0,0,0,0,0,0,0,0,0,13.63,0.357,13.63,9.88,120.48,0.95,0,0,0,0,0,0,27.63,27.63,0,11.58,49.03,27.63,27.63,0,100,,45,3.3,40.60,4.8,1,3,2,2,1,5,3,3,0.05,,,,,,1.53,0.2,1.08,,8.76,6.35,80.73,0.63,,,,,,,
Davante Adams,,0,WR,8900,GB,vs WAS,26,28.00,10.7,26.5,22.3,0,0,0,0,0,0,0,0,0,14.53,0.4465,14.53,9.72,114.45,0.99,0,0,0,0,0,0,27.11,27.11,0,11.06,48.51,27.11,27.11,0,100,,45,3,19.60,2.2,10,1,3,3,34,2,4,4,0.01,0.01,0.3,,0.01,,2.01,,,,9.46,6.33,77.13,0.72,,,,,,,
Jalen Hurts,,0,QB,6900,PHI,@ LV,23,23.50,12,8.9,26.2,1,38.24,281.35,1.33,0.89,0.45,11.09,61.48,0.74,11.09,0,0,0,0,0,0,0,0,0,0,0,26.27,26.27,0,8.27,50.27,26.27,26.27,0,100,,28,3.8,24.54,3.6,6,7,2,2,18,13,5,5,21.44,12.78,157.47,0.5,1.38,0.75,69.48,7.47,41.41,0.5,,,,,,,,,,,
Alvin Kamara,,0,RB,8900,NO,@ SEA,17,23.25,10.9,24.5,18,0,0,0,0,0,0.6976,20.43,93.24,1,26.98,0.2264,6.55,5.09,44.61,0.23,0,0,0,0,0,0,26.26,26.26,0,9.91,48.06,26.26,26.26,0,100,,47,3,36.90,4.1,1,2,1,1,3,2,6,6,0.01,0.01,0.16,,,,1.68,12.24,55.86,0.6,6.42,4.99,42.98,0.25,,,,,,,
DJ Moore,,0,WR,7100,CAR,@ NYG,28,23.00,7.5,14.9,19.4,0,0,0,0,0,0,0,0,0,16.6,0.4625,16.6,10.01,128.77,0.45,0,0,0,0,0,0,25.59,25.59,0,14.34,40.59,25.59,25.59,0,100,,46,3.6,13.30,1.9,22,6,4,4,64,11,7,7,0.02,,,,,,0.61,0.46,4.45,,7.83,4.72,67.68,0.23,,,,,,,
Tyreek Hill,,0,WR,8600,KC,@ TEN,32,31.50,11.8,22.9,24.1,0,0,0,0,0,0,0,0,0,12.32,0.3086,12.32,8.4,110.81,0.92,0,0,0,0,0,0,25,25,0,7.3,48.6,25,25,0,100,,36,2.9,12.70,1.5,26,2,5,5,70,3,8,8,0.01,,,0.01,,,,1,7.8,0.07,7.98,5.44,74.5,0.59,,,,,,,
Kyler Murray,,0,QB,8500,ARI,vs HOU,25,33.75,8.8,25.4,26.2,1,41.28,298.01,1.76,0.91,0.2226,7.13,40.44,0.46,7.13,0,0,0,0,0,0,0,0,0,0,0,24.85,24.85,0,11.65,42.45,24.85,24.85,0,100,,61,2.9,22.44,2.6,10,1,3,3,24,4,9,9,34.5,22.94,244.94,0.76,2.22,1.52,94.3,6.52,36.98,0.42,,,,,,,,,,,
Derrick Henry,,0,RB,9200,TEN,vs KC,13,27.50,12.3,22,30.9,0,0,0,0,0,0.894,24.36,117.26,1.06,27.83,0.1111,3.47,2.65,22.12,0.08,0,0,0,0,0,0,23.43,23.43,0,4.98,48.03,23.43,23.43,0,100,,22,2.5,16.40,1.8,14,1,2,2,47,1,10,10,0.05,0.04,0.23,,,0.02,8.4,16.84,81.06,0.73,1.49,1.14,9.83,0.03,,,,,,,
