player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
DeSean Jackson,4363,WR,LA,1,0,0,,0,0,26,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Calais Campbell,4364,DI,BLT,8,8,0,,1,0,3,72.9,84.5,85.5,73.2,78.4,45.7,7,14,0,,12.9,4,0,1,0.0,0,0,1,0,0,361,360,67,128,45,120,0,1,253,108,0,15,19,0,21,0,0,0,
Malcolm Jenkins,4937,S,NO,8,10,0,70.0,0,0,20,65.5,70.1,86.0,60.1,76.2,68.7,0,1,1,31,9.3,5,3,1,83.7,21,1,139,17,316,517,68,0,0,68,0,182,449,33,168,111,16,39,30,2,1,188,80,9.0
Jason McCourty,5127,S,MIA,7,5,0,71.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,0,0,0,25,16.0,4,3,0,114.6,10,0,76,22,190,312,6,0,0,6,0,183,306,4,118,25,3,16,14,0,1,98,29,9.8
Steve McLendon,5232,DI,TB,6,0,0,,0,0,30,59.5,49.7,80.0,55.5,47.6,26.7,1,2,0,,25.0,1,0,0,0.0,0,0,0,0,1,99,99,2,74,0,23,0,0,67,31,0,2,3,0,3,0,0,0,
Ndamukong Suh,5527,DI,TB,8,4,1,100.0,0,0,30,57.9,52.4,65.1,53.8,56.4,42.8,5,11,0,5,16.7,2,0,1,87.5,1,2,4,0,6,332,328,5,170,25,128,0,4,250,76,0,8,6,1,18,0,5,2,5.0
Gerald McCoy,5528,DI,LV,1,0,0,,0,0,23,,48.2,73.2,55.2,53.3,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,9,9,3,6,0,0,0,0,5,4,0,0,0,0,0,0,0,0,
Joe Haden,5532,CB,PIT,7,8,0,65.5,0,1,25,64.4,63.2,84.1,,53.8,36.4,0,0,0,50,21.2,7,4,0,106.7,19,0,40,403,282,450,3,0,0,3,0,0,447,0,168,4,5,18,29,0,1,268,83,14.1
Tyson Alualu,5535,DI,PIT,2,2,0,,0,0,25,,59.7,78.7,59.4,58.2,40.8,1,1,0,,16.7,1,0,0,0.0,0,0,0,0,0,57,57,7,40,1,9,0,0,40,17,0,1,3,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,2,0,0,,0,0,24,,62.6,79.9,60.6,61.0,25.6,1,1,0,,50.0,2,0,0,0.0,0,0,0,0,0,50,50,0,1,36,13,0,0,32,18,0,1,2,0,2,0,0,0,
