player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
DeSean Jackson,4363,WR,LV,1,0,0,,0,0,23,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Calais Campbell,4364,DI,BLT,13,10,1,,1,0,3,70.4,84.6,86.9,73.2,79.4,46.8,10,17,0,,12.2,5,0,1,0.0,0,1,1,0,1,516,515,97,188,64,166,0,1,358,157,0,20,26,0,28,0,0,0,
Malcolm Jenkins,4937,S,NO,14,15,0,68.6,0,0,20,54.5,59.8,88.5,56.0,70.2,65.0,1,2,1,31,10.8,9,4,2,92.8,35,1,270,37,558,931,125,0,0,125,0,297,806,46,327,202,24,59,51,4,2,350,162,10.0
Jason McCourty,5127,S,MIA,7,5,0,71.4,0,0,17,73.5,72.1,81.7,54.5,59.2,60.8,0,0,0,25,16.0,4,3,0,114.6,10,0,76,22,190,312,6,0,0,6,0,183,306,4,118,25,3,16,14,0,1,98,29,9.8
Steve McLendon,5232,DI,TB,10,2,0,,1,1,30,64.1,65.0,52.0,66.1,58.2,39.5,3,7,1,,14.3,1,0,1,0.0,0,1,0,0,3,200,200,14,148,0,38,0,0,131,66,0,3,4,0,11,0,0,0,
Ndamukong Suh,5527,DI,TB,15,7,1,100.0,0,0,30,57.6,53.5,64.8,54.9,56.1,40.6,7,22,0,5,21.7,5,0,2,87.5,1,6,4,0,8,645,641,9,314,37,281,0,4,467,170,0,14,11,1,35,0,5,2,5.0
Gerald McCoy,5528,DI,LV,1,0,0,,0,0,23,,48.2,73.2,55.2,53.3,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,9,9,3,6,0,0,0,0,5,4,0,0,0,0,0,0,0,0,
Joe Haden,5532,CB,PIT,10,9,0,70.0,0,1,25,63.6,63.5,84.8,,58.5,44.8,0,0,0,50,17.5,7,5,0,120.6,28,0,46,480,329,536,3,0,0,3,0,0,533,0,207,7,8,24,40,0,3,338,123,12.1
Tyson Alualu,5535,DI,PIT,2,2,0,,0,0,25,,59.7,78.7,59.4,58.2,40.8,1,1,0,,16.7,1,0,0,0.0,0,0,0,0,0,57,57,7,40,1,9,0,0,40,17,0,1,3,0,2,0,0,0,
Brandon Graham,5538,ED,PHI,2,0,0,,0,0,24,,62.6,79.9,60.6,61.0,25.6,1,1,0,,50.0,2,0,0,0.0,0,0,0,0,0,50,50,0,1,36,13,0,0,32,18,0,1,2,0,2,0,0,0,
Jason Pierre-Paul,5540,ED,TB,12,7,4,100.0,0,1,30,64.6,48.7,52.1,52.7,44.8,52.2,3,18,0,24,18.9,7,0,3,134.2,10,3,12,0,49,601,585,0,7,568,10,0,16,388,164,4,14,23,10,24,1,82,56,8.2
Kareem Jackson,5545,S,DEN,14,10,0,74.1,0,0,10,49.7,53.9,93.6,61.0,60.6,53.0,0,0,1,23,16.8,16,1,0,114.9,20,1,222,2,498,830,3,0,0,3,0,507,827,2,330,96,15,69,27,1,3,191,93,9.6
Devin McCourty,5552,S,NE,15,14,0,42.9,0,0,19,76.8,76.8,87.4,52.3,72.9,72.0,0,1,3,33,9.7,6,8,0,23.4,9,0,163,13,528,904,8,0,0,8,0,666,896,6,370,54,1,42,21,1,0,127,28,14.1
Jerry Hughes,5556,ED,BUF,15,3,3,50.0,2,2,4,55.9,75.7,39.5,83.1,61.2,26.8,3,33,0,18,23.5,4,0,4,63.5,2,2,3,0,19,505,501,0,2,487,12,0,4,312,174,1,9,10,4,38,0,19,11,9.5
Linval Joseph,5571,DI,LAC,12,14,0,,1,0,27,67.1,62.2,57.6,82.4,48.5,65.2,1,14,0,,3.6,2,0,2,0.0,0,1,0,0,0,488,488,287,201,0,0,0,0,227,261,0,26,39,0,16,0,0,0,
Carlos Dunlap,5579,ED,SEA,15,4,5,100.0,0,1,29,61.6,72.5,61.0,67.1,75.2,82.8,4,18,0,4,0.0,0,0,2,79.2,3,8,0,0,38,423,416,0,2,410,4,0,7,274,111,7,16,20,3,30,0,8,6,2.7
Corey Peters,5607,DI,ARZ,12,2,0,,0,0,1,55.0,59.2,63.9,63.8,57.0,75.0,0,7,0,,0.0,0,0,1,0.0,0,0,2,0,4,299,297,83,202,1,11,0,2,141,154,0,12,15,0,7,0,0,0,
Andre Roberts,5612,WR,LAC,1,0,0,,0,0,27,60.7,70.2,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Everson Griffen,5624,ED,MIN,9,4,0,100.0,0,1,18,60.9,63.7,4.7,79.0,46.0,28.0,6,22,0,5,40.0,6,0,7,87.5,1,5,4,0,8,457,453,0,22,374,57,0,4,309,140,0,10,5,1,33,0,5,2,5.0
Al Woods,5646,DI,SEA,15,13,3,100.0,0,0,29,54.5,77.3,74.7,63.1,80.6,45.5,3,13,0,10,9.8,5,0,1,108.3,1,2,1,0,7,592,591,302,200,28,61,0,1,292,293,0,30,33,1,18,0,10,5,10.0
Anthony Levine,6013,S,BLT,3,0,0,83.3,0,0,3,38.9,44.3,75.9,51.7,73.2,77.6,0,0,0,52,0.0,0,1,0,118.8,5,0,18,3,21,32,5,0,0,5,0,0,27,4,7,5,1,4,6,0,0,79,29,15.8
Andrew Sendejo,6118,S,IND,12,6,0,43.8,3,1,14,65.1,62.9,55.8,55.5,57.5,50.2,0,1,0,31,20.0,9,3,3,95.8,7,0,123,5,399,610,27,0,0,27,0,401,583,11,200,53,8,30,16,1,3,68,31,9.7
Von Miller,6154,ED,LA,13,7,0,100.0,1,0,26,91.0,86.4,30.9,73.8,85.6,60.4,6,40,0,7,18.9,7,1,5,79.2,4,6,2,0,44,646,631,0,0,631,0,0,15,367,235,13,26,23,4,52,0,9,11,2.3
Patrick Peterson,6157,CB,MIN,11,4,0,60.0,0,0,18,60.7,63.9,87.7,,73.0,50.7,0,0,0,77,15.4,6,3,2,101.4,33,0,45,670,444,727,2,0,0,2,0,0,725,0,283,10,13,29,55,0,3,411,250,12.5
J.J. Watt,6163,DI,ARZ,7,5,2,,0,1,1,59.1,79.5,66.8,83.1,62.9,27.1,11,16,0,,28.6,6,0,1,0.0,0,1,3,0,4,341,338,9,117,78,134,0,3,217,120,0,11,10,0,28,0,0,0,
Robert Quinn,6166,ED,CHI,14,3,0,33.3,2,3,6,74.0,68.9,26.3,76.4,55.6,58.3,3,23,0,-4,23.1,9,0,6,42.4,1,16,1,2,40,680,662,0,3,656,3,0,18,367,273,15,33,27,3,42,0,-4,0,-4.0
Ryan Kerrigan,6168,ED,PHI,14,0,0,,0,0,24,70.6,64.2,86.5,61.3,58.3,73.4,1,14,0,,0.0,0,0,0,0.0,0,0,1,0,2,280,278,0,9,233,36,0,2,165,113,1,2,3,0,15,0,0,0,
Cameron Jordan,6176,ED,NO,14,6,2,,0,2,20,86.7,81.6,81.8,66.4,85.2,72.8,11,25,0,,6.8,3,0,1,0.0,0,8,2,0,10,747,745,1,12,701,31,0,2,489,248,0,36,35,0,44,0,0,0,
Jimmy Smith,6179,CB,BLT,8,1,0,42.9,0,0,3,62.4,64.3,82.3,56.2,69.3,82.7,0,0,0,11,10.0,1,2,1,52.1,6,0,12,95,105,159,2,0,0,2,0,36,157,2,52,14,2,8,14,0,0,48,19,8.0
Cameron Heyward,6183,DI,PIT,15,22,6,,0,1,25,67.9,90.9,41.6,84.2,89.4,77.1,6,36,1,,2.8,2,0,5,0.0,0,9,12,0,0,843,831,59,412,106,254,0,12,502,341,0,39,48,0,51,0,0,0,
Jabaal Sheard,6189,ED,MIA,1,1,0,,0,0,17,60.0,46.0,0.0,52.6,67.2,66.8,0,0,0,,0.0,0,0,1,0.0,0,0,1,1,1,13,11,0,4,5,2,0,2,8,4,0,0,0,0,0,0,0,0,
Justin Houston,6222,ED,BLT,13,4,0,100.0,0,1,3,76.8,77.7,74.0,78.6,56.0,32.0,12,19,0,29,22.6,7,1,1,118.8,2,6,2,1,24,493,490,0,3,476,11,0,3,335,134,0,21,20,2,37,0,56,56,28.0
K.J. Wright,6251,LB,LV,15,18,0,100.0,0,0,23,53.0,59.6,83.4,52.1,64.8,58.3,0,2,0,29,11.1,6,0,1,131.5,14,0,200,3,175,377,135,0,0,135,0,0,242,4,198,38,19,30,14,2,1,138,98,9.9
Taiwan Jones,6277,HB,BUF,1,0,0,,0,0,4,60.7,70.2,60.0,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Buster Skrine,6289,CB,TEN,4,3,0,60.0,1,0,31,68.3,67.2,80.8,52.4,59.0,40.4,0,1,1,41,19.0,4,2,1,61.9,12,0,14,82,130,183,0,0,0,0,0,3,183,4,49,84,7,14,20,1,0,147,54,12.3
