"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Pittsburgh Steelers",PIT,"at LV","5 out of 5 stars","A+","8.3","+0.3","50% (8/16)"
"2","Philadelphia Eagles",PHI,"vs. CLE","5 out of 5 stars","A","7.0","-2.2","33% (5/15)"
"3","Houston Texans",HOU,"at NE","5 out of 5 stars","A","6.8","+0.9","50% (8/16)"
"4","Los Angeles Chargers",LAC,"at DEN","3 out of 5 stars","A-","6.8","+0.7","50% (8/16)"
"5","Chicago Bears",CHI,"vs. JAC","3 out of 5 stars","A-","6.8","+3.8","68% (11/16)"
"6","Denver Broncos",DEN,"vs. LAC","3 out of 5 stars","B+","6.5","+3.3","75% (12/16)"
"7","Indianapolis Colts",IND,"at TEN","5 out of 5 stars","B+","6.5","+1.5","50% (8/16)"
"8","Tampa Bay Buccaneers",TB,"at NO","3 out of 5 stars","B","6.5","-0.7","23% (4/17)"
"9","San Francisco 49ers",SF,"at SEA","3 out of 5 stars","B","6.3","+1.8","50% (8/16)"
"10","Buffalo Bills",BUF,"at NYJ","2 out of 5 stars","B","6.4","+0.7","37% (6/16)"
"11","Atlanta Falcons",ATL,"at CAR","4 out of 5 stars","B-","6.3","0.0","43% (7/16)"
"12","Green Bay Packers",GB,"vs. ARI","2 out of 5 stars","B-","6.3","+1.6","62% (10/16)"
"13","New York Jets",NYJ,"vs. BUF","1 out of 5 stars","C+","6.2","+1.8","62% (10/16)"
"14","Cincinnati Bengals",CIN,"at NYG","5 out of 5 stars","C","6.1","-1.3","37% (6/16)"
"15","Baltimore Ravens",BAL,"vs. WAS","1 out of 5 stars","C","5.9","+2.7","62% (10/16)"
"16","New England Patriots",NE,"vs. HOU","2 out of 5 stars","C","6.1","+1.0","50% (8/16)"
"17","Las Vegas Raiders",LV,"vs. PIT","2 out of 5 stars","C","5.9","+2.0","56% (9/16)"
"18","Tennessee Titans",TEN,"vs. IND","2 out of 5 stars","C","5.8","-0.4","53% (8/15)"
"19","Jacksonville Jaguars",JAC,"at CHI","3 out of 5 stars","D","5.8","-0.7","31% (5/16)"
"20","Seattle Seahawks",SEA,"vs. SF","1 out of 5 stars","D","5.7","-0.6","52% (9/17)"
"21","Detroit Lions",DET,"at DAL","1 out of 5 stars","D","5.6","-0.7","40% (6/15)"
"22","New Orleans Saints",NO,"vs. TB","2 out of 5 stars","D","5.6","+1.1","43% (7/16)"
"23","Cleveland Browns",CLE,"at PHI","3 out of 5 stars","D-","5.4","+2.1","70% (12/17)"
"24","New York Giants",NYG,"vs. CIN","3 out of 5 stars","F","5.2","+2.5","56% (9/16)"
"25","Dallas Cowboys",DAL,"vs. DET","2 out of 5 stars","F","5.1","-0.1","37% (6/16)"
"26","Arizona Cardinals",ARI,"at GB","3 out of 5 stars","F","5.0","-0.9","37% (6/16)"
"27","Carolina Panthers",CAR,"vs. ATL","1 out of 5 stars","F","4.9","-2.4","25% (4/16)"
"28","Washington Commanders",WAS,"at BAL","1 out of 5 stars","F","4.8","-2.8","37% (6/16)"
