"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Lamar Jackson",BAL,"vs. CLE","4 out of 5 stars","A+","23.3","+3.6","75% (12/16)","4%","Great"
"2","Baker Mayfield",TB,"vs. NO","2 out of 5 stars","A","22.2","+5.0","81% (13/16)","2%","Great"
"3","Jayden Daniels",WAS,"at DAL","4 out of 5 stars","A","21.4","+2.0","56% (9/16)","10%","Average"
"4","Joe Burrow",CIN,"at PIT","2 out of 5 stars","A","20.4","+3.9","68% (11/16)","2%","Average"
"5","Sam Darnold",MIN,"at DET","2 out of 5 stars","A","19.6","+2.4","75% (12/16)","3%","Good"
"6","Jared Goff",DET,"vs. MIN","2 out of 5 stars","A","19.0","+4.0","62% (10/16)","2%","Good"
"7","Bo Nix",DEN,"vs. KC","2 out of 5 stars","B+","18.2","+2.1","62% (10/16)","8%","Average"
"8","Justin Herbert",LAC,"at LV","4 out of 5 stars","B","17.6","+0.2","50% (8/16)","3%","Average"
"9","Kyler Murray",ARI,"vs. SF","2 out of 5 stars","B","17.1","-1.1","50% (8/16)","3%","Bad"
"10","Jordan Love",GB,"vs. CHI","2 out of 5 stars","B","16.7","+0.1","42% (6/14)","3%","Average"
"11","Joe Flacco",IND,"vs. JAC","5 out of 5 stars","B","16.4","+0.3","25% (3/12)","1%","Average"
"12","Russell Wilson",PIT,"vs. CIN","4 out of 5 stars","B","16.2","+1.4","50% (5/10)","6%","Average"
"13","Michael Penix Jr.",ATL,"vs. CAR","5 out of 5 stars","B-","16.0","-0.9","18% (2/11)","5%","Bad"
"14","Bryce Young",CAR,"at ATL","4 out of 5 stars","C+","15.8","+1.6","50% (6/12)","2%","Bad"
"15","Geno Smith",SEA,"at LAR","3 out of 5 stars","C","15.7","-0.8","43% (7/16)","3%","Bad"
"16","Caleb Williams",CHI,"at GB","2 out of 5 stars","C-","15.5","-0.3","43% (7/16)","3%","Bad"
"17","Aaron Rodgers",NYJ,"vs. MIA","3 out of 5 stars","C-","15.2","-0.3","50% (8/16)","0%","Bad"
"18","Mac Jones",JAC,"at IND","3 out of 5 stars","D+","15.0","+1.1","36% (4/11)","4%","Bad"
"19","Drake Maye",NE,"vs. BUF","3 out of 5 stars","D","14.7","+1.4","58% (7/12)","2%","Good"
"20","Aidan O'Connell",LV,"vs. LAC","3 out of 5 stars","D","14.4","-1.7","28% (2/7)","2%","Poor"
"21","Joshua Dobbs",SF,"at ARI","3 out of 5 stars","D","14.1","-0.1","0% (0/2)","1%","Great"
"22","Mitchell Trubisky",BUF,"at NE","5 out of 5 stars","D-","13.9","+0.4","9% (1/11)","1%","Great"
"23","C.J. Stroud",HOU,"at TEN","3 out of 5 stars","F","13.7","-3.0","25% (4/16)","3%","Bad"
"24","Cooper Rush",DAL,"vs. WAS","5 out of 5 stars","F","13.5","+0.4","45% (5/11)","1%","Poor"
"25","Mason Rudolph",TEN,"vs. HOU","2 out of 5 stars","F","13.1","+2.1","33% (4/12)","2%","Poor"
"26","Drew Lock",NYG,"at PHI","2 out of 5 stars","F","12.7","+2.2","40% (4/10)","3%","Average"
"27","Tyler Huntley",MIA,"at NYJ","3 out of 5 stars","F","12.3","-0.4","25% (1/4)","5%","Average"
"28","Carson Wentz",KC,"at DEN","2 out of 5 stars","F","11.8","-0.1","8% (1/12)","2%","Bad"
"29","Spencer Rattler",NO,"at TB","4 out of 5 stars","F","11.2","-0.9","50% (3/6)","0%","Bad"
"30","Kenny Pickett",PHI,"vs. NYG","4 out of 5 stars","F","10.6","+1.1","25% (3/12)","5%","Average"
"31","Matthew Stafford",LAR,"vs. SEA","3 out of 5 stars","F","10.0","-1.5","31% (5/16)","1%","Bad"
"32","Dorian Thompson-Robinson",CLE,"at BAL","3 out of 5 stars","F","9.3","-0.7","18% (2/11)","1%","Bad"
"33","Jimmy Garoppolo",LAR,"vs. SEA","3 out of 5 stars","F","8.5","-0.2","0% (0/11)","0%","N/A"
"34","Tanner McKee",PHI,"vs. NYG","4 out of 5 stars","F","7.9","-","-","0%","Great"
"35","Josh Allen",BUF,"at NE","5 out of 5 stars","F","7.2","+2.0","56% (9/16)","12%","Great"
"36","Brock Purdy",SF,"at ARI","3 out of 5 stars","F","6.5","+0.6","53% (8/15)","5%","Bad"
"37","Tua Tagovailoa",MIA,"at NYJ","3 out of 5 stars","F","6.0","+1.0","54% (6/11)","1%","Poor"
"38","Bailey Zappe",CLE,"at BAL","3 out of 5 stars","F","3.4","-0.1","0% (0/1)","0%","N/A"
"39","Will Levis",TEN,"vs. HOU","2 out of 5 stars","F","3.2","-3.0","41% (5/12)","3%","Good"
"40","Davis Mills",HOU,"at TEN","3 out of 5 stars","F","0.2","-0.1","9% (1/11)","0%","Bad"
"41","Anthony Richardson",IND,"vs. JAC","5 out of 5 stars","F","0.2","-1.4","30% (4/13)","11%","Average"
"42","Joe Milton III",NE,"vs. BUF","3 out of 5 stars","F","0.2","-","-","0%","N/A"
