"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Cincinnati Bengals",CIN,"vs. NE","5 out of 5 stars","A+","8.7","+0.8","50% (8/16)"
"2","Chicago Bears",CHI,"vs. TEN","3 out of 5 stars","A","8.3","+1.1","50% (8/16)"
"3","Seattle Seahawks",SEA,"vs. DEN","4 out of 5 stars","A","8.1","+0.3","50% (8/16)"
"4","New Orleans Saints",NO,"vs. CAR","5 out of 5 stars","B+","7.9","+1.7","43% (7/16)"
"5","Tampa Bay Buccaneers",TB,"vs. WAS","5 out of 5 stars","B+","7.9","+0.7","37% (6/16)"
"6","San Francisco 49ers",SF,"vs. NYJ","5 out of 5 stars","B","7.8","+1.4","50% (8/16)"
"7","Cleveland Browns",CLE,"vs. DAL","1 out of 5 stars","B","7.7","+2.3","68% (11/16)"
"8","Minnesota Vikings",MIN,"at NYG","5 out of 5 stars","B","7.6","+1.4","50% (8/16)"
"9","Dallas Cowboys",DAL,"at CLE","5 out of 5 stars","B","7.6","+2.9","43% (7/16)"
"10","Los Angeles Chargers",LAC,"vs. LV","3 out of 5 stars","B-","7.5","+0.1","43% (7/16)"
"11","Buffalo Bills",BUF,"vs. ARI","4 out of 5 stars","B-","7.3","+2.2","50% (8/16)"
"12","Atlanta Falcons",ATL,"vs. PIT","2 out of 5 stars","C+","6.9","-0.4","43% (7/16)"
"13","New York Jets",NYJ,"at SF","1 out of 5 stars","C","6.8","+2.1","62% (10/16)"
"14","New York Giants",NYG,"vs. MIN","4 out of 5 stars","C","6.6","+0.9","50% (8/16)"
"15","Pittsburgh Steelers",PIT,"at ATL","4 out of 5 stars","C","6.6","+1.0","43% (7/16)"
"16","Houston Texans",HOU,"at IND","2 out of 5 stars","C-","6.5","+1.7","62% (10/16)"
"17","Kansas City Chiefs",KC,"vs. BAL","1 out of 5 stars","C-","6.3","+0.4","56% (9/16)"
"18","Philadelphia Eagles",PHI,"vs. GB","2 out of 5 stars","D","6.3","-1.1","37% (6/16)"
"19","Miami Dolphins",MIA,"vs. JAC","3 out of 5 stars","D","6.1","+1.6","56% (9/16)"
"20","Detroit Lions",DET,"vs. LAR","1 out of 5 stars","D","6.1","-0.1","43% (7/16)"
"21","Las Vegas Raiders",LV,"at LAC","3 out of 5 stars","D-","6.0","+2.6","56% (9/16)"
"22","Tennessee Titans",TEN,"at CHI","5 out of 5 stars","F","6.0","-0.2","50% (8/16)"
"23","Denver Broncos",DEN,"at SEA","3 out of 5 stars","F","5.9","+1.2","56% (9/16)"
"24","Washington Commanders",WAS,"at TB","2 out of 5 stars","F","5.8","-2.5","43% (7/16)"
"25","Carolina Panthers",CAR,"at NO","3 out of 5 stars","F","5.7","-1.6","31% (5/16)"
"26","Baltimore Ravens",BAL,"at KC","3 out of 5 stars","F","5.7","+3.5","68% (11/16)"
"27","Green Bay Packers",GB,"at PHI","2 out of 5 stars","F","5.7","+0.2","43% (7/16)"
"28","Jacksonville Jaguars",JAC,"at MIA","2 out of 5 stars","F","5.6","+0.7","50% (8/16)"
"29","New England Patriots",NE,"at CIN","3 out of 5 stars","F","5.4","+0.3","50% (8/16)"
"30","Indianapolis Colts",IND,"vs. HOU","3 out of 5 stars","F","5.4","+2.0","56% (9/16)"
"31","Arizona Cardinals",ARI,"at BUF","1 out of 5 stars","F","5.1","-1.5","31% (5/16)"
"32","Los Angeles Rams",LAR,"at DET","2 out of 5 stars","F","4.8","-1.3","25% (4/16)"
