"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","New York Jets",NYJ,"vs. DEN","3 out of 5 stars","A+","8.0","+2.5","68% (11/16)"
"2","San Francisco 49ers",SF,"vs. NE","3 out of 5 stars","A-","7.8","+0.9","43% (7/16)"
"3","Kansas City Chiefs",KC,"at LAC","3 out of 5 stars","B+","7.6","+0.3","50% (8/16)"
"4","Pittsburgh Steelers",PIT,"at IND","2 out of 5 stars","B+","7.2","+0.5","50% (8/16)"
"5","Dallas Cowboys",DAL,"at NYG","5 out of 5 stars","B+","7.1","+0.9","37% (6/16)"
"6","Miami Dolphins",MIA,"vs. TEN","5 out of 5 stars","B","7.0","+1.4","56% (9/16)"
"7","Cleveland Browns",CLE,"at LV","5 out of 5 stars","B","6.9","+1.8","62% (10/16)"
"8","Tennessee Titans",TEN,"at MIA","5 out of 5 stars","B","6.9","-0.6","50% (8/16)"
"9","Houston Texans",HOU,"vs. JAC","4 out of 5 stars","B","6.9","+1.7","56% (9/16)"
"10","Las Vegas Raiders",LV,"vs. CLE","5 out of 5 stars","B-","6.8","+2.5","56% (9/16)"
"11","Chicago Bears",CHI,"vs. LAR","4 out of 5 stars","B-","6.7","+3.1","62% (10/16)"
"12","Green Bay Packers",GB,"vs. MIN","1 out of 5 stars","C+","6.6","+1.2","56% (9/16)"
"13","Minnesota Vikings",MIN,"at GB","1 out of 5 stars","C","6.4","+3.8","68% (11/16)"
"14","Los Angeles Rams",LAR,"at CHI","5 out of 5 stars","C-","6.2","-1.5","25% (4/16)"
"15","New Orleans Saints",NO,"at ATL","2 out of 5 stars","C","6.1","+2.1","50% (8/16)"
"16","Buffalo Bills",BUF,"at BAL","1 out of 5 stars","D+","6.1","+1.5","50% (8/16)"
"17","Philadelphia Eagles",PHI,"at TB","4 out of 5 stars","D","6.1","-2.2","31% (5/16)"
"18","Indianapolis Colts",IND,"vs. PIT","1 out of 5 stars","D+","5.9","+1.4","43% (7/16)"
"19","Detroit Lions",DET,"vs. SEA","2 out of 5 stars","D","5.8","-0.4","43% (7/16)"
"20","Cincinnati Bengals",CIN,"at CAR","3 out of 5 stars","D","5.7","-0.2","43% (7/16)"
"21","Atlanta Falcons",ATL,"vs. NO","1 out of 5 stars","D-","5.7","-0.9","37% (6/16)"
"22","Baltimore Ravens",BAL,"vs. BUF","1 out of 5 stars","D","5.6","+3.3","62% (10/16)"
"23","Arizona Cardinals",ARI,"vs. WAS","1 out of 5 stars","D-","5.6","-1.2","31% (5/16)"
"24","Tampa Bay Buccaneers",TB,"vs. PHI","2 out of 5 stars","F","5.5","-0.6","25% (4/16)"
"25","Seattle Seahawks",SEA,"at DET","3 out of 5 stars","F","5.5","+0.8","56% (9/16)"
"26","Denver Broncos",DEN,"at NYJ","1 out of 5 stars","F","5.4","+2.9","75% (12/16)"
"27","Los Angeles Chargers",LAC,"vs. KC","1 out of 5 stars","F","5.3","+1.0","50% (8/16)"
"28","New York Giants",NYG,"vs. DAL","1 out of 5 stars","F","5.2","+2.2","56% (9/16)"
"29","New England Patriots",NE,"at SF","1 out of 5 stars","F","5.2","+0.3","43% (7/16)"
"30","Jacksonville Jaguars",JAC,"at HOU","2 out of 5 stars","F","5.2","+0.2","37% (6/16)"
"31","Carolina Panthers",CAR,"vs. CIN","5 out of 5 stars","F","5.1","-1.7","31% (5/16)"
"32","Washington Commanders",WAS,"at ARI","1 out of 5 stars","F","5.1","-3.7","31% (5/16)"
