"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Kyler Murray",ARI,"vs. WAS","5 out of 5 stars","A+","21.8","+1.5","60% (6/10)","2%","Good"
"2","Josh Allen",BUF,"at BAL","1 out of 5 stars","A","21.3","+2.8","68% (11/16)","7%","Great"
"3","Jayden Daniels",WAS,"at ARI","5 out of 5 stars","A","21.1","+4.3","66% (2/3)","25%","Average"
"4","Lamar Jackson",BAL,"vs. BUF","2 out of 5 stars","A-","20.5","+0.9","50% (8/16)","5%","Good"
"5","C.J. Stroud",HOU,"vs. JAC","4 out of 5 stars","A-","20.0","+0.4","28% (4/14)","5%","Good"
"6","Joe Burrow",CIN,"at CAR","2 out of 5 stars","B+","19.5","+0.3","66% (6/9)","4%","Bad"
"7","Jalen Hurts",PHI,"at TB","3 out of 5 stars","B+","18.9","+0.5","68% (11/16)","15%","Bad"
"8","Dak Prescott",DAL,"at NYG","2 out of 5 stars","B","18.2","+2.5","50% (8/16)","6%","Average"
"9","Patrick Mahomes II",KC,"at LAC","4 out of 5 stars","B","17.7","-3.7","12% (2/16)","1%","Average"
"10","Brock Purdy",SF,"vs. NE","2 out of 5 stars","B-","17.3","+1.3","56% (9/16)","2%","Bad"
"11","Geno Smith",SEA,"at DET","4 out of 5 stars","B-","16.9","-1.0","46% (7/15)","2%","Great"
"12","Justin Fields",PIT,"at IND","4 out of 5 stars","B-","16.7","+0.8","58% (7/12)","29%","Bad"
"13","Baker Mayfield",TB,"vs. PHI","5 out of 5 stars","C+","16.5","+2.6","68% (11/16)","2%","Great"
"14","Anthony Richardson",IND,"vs. PIT","3 out of 5 stars","C","16.4","-3.1","40% (2/5)","16%","Poor"
"15","Caleb Williams",CHI,"vs. LAR","3 out of 5 stars","C","16.3","-4.7","33% (1/3)","1%","Bad"
"16","Jared Goff",DET,"vs. SEA","2 out of 5 stars","C","16.1","+0.3","43% (7/16)","1%","Bad"
"17","Sam Darnold",MIN,"at GB","5 out of 5 stars","C","15.9","+4.6","66% (2/3)","0%","Great"
"18","Daniel Jones",NYG,"vs. DAL","2 out of 5 stars","C-","15.7","-5.6","33% (2/6)","17%","Bad"
"19","Jordan Love",GB,"vs. MIN","2 out of 5 stars","C-","15.5","+2.3","64% (9/14)","0%","Bad"
"20","Andy Dalton",CAR,"vs. CIN","3 out of 5 stars","D+","15.3","+5.7","50% (1/2)","0%","Good"
"21","Trevor Lawrence",JAC,"at HOU","4 out of 5 stars","D","15.2","-0.1","33% (5/15)","0%","Bad"
"22","Aaron Rodgers",NYJ,"vs. DEN","5 out of 5 stars","D-","15.0","-0.4","33% (1/3)","1%","Good"
"23","Deshaun Watson",CLE,"at LV","4 out of 5 stars","F","15.0","-2.7","50% (3/6)","9%","Average"
"24","Derek Carr",NO,"at ATL","3 out of 5 stars","F","14.8","+0.8","62% (10/16)","5%","Great"
"25","Kirk Cousins",ATL,"vs. NO","2 out of 5 stars","F","14.7","-1.9","50% (4/8)","1%","Average"
"26","Will Levis",TEN,"at MIA","4 out of 5 stars","F","14.5","-1.8","33% (4/12)","3%","Great"
"27","Tyler Huntley",MIA,"vs. TEN","4 out of 5 stars","F","14.3","-","-","0%","N/A"
"28","Bo Nix",DEN,"at NYJ","1 out of 5 stars","F","14.0","+0.2","33% (1/3)","13%","Bad"
"29","Matthew Stafford",LAR,"at CHI","4 out of 5 stars","F","13.8","+0.7","46% (7/15)","0%","Bad"
"30","Gardner Minshew II",LV,"vs. CLE","4 out of 5 stars","F","13.4","+0.6","57% (8/14)","1%","Good"
"31","Justin Herbert",LAC,"vs. KC","2 out of 5 stars","F","13.1","-2.6","38% (5/13)","2%","Great"
"32","Jacoby Brissett",NE,"at SF","1 out of 5 stars","F","12.4","-5.8","0% (0/3)","2%","Bad"
"33","Skylar Thompson",MIA,"vs. TEN","4 out of 5 stars","F","1.2","-8.4","0% (0/1)","0%","Bad"
"34","Malik Willis",GB,"vs. MIN","2 out of 5 stars","F","0.3","+1.7","25% (1/4)","7%","Great"
"35","Drake Maye",NE,"at SF","1 out of 5 stars","F","0.0","-0.2","0% (0/1)","1%","Bad"
"36","Aidan O'Connell",LV,"vs. CLE","4 out of 5 stars","F","0.0","-0.6","30% (3/10)","0%","Great"
"37","Taylor Heinicke",LAC,"vs. KC","2 out of 5 stars","F","0.0","+0.2","75% (3/4)","0%","N/A"
"38","Jameis Winston",CLE,"at LV","4 out of 5 stars","F","0.0","-","-","1%","Bad"
