"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER "
"1","Green Bay Packers",GB,"vs. NO","3 out of 5 stars","A+","7.8","+2.2","62% (10/16)"
"2","Atlanta Falcons",ATL,"vs. NYG","5 out of 5 stars","A","7.7","-1.0","25% (4/16)"
"3","Buffalo Bills",BUF,"vs. NE","5 out of 5 stars","A","7.5","+1.6","43% (7/16)"
"4","Cincinnati Bengals",CIN,"vs. CLE","5 out of 5 stars","A","7.4","-1.4","43% (7/16)"
"5","Minnesota Vikings",MIN,"at SEA","4 out of 5 stars","A-","7.3","+2.8","62% (10/16)"
"6","Kansas City Chiefs",KC,"vs. HOU","3 out of 5 stars","B+","7.2","-0.1","37% (6/16)"
"7","Indianapolis Colts",IND,"vs. TEN","5 out of 5 stars","B","7.0","-0.6","37% (6/16)"
"8","Arizona Cardinals",ARI,"at CAR","4 out of 5 stars","B","7.0","+0.5","50% (8/16)"
"9","Detroit Lions",DET,"at CHI","4 out of 5 stars","B","6.9","+1.5","56% (9/16)"
"10","Los Angeles Chargers",LAC,"vs. DEN","2 out of 5 stars","B-","6.9","+1.2","56% (9/16)"
"11","Denver Broncos",DEN,"at LAC","3 out of 5 stars","C+","6.5","+3.7","68% (11/16)"
"12","Philadelphia Eagles",PHI,"at WAS","1 out of 5 stars","C","6.5","+0.4","56% (9/16)"
"13","Baltimore Ravens",BAL,"vs. PIT","3 out of 5 stars","C","6.4","-0.3","31% (5/16)"
"14","Las Vegas Raiders",LV,"vs. JAC","3 out of 5 stars","C","6.2","-1.1","31% (5/16)"
"15","Tampa Bay Buccaneers",TB,"at DAL","4 out of 5 stars","C-","6.2","-0.1","37% (6/16)"
"16","Dallas Cowboys",DAL,"vs. TB","2 out of 5 stars","C-","6.0","+0.6","37% (6/16)"
"17","Houston Texans",HOU,"at KC","2 out of 5 stars","D","6.0","+3.0","62% (10/16)"
"18","Tennessee Titans",TEN,"at IND","3 out of 5 stars","D+","5.9","-1.6","37% (6/16)"
"19","San Francisco 49ers",SF,"at MIA","4 out of 5 stars","D+","5.8","-0.3","31% (5/16)"
"20","New York Jets",NYJ,"vs. LAR","2 out of 5 stars","D","5.8","-0.2","37% (6/16)"
"21","Jacksonville Jaguars",JAC,"at LV","5 out of 5 stars","D","5.8","-1.2","31% (5/16)"
"22","Miami Dolphins",MIA,"vs. SF","2 out of 5 stars","D-","5.6","-2.0","31% (5/16)"
"23","Seattle Seahawks",SEA,"vs. MIN","3 out of 5 stars","D","5.5","+1.5","50% (8/16)"
"24","Pittsburgh Steelers",PIT,"at BAL","1 out of 5 stars","D-","5.4","+2.9","75% (12/16)"
"25","Los Angeles Rams",LAR,"at NYJ","3 out of 5 stars","F","5.4","+0.8","43% (7/16)"
"26","New York Giants",NYG,"at ATL","3 out of 5 stars","F","5.3","+0.1","43% (7/16)"
"27","Washington Commanders",WAS,"vs. PHI","2 out of 5 stars","F","5.2","-1.8","18% (3/16)"
"28","Carolina Panthers",CAR,"vs. ARI","2 out of 5 stars","F","5.1","-2.7","25% (4/16)"
"29","Cleveland Browns",CLE,"at CIN","3 out of 5 stars","F","5.0","-0.3","50% (8/16)"
"30","Chicago Bears",CHI,"vs. DET","1 out of 5 stars","F","5.0","+0.7","43% (7/16)"
"31","New Orleans Saints",NO,"at GB","1 out of 5 stars","F","4.9","+0.5","50% (8/16)"
"32","New England Patriots",NE,"at BUF","1 out of 5 stars","F","4.2","-0.1","37% (6/16)"
