"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Breece Hall",NYJ,"at NE","4 out of 5 stars","A+","20.0","+0.3","47% (8/17)","20%","Average"
"2","Derrick Henry",BAL,"at CLE","3 out of 5 stars","A+","18.5","+3.1","70% (12/17)","33%","Great"
"3","Saquon Barkley",PHI,"at CIN","3 out of 5 stars","A+","18.3","+0.8","40% (6/15)","26%","Average"
"4","Joe Mixon",HOU,"vs. IND","3 out of 5 stars","A+","17.9","+3.8","64% (9/14)","31%","Good"
"5","Jordan Mason",SF,"vs. DAL","4 out of 5 stars","A","17.7","-0.6","30% (4/13)","17%","Bad"
"6","Bijan Robinson",ATL,"at TB","2 out of 5 stars","A","17.0","-1.3","37% (6/16)","17%","Good"
"7","Kenneth Walker III",SEA,"vs. BUF","4 out of 5 stars","A","16.8","+0.9","53% (7/13)","26%","Great"
"8","Aaron Jones",MIN,"at LAR","3 out of 5 stars","A","16.6","-0.6","53% (7/13)","29%","Bad"
"9","Jahmyr Gibbs",DET,"vs. TEN","3 out of 5 stars","A","16.6","+3.5","66% (10/15)","20%","Average"
"10","De'Von Achane",MIA,"vs. ARI","3 out of 5 stars","A","16.3","-1.9","33% (4/12)","19%","Bad"
"11","J.K. Dobbins",LAC,"vs. NO","5 out of 5 stars","A","15.9","+1.3","50% (3/6)","12%","Great"
"12","Kareem Hunt",KC,"at LV","4 out of 5 stars","A-","15.7","+1.7","69% (9/13)","18%","Average"
"13","Javonte Williams",DEN,"vs. CAR","4 out of 5 stars","A-","15.5","-0.9","31% (5/16)","17%","Poor"
"14","D'Andre Swift",CHI,"at WAS","4 out of 5 stars","B+","15.5","-0.9","33% (5/15)","16%","Poor"
"15","Kyren Williams",LAR,"vs. MIN","2 out of 5 stars","B+","15.3","+4.0","58% (7/12)","32%","Good"
"16","James Conner",ARI,"at MIA","5 out of 5 stars","B+","15.3","+1.8","64% (9/14)","19%","Average"
"17","Josh Jacobs",GB,"at JAC","3 out of 5 stars","B","15.0","-1.0","38% (5/13)","21%","Bad"
"18","Alvin Kamara",NO,"at LAC","2 out of 5 stars","B+","15.0","+0.2","37% (6/16)","22%","Great"
"19","Tony Pollard",TEN,"at DET","2 out of 5 stars","B","14.8","-2.2","43% (7/16)","21%","Good"
"20","Brian Robinson Jr.",WAS,"vs. CHI","3 out of 5 stars","B","14.5","+1.9","61% (8/13)","19%","Good"
"21","James Cook",BUF,"at SEA","4 out of 5 stars","B","14.5","+1.3","46% (7/15)","17%","Great"
"22","Chase Brown",CIN,"vs. PHI","4 out of 5 stars","B","14.1","+2.7","58% (7/12)","10%","Great"
"23","Jonathan Taylor",IND,"at HOU","2 out of 5 stars","B","13.7","+0.9","50% (5/10)","25%","Average"
"24","Chuba Hubbard",CAR,"at DEN","2 out of 5 stars","B-","13.4","+1.1","29% (5/17)","20%","Average"
"25","Najee Harris",PIT,"vs. NYG","3 out of 5 stars","B-","13.0","+0.8","47% (8/17)","13%","Bad"
"26","David Montgomery",DET,"vs. TEN","3 out of 5 stars","B-","12.0","+2.3","71% (10/14)","19%","Great"
"27","Rachaad White",TB,"vs. ATL","2 out of 5 stars","C+","11.7","+1.7","56% (9/16)","14%","Poor"
"28","Tank Bigsby",JAC,"vs. GB","3 out of 5 stars","C+","11.5","+1.2","31% (5/16)","18%","Good"
"29","Rhamondre Stevenson",NE,"vs. NYJ","3 out of 5 stars","C+","11.5","-0.8","45% (5/11)","28%","Average"
"30","Rico Dowdle",DAL,"at SF","4 out of 5 stars","C","11.3","+0.5","33% (5/15)","9%","Good"
"31","Raheem Mostert",MIA,"vs. ARI","3 out of 5 stars","C","11.3","+0.7","45% (5/11)","8%","Bad"
"32","Alexander Mattison",LV,"vs. KC","1 out of 5 stars","C","10.3","-0.1","33% (5/15)","13%","Great"
"33","Jaylen Warren",PIT,"vs. NYG","3 out of 5 stars","C","10.1","-0.5","26% (4/15)","6%","Bad"
"34","Nick Chubb",CLE,"vs. BAL","3 out of 5 stars","C","9.9","+1.1","100% (1/1)","27%","Average"
"35","Austin Ekeler",WAS,"vs. CHI","3 out of 5 stars","C","9.7","-2.5","43% (7/16)","6%","Poor"
"36","Tyrone Tracy Jr.",NYG,"at PIT","2 out of 5 stars","C-","9.6","+0.3","42% (3/7)","6%","Average"
"37","Zack Moss",CIN,"vs. PHI","4 out of 5 stars","C-","9.5","-2.5","35% (5/14)","15%","Poor"
"38","Bucky Irving",TB,"vs. ATL","2 out of 5 stars","C-","8.5","+2.0","71% (5/7)","17%","Poor"
"39","Kimani Vidal",LAC,"vs. NO","5 out of 5 stars","D+","7.9","+3.9","50% (1/2)","8%","Great"
"40","Tyler Allgeier",ATL,"at TB","2 out of 5 stars","D+","7.1","+0.8","37% (6/16)","13%","Bad"
"41","Sean Tucker",TB,"vs. ATL","2 out of 5 stars","D","6.9","+3.8","42% (3/7)","4%","Great"
"42","Ray Davis",BUF,"at SEA","4 out of 5 stars","D","6.8","+1.7","57% (4/7)","6%","Great"
"43","Justice Hill",BAL,"at CLE","3 out of 5 stars","D","6.8","+1.3","50% (8/16)","10%","Average"
"44","Zach Charbonnet",SEA,"vs. BUF","4 out of 5 stars","D","6.6","+0.1","52% (9/17)","7%","Great"
"45","Roschon Johnson",CHI,"at WAS","4 out of 5 stars","D-","6.4","+0.4","40% (6/15)","14%","Great"
"46","Devin Singletary",NYG,"at PIT","2 out of 5 stars","D","6.3","0.0","46% (7/15)","12%","Great"
"47","Jaleel McLaughlin",DEN,"vs. CAR","4 out of 5 stars","F","5.9","-1.4","25% (4/16)","11%","Average"
"48","Braelon Allen",NYJ,"at NE","4 out of 5 stars","F","5.9","-0.2","28% (2/7)","3%","Great"
"49","D'Ernest Johnson",JAC,"vs. GB","3 out of 5 stars","F","5.8","+0.5","56% (9/16)","5%","Bad"
"50","Emanuel Wilson",GB,"at JAC","3 out of 5 stars","F","5.7","+0.8","45% (5/11)","4%","Great"
"51","Antonio Gibson",NE,"vs. NYJ","3 out of 5 stars","D","5.6","-0.2","46% (7/15)","6%","Bad"
"52","Ty Chandler",MIN,"at LAR","3 out of 5 stars","F","5.6","-0.4","26% (4/15)","4%","Bad"
"53","Audric Estime",DEN,"vs. CAR","4 out of 5 stars","F","5.1","-1.1","33% (1/3)","0%","Bad"
"54","Miles Sanders",CAR,"at DEN","2 out of 5 stars","F","5.0","-2.0","23% (4/17)","7%","Poor"
"55","Blake Corum",LAR,"vs. MIN","2 out of 5 stars","F","4.8","-1.3","33% (2/6)","6%","Bad"
"56","Dameon Pierce",HOU,"vs. IND","3 out of 5 stars","F","4.8","-0.8","30% (3/10)","2%","Great"
"57","Isaac Guerendo",SF,"vs. DAL","4 out of 5 stars","F","4.5","-0.4","28% (2/7)","2%","Bad"
"58","Jaylen Wright",MIA,"vs. ARI","3 out of 5 stars","F","4.4","+1.0","60% (3/5)","2%","Bad"
"59","Tyler Goodson",IND,"at HOU","2 out of 5 stars","F","4.1","+1.0","50% (5/10)","6%","Average"
"60","Travis Etienne Jr.",JAC,"vs. GB","3 out of 5 stars","F","4.1","-2.7","33% (5/15)","14%","Poor"
"61","Pierre Strong Jr.",CLE,"vs. BAL","3 out of 5 stars","F","3.6","-0.1","46% (7/15)","1%","Bad"
"62","Kendre Miller",NO,"at LAC","2 out of 5 stars","F","3.6","+0.8","75% (3/4)","1%","Bad"
"63","Kyle Juszczyk",SF,"vs. DAL","4 out of 5 stars","F","3.6","+0.6","37% (6/16)","2%","Great"
"64","Samaje Perine",KC,"at LV","4 out of 5 stars","F","3.5","-0.2","33% (5/15)","2%","Good"
"65","Zamir White",LV,"vs. KC","1 out of 5 stars","F","3.4","-1.9","21% (3/14)","4%","Bad"
"66","Ezekiel Elliott",DAL,"at SF","4 out of 5 stars","F","3.3","-1.1","28% (4/14)","6%","Average"
"67","Dare Ogunbowale",HOU,"vs. IND","3 out of 5 stars","F","3.2","+0.6","38% (5/13)","6%","Poor"
"68","Jeremy McNichols",WAS,"vs. CHI","3 out of 5 stars","F","3.0","+4.5","60% (3/5)","4%","Great"
"69","Kenneth Gainwell",PHI,"at CIN","3 out of 5 stars","F","2.8","0.0","46% (7/15)","8%","Bad"
"70","Ameer Abdullah",LV,"vs. KC","1 out of 5 stars","F","2.7","0.0","43% (7/16)","12%","Average"
"71","JaMycal Hasty",NE,"vs. NYJ","3 out of 5 stars","F","2.5","+0.8","50% (4/8)","3%","Great"
"72","Dalvin Cook",DAL,"at SF","4 out of 5 stars","F","2.5","-1.8","0% (0/14)","0%","N/A"
"73","Emari Demercado",ARI,"at MIA","5 out of 5 stars","F","2.5","+1.2","46% (6/13)","3%","Bad"
"74","Trey Sermon",IND,"at HOU","2 out of 5 stars","F","2.4","-0.9","30% (4/13)","16%","Bad"
"75","Alec Ingold",MIA,"vs. ARI","3 out of 5 stars","F","2.1","+0.7","60% (9/15)","3%","Great"
"76","Julius Chestnut",TEN,"at DET","2 out of 5 stars","F","1.8","-1.3","0% (0/2)","11%","Bad"
"77","Carson Steele",KC,"at LV","4 out of 5 stars","F","1.7","-2.8","0% (0/6)","7%","Bad"
"78","Trey Benson",ARI,"at MIA","5 out of 5 stars","F","1.6","-2.1","28% (2/7)","3%","Bad"
"79","Ty Johnson",BUF,"at SEA","4 out of 5 stars","F","1.5","+1.5","63% (7/11)","13%","Good"
"80","D'Onta Foreman",CLE,"vs. BAL","3 out of 5 stars","F","1.4","-1.3","53% (7/13)","7%","Bad"
"81","Hassan Haskins",LAC,"vs. NO","5 out of 5 stars","F","1.4","-0.9","0% (0/5)","0%","Bad"
"82","Clyde Edwards-Helaire",KC,"at LV","4 out of 5 stars","F","1.3","-0.6","28% (2/7)","0%","N/A"
"83","Hunter Luepke",DAL,"at SF","4 out of 5 stars","F","1.2","+0.2","37% (6/16)","1%","Bad"
"84","C.J. Ham",MIN,"at LAR","3 out of 5 stars","F","1.1","+0.1","33% (5/15)","8%","Great"
"85","Patrick Ricard",BAL,"at CLE","3 out of 5 stars","F","1.1","+0.3","12% (2/16)","0%","N/A"
"86","Jamaal Williams",NO,"at LAC","2 out of 5 stars","F","1.1","-1.6","18% (3/16)","3%","Good"
"87","Eric Gray",NYG,"at PIT","2 out of 5 stars","F","1.0","-1.2","25% (2/8)","12%","Bad"
"88","Chris Brooks",GB,"at JAC","3 out of 5 stars","F","0.9","-","-","1%","Bad"
"89","Cam Akers",MIN,"at LAR","3 out of 5 stars","F","0.6","-0.6","37% (3/8)","0%","N/A"
"90","Michael Burton",DEN,"vs. CAR","4 out of 5 stars","F","0.4","-0.2","43% (7/16)","0%","N/A"
"91","Isaiah Davis",NYJ,"at NE","4 out of 5 stars","F","0.4","-0.5","33% (1/3)","1%","Bad"
"92","Ronnie Rivers",LAR,"vs. MIN","2 out of 5 stars","F","0.3","-0.9","37% (3/8)","1%","Bad"
"93","Patrick Taylor Jr.",SF,"vs. DAL","4 out of 5 stars","F","0.3","-0.5","20% (2/10)","5%","Bad"
"94","Aaron Shampklin",PIT,"vs. NYG","3 out of 5 stars","F","0.2","-","-","4%","Bad"
"95","Joshua Kelley",TEN,"at DET","2 out of 5 stars","F","0.2","-","-","0%","N/A"
"96","Travis Homer",CHI,"at WAS","4 out of 5 stars","F","0.2","-0.3","25% (1/4)","0%","Bad"
"97","Craig Reynolds",DET,"vs. TEN","3 out of 5 stars","F","0.2","-0.3","14% (1/7)","1%","Bad"
"98","Sione Vaki",DET,"vs. TEN","3 out of 5 stars","F","0.2","-0.2","0% (0/2)","0%","Bad"
"99","Khalil Herbert",CHI,"at WAS","4 out of 5 stars","F","0.2","-0.5","25% (3/12)","16%","Bad"
"100","Raheem Blackshear",CAR,"at DEN","2 out of 5 stars","F","0.2","+0.1","55% (5/9)","0%","N/A"
"101","Adam Prentice",NO,"at LAC","2 out of 5 stars","F","0.2","-0.1","16% (1/6)","0%","N/A"
"102","Jase McClellan",ATL,"at TB","2 out of 5 stars","F","0.0","-","-","0%","Bad"
"103","Dylan Laube",LV,"vs. KC","1 out of 5 stars","F","0.0","-2.1","0% (0/2)","0%","N/A"
"104","Kenny McIntosh",SEA,"vs. BUF","4 out of 5 stars","F","0.0","-1.4","0% (0/6)","0%","N/A"
"105","Will Shipley",PHI,"at CIN","3 out of 5 stars","F","0.0","-0.8","0% (0/2)","0%","Bad"
"106","Troy Hairston II",HOU,"vs. IND","3 out of 5 stars","F","0.0","-","-","0%","N/A"
"107","Reggie Gilliam",BUF,"at SEA","4 out of 5 stars","F","0.0","-0.3","0% (0/5)","0%","N/A"
"108","Tyreik McAllister",LV,"vs. KC","1 out of 5 stars","F","0.0","-","-","3%","Bad"
"109","Avery Williams",ATL,"at TB","2 out of 5 stars","F","0.0","-","-","0%","N/A"
