"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. NE","4 out of 5 stars","A+","25.9","+3.2","68% (11/16)","13%","Great"
"2","Joe Burrow",CIN,"vs. CLE","4 out of 5 stars","A","23.5","+3.2","64% (9/14)","2%","Average"
"3","Jalen Hurts",PHI,"at WAS","5 out of 5 stars","A","22.1","+1.1","56% (9/16)","22%","Good"
"4","Lamar Jackson",BAL,"vs. PIT","1 out of 5 stars","A","20.7","+4.4","81% (13/16)","4%","Great"
"5","Baker Mayfield",TB,"at DAL","4 out of 5 stars","A","19.8","+4.0","81% (13/16)","3%","Great"
"6","Jayden Daniels",WAS,"vs. PHI","1 out of 5 stars","B+","19.0","+0.2","50% (7/14)","10%","Poor"
"7","Kyler Murray",ARI,"at CAR","5 out of 5 stars","B+","18.3","-0.5","50% (8/16)","4%","Bad"
"8","Jordan Love",GB,"vs. NO","2 out of 5 stars","B","17.8","+2.0","57% (8/14)","3%","Average"
"9","Anthony Richardson",IND,"vs. TEN","3 out of 5 stars","B","17.3","-1.9","25% (3/12)","11%","Average"
"10","Sam Darnold",MIN,"at SEA","2 out of 5 stars","B","17.0","+1.9","71% (10/14)","3%","Average"
"11","Jared Goff",DET,"at CHI","2 out of 5 stars","B","16.7","+2.6","50% (8/16)","3%","Average"
"12","Brock Purdy",SF,"at MIA","3 out of 5 stars","B-","16.6","-1.6","40% (6/15)","5%","Bad"
"13","Caleb Williams",CHI,"vs. DET","2 out of 5 stars","C+","16.5","-0.2","42% (6/14)","3%","Bad"
"14","Patrick Mahomes II",KC,"vs. HOU","2 out of 5 stars","C+","16.4","-1.4","25% (4/16)","2%","Bad"
"15","Bo Nix",DEN,"at LAC","3 out of 5 stars","C","16.2","+1.7","57% (8/14)","8%","Average"
"16","Tua Tagovailoa",MIA,"vs. SF","2 out of 5 stars","C","16.1","+1.2","58% (7/12)","1%","Average"
"17","Justin Herbert",LAC,"vs. DEN","2 out of 5 stars","C-","15.9","-0.9","42% (6/14)","3%","Poor"
"18","Matthew Stafford",LAR,"at NYJ","4 out of 5 stars","C-","15.8","-0.3","37% (6/16)","1%","Bad"
"19","Aaron Rodgers",NYJ,"vs. LAR","3 out of 5 stars","C-","15.6","+0.9","57% (8/14)","0%","Poor"
"20","Michael Penix Jr.",ATL,"vs. NYG","4 out of 5 stars","D+","15.5","0.0","22% (2/9)","0%","Bad"
"21","C.J. Stroud",HOU,"at KC","2 out of 5 stars","D","15.4","-3.1","20% (3/15)","3%","Poor"
"22","Cooper Rush",DAL,"vs. TB","4 out of 5 stars","D","15.3","+0.9","44% (4/9)","1%","Average"
"23","Geno Smith",SEA,"vs. MIN","2 out of 5 stars","F","15.2","-0.7","50% (8/16)","4%","Bad"
"24","Drake Maye",NE,"at BUF","3 out of 5 stars","F","15.1","+2.0","60% (6/10)","2%","Good"
"25","Dorian Thompson-Robinson",CLE,"at CIN","4 out of 5 stars","F","15.0","+0.7","30% (3/10)","0%","Bad"
"26","Bryce Young",CAR,"vs. ARI","2 out of 5 stars","F","14.7","+0.6","41% (5/12)","3%","Bad"
"27","Aidan O'Connell",LV,"vs. JAC","5 out of 5 stars","F","14.4","-2.1","28% (2/7)","3%","Average"
"28","Russell Wilson",PIT,"at BAL","3 out of 5 stars","F","14.0","+1.9","44% (4/9)","5%","Average"
"29","Mac Jones",JAC,"at LV","4 out of 5 stars","F","13.6","+1.0","22% (2/9)","4%","Bad"
"30","Mason Rudolph",TEN,"at IND","4 out of 5 stars","F","13.0","+2.4","33% (4/12)","2%","Bad"
"31","Drew Lock",NYG,"at ATL","4 out of 5 stars","F","12.6","+0.6","37% (3/8)","1%","Bad"
"32","Spencer Rattler",NO,"at GB","3 out of 5 stars","F","12.0","-0.6","50% (2/4)","0%","Bad"
