"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER "
"1","Philadelphia Eagles",PHI,"vs. CAR","3 out of 5 stars","A+","8.1","+0.5","56% (9/16)"
"2","Pittsburgh Steelers",PIT,"vs. CLE","5 out of 5 stars","A","7.7","+2.2","62% (10/16)"
"3","Minnesota Vikings",MIN,"vs. ATL","3 out of 5 stars","A","7.5","+3.7","68% (11/16)"
"4","Tampa Bay Buccaneers",TB,"vs. LV","5 out of 5 stars","A-","7.2","-0.4","31% (5/16)"
"5","New Orleans Saints",NO,"at NYG","5 out of 5 stars","B+","7.0","+1.4","50% (8/16)"
"6","Miami Dolphins",MIA,"vs. NYJ","3 out of 5 stars","B","7.0","-0.8","37% (6/16)"
"7","San Francisco 49ers",SF,"vs. CHI","3 out of 5 stars","B","6.9","-0.2","37% (6/16)"
"8","Tennessee Titans",TEN,"vs. JAC","2 out of 5 stars","B","6.9","-1.1","37% (6/16)"
"9","Buffalo Bills",BUF,"at LAR","2 out of 5 stars","B","6.7","+2.7","56% (9/16)"
"10","Kansas City Chiefs",KC,"vs. LAC","3 out of 5 stars","B-","6.6","-0.8","37% (6/16)"
"11","Arizona Cardinals",ARI,"vs. SEA","4 out of 5 stars","B-","6.2","+0.6","53% (8/15)"
"12","Detroit Lions",DET,"vs. GB","1 out of 5 stars","C+","6.1","+2.1","56% (9/16)"
"13","Jacksonville Jaguars",JAC,"at TEN","5 out of 5 stars","C+","6.1","-1.1","25% (4/16)"
"14","Cincinnati Bengals",CIN,"at DAL","4 out of 5 stars","C","5.9","-2.0","37% (6/16)"
"15","Los Angeles Chargers",LAC,"at KC","2 out of 5 stars","C","5.9","+0.9","56% (9/16)"
"16","Seattle Seahawks",SEA,"at ARI","2 out of 5 stars","C","5.7","+1.6","50% (8/16)"
"17","New York Giants",NYG,"vs. NO","4 out of 5 stars","C","5.7","+0.1","43% (7/16)"
"18","Cleveland Browns",CLE,"at PIT","3 out of 5 stars","C-","5.6","+0.9","62% (10/16)"
"19","New York Jets",NYJ,"at MIA","4 out of 5 stars","C-","5.5","+0.4","43% (7/16)"
"20","Chicago Bears",CHI,"at SF","2 out of 5 stars","D+","5.5","+2.4","56% (9/16)"
"21","Dallas Cowboys",DAL,"vs. CIN","3 out of 5 stars","D+","5.4","0.0","37% (6/16)"
"22","Green Bay Packers",GB,"at DET","1 out of 5 stars","D","5.3","+1.5","56% (9/16)"
"23","Las Vegas Raiders",LV,"at TB","2 out of 5 stars","D","5.3","-0.1","31% (5/16)"
"24","Atlanta Falcons",ATL,"at MIN","3 out of 5 stars","D-","5.1","-1.8","25% (4/16)"
"25","Los Angeles Rams",LAR,"vs. BUF","1 out of 5 stars","F","4.7","+0.1","37% (6/16)"
"26","Carolina Panthers",CAR,"at PHI","2 out of 5 stars","F","4.6","-2.3","31% (5/16)"
