"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Lamar Jackson",BAL,"at TB","3 out of 5 stars","A+","23.2","+1.8","56% (9/16)","7%","Great"
"2","Jayden Daniels",WAS,"vs. CAR","5 out of 5 stars","A+","21.7","+2.7","50% (3/6)","14%","Average"
"3","Josh Allen",BUF,"vs. TEN","3 out of 5 stars","A-","20.8","+1.0","62% (10/16)","8%","Great"
"4","Jalen Hurts",PHI,"at NYG","4 out of 5 stars","A","19.8","-0.2","60% (9/15)","15%","Poor"
"5","Sam Darnold",MIN,"vs. DET","2 out of 5 stars","A-","19.0","+1.9","60% (3/5)","1%","Great"
"6","Jordan Love",GB,"vs. HOU","2 out of 5 stars","B+","18.6","+4.0","66% (10/15)","2%","Good"
"7","Geno Smith",SEA,"at ATL","3 out of 5 stars","B+","18.2","+0.3","56% (9/16)","3%","Bad"
"8","Baker Mayfield",TB,"vs. BAL","3 out of 5 stars","B","18.0","+4.1","76% (13/17)","5%","Great"
"9","Joe Burrow",CIN,"at CLE","3 out of 5 stars","B","17.9","+3.3","77% (7/9)","4%","Bad"
"10","Brock Purdy",SF,"vs. KC","2 out of 5 stars","B","17.7","+1.0","50% (8/16)","1%","Bad"
"11","Kirk Cousins",ATL,"vs. SEA","5 out of 5 stars","B-","17.6","+1.1","50% (4/8)","1%","Average"
"12","C.J. Stroud",HOU,"at GB","3 out of 5 stars","B-","17.4","+0.7","35% (5/14)","4%","Good"
"13","Patrick Mahomes II",KC,"at SF","3 out of 5 stars","C+","17.3","-3.5","13% (2/15)","1%","Bad"
"14","Kyler Murray",ARI,"vs. LAC","2 out of 5 stars","C+","17.1","+0.3","53% (7/13)","3%","Average"
"15","Anthony Richardson",IND,"vs. MIA","3 out of 5 stars","C+","16.9","-5.5","25% (1/4)","8%","Bad"
"16","Drake Maye",NE,"at JAC","4 out of 5 stars","C","16.7","+4.6","50% (1/2)","1%","Great"
"17","Jared Goff",DET,"at MIN","1 out of 5 stars","C","16.4","+0.6","46% (7/15)","2%","Average"
"18","Trevor Lawrence",JAC,"vs. NE","3 out of 5 stars","C-","16.0","+0.8","46% (7/15)","3%","Bad"
"19","Daniel Jones",NYG,"vs. PHI","4 out of 5 stars","C-","15.7","-2.7","42% (3/7)","12%","Bad"
"20","Matthew Stafford",LAR,"vs. LV","4 out of 5 stars","D+","15.4","+0.3","35% (5/14)","0%","Bad"
"21","Justin Herbert",LAC,"at ARI","3 out of 5 stars","D","15.1","-2.9","30% (4/13)","1%","Bad"
"22","Bo Nix",DEN,"at NO","2 out of 5 stars","D","14.7","+1.3","50% (3/6)","12%","Bad"
"23","Andy Dalton",CAR,"at WAS","5 out of 5 stars","D","14.4","+1.4","60% (3/5)","0%","Poor"
"24","Aaron Rodgers",NYJ,"at PIT","3 out of 5 stars","D-","14.1","-0.3","33% (2/6)","1%","Bad"
"25","Tyler Huntley",MIA,"at IND","4 out of 5 stars","F","13.8","-4.5","0% (0/2)","7%","Bad"
"26","Deshaun Watson",CLE,"vs. CIN","4 out of 5 stars","F","13.6","-3.5","33% (3/9)","8%","Bad"
"27","Russell Wilson",PIT,"vs. NYJ","2 out of 5 stars","F","13.4","+1.3","66% (6/9)","0%","N/A"
"28","Aidan O'Connell",LV,"at LAR","4 out of 5 stars","F","13.1","-0.2","30% (3/10)","0%","Bad"
"29","Spencer Rattler",NO,"vs. DEN","2 out of 5 stars","F","12.8","+1.5","100% (1/1)","1%","Bad"
"30","Mason Rudolph",TEN,"at BUF","3 out of 5 stars","F","12.1","+2.0","33% (1/3)","0%","Bad"
"31","Will Levis",TEN,"at BUF","3 out of 5 stars","F","0.6","-3.0","28% (4/14)","2%","Great"
"32","Justin Fields",PIT,"vs. NYJ","2 out of 5 stars","F","0.2","+1.5","58% (7/12)","23%","Average"
"33","Joe Flacco",IND,"vs. MIA","3 out of 5 stars","F","0.2","+7.0","87% (7/8)","1%","Average"
"34","Gardner Minshew II",LV,"at LAR","4 out of 5 stars","F","0.2","0.0","53% (8/15)","1%","Poor"
"35","Jameis Winston",CLE,"vs. CIN","4 out of 5 stars","F","0.2","-0.1","33% (1/3)","0%","Bad"
