"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Jalen Hurts",PHI,"vs. CAR","5 out of 5 stars","A+","22.6","-0.3","50% (8/16)","21%","Good"
"2","Josh Allen",BUF,"at LAR","3 out of 5 stars","A+","21.9","-0.2","56% (9/16)","7%","Great"
"3","Joe Burrow",CIN,"at DAL","4 out of 5 stars","A","20.4","+3.4","66% (8/12)","2%","Poor"
"4","Sam Darnold",MIN,"vs. ATL","4 out of 5 stars","A","19.5","+1.5","75% (9/12)","3%","Average"
"5","Baker Mayfield",TB,"vs. LV","4 out of 5 stars","A","18.6","+4.3","81% (13/16)","3%","Good"
"6","Kyler Murray",ARI,"vs. SEA","2 out of 5 stars","A","17.9","-0.1","46% (7/15)","5%","Average"
"7","Patrick Mahomes II",KC,"vs. LAC","3 out of 5 stars","B+","17.7","-1.4","25% (4/16)","1%","Bad"
"8","Jordan Love",GB,"at DET","2 out of 5 stars","B+","17.4","+1.6","57% (8/14)","3%","Average"
"9","Tua Tagovailoa",MIA,"vs. NYJ","3 out of 5 stars","B","17.2","+0.5","50% (6/12)","0%","Average"
"10","Brock Purdy",SF,"vs. CHI","2 out of 5 stars","B","16.9","-0.5","46% (7/15)","5%","Bad"
"11","Jared Goff",DET,"vs. GB","2 out of 5 stars","B","16.7","+1.2","43% (7/16)","3%","Average"
"12","Caleb Williams",CHI,"at SF","2 out of 5 stars","B-","16.5","+0.4","50% (6/12)","4%","Bad"
"13","Justin Herbert",LAC,"at KC","3 out of 5 stars","C+","16.4","-1.7","46% (6/13)","3%","Bad"
"14","Russell Wilson",PIT,"vs. CLE","4 out of 5 stars","C+","16.2","+2.5","55% (5/9)","4%","Average"
"15","Geno Smith",SEA,"at ARI","2 out of 5 stars","C","16.2","-0.4","53% (8/15)","4%","Bad"
"16","Will Levis",TEN,"vs. JAC","5 out of 5 stars","C","15.9","-1.6","58% (7/12)","3%","Great"
"17","Matthew Stafford",LAR,"vs. BUF","2 out of 5 stars","C","15.7","+0.6","43% (7/16)","1%","Bad"
"18","Jameis Winston",CLE,"at PIT","1 out of 5 stars","C-","15.4","+5.0","62% (5/8)","2%","Good"
"19","Cooper Rush",DAL,"vs. CIN","4 out of 5 stars","D+","15.1","+0.5","42% (3/7)","1%","Bad"
"20","Aidan O'Connell",LV,"at TB","4 out of 5 stars","D","14.7","-0.2","37% (3/8)","0%","Great"
"21","Kirk Cousins",ATL,"at MIN","3 out of 5 stars","D","14.4","-1.6","25% (3/12)","1%","Average"
"22","Derek Carr",NO,"at NYG","4 out of 5 stars","D","14.1","+1.9","61% (8/13)","5%","Average"
"23","Aaron Rodgers",NYJ,"at MIA","3 out of 5 stars","D-","13.7","-0.5","50% (6/12)","1%","Poor"
"24","Mac Jones",JAC,"at TEN","3 out of 5 stars","F","13.4","+0.9","14% (1/7)","6%","Bad"
"25","Bryce Young",CAR,"at PHI","1 out of 5 stars","F","13.0","+0.1","33% (4/12)","2%","Bad"
"26","Drew Lock",NYG,"vs. NO","2 out of 5 stars","F","12.4","+0.7","37% (3/8)","1%","Great"
"27","Justin Fields",PIT,"vs. CLE","4 out of 5 stars","F","0.8","+1.6","53% (8/15)","12%","Average"
"28","Trey Lance",DAL,"vs. CIN","4 out of 5 stars","F","0.2","-0.1","25% (1/4)","4%","Bad"
