"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","CeeDee Lamb",DAL,"at ATL","4 out of 5 stars","A+","20.2","+3.1","50% (8/16)","18%","Average"
"2","Justin Jefferson",MIN,"vs. IND","3 out of 5 stars","A+","20.2","0.0","45% (5/11)","19%","Good"
"3","Ja'Marr Chase",CIN,"vs. LV","4 out of 5 stars","A+","18.8","-0.4","37% (6/16)","14%","Good"
"4","A.J. Brown",PHI,"vs. JAC","3 out of 5 stars","A+","17.5","-1.5","33% (4/12)","9%","Great"
"5","Malik Nabers",NYG,"vs. WAS","4 out of 5 stars","A+","17.5","+2.1","50% (3/6)","32%","Bad"
"6","Tyreek Hill",MIA,"at BUF","3 out of 5 stars","A+","17.2","-3.3","28% (4/14)","12%","Bad"
"7","Drake London",ATL,"vs. DAL","3 out of 5 stars","A","16.9","+0.2","46% (7/15)","25%","Average"
"8","Amon-Ra St. Brown",DET,"at GB","2 out of 5 stars","A","16.8","+0.9","60% (9/15)","15%","Good"
"9","Chris Olave",NO,"at CAR","2 out of 5 stars","A","15.9","-0.5","57% (8/14)","12%","Bad"
"10","Terry McLaurin",WAS,"at NYG","3 out of 5 stars","A","15.8","+0.2","50% (8/16)","10%","Good"
"11","Josh Downs",IND,"at MIN","2 out of 5 stars","A","15.2","-0.4","28% (4/14)","11%","Average"
"12","Cooper Kupp",LAR,"at SEA","3 out of 5 stars","A","14.8","-0.8","45% (5/11)","16%","Average"
"13","Puka Nacua",LAR,"at SEA","3 out of 5 stars","A","14.4","+1.6","60% (6/10)","8%","Bad"
"14","Garrett Wilson",NYJ,"vs. HOU","4 out of 5 stars","A","14.3","-0.9","35% (6/17)","21%","Poor"
"15","Davante Adams",NYJ,"vs. HOU","4 out of 5 stars","A","14.1","-0.1","38% (5/13)","11%","Great"
"16","DeVonta Smith",PHI,"vs. JAC","3 out of 5 stars","A","14.0","+1.2","57% (8/14)","8%","Great"
"17","Darnell Mooney",ATL,"vs. DAL","3 out of 5 stars","A-","13.9","+0.6","40% (6/15)","23%","Poor"
"18","DJ Moore",CHI,"at ARI","5 out of 5 stars","A-","13.9","+0.2","33% (5/15)","14%","Average"
"19","Jayden Reed",GB,"vs. DET","2 out of 5 stars","A-","13.5","+3.6","56% (9/16)","8%","Great"
"20","Marvin Harrison Jr.",ARI,"vs. CHI","2 out of 5 stars","A-","13.5","-1.6","37% (3/8)","20%","Good"
"21","Zay Flowers",BAL,"vs. DEN","3 out of 5 stars","A-","13.5","+0.1","56% (9/16)","11%","Bad"
"22","Jakobi Meyers",LV,"at CIN","3 out of 5 stars","B+","13.4","+1.4","42% (6/14)","13%","Average"
"23","Michael Pittman Jr.",IND,"at MIN","2 out of 5 stars","B+","13.3","-0.9","46% (7/15)","8%","Poor"
"24","Jaxon Smith-Njigba",SEA,"vs. LAR","2 out of 5 stars","B+","13.0","-0.5","41% (7/17)","19%","Bad"
"25","Brian Thomas Jr.",JAC,"at PHI","2 out of 5 stars","B","12.8","+3.5","75% (6/8)","12%","Great"
"26","Calvin Ridley",TEN,"vs. NE","4 out of 5 stars","B","12.6","+0.2","33% (5/15)","15%","Poor"
"27","Ladd McConkey",LAC,"at CLE","3 out of 5 stars","B","12.6","+1.4","42% (3/7)","10%","Great"
"28","Tank Dell",HOU,"at NYJ","2 out of 5 stars","B-","12.6","-0.1","50% (6/12)","12%","Bad"
"29","Jaylen Waddle",MIA,"at BUF","3 out of 5 stars","B","12.3","-2.2","21% (3/14)","5%","Bad"
"30","Amari Cooper",BUF,"vs. MIA","3 out of 5 stars","C+","12.2","+1.4","37% (6/16)","7%","Great"
"31","Khalil Shakir",BUF,"vs. MIA","3 out of 5 stars","B-","12.1","+1.7","66% (10/15)","5%","Great"
"32","Courtland Sutton",DEN,"at BAL","4 out of 5 stars","B-","11.9","-0.6","53% (8/15)","18%","Bad"
"33","Tyler Lockett",SEA,"vs. LAR","2 out of 5 stars","B-","11.5","-1.8","41% (7/17)","15%","Bad"
"34","Xavier Worthy",KC,"vs. TB","3 out of 5 stars","C+","11.3","+0.2","57% (4/7)","7%","Great"
