"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"at BUF","3 out of 5 stars","A+","16.0","-2.3","31% (5/16)","8%","Bad"
"2","Brock Bowers",LV,"at MIA","2 out of 5 stars","A","13.8","+1.3","66% (6/9)","14%","Bad"
"3","David Njoku",CLE,"at NO","3 out of 5 stars","A","13.5","+2.6","53% (7/13)","6%","Great"
"4","Evan Engram",JAC,"at DET","3 out of 5 stars","A","12.1","+0.8","38% (5/13)","3%","Great"
"5","T.J. Hockenson",MIN,"at TEN","3 out of 5 stars","A-","11.9","-1.1","28% (2/7)","15%","Bad"
"6","Kyle Pitts",ATL,"at DEN","2 out of 5 stars","B+","11.1","-0.1","50% (8/16)","8%","Great"
"7","Mark Andrews",BAL,"at PIT","4 out of 5 stars","B","10.9","-0.2","45% (5/11)","7%","Great"
"8","Taysom Hill",NO,"vs. CLE","3 out of 5 stars","B-","9.5","+0.8","54% (6/11)","7%","Great"
"9","Tucker Kraft",GB,"at CHI","3 out of 5 stars","C+","9.5","+2.8","75% (12/16)","8%","Great"
"10","Hunter Henry",NE,"vs. LAR","3 out of 5 stars","C+","9.5","+0.8","42% (6/14)","10%","Bad"
"11","Will Dissly",LAC,"vs. CIN","3 out of 5 stars","C+","9.3","0.0","43% (7/16)","7%","Bad"
"12","Dallas Goedert",PHI,"vs. WAS","3 out of 5 stars","C","9.2","+0.3","40% (4/10)","7%","Bad"
"13","Jonnu Smith",MIA,"vs. LV","5 out of 5 stars","C","9.2","-0.1","33% (5/15)","4%","Average"
"14","Dawson Knox",BUF,"vs. KC","3 out of 5 stars","C-","9.1","-0.5","35% (5/14)","3%","Average"
"15","Jake Ferguson",DAL,"vs. HOU","3 out of 5 stars","C-","9.0","-1.7","33% (5/15)","7%","Bad"
"16","Zach Ertz",WAS,"at PHI","2 out of 5 stars","C-","8.9","-0.1","50% (5/10)","7%","Bad"
"17","Pat Freiermuth",PIT,"vs. BAL","3 out of 5 stars","D+","8.1","-0.4","31% (5/16)","6%","Great"
"18","Mike Gesicki",CIN,"at LAC","2 out of 5 stars","D+","8.1","+0.1","37% (6/16)","7%","Poor"
"19","Dalton Schultz",HOU,"at DAL","4 out of 5 stars","D","7.9","-1.9","40% (6/15)","5%","Bad"
"20","AJ Barner",SEA,"at SF","3 out of 5 stars","D-","7.6","+1.0","44% (4/9)","5%","Average"
"21","Juwan Johnson",NO,"vs. CLE","3 out of 5 stars","D-","7.2","+0.6","50% (8/16)","4%","Average"
"22","Davis Allen",LAR,"at NE","2 out of 5 stars","F","7.1","+0.8","33% (4/12)","8%","Bad"
"23","Cole Kmet",CHI,"vs. GB","4 out of 5 stars","F","6.8","+0.1","40% (6/15)","9%","Great"
"24","Tyler Conklin",NYJ,"vs. IND","4 out of 5 stars","F","6.4","-0.5","35% (6/17)","11%","Bad"
"25","George Kittle",SF,"vs. SEA","5 out of 5 stars","C+","6.2","+2.1","66% (10/15)","12%","Great"
"26","Chig Okonkwo",TEN,"vs. MIN","3 out of 5 stars","F","6.2","-0.1","43% (7/16)","8%","Bad"
"27","Brock Wright",DET,"vs. JAC","4 out of 5 stars","F","4.9","0.0","35% (5/14)","5%","Average"
"28","Austin Hooper",NE,"vs. LAR","3 out of 5 stars","F","4.8","0.0","43% (7/16)","7%","Bad"
"29","Isaiah Likely",BAL,"at PIT","4 out of 5 stars","F","4.8","+1.7","40% (6/15)","14%","Average"
"30","Foster Moreau",NO,"vs. CLE","3 out of 5 stars","F","4.2","+0.5","43% (7/16)","8%","Good"
"31","Noah Gray",KC,"at BUF","3 out of 5 stars","F","4.0","+0.5","68% (11/16)","1%","Bad"
