"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. NO","4 out of 5 stars","A+","13.9","-3.0","25% (4/16)","7%","Bad"
"2","Jake Ferguson",DAL,"at PIT","4 out of 5 stars","A","12.8","0.0","40% (6/15)","13%","Bad"
"3","Trey McBride",ARI,"at SF","3 out of 5 stars","A","12.4","+1.5","46% (7/15)","8%","Bad"
"4","George Kittle",SF,"vs. ARI","3 out of 5 stars","A-","12.1","+2.4","60% (9/15)","10%","Great"
"5","Dalton Kincaid",BUF,"at HOU","2 out of 5 stars","A-","11.2","-1.2","37% (6/16)","9%","Good"
"6","Brock Bowers",LV,"at DEN","3 out of 5 stars","B+","10.8","-1.0","50% (2/4)","8%","Bad"
"7","Tucker Kraft",GB,"at LAR","5 out of 5 stars","B+","10.2","+1.5","62% (10/16)","7%","Average"
"8","David Njoku",CLE,"at WAS","2 out of 5 stars","B","9.0","+3.1","69% (9/13)","1%","Bad"
"9","Pat Freiermuth",PIT,"vs. DAL","3 out of 5 stars","B-","8.9","-0.3","27% (3/11)","5%","Great"
"10","Colby Parkinson",LAR,"vs. GB","4 out of 5 stars","C+","8.2","-0.2","37% (6/16)","9%","Bad"
"11","Kyle Pitts",ATL,"vs. TB","2 out of 5 stars","C+","8.1","-0.8","37% (6/16)","10%","Average"
"12","Cole Kmet",CHI,"vs. CAR","4 out of 5 stars","C","7.8","+0.6","43% (7/16)","7%","Average"
"13","Zach Ertz",WAS,"vs. CLE","4 out of 5 stars","C","7.8","-0.8","42% (3/7)","1%","Bad"
"14","Tyler Conklin",NYJ,"at MIN","3 out of 5 stars","C-","7.8","-0.2","37% (6/16)","11%","Bad"
"15","Cade Otton",TB,"at ATL","2 out of 5 stars","C-","7.5","-0.3","50% (8/16)","6%","Bad"
"16","Hunter Henry",NE,"vs. MIA","2 out of 5 stars","D+","7.5","-0.4","28% (4/14)","9%","Bad"
"17","Dalton Schultz",HOU,"vs. BUF","3 out of 5 stars","D+","6.8","+0.1","42% (6/14)","5%","Bad"
"18","Mike Gesicki",CIN,"vs. BAL","3 out of 5 stars","D","6.8","-0.5","43% (7/16)","4%","Bad"
"19","Isaiah Likely",BAL,"at CIN","3 out of 5 stars","D","6.6","+1.8","37% (6/16)","10%","Average"
"20","Brenton Strange",JAC,"vs. IND","4 out of 5 stars","D","6.6","+0.3","20% (3/15)","6%","Great"
"21","Noah Fant",SEA,"vs. NYG","3 out of 5 stars","D-","6.3","-1.2","37% (6/16)","2%","Bad"
"22","Mark Andrews",BAL,"at CIN","3 out of 5 stars","D-","5.9","-3.1","27% (3/11)","1%","Bad"
"23","Johnny Mundt",MIN,"vs. NYJ","3 out of 5 stars","F","5.8","+0.6","56% (9/16)","6%","Good"
"24","Juwan Johnson",NO,"at KC","4 out of 5 stars","F","5.8","+1.0","46% (6/13)","10%","Good"
"25","Noah Gray",KC,"vs. NO","4 out of 5 stars","F","5.2","+0.5","62% (10/16)","3%","Bad"
"26","Tommy Tremble",CAR,"at CHI","3 out of 5 stars","F","4.7","+0.8","57% (8/14)","3%","Bad"
"27","Theo Johnson",NYG,"at SEA","3 out of 5 stars","F","4.6","-2.7","0% (0/4)","7%","Bad"
"28","Greg Dulcich",DEN,"vs. LV","4 out of 5 stars","F","4.4","-2.5","0% (0/5)","3%","Bad"
"29","Erick All Jr.",CIN,"vs. BAL","3 out of 5 stars","F","4.3","+1.2","75% (3/4)","1%","Bad"
"30","Austin Hooper",NE,"vs. MIA","2 out of 5 stars","F","4.2","-0.1","50% (8/16)","9%","Great"
"31","Harrison Bryant",LV,"at DEN","3 out of 5 stars","F","3.8","+0.3","18% (3/16)","1%","Bad"
"32","Jonnu Smith",MIA,"at NE","4 out of 5 stars","F","3.3","-0.6","31% (5/16)","2%","Bad"
"33","Dawson Knox",BUF,"at HOU","2 out of 5 stars","F","3.2","-1.9","18% (2/11)","3%","Bad"
"34","Luke Musgrave",GB,"at LAR","5 out of 5 stars","F","3.2","-0.4","30% (3/10)","1%","Bad"
"35","Ja'Tavion Sanders",CAR,"at CHI","3 out of 5 stars","F","3.2","-1.5","25% (1/4)","3%","Bad"
"36","Kylen Granson",IND,"at JAC","3 out of 5 stars","F","2.9","-0.7","28% (4/14)","4%","Bad"
"37","Foster Moreau",NO,"at KC","4 out of 5 stars","F","2.8","+0.3","43% (7/16)","10%","Good"
"38","Elijah Higgins",ARI,"at SF","3 out of 5 stars","F","2.6","+1.0","46% (6/13)","6%","Great"
"39","AJ Barner",SEA,"vs. NYG","3 out of 5 stars","F","2.5","+1.8","50% (2/4)","4%","Great"
"40","Josh Oliver",MIN,"vs. NYJ","3 out of 5 stars","F","2.5","0.0","37% (6/16)","8%","Good"
"41","Jeremy Ruckert",NYJ,"at MIN","3 out of 5 stars","F","2.4","-0.3","33% (5/15)","3%","Bad"
"42","Mo Alie-Cox",IND,"at JAC","3 out of 5 stars","F","2.3","-0.2","31% (5/16)","2%","Bad"
"43","Luke Farrell",JAC,"vs. IND","4 out of 5 stars","F","2.1","0.0","31% (5/16)","0%","Bad"
"44","Darnell Washington",PIT,"vs. DAL","3 out of 5 stars","F","2.1","-0.3","43% (7/16)","7%","Great"
"45","Gerald Everett",CHI,"vs. CAR","4 out of 5 stars","F","2.0","-0.1","50% (7/14)","5%","Bad"
"46","Drew Ogletree",IND,"at JAC","3 out of 5 stars","F","1.9","-0.4","38% (5/13)","3%","Great"
"47","Jordan Akins",CLE,"at WAS","2 out of 5 stars","F","1.8","-0.4","37% (6/16)","1%","Bad"
"48","Cade Stover",HOU,"vs. BUF","3 out of 5 stars","F","1.8","0.0","33% (1/3)","0%","N/A"
"49","Drew Sample",CIN,"vs. BAL","3 out of 5 stars","F","1.6","+1.1","62% (10/16)","1%","Bad"
"50","Daniel Bellinger",NYG,"at SEA","3 out of 5 stars","F","1.5","0.0","50% (8/16)","4%","Bad"
"51","Pharaoh Brown",SEA,"vs. NYG","3 out of 5 stars","F","1.5","0.0","35% (5/14)","0%","Bad"
"52","Luke Schoonmaker",DAL,"at PIT","4 out of 5 stars","F","1.4","-0.2","31% (5/16)","4%","Bad"
"53","John Bates",WAS,"vs. CLE","4 out of 5 stars","F","1.2","-0.6","31% (5/16)","0%","N/A"
"54","Eric Saubert",SF,"vs. ARI","3 out of 5 stars","F","1.2","-0.3","16% (2/12)","4%","Bad"
"55","Nate Adkins",DEN,"vs. LV","4 out of 5 stars","F","1.2","-0.7","11% (1/9)","1%","Bad"
"56","Ben Sinnott",WAS,"vs. CLE","4 out of 5 stars","F","1.2","-1.1","0% (0/4)","0%","N/A"
"57","Charlie Woerner",ATL,"vs. TB","2 out of 5 stars","F","1.1","-0.7","10% (1/10)","0%","Bad"
"58","Durham Smythe",MIA,"at NE","4 out of 5 stars","F","1.1","-0.2","40% (6/15)","7%","Bad"
"59","Julian Hill",MIA,"at NE","4 out of 5 stars","F","1.1","-0.1","31% (5/16)","11%","Bad"
"60","Will Mallory",IND,"at JAC","3 out of 5 stars","F","1.1","+0.4","36% (4/11)","0%","N/A"
"61","Adam Trautman",DEN,"vs. LV","4 out of 5 stars","F","1.0","-0.2","31% (5/16)","0%","N/A"
"62","Charlie Kolar",BAL,"at CIN","3 out of 5 stars","F","1.0","+0.9","50% (4/8)","0%","N/A"
"63","Jared Wiley",KC,"vs. NO","4 out of 5 stars","F","0.9","-0.2","25% (1/4)","0%","N/A"
"64","Ben Sims",GB,"at LAR","5 out of 5 stars","F","0.8","-0.3","9% (1/11)","0%","N/A"
"65","Tanner Hudson",CIN,"vs. BAL","3 out of 5 stars","F","0.8","+0.6","50% (6/12)","4%","Bad"
"66","Hunter Long",LAR,"vs. GB","4 out of 5 stars","F","0.7","-1.5","0% (0/6)","0%","N/A"
"67","Connor Heyward",PIT,"vs. DAL","3 out of 5 stars","F","0.6","-0.7","33% (5/15)","0%","N/A"
"68","Payne Durham",TB,"at ATL","2 out of 5 stars","F","0.6","-0.3","26% (4/15)","0%","N/A"
"69","Davis Allen",LAR,"vs. GB","4 out of 5 stars","F","0.5","+1.0","37% (3/8)","5%","Bad"
"70","Tip Reiman",ARI,"at SF","3 out of 5 stars","F","0.4","-1.2","0% (0/4)","0%","N/A"
"71","Tanner Conner",MIA,"at NE","4 out of 5 stars","F","0.4","+2.1","100% (1/1)","4%","Bad"
"72","Chris Manhertz",NYG,"at SEA","3 out of 5 stars","F","0.3","-0.9","0% (0/14)","0%","N/A"
