"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Lamar Jackson",BAL,"at CLE","4 out of 5 stars","A+","21.8","+1.7","56% (9/16)","6%","Great"
"2","Josh Allen",BUF,"at SEA","4 out of 5 stars","A","20.7","+0.7","62% (10/16)","8%","Good"
"3","Jalen Hurts",PHI,"at CIN","4 out of 5 stars","A","19.9","-0.1","60% (9/15)","20%","Average"
"4","Jordan Love",GB,"at JAC","5 out of 5 stars","A-","19.2","+4.1","73% (11/15)","1%","Great"
"5","Joe Burrow",CIN,"vs. PHI","3 out of 5 stars","B+","18.6","+2.6","70% (7/10)","4%","Poor"
"6","Sam Darnold",MIN,"at LAR","3 out of 5 stars","B+","18.4","+1.6","66% (4/6)","1%","Good"
"7","Kyler Murray",ARI,"at MIA","3 out of 5 stars","B","18.1","+0.5","57% (8/14)","4%","Good"
"8","Brock Purdy",SF,"vs. DAL","3 out of 5 stars","B","17.8","+1.3","56% (9/16)","4%","Bad"
"9","C.J. Stroud",HOU,"vs. IND","4 out of 5 stars","B","17.6","-0.1","33% (5/15)","4%","Average"
"10","Caleb Williams",CHI,"at WAS","5 out of 5 stars","B-","17.4","+0.6","50% (3/6)","2%","Bad"
"11","Patrick Mahomes II",KC,"at LV","3 out of 5 stars","C+","17.1","-4.5","6% (1/15)","2%","Bad"
"12","Tua Tagovailoa",MIA,"vs. ARI","4 out of 5 stars","C+","17.1","-2.5","36% (4/11)","1%","Bad"
"13","Bo Nix",DEN,"vs. CAR","5 out of 5 stars","C","16.9","+0.7","42% (3/7)","12%","Bad"
"14","Kirk Cousins",ATL,"at TB","3 out of 5 stars","C","16.7","-0.7","37% (3/8)","1%","Poor"
"15","Jared Goff",DET,"vs. TEN","3 out of 5 stars","C","16.5","+1.2","53% (8/15)","2%","Average"
"16","Anthony Richardson",IND,"at HOU","2 out of 5 stars","C-","16.3","-6.2","20% (1/5)","9%","Bad"
"17","Aaron Rodgers",NYJ,"at NE","4 out of 5 stars","C-","16.1","-0.3","28% (2/7)","1%","Bad"
"18","Geno Smith",SEA,"vs. BUF","3 out of 5 stars","D+","16.0","+0.5","62% (10/16)","3%","Bad"
"19","Trevor Lawrence",JAC,"vs. GB","2 out of 5 stars","D+","15.9","+0.5","40% (6/15)","2%","Bad"
"20","Baker Mayfield",TB,"vs. ATL","4 out of 5 stars","D+","15.7","+4.6","76% (13/17)","4%","Great"
"21","Dak Prescott",DAL,"at SF","2 out of 5 stars","D","15.6","+1.8","50% (8/16)","5%","Bad"
"22","Jameis Winston",CLE,"vs. BAL","4 out of 5 stars","D-","15.4","-0.1","33% (1/3)","0%","Bad"
"23","Matthew Stafford",LAR,"vs. MIN","1 out of 5 stars","D-","15.2","-0.2","35% (5/14)","0%","Bad"
"24","Russell Wilson",PIT,"vs. NYG","4 out of 5 stars","D-","15.0","+2.9","77% (7/9)","15%","Poor"
"25","Jayden Daniels",WAS,"vs. CHI","2 out of 5 stars","F","14.7","-0.2","42% (3/7)","12%","Poor"
"26","Justin Herbert",LAC,"vs. NO","2 out of 5 stars","F","14.3","-2.5","38% (5/13)","1%","Bad"
"27","Drake Maye",NE,"vs. NYJ","2 out of 5 stars","F","13.9","+4.9","66% (2/3)","1%","Great"
"28","Marcus Mariota",WAS,"vs. CHI","2 out of 5 stars","F","13.4","+19.5","100% (1/1)","1%","Great"
"29","Daniel Jones",NYG,"at PIT","3 out of 5 stars","F","12.8","-3.7","37% (3/8)","13%","Bad"
"30","Gardner Minshew II",LV,"vs. KC","2 out of 5 stars","F","12.2","-0.9","53% (8/15)","1%","Bad"
"31","Mason Rudolph",TEN,"at DET","2 out of 5 stars","F","11.5","+0.9","25% (1/4)","0%","Bad"
"32","Spencer Rattler",NO,"at LAC","4 out of 5 stars","F","10.6","-2.2","50% (1/2)","1%","Bad"
"33","Bryce Young",CAR,"at DEN","2 out of 5 stars","F","4.7","-3.1","15% (2/13)","4%","Bad"
"34","Joe Flacco",IND,"at HOU","2 out of 5 stars","F","0.4","+6.2","77% (7/9)","1%","Average"
"35","Jake Haener",NO,"at LAC","4 out of 5 stars","F","0.2","+2.5","50% (1/2)","0%","Great"
