"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER ","OPPORTUNITY ","EFFICIENCY "
"1","Lamar Jackson",BAL,"vs. CIN","4 out of 5 stars","A+","23.2","+3.2","68% (11/16)","5%","Great"
"2","Josh Allen",BUF,"at IND","4 out of 5 stars","A","22.1","0.0","56% (9/16)","7%","Good"
"3","Jalen Hurts",PHI,"at DAL","5 out of 5 stars","A","21.3","+1.0","60% (9/15)","21%","Good"
"4","Brock Purdy",SF,"at TB","3 out of 5 stars","A","20.6","+1.5","56% (9/16)","6%","Bad"
"5","Jayden Daniels",WAS,"vs. PIT","2 out of 5 stars","A","19.9","-0.3","44% (4/9)","12%","Bad"
"6","Joe Burrow",CIN,"at BAL","4 out of 5 stars","A","19.2","+1.9","60% (6/10)","3%","Average"
"7","Sam Darnold",MIN,"at JAC","5 out of 5 stars","B+","18.4","+1.7","75% (6/8)","1%","Good"
"8","Matthew Stafford",LAR,"vs. MIA","3 out of 5 stars","B","17.9","+1.0","46% (7/15)","0%","Bad"
"9","Patrick Mahomes II",KC,"vs. DEN","2 out of 5 stars","B","17.3","-2.5","20% (3/15)","2%","Bad"
"10","Baker Mayfield",TB,"vs. SF","2 out of 5 stars","B-","17.0","+4.5","76% (13/17)","3%","Great"
"11","Kirk Cousins",ATL,"at NO","2 out of 5 stars","B","16.8","+0.4","33% (3/9)","1%","Great"
"12","Aaron Rodgers",NYJ,"at ARI","3 out of 5 stars","C+","16.6","+0.6","44% (4/9)","1%","Bad"
"13","Tua Tagovailoa",MIA,"at LAR","4 out of 5 stars","C+","16.5","-2.3","36% (4/11)","1%","Bad"
"14","Jared Goff",DET,"at HOU","3 out of 5 stars","C","16.3","+1.1","56% (9/16)","2%","Good"
"15","C.J. Stroud",HOU,"vs. DET","2 out of 5 stars","C","16.1","-2.2","26% (4/15)","4%","Bad"
"16","Kyler Murray",ARI,"vs. NYJ","2 out of 5 stars","C","16.0","-0.2","56% (9/16)","3%","Average"
"17","Daniel Jones",NYG,"at CAR","5 out of 5 stars","C-","15.8","-1.7","44% (4/9)","12%","Bad"
"18","Justin Herbert",LAC,"vs. TEN","3 out of 5 stars","C-","15.7","-1.1","46% (6/13)","1%","Average"
"19","Bo Nix",DEN,"at KC","2 out of 5 stars","D+","15.6","+1.9","55% (5/9)","11%","Bad"
"20","Caleb Williams",CHI,"vs. NE","4 out of 5 stars","D","15.6","-1.4","37% (3/8)","5%","Bad"
"21","Russell Wilson",PIT,"at WAS","5 out of 5 stars","D","15.3","+2.5","66% (6/9)","9%","Average"
"22","Joe Flacco",IND,"vs. BUF","2 out of 5 stars","D-","15.0","+4.1","63% (7/11)","1%","Average"
"23","Drake Maye",NE,"at CHI","2 out of 5 stars","D-","14.6","+2.9","60% (3/5)","1%","Great"
"24","Mac Jones",JAC,"vs. MIN","2 out of 5 stars","F","14.0","-2.8","0% (0/6)","0%","Bad"
"25","Derek Carr",NO,"vs. ATL","4 out of 5 stars","F","13.3","0.0","46% (6/13)","8%","Average"
"26","Cooper Rush",DAL,"vs. PHI","2 out of 5 stars","F","12.8","+3.4","33% (1/3)","1%","Bad"
"27","Bryce Young",CAR,"vs. NYG","4 out of 5 stars","F","12.3","-2.7","15% (2/13)","4%","Bad"
"28","Will Levis",TEN,"at LAC","4 out of 5 stars","F","12.0","-4.4","25% (3/12)","2%","Great"
"29","Trevor Lawrence",JAC,"vs. MIN","2 out of 5 stars","F","4.7","+1.5","50% (8/16)","4%","Average"
"30","Mason Rudolph",TEN,"at LAC","4 out of 5 stars","F","1.6","+2.9","50% (3/6)","3%","Bad"
