"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. DIFF ","% OVER "
"1","Pittsburgh Steelers",PIT,"vs. NYG","5 out of 5 stars","A+","7.8","+0.9","58% (10/17)"
"2","Denver Broncos",DEN,"vs. CAR","5 out of 5 stars","A+","7.7","+4.0","75% (12/16)"
"3","Los Angeles Chargers",LAC,"vs. NO","5 out of 5 stars","A","7.7","+0.6","50% (8/16)"
"4","Baltimore Ravens",BAL,"at CLE","5 out of 5 stars","B+","7.6","+1.8","50% (8/16)"
"5","Kansas City Chiefs",KC,"at LV","5 out of 5 stars","A-","7.6","+0.1","53% (8/15)"
"6","New York Jets",NYJ,"at NE","5 out of 5 stars","B+","7.4","+0.6","52% (9/17)"
"7","Detroit Lions",DET,"vs. TEN","5 out of 5 stars","B","7.2","+0.3","40% (6/15)"
"8","Houston Texans",HOU,"vs. IND","1 out of 5 stars","B","6.7","+1.0","52% (9/17)"
"9","Chicago Bears",CHI,"at WAS","1 out of 5 stars","B-","6.7","+3.3","66% (10/15)"
"10","San Francisco 49ers",SF,"vs. DAL","3 out of 5 stars","B-","6.5","+2.2","56% (9/16)"
"11","Minnesota Vikings",MIN,"at LAR","3 out of 5 stars","C+","6.5","+3.6","73% (11/15)"
"12","Buffalo Bills",BUF,"at SEA","2 out of 5 stars","C+","6.5","+1.6","43% (7/16)"
"13","Green Bay Packers",GB,"at JAC","2 out of 5 stars","C+","6.4","+1.9","64% (11/17)"
"14","Atlanta Falcons",ATL,"at TB","2 out of 5 stars","C","6.2","-0.6","37% (6/16)"
"15","Washington Commanders",WAS,"vs. CHI","3 out of 5 stars","D","6.2","-2.8","31% (5/16)"
"16","Miami Dolphins",MIA,"vs. ARI","2 out of 5 stars","C-","6.0","+1.0","46% (7/15)"
"17","Philadelphia Eagles",PHI,"at CIN","3 out of 5 stars","C-","5.9","-1.8","40% (6/15)"
"18","New York Giants",NYG,"at PIT","1 out of 5 stars","C-","5.9","+2.1","56% (9/16)"
"19","Tampa Bay Buccaneers",TB,"vs. ATL","3 out of 5 stars","D+","5.8","-0.3","29% (5/17)"
"20","Los Angeles Rams",LAR,"vs. MIN","2 out of 5 stars","D","5.7","-0.5","33% (5/15)"
"21","Cincinnati Bengals",CIN,"vs. PHI","2 out of 5 stars","D-","5.6","-1.1","41% (7/17)"
"22","New England Patriots",NE,"vs. NYJ","2 out of 5 stars","F","5.4","+0.6","50% (8/16)"
"23","Arizona Cardinals",ARI,"at MIA","5 out of 5 stars","F","5.4","-1.1","37% (6/16)"
"24","New Orleans Saints",NO,"at LAC","3 out of 5 stars","F","5.3","+1.3","50% (8/16)"
"25","Indianapolis Colts",IND,"at HOU","1 out of 5 stars","F","5.2","+1.9","56% (9/16)"
"26","Seattle Seahawks",SEA,"vs. BUF","1 out of 5 stars","F","5.1","-0.3","47% (8/17)"
"27","Dallas Cowboys",DAL,"at SF","2 out of 5 stars","F","5.1","-0.4","37% (6/16)"
"28","Carolina Panthers",CAR,"at DEN","3 out of 5 stars","F","5.1","-2.9","23% (4/17)"
"29","Jacksonville Jaguars",JAC,"vs. GB","2 out of 5 stars","F","5.1","-1.2","25% (4/16)"
"30","Cleveland Browns",CLE,"vs. BAL","1 out of 5 stars","F","5.1","+1.6","64% (11/17)"
"31","Las Vegas Raiders",LV,"vs. KC","2 out of 5 stars","F","4.7","+1.7","50% (8/16)"
"32","Tennessee Titans",TEN,"at DET","2 out of 5 stars","F","4.7","-0.7","50% (8/16)"
